date,open,high,low,close,volume
2005-01-03,12.7495,12.7521,12.5085,12.5342,4230000
2005-01-04,12.5931,12.6213,12.424,12.4957,3371200
2005-01-05,12.4445,12.7905,12.4163,12.7521,7397200
2005-01-06,12.8114,12.8707,12.7469,12.8449,4572800
2005-01-07,12.8939,13.1415,12.8888,13.1389,10910400
2005-01-10,13.0255,13.2086,13.0255,13.1802,6671000
2005-01-11,13.077,13.1544,13.0513,13.1493,6334600
2005-01-12,13.1802,13.2163,12.9893,13.1441,5076400
2005-01-13,13.0848,13.1389,13.0177,13.0487,3031200
2005-01-14,13.1157,13.1209,13.0126,13.0616,3024200
2005-01-18,13.0255,13.3737,12.9997,13.3659,5306000
2005-01-19,13.4124,13.5155,13.3762,13.4588,7021000
2005-01-20,13.3866,13.5645,13.3866,13.5026,6140600
2005-01-21,13.4897,13.4897,13.3685,13.3891,4454800
2005-01-24,13.3995,13.4124,13.2885,13.3711,4154200
2005-01-25,13.3737,13.4614,13.2963,13.384,5205400
2005-01-26,13.4046,13.4717,13.3866,13.433,3791200
2005-01-27,13.4124,13.5929,13.3866,13.5877,3970200
2005-01-28,13.5877,13.8998,13.5413,13.6445,8033800
2005-01-31,13.6445,13.7502,13.5981,13.6677,4098800
2005-02-01,13.5413,13.8096,13.4949,13.7631,4986000
2005-02-02,13.7709,13.8096,13.6574,13.6961,3177800
2005-02-03,13.709,13.727,13.6445,13.6909,3292400
2005-02-04,13.6909,13.6961,13.6264,13.6703,7395000
2005-02-07,13.6703,13.7864,13.58,13.6187,9159000
2005-02-08,13.6316,13.6858,13.5749,13.6574,4063800
2005-02-09,13.6187,13.6522,13.5413,13.58,2818200
2005-02-10,13.58,13.6264,13.531,13.58,3099000
2005-02-11,13.58,13.6187,13.5439,13.58,4241400
2005-02-14,13.5826,13.5878,13.5259,13.5723,1556800
2005-02-15,13.6368,13.6445,13.5542,13.58,2493600
2005-02-16,13.5542,13.6342,13.5284,13.5929,3424000
2005-02-17,13.5903,13.5955,13.4562,13.4562,2594800
2005-02-18,13.4304,13.4485,13.3118,13.3453,2428600
2005-02-22,13.2834,13.335,13.0899,13.0899,4865600
2005-02-23,13.0899,13.2473,13.0796,13.2473,3464000
2005-02-24,13.2447,13.3479,13.1776,13.3479,2524400
2005-02-25,13.3092,13.4975,13.3092,13.4227,2888200
2005-02-28,13.3788,13.5568,13.3221,13.5078,2231800
2005-03-01,13.5078,13.6342,13.4949,13.6264,3115200
2005-03-02,13.5671,13.6187,13.4768,13.4975,3260200
2005-03-03,13.5001,13.5542,13.4407,13.5001,2216200
2005-03-04,13.5336,13.5723,13.402,13.4897,2267800
2005-03-07,13.5026,13.5026,13.335,13.3737,3831000
2005-03-08,13.3891,13.3995,13.3092,13.335,2576800
2005-03-09,13.335,13.335,13.1596,13.1905,3445200
2005-03-10,13.2705,13.3866,13.2602,13.353,2781800
2005-03-11,13.3221,13.4227,13.2034,13.2344,2481400
2005-03-14,13.2473,13.3814,13.2318,13.3814,2886400
2005-03-15,13.4536,13.5929,13.4382,13.5181,3862800
2005-03-16,13.4536,13.5104,13.384,13.3995,2769000
2005-03-17,13.3995,13.3995,13.1286,13.1544,3434800
2005-03-18,13.1544,13.2911,13.1518,13.2911,5471000
2005-03-21,13.3247,13.3866,13.2189,13.2885,2338800
2005-03-22,13.1802,13.1828,12.7469,12.7469,9504400
2005-03-23,12.7675,12.9713,12.7314,12.9352,5273600
2005-03-24,12.9326,12.9481,12.8397,12.8578,2935600
2005-03-28,12.8965,12.9816,12.8862,12.8991,2287600
