date,open,high,low,close,volume
2005-01-03,16.2804,16.3522,15.3648,15.6815,2153200
2005-01-04,15.8519,15.9184,14.9071,15.0721,2544200
2005-01-05,14.8778,15.0401,13.9915,14.255,4584600
2005-01-06,14.255,14.3561,13.9755,14.1964,1736400
2005-01-07,14.2124,14.5344,14.1405,14.2071,1669200
2005-01-10,14.1272,14.2044,13.7733,13.8212,1758200
2005-01-11,13.6482,13.6854,13.0813,13.1105,3312800
2005-01-12,13.2942,13.6029,13.0094,13.406,4794000
2005-01-13,13.5178,13.9729,13.3634,13.7759,3866800
2005-01-14,13.8877,14.058,13.6535,13.9915,1618600
2005-01-18,14.058,14.2896,13.9676,14.2284,1287600
2005-01-19,14.2896,14.2896,13.7866,13.925,1445600
2005-01-20,13.925,13.925,13.4166,13.6349,1742800
2005-01-21,13.6349,13.9463,13.3607,13.3953,1771200
2005-01-24,13.4911,13.8371,13.2729,13.3581,1531200
2005-01-25,13.414,13.7041,13.2436,13.4219,925400
2005-01-26,13.5178,13.72,13.3873,13.6349,835400
2005-01-27,13.6402,13.6402,13.3075,13.6242,928400
2005-01-28,13.6402,13.6907,13.3554,13.5657,1646200
2005-01-31,14.1059,15.2504,14.0767,14.6382,4475200
2005-02-01,14.7926,14.9177,14.5265,14.6862,1546400
2005-02-02,14.5664,15.3941,14.5584,15.3755,2021600
2005-02-03,15.3036,15.4021,15.0827,15.3462,1101000
2005-02-04,15.3569,15.4101,15.0375,15.1599,1173800
2005-02-07,15.2557,15.3116,14.8671,14.9683,952200
2005-02-08,15.0508,15.3835,14.8618,15.2291,1716800
2005-02-09,15.4553,15.7561,14.2523,14.593,5024200
2005-02-10,14.6675,14.8645,14.3721,14.5185,2021600
2005-02-11,14.444,14.7048,14.239,14.6915,977600
2005-02-14,14.6995,14.8325,14.4253,14.6888,1353800
2005-02-15,14.7021,14.8086,14.4386,14.6303,1000000
2005-02-16,14.6196,14.7633,14.5957,14.6862,496400
2005-02-17,14.6409,14.7713,14.585,14.6382,911800
2005-02-18,14.5877,14.6569,14.066,14.1592,1571800
2005-02-22,13.9862,14.074,13.587,13.6083,1967000
2005-02-23,13.6242,13.7866,13.4432,13.6029,1251200
2005-02-24,13.5603,13.7653,13.4033,13.6322,1068800
