date,open,high,low,close,volume
2005-01-03,75.6961,75.9486,75.292,75.7321,4225300
2005-01-04,75.6238,75.9125,74.9816,75.2414,5154200
2005-01-05,74.8662,75.7538,74.7435,74.9023,3649300
2005-01-06,75.0177,75.9486,74.9817,75.9342,3590100
2005-01-07,75.9341,76.1001,75.3352,75.6094,3075000
2005-01-10,75.2486,76.0785,75.2414,75.7538,2686200
2005-01-11,75.0827,75.5373,74.6136,75.1693,3132600
2005-01-12,75.1187,75.2342,73.8992,74.5198,3975800
2005-01-13,74.1807,75.0177,74.1662,74.2817,3256300
2005-01-14,74.3971,75.2991,74.2817,75.2053,2794400
2005-01-18,74.7579,75.8981,74.7291,75.7682,3224800
2005-01-19,75.2848,75.5662,74.9095,75.0899,3550400
2005-01-20,74.6858,74.8806,74.2384,74.6136,3252100
2005-01-21,74.6498,75.6191,74.3532,74.7438,4581000
2005-01-24,74.7438,75.6191,74.534,74.6787,3895400
2005-01-25,75.3008,75.7348,74.223,74.4038,3365000
2005-01-26,74.6353,74.8812,73.6299,74.6932,3979900
2005-01-27,74.7728,75.4744,74.5124,75.2285,3479100
2005-01-28,75.6987,77.1888,75.2285,76.762,5854200
2005-01-31,77.6734,78.1002,77.5071,78.0134,3826500
2005-02-01,77.8687,78.8018,77.6155,78.4112,3369200
2005-02-02,78.2304,78.8235,78.1147,78.5487,2858400
2005-02-03,78.4112,78.8018,78.2665,78.6571,2933200
2005-02-04,78.6571,79.8073,78.6354,79.583,3726700
2005-02-07,79.583,79.7205,79.0839,79.272,2684800
2005-02-08,79.5469,80.9646,79.5035,80.6898,4222400
2005-02-09,81.0153,81.9918,80.5451,80.6175,4589600
2005-02-10,80.8706,81.7242,80.8344,81.5723,3585900
2005-02-11,81.5795,82.4113,81.0659,81.5723,3942900
2005-02-14,81.5795,82.0135,80.7911,80.9936,2267900
2005-02-15,81.3769,81.876,81.1961,81.5288,2459000
2005-02-16,81.2684,81.4637,80.7332,81.2106,2228800
2005-02-17,81.4493,81.6012,79.9592,80.0026,2349400
2005-02-18,80.0387,80.1472,78.5559,78.8452,3331900
2005-02-22,78.158,79.0333,77.7746,78.0206,2515000
2005-02-23,78.5703,79.1418,78.2448,78.9248,2764100
2005-02-24,78.5921,78.9971,78.2159,78.4836,1995900
2005-02-25,78.6499,79.7494,78.5053,79.6409,2222200
2005-02-28,79.5685,79.6481,78.375,78.7005,2650000
2005-03-01,78.404,80.1183,78.404,79.583,2504400
2005-03-02,79.0261,80.5234,79.0044,79.3733,2217100
2005-03-03,79.8579,80.1907,78.8452,79.1418,2061300
2005-03-04,79.7132,81.6156,79.5903,80.6753,3103600
2005-03-07,80.9791,81.8254,80.6753,81.594,2543300
