date,open,high,low,close,volume
2005-01-03,46.9907,47.3086,45.818,45.9876,360300
2005-01-04,46.3055,46.3055,44.822,45.2105,379600
2005-01-05,45.2812,45.5637,44.5041,44.5465,518400
2005-01-06,44.5041,44.716,44.0803,44.1792,548400
2005-01-07,44.3487,44.3487,43.6917,43.8118,512900
2005-01-10,43.9743,44.165,43.607,43.6988,667800
2005-01-11,43.6988,43.8683,43.3597,43.7412,616300
2005-01-12,43.7624,43.8754,43.4798,43.8259,608300
2005-01-13,43.7624,43.7977,43.1478,43.1478,380500
2005-01-14,43.3244,44.3487,43.3103,44.2922,438400
2005-01-18,44.1156,44.6242,43.7977,44.4617,395900
2005-01-19,44.3204,44.5253,43.9814,43.9884,254600
2005-01-20,43.946,43.946,43.2891,43.5222,255400
2005-01-21,43.5222,43.7482,42.8794,42.9571,321500
2005-01-24,43.056,43.1266,42.3919,42.399,295300
2005-01-25,42.5615,42.8794,42.3566,42.4484,274700
2005-01-26,42.3778,42.9147,42.286,42.6674,366800
2005-01-27,42.8087,43.4445,42.6674,42.8723,576700
2005-01-28,42.8793,42.8864,42.2789,42.512,544000
2005-01-31,42.9147,43.3173,42.6957,43.2396,495600
2005-02-01,43.2396,43.7271,43.0206,43.6282,465100
2005-02-02,43.7906,43.9743,43.4798,43.9248,620500
2005-02-03,43.9248,44.1304,43.6414,44.0099,253000
2005-02-04,44.0808,45.2005,44.0524,45.1651,695100
2005-02-07,44.7895,45.2643,44.7753,45.2147,437800
2005-02-08,45.2855,45.2926,44.7257,44.9312,260300
2005-02-09,44.9666,45.002,44.4351,44.4918,219500
2005-02-10,44.4705,45.0304,44.0949,44.832,467900
2005-02-11,44.8603,45.2572,44.7186,44.9383,353200
2005-02-14,45.0729,45.2076,44.754,44.9029,266300
2005-02-15,44.7894,44.8603,44.4422,44.5485,398400
2005-02-16,44.5414,44.5414,44.1871,44.2509,405600
2005-02-17,44.2721,44.3642,43.5847,43.8327,378200
2005-02-18,43.8327,44.0028,43.4855,43.4996,426000
2005-02-22,43.3225,43.7548,43.0177,43.0177,488800
2005-02-23,43.124,43.6768,43.0886,43.5138,320200
2005-02-24,43.4429,44.18,43.0886,44.1233,466700
2005-02-25,44.3005,44.8249,43.8327,44.7895,487400
2005-02-28,44.8603,45.6824,44.4918,44.4918,697800
2005-03-01,44.6477,45.2856,44.5556,44.8036,381400
2005-03-02,44.8036,45.1013,44.5414,45.1013,319800
2005-03-03,45.1296,45.1367,44.5768,44.8249,225900
2005-03-04,44.9241,45.8879,44.7186,45.8596,353300
2005-03-07,45.7107,46.3698,45.6541,46.3698,445400
2005-03-08,46.136,46.3273,45.8525,46.136,603500
2005-03-09,46.0651,46.384,45.8596,46.1856,486800
2005-03-10,46.136,46.4053,45.9375,46.0651,563900
2005-03-11,46.2423,46.8234,46.0651,46.788,678400
2005-03-14,46.7738,47.6597,46.2352,46.6462,897100
2005-03-15,46.6533,46.7454,45.9659,46.0651,425800
2005-03-16,45.8879,46.0155,44.8249,45.1863,548500
2005-03-17,45.406,45.406,44.8958,45.2856,423000
2005-03-18,45.1438,45.8738,45.0304,45.6044,769600
2005-03-21,45.5619,45.5619,45.0588,45.2572,339800
2005-03-22,45.2147,45.6541,45.0021,45.0375,251800
2005-03-23,45.1438,45.5052,44.6831,44.8745,412800
2005-03-24,45.2855,45.2855,44.6973,44.8887,375200
2005-03-28,44.9383,45.2714,44.0808,44.0949,630400
2005-03-29,44.102,44.2863,43.7902,43.861,490800
2005-03-30,43.8327,44.2579,43.6768,43.9674,431600
2005-03-31,44.0666,44.5414,43.8256,44.1304,282000
2005-04-01,44.4705,44.917,44.3288,44.3784,329800
2005-04-04,44.2863,44.3217,43.8044,44.1587,255400
2005-04-05,44.1658,44.4493,44.1445,44.2934,203000
2005-04-06,44.3217,44.5414,43.8823,44.0312,259400
2005-04-07,44.1233,44.3997,43.9886,44.2367,230800
2005-04-08,44.0595,44.1871,43.8044,43.8823,225200
2005-04-11,43.8894,43.9107,43.2587,43.3012,324200
2005-04-12,43.3366,44.428,42.9114,43.7689,481300
2005-04-13,43.7689,43.8398,43.0673,43.1807,371000
2005-04-14,43.039,43.1594,42.0397,42.3374,717800
2005-04-15,42.3374,42.3445,38.9923,39.1553,2841900
2005-04-18,39.1199,39.5168,38.0498,38.3262,1056600
2005-04-19,38.4821,39.1553,38.4821,39.0278,861600
2005-04-20,39.1482,39.1908,37.9293,37.9789,763400
2005-04-21,38.3403,39.1482,38.1632,38.9781,948200
2005-04-22,38.9427,38.9427,38.2269,38.4112,682000
2005-04-25,38.4466,38.638,38.2766,38.4466,712400
2005-04-26,38.0923,38.3616,37.0576,37.0576,886600
2005-04-27,37.0576,38.7656,36.6041,38.6805,1009800
2005-04-28,38.4466,39.0278,38.3403,38.6309,843800
2005-04-29,38.7585,39.3254,38.5671,39.1837,713200
2005-05-02,39.2687,39.616,39.0703,39.4105,490400
2005-05-03,39.2333,39.3963,38.553,38.9144,559800
2005-05-04,39.2617,39.7932,38.8648,39.7932,723200
2005-05-05,39.6508,39.8217,39.4302,39.6793,464000
2005-05-06,39.8572,40.3554,39.7789,40.0992,361600
2005-05-09,40.1419,40.1419,39.5084,39.7149,596200
2005-05-10,39.5369,39.8003,39.2451,39.5369,445600
2005-05-11,39.4658,39.907,39.359,39.8786,319200
2005-05-12,39.9569,40.0565,38.5405,38.7825,592200
2005-05-13,38.7683,38.932,37.8501,38.3199,465300
2005-05-16,38.0779,39.3163,37.8644,39.0743,766200
2005-05-17,38.932,39.0814,38.4907,39.0387,574100
2005-05-18,38.9675,39.8501,38.6117,39.5298,742400
2005-05-19,39.3946,39.5725,38.7113,38.754,996000
2005-05-20,38.7185,38.7683,38.2416,38.4836,1241100
2005-05-23,38.5619,38.8465,38.4337,38.7327,690800
2005-05-24,38.8466,38.8608,38.4338,38.8323,628600
2005-05-25,38.7683,38.8181,38.5263,38.6117,657500
2005-05-26,38.633,38.9177,38.5405,38.754,866400
2005-05-27,38.7113,39.1028,38.6615,38.9818,300100
2005-05-31,38.8394,38.9533,38.6473,38.7113,509800
2005-06-01,38.5263,39.0672,38.4622,38.9889,425100
2005-06-02,38.811,38.9533,38.5761,38.8039,373600
2005-06-03,38.8181,38.9604,38.6544,38.8394,497400
2005-06-06,38.754,38.8465,38.1846,38.4337,631900
2005-06-07,38.3626,38.8679,38.2273,38.5761,457400
2005-06-08,38.7398,38.9604,38.7185,38.8323,671100
2005-06-09,38.8964,38.932,38.7398,38.8039,730200
2005-06-10,38.754,38.8964,38.6473,38.7896,380200
2005-06-13,38.754,39.2309,38.512,38.8821,497200
2005-06-14,38.9889,39.2736,38.7754,39.2594,585000
2005-06-15,39.4302,39.6366,39.1455,39.4302,526600
2005-06-16,39.4586,39.5583,39.117,39.1668,315100
2005-06-17,39.4658,39.8999,39.4658,39.8999,524200
2005-06-20,39.8572,40.0565,39.7576,39.9924,385700
2005-06-21,40.0565,40.27,39.8572,39.964,567800
2005-06-22,40.1419,40.3127,39.8216,39.8786,347600
2005-06-23,39.9497,39.9497,39.3804,39.5156,328800
2005-06-24,39.3732,39.9213,38.5974,38.8394,483100
2005-06-27,38.7896,38.9035,38.2914,38.6117,409400
2005-06-28,38.7611,39.2167,38.6188,38.9391,327400
2005-06-29,38.9248,39.3092,38.7967,39.2309,320200
2005-06-30,39.4444,39.4658,38.7398,38.996,361700
2005-07-01,39.0672,39.5014,39.0031,39.4231,340900
2005-07-05,39.1241,39.3875,38.7896,39.2166,381100
2005-07-06,39.2238,39.4302,38.4836,38.6117,267700
2005-07-07,38.0067,38.7896,37.7932,38.6971,300900
2005-07-08,38.7042,39.786,38.5263,39.6437,434600
2005-07-11,39.4658,39.8572,39.4302,39.786,311400
2005-07-12,39.7505,39.7505,38.8537,39.1668,421100
2005-07-13,39.5369,40.69,39.5369,40.69,730400
2005-07-14,41.1383,41.1383,40.3127,40.7469,482400
2005-07-15,43.7718,44.8038,43.0671,43.8145,2493300
2005-07-18,44.6614,46.0351,44.6614,45.3162,1574200
2005-07-19,45.4443,45.5796,44.512,44.512,837700
2005-07-20,44.455,44.6899,43.9497,44.6543,563500
2005-07-21,44.7824,44.8394,44.149,44.2202,428300
2005-07-22,44.3411,44.6543,44.1561,44.4337,393300
2005-07-25,44.2202,44.4693,43.8572,44.0066,417000
2005-07-26,44.0636,44.3411,43.9354,44.1134,324000
2005-07-27,44.2344,44.512,44.0209,44.455,391700
2005-07-28,44.4123,44.6757,44.3056,44.4977,470300
2005-07-29,44.391,44.4906,44.0707,44.3554,518700
2005-08-01,44.2842,44.3483,43.8501,44.0138,439900
2005-08-02,44.1419,44.5547,44.0066,44.391,364000
2005-08-03,44.27,44.391,43.8714,44.3269,513100
2005-08-04,44.3126,44.477,44.084,44.3341,398500
2005-08-05,44.0483,44.3341,44.0125,44.2983,407800
2005-08-08,44.477,44.6556,43.984,44.3841,319100
2005-08-09,44.5627,44.777,44.2412,44.3698,251400
2005-08-10,44.5484,45.2986,44.5484,44.8914,487200
2005-08-11,44.9628,45.7773,44.9628,45.7773,460600
2005-08-12,45.7559,45.7702,45.2772,45.4844,348100
2005-08-15,45.563,45.7916,45.3772,45.7273,240300
2005-08-16,45.4487,45.4701,44.5413,44.6056,541000
2005-08-17,44.5127,44.8628,44.5127,44.6199,535400
2005-08-18,44.6198,44.6341,44.2983,44.5055,288000
2005-08-19,44.8699,44.8699,44.4698,44.527,293500
2005-08-22,44.4698,44.777,44.2983,44.4198,619300
2005-08-23,44.5627,44.6842,44.2626,44.4555,616800
2005-08-24,44.2983,44.3698,43.8553,43.9697,670700
2005-08-25,44.2269,44.3841,43.984,44.2698,557200
2005-08-26,44.284,44.8842,44.0768,44.6056,515900
2005-08-29,44.4412,45.2558,44.4412,45.1914,633200
2005-08-30,45.0128,45.0843,44.3698,44.6413,607900
2005-08-31,45.0843,45.9559,44.7556,45.9559,861500
2005-09-01,46.0846,46.4418,45.8131,46.0846,741000
2005-09-02,46.156,46.1631,45.8702,45.8845,625900
2005-09-06,45.8845,46.4418,45.8845,46.2846,442300
2005-09-07,46.3989,46.3989,45.7702,45.9988,515600
