date,open,high,low,close,volume
2005-01-03,11.6746,11.7077,11.5423,11.6462,1168800
2005-01-04,11.6368,11.7029,11.547,11.5754,1300500
2005-01-05,11.462,11.6368,11.4572,11.4998,1062500
2005-01-06,11.4809,11.5659,11.4809,11.5187,479200
2005-01-07,11.5706,11.5706,11.4005,11.4053,1432000
2005-01-10,11.3628,11.4336,11.3344,11.3675,1125700
2005-01-11,11.3297,11.4289,11.2588,11.3628,679100
2005-01-12,11.2966,11.3769,11.169,11.2541,923800
2005-01-13,11.2777,11.2777,11.084,11.1029,716400
2005-01-14,11.1974,11.1974,11.0273,11.1171,1272100
2005-01-18,11.084,11.2683,11.0509,11.2541,880700
2005-01-19,11.221,11.3108,11.1501,11.1974,555800
2005-01-20,11.0698,11.2588,11.0698,11.2446,743900
2005-01-21,11.032,11.2163,10.8997,11.1501,1185100
2005-01-24,11.0415,11.1123,10.9659,11.0084,1128700
2005-01-25,10.9753,11.1265,10.8383,10.843,1783700
2005-01-26,10.9139,10.9423,10.8289,10.9092,920700
2005-01-27,10.8194,10.9092,10.81,10.9045,923000
2005-01-28,10.8336,10.8525,10.6493,10.758,1165100
2005-01-31,10.8052,10.8667,10.7391,10.8525,680700
2005-02-01,10.8667,11.0037,10.7722,10.8997,944700
2005-02-02,10.8667,10.9612,10.8241,10.895,641500
2005-02-03,10.8808,10.9234,10.7911,10.8241,609600
2005-02-04,10.7627,10.9659,10.7627,10.9375,551700
2005-02-07,10.895,11.0745,10.895,11.0462,733600
2005-02-08,11.0887,11.0934,10.9517,10.9659,475300
2005-02-09,10.9801,11.0084,10.8005,10.8147,676200
2005-02-10,10.8194,10.8808,10.7533,10.8052,670400
2005-02-11,10.8525,10.8714,10.7108,10.8525,480400
2005-02-14,10.7722,10.8619,10.7344,10.8619,264000
2005-02-15,10.8005,10.9659,10.8005,10.9328,708700
2005-02-16,10.9517,10.9517,10.7863,10.81,321000
2005-02-17,10.7485,10.7958,10.6824,10.6824,375500
2005-02-18,10.7816,10.7816,10.621,10.6588,431900
2005-02-22,10.6304,10.6588,10.5359,10.5643,798700
2005-02-23,10.621,10.7108,10.5076,10.5359,858200
2005-02-24,10.5312,10.5737,10.4651,10.5737,611800
2005-02-25,10.5359,10.6446,10.5312,10.5737,530700
2005-02-28,10.5218,10.6871,10.5123,10.6304,805700
2005-03-01,10.6777,11.032,10.6446,10.9186,1873300
2005-03-02,10.9328,10.9612,10.8052,10.8714,782500
2005-03-03,10.843,10.9517,10.7674,10.8903,906700
2005-03-04,10.9612,11.0604,10.9092,10.9848,507700
2005-03-07,10.9942,11.0793,10.9564,10.9895,724700
2005-03-08,10.8667,11.0745,10.8667,11.0698,717400
2005-03-09,11.0462,11.0462,10.843,10.9281,633100
2005-03-10,10.8194,11.0604,10.8194,11.0226,714400
2005-03-11,11.032,11.1029,10.8383,10.8808,677500
2005-03-14,10.9281,11.1029,10.8903,11.0462,491400
2005-03-15,11.0319,11.132,10.9652,11.0128,567100
2005-03-16,10.9747,11.0367,10.9604,11.0081,918500
2005-03-17,11.0081,11.0414,10.9604,11.0081,640000
2005-03-18,10.989,11.0653,10.9557,11.0319,1400000
2005-03-21,11.0128,11.0271,10.8842,10.97,890400
2005-03-22,10.9223,11.0033,10.7936,10.8461,840600
2005-03-23,10.8746,10.8842,10.7746,10.8127,840600
2005-03-24,10.8318,10.8794,10.7126,10.7222,619300
2005-03-28,10.7412,10.8461,10.7412,10.7507,539100
2005-03-29,11.0796,11.1272,10.8699,10.9795,1661900
2005-03-30,11.0081,11.2463,10.908,11.2416,1141200
2005-03-31,11.2416,11.3988,11.1987,11.3893,1288900
2005-04-01,11.294,11.4608,11.0605,11.1224,1910400
2005-04-04,11.1558,11.1987,11.0224,11.1558,613900
2005-04-05,11.1939,11.2845,11.1701,11.1987,459500
2005-04-06,11.2606,11.3655,11.2225,11.2797,440400
2005-04-07,11.2606,11.4036,11.2321,11.3321,450500
2005-04-08,11.375,11.3941,11.2511,11.2797,549200
