date,open,high,low,close,volume
2015-10-19,8.1296,8.1296,7.2419,7.2727,2721233
2015-10-20,7.1409,7.4397,7.1409,7.4133,1220907
2015-10-21,7.5803,7.6243,7.2068,7.2419,135236
2015-10-22,7.343,7.4924,7.1365,7.4485,189261
2015-10-23,7.5803,7.5803,7.4045,7.4705,103061
2015-10-26,7.5188,7.5188,7.1672,7.2156,885743
2015-10-27,7.2771,7.3606,6.8552,6.9124,1094274
2015-10-28,6.9871,7.1848,6.9629,7.1541,509801
2015-10-29,7.0354,7.1497,6.8333,7.009,499650
2015-10-30,6.9871,7.075,6.4685,6.4685,4214161
2015-11-02,6.5872,6.6663,6.0906,6.3675,70312635
2015-11-03,6.1829,6.4641,6.0093,6.3103,69176379
2015-11-04,6.3235,6.3763,5.9808,6.0027,54241942
2015-11-05,5.9939,6.1038,5.7654,5.8357,38180025
2015-11-06,5.7918,6.3631,5.7786,6.3279,51702744
2015-11-09,6.2664,6.3631,6.2093,6.24,30158099
2015-11-10,6.2093,6.3455,6.1565,6.3323,25426050
2015-11-11,6.24,6.2884,6.1917,6.2005,18942302
2015-11-12,6.0686,6.073,5.972,6.0203,35050675
2015-11-13,5.9808,6.0467,5.7786,5.8841,25678456
2015-11-16,5.8753,5.9808,5.7742,5.8797,23712203
2015-11-17,5.8797,5.928,5.7654,5.8094,21370697
2015-11-18,5.9236,6.0335,5.7958,5.9939,22402515
2015-11-19,5.9456,6.1038,5.9412,6.0555,22662319
2015-11-20,6.0555,6.429,6.0115,6.2444,31932509
2015-11-23,6.2268,6.2444,5.9632,6.0862,26354291
2015-11-24,5.9676,6.1631,5.9324,6.0159,41484183
2015-11-25,6.1126,6.5301,6.0818,6.2049,39017248
2015-11-27,6.2049,6.4334,6.1741,6.3059,10395090
2015-11-30,6.2532,6.5916,6.2312,6.5301,50075613
2015-12-01,6.5388,6.9783,6.5257,6.8596,43197341
2015-12-02,6.7542,6.8289,6.5345,6.5696,21818558
2015-12-03,6.5916,6.741,6.407,6.4246,32527478
2015-12-04,6.3235,6.7212,6.2576,6.6883,20648579
2015-12-07,6.6155,6.8272,6.5802,6.814,16424439
2015-12-08,6.6552,6.7434,6.4479,6.6905,19988745
2015-12-09,6.6111,6.7875,6.4744,6.5493,24538415
2015-12-10,6.5229,6.5317,6.4082,6.492,19528668
2015-12-11,6.6111,6.7919,6.2362,6.2538,18265779
2015-12-14,6.3068,6.395,6.1392,6.3685,19834755
2015-12-15,6.3994,6.6067,6.3884,6.4214,22175746
2015-12-16,6.4479,6.5317,6.417,6.4832,13490889
2015-12-17,6.4435,6.492,6.2715,6.3112,13118732
2015-12-18,6.2935,6.3443,6.1745,6.245,33271447
2015-12-21,6.2274,6.3509,6.1171,6.1833,16970372
2015-12-22,6.1921,6.2362,6.1392,6.2009,12547163
2015-12-23,6.2582,6.6023,6.1965,6.5758,19359710
2015-12-24,6.5317,6.6905,6.5229,6.6243,3748234
2015-12-28,6.567,6.739,6.5361,6.7169,10203937
2015-12-29,6.7434,6.8082,6.6949,6.7037,10797873
2015-12-30,6.7434,6.8272,6.6816,6.739,10796841
2015-12-31,6.7169,6.7522,6.6596,6.7037,11644903
2016-01-04,6.6023,6.6816,6.5008,6.6728,25940497
2016-01-05,6.6728,6.7257,6.589,6.6287,17770259
2016-01-06,6.4479,6.6155,6.3994,6.5273,19468277
2016-01-07,6.395,6.4214,6.0201,6.0466,34143941
2016-01-08,6.073,6.1833,5.8701,5.9716,28272024
2016-01-11,5.9231,6.0466,5.7643,5.8481,25998996
2016-01-12,5.8878,5.9187,5.7731,5.8481,21435562
2016-01-13,5.8878,5.8878,5.5261,5.6232,30489650
2016-01-14,5.6232,5.8084,5.5791,5.7334,22973740
2016-01-15,5.557,5.6452,5.5085,5.5305,33945733
2016-01-19,5.5923,5.6364,5.3806,5.4335,22239750
2016-01-20,5.2924,5.3806,5.127,5.3189,28630244
2016-01-21,5.2924,5.5305,5.213,5.4732,28784234
2016-01-22,5.6011,5.9231,5.5791,5.8878,26272736
2016-01-25,5.8613,5.976,5.7863,5.8834,19241679
2016-01-26,5.8878,6.0532,5.8878,5.998,18454869
2016-01-27,5.9672,6.0025,5.7136,5.9054,31803640
2016-01-28,5.9319,6.0421,5.7643,5.8172,16989470
2016-01-29,5.9142,6.1215,5.8878,6.0686,19548799
2016-02-01,6.0289,6.1215,5.9672,6.0818,16430633
2016-02-02,6.0421,6.1612,5.8922,5.9319,16650692
2016-02-03,6.0245,6.073,5.7819,5.8966,12995369
2016-02-04,5.8701,6.1259,5.8701,6.1083,11182073
2016-02-05,6.0377,6.0642,5.7489,5.8216,22759014
2016-02-08,5.7334,5.7555,5.4556,5.5173,25491603
2016-02-09,5.4556,5.6717,5.4291,5.6099,11504506
2016-02-10,5.632,5.7643,5.6055,5.6717,10292717
2016-02-11,5.5438,5.5879,5.299,5.4688,16920476
2016-02-12,5.5129,5.6408,5.3718,5.4203,18150846
2016-02-16,5.4732,5.5085,5.4115,5.4379,20606942
2016-02-17,5.4644,5.7952,5.4556,5.7422,14910693
2016-02-18,5.7555,6.0421,5.7422,5.9672,20189190
2016-02-19,5.9583,6.0598,5.8437,6.0289,16198014
2016-02-22,6.0642,6.1215,5.9848,6.0862,18505625
2016-02-23,6.051,6.0951,5.6629,5.7731,25201001
2016-02-24,5.7334,5.9848,5.654,5.9672,22757638
2016-02-25,5.9319,6.0466,5.8393,6.0333,20784159
2016-02-26,6.0774,6.0862,5.7996,5.9275,18624516
2016-02-29,5.8701,5.9451,5.8216,5.8525,21932459
2016-03-01,5.9187,5.9407,5.7731,5.8569,14373879
2016-03-02,5.901,6.1965,5.8878,6.1303,17234305
2016-03-03,6.1348,6.1524,5.8569,5.998,17256500
2016-03-04,6.5714,6.986,6.5361,6.8095,57415854
2016-03-07,6.6967,7.0773,6.6657,7.0685,31792800
2016-03-08,6.9711,6.9888,6.7299,6.7409,21215331
2016-03-09,6.7896,7.0087,6.7719,6.856,19045536
2016-03-10,6.8826,7.1747,6.8693,7.0375,24578332
2016-03-11,7.0817,7.2765,7.0817,7.2278,26984531
2016-03-14,7.1703,7.334,7.0994,7.2632,16641917
2016-03-15,7.2411,7.4712,7.1924,7.4226,23974588
2016-03-16,7.396,7.6262,7.3473,7.6084,21531053
2016-03-17,7.5819,7.6704,7.5066,7.5952,18699360
2016-03-18,7.5996,7.7811,7.5598,7.6704,53273441
2016-03-21,7.6704,7.9404,7.6571,7.8386,18463127
2016-03-22,7.7058,8.0024,7.6748,7.7501,19474127
2016-03-23,7.7545,7.7766,7.5642,7.728,19674400
2016-03-24,7.7058,7.8076,7.573,7.7766,15261342
2016-03-28,7.7368,7.8187,7.6217,7.7501,9518639
2016-03-29,7.6881,7.8253,7.6217,7.8121,10197054
2016-03-30,7.843,7.9293,7.8032,7.9183,18156352
2016-03-31,7.8961,7.9493,7.7501,7.8475,17876245
2016-04-01,7.7943,8.2082,7.7722,8.144,25550102
2016-04-04,8.1661,8.1661,7.936,7.9847,13191512
2016-04-05,7.9094,7.9271,7.7722,7.7943,14280625
2016-04-06,7.812,7.9581,7.728,7.9493,17879858
2016-04-07,7.874,7.9847,7.801,7.8519,16196809
2016-04-08,7.9006,8.0975,7.8829,7.9183,12525312
2016-04-11,7.9448,7.9935,7.8165,7.8475,10114296
2016-04-12,7.8386,7.8607,7.604,7.6306,15120085
2016-04-13,7.6527,7.7501,7.5907,7.7457,14182897
2016-04-14,7.6837,7.7014,7.5509,7.6394,11503990
2016-04-15,7.7058,7.7368,7.458,7.7014,20409250
2016-04-18,7.6173,7.739,7.5863,7.7191,9740935
2016-04-19,7.728,7.7368,7.5907,7.6306,11079872
2016-04-20,7.5553,7.7457,7.5553,7.7014,9360003
2016-04-21,7.6748,7.8519,7.666,7.728,10272415
2016-04-22,7.7191,7.8342,7.6704,7.7412,13692194
2016-04-25,7.6837,7.7058,7.4447,7.6173,10051667
2016-04-26,7.635,7.7302,7.6262,7.6837,10813874
2016-04-27,7.6571,7.7545,7.635,7.6616,10948938
2016-04-28,7.5996,7.6948,7.4889,7.5376,8237340
2016-04-29,7.4757,7.4845,7.3075,7.3739,12195481
2016-05-02,7.3739,7.4137,7.2057,7.2588,14557979
2016-05-03,7.1835,7.1924,6.9844,7.0508,19039170
2016-05-04,6.9932,7.0817,6.9401,7.0508,11420887
2016-05-05,7.0596,7.0685,6.9224,6.9578,6054985
2016-05-06,6.918,7.0198,6.887,6.9844,8574569
2016-05-09,6.9534,7.064,6.9357,7.0198,8505230
2016-05-10,7.0331,7.0375,6.9091,7.0331,8192777
2016-05-11,7.0331,7.2389,7.0286,7.0906,11132349
2016-05-12,7.1216,7.1437,7.0171,7.0375,9321807
2016-05-13,7.0375,7.1326,6.9445,6.9799,11680863
2016-05-16,6.9755,7.1238,6.9534,7.064,15174282
2016-05-17,7.0286,7.1703,6.9445,7.0021,25107403
2016-05-18,6.9888,7.0508,6.8671,6.9357,11315244
2016-05-19,6.8649,6.9888,6.8073,6.9844,11501753
2016-05-20,6.9755,7.0773,6.9313,7.0242,15455593
2016-05-23,7.0286,7.2012,7.0242,7.1127,14882648
2016-05-24,7.126,7.2322,7.0773,7.1924,21613812
2016-05-25,8.113,8.1883,7.5775,7.6793,75418560
2016-05-26,7.5244,7.8298,7.4535,7.697,37393042
2016-05-27,7.728,8.1174,7.728,8.082,39501412
2016-05-31,7.967,8.175,7.8607,8.175,42932892
2016-06-01,8.1042,8.1352,8.0289,8.0953,21150982
2016-06-02,8.0289,8.2015,8.0112,8.1883,23508489
2016-06-03,8.144,8.1883,8.0909,8.1219,15976234
2016-06-06,8.1152,8.4215,8.1152,8.3905,22094191
2016-06-07,8.3638,8.5436,8.3327,8.5059,24580224
2016-06-08,8.5547,8.7101,8.5236,8.5902,27220419
2016-06-09,8.608,8.7234,8.5814,8.679,16130912
2016-06-10,8.5725,8.5814,8.3905,8.4881,16914282
2016-06-13,8.4393,8.5014,8.2484,8.2573,17458838
2016-06-14,8.1996,8.275,8.0864,8.1285,24700491
2016-06-15,8.1818,8.4615,8.1729,8.3461,20590940
2016-06-16,8.2928,8.3594,8.2462,8.2839,21213266
2016-06-17,8.2528,8.4393,8.2084,8.4082,28631964
2016-06-20,8.5325,8.7057,8.5059,8.6036,27304382
2016-06-21,8.6169,8.8122,8.5503,8.7722,19885684
2016-06-22,8.7279,8.7722,8.5192,8.5281,18191967
2016-06-23,8.5991,8.7412,8.5858,8.7234,17522843
2016-06-24,8.2617,8.4704,8.0397,8.0619,43737768
2016-06-27,7.9909,7.9954,7.5314,7.6358,31383479
2016-06-28,7.7689,7.8045,7.5936,7.7245,23461174
2016-06-29,7.8755,7.951,7.8156,7.8932,14211630
2016-06-30,7.9554,8.2129,7.9376,8.1108,21494405
2016-07-01,8.1996,8.275,8.0575,8.2084,15361995
2016-07-05,8.164,8.1818,7.9643,8.0797,10555274
2016-07-06,7.9909,8.1818,7.9554,8.1685,12498988
2016-07-07,8.1419,8.3061,8.1419,8.1996,10799938
2016-07-08,8.3283,8.4526,8.2462,8.4526,18751493
2016-07-11,8.5014,8.6413,8.497,8.5858,17483786
