date,open,high,low,close,volume
2005-01-03,8.6654,8.6754,8.5101,8.5151,1378616
2005-01-04,8.5101,8.5252,8.4049,8.44,1690378
2005-01-05,8.44,8.44,7.9441,8.1495,2727711
2005-01-06,8.1244,8.2947,8.1244,8.2397,1844727
2005-01-07,8.2296,8.3649,8.1946,8.2797,1264004
2005-01-10,8.2797,8.2847,8.1094,8.1595,1537358
2005-01-11,8.1745,8.2397,8.0193,8.1144,1091677
2005-01-12,8.1144,8.1645,8.0543,8.1445,1269009
2005-01-13,8.1044,8.2647,8.0894,8.1645,1211908
2005-01-14,8.2146,8.3999,8.1445,8.3849,1484648
2005-01-18,8.3799,8.4901,8.2146,8.45,1301493
2005-01-19,8.43,8.5202,8.3599,8.3899,1296181
2005-01-20,8.3599,8.3899,8.2447,8.3298,934877
2005-01-21,8.3448,8.3549,8.2597,8.2747,673271
2005-01-24,8.2697,8.3298,8.1996,8.2897,1305886
2005-01-25,8.2897,8.3448,8.1044,8.1094,1150515
2005-01-26,8.0593,8.0744,7.9491,8.0142,1779964
2005-01-27,8.0142,8.0794,7.9942,8.0142,1051430
2005-01-28,8.0142,8.1144,7.9491,8.1094,909237
2005-01-31,8.1244,8.1645,7.9341,8.0142,2005920
2005-02-01,7.9692,8.0243,7.9692,8.0142,1654524
2005-02-02,8.0543,8.1345,8.0042,8.0393,1260122
2005-02-03,8.0393,8.1395,7.9942,8.0092,934264
2005-02-04,8.0393,8.1395,7.9942,8.1395,1824705
2005-02-07,8.1395,8.1445,8.0593,8.0844,1330095
2005-02-08,8.0393,8.0794,7.9091,7.9391,2196021
2005-02-09,7.9391,8.0293,7.9191,8.0142,2052704
2005-02-10,8.0142,8.0393,7.9942,8.0393,3178295
2005-02-11,8.0243,8.0443,7.9892,8.0142,2092338
2005-02-14,8.0343,8.0794,7.9942,8.0343,1568820
2005-02-15,8.0243,8.0443,7.9742,8.0142,1768829
2005-02-16,7.9892,8.0343,7.9792,8.0243,2979613
2005-02-17,8.0092,8.0643,7.9842,8.0142,2888496
2005-02-18,8.0243,8.0343,7.9141,7.9642,1188413
2005-02-22,7.9892,7.9892,7.7438,7.7588,1817964
2005-02-23,7.8139,7.884,7.7788,7.8389,1550841
2005-02-24,7.9091,8.0042,7.8389,7.899,1915006
2005-02-25,7.9491,8.1896,7.899,8.1545,1969452
2005-02-28,8.1645,8.1846,7.9892,8.0042,1707948
2005-03-01,8.0293,8.3148,8.0293,8.2897,1787829
2005-03-02,8.2897,8.3849,8.1946,8.3198,1079317
2005-03-03,8.3899,8.4801,8.3248,8.455,1901216
2005-03-04,8.455,8.6003,8.45,8.5602,1318246
2005-03-07,8.5602,8.6554,8.4801,8.5402,1101586
2005-03-08,8.5402,8.6404,8.5402,8.6354,1398331
2005-03-09,8.5853,8.5853,8.3599,8.435,1413552
2005-03-10,8.435,8.4851,8.3448,8.4801,895549
2005-03-11,8.4801,8.4901,8.435,8.4701,1089941
2005-03-14,8.4651,8.5853,8.46,8.5702,1078193
2005-03-15,8.5702,8.6203,8.3899,8.435,918431
2005-03-16,8.435,8.455,8.3048,8.3448,763776
2005-03-17,8.3498,8.41,8.3198,8.3599,828437
2005-03-18,8.3298,8.42,8.2096,8.2797,1271257
2005-03-21,8.2797,8.3498,8.2196,8.2647,1172478
2005-03-22,8.2647,8.3148,8.1946,8.2246,1152354
2005-03-23,8.2246,8.3048,8.1795,8.2397,1152354
2005-03-24,8.2346,8.3599,8.2096,8.2547,589201
2005-03-28,8.2547,8.2597,8.1395,8.1395,1072984
2005-03-29,8.1948,8.2653,8.1143,8.1646,1053882
2005-03-30,8.215,8.4566,8.1797,8.4314,1285864
2005-03-31,8.4314,8.4969,8.3056,8.3358,1445014
2005-04-01,8.6529,8.6529,8.225,8.2603,1436331
2005-04-04,8.2099,8.2754,8.1495,8.2552,833033
2005-04-05,8.2502,8.371,8.2049,8.2653,928441
2005-04-06,8.2653,8.3761,8.2301,8.2452,809437
2005-04-07,8.2452,8.366,8.2452,8.3459,742937
2005-04-08,8.3207,8.4163,8.2955,8.3257,819447
2005-04-11,8.3509,8.3861,8.3207,8.3861,420041
2005-04-12,8.3861,8.517,8.3308,8.5069,1968124
2005-04-13,8.4566,8.5472,8.4214,8.4566,1076559
2005-04-14,8.4465,8.512,8.3056,8.3257,1576379
2005-04-15,8.3308,8.4012,8.2301,8.2452,1146838
2005-04-18,8.2452,8.2854,8.0791,8.1898,1981301
2005-04-19,8.1898,8.3056,8.1797,8.3005,1456965
2005-04-20,8.3006,8.3157,8.1848,8.2653,613819
2005-04-21,8.3005,8.4063,8.22,8.2905,645384
2005-04-22,8.2955,8.4314,8.2905,8.3308,1418148
2005-04-25,8.3459,8.4465,8.3459,8.3559,1828791
2005-04-26,8.3559,8.4667,8.3308,8.4314,1498745
2005-04-27,8.3811,8.4818,8.3559,8.4818,1557277
2005-04-28,8.4818,8.4818,8.2502,8.3408,1312628
2005-04-29,8.361,8.4818,8.2804,8.4667,1543282
2005-05-02,8.4415,8.4818,8.1445,8.2401,3024151
2005-05-03,8.2401,8.2955,8.1848,8.2502,1820926
2005-05-04,8.2351,8.3358,8.1948,8.3358,737421
2005-05-05,8.3358,8.4818,8.3106,8.4818,1326826
2005-05-06,8.4818,8.4818,8.3861,8.4214,949484
2005-05-09,8.4415,8.6328,8.3861,8.6328,1988656
2005-05-10,8.6277,8.6328,8.5069,8.5824,938759
2005-05-11,8.5824,8.5824,8.4264,8.5271,917920
2005-05-12,8.5271,8.5623,8.3811,8.4063,1195564
2005-05-13,8.4063,8.4566,8.22,8.225,1695384
2005-05-16,8.225,8.3257,8.225,8.3056,1612131
2005-05-17,8.3056,8.3056,8.2502,8.3056,974409
2005-05-18,8.3056,8.4969,8.3005,8.4868,1268499
2005-05-19,8.4616,8.663,8.4516,8.6277,1726335
2005-05-20,8.6328,8.6378,8.5824,8.6076,607895
2005-05-23,8.6026,8.7334,8.5422,8.7234,1750442
2005-05-24,8.7334,8.7586,8.5371,8.5422,4120629
2005-05-25,8.5824,8.5824,8.3861,8.4063,1551046
2005-05-26,8.3056,8.4918,8.3056,8.371,1219773
2005-05-27,8.4063,8.4415,8.3761,8.4214,823023
2005-05-31,8.4214,8.4767,8.3912,8.4314,1521116
2005-06-01,8.3811,8.5271,8.3811,8.4969,2469783
2005-06-02,8.4918,8.5824,8.4415,8.5724,1424584
2005-06-03,8.673,8.7032,8.517,8.517,1691808
2005-06-06,8.5573,8.6277,8.522,8.5724,1555438
2005-06-07,8.6126,8.6328,8.5472,8.5824,1120177
2005-06-08,8.6579,8.6881,8.6026,8.6277,2014602
2005-06-09,8.6277,8.6328,8.5774,8.6076,1049489
2005-06-10,8.6076,8.6529,8.5724,8.6126,604626
2005-06-13,8.5824,8.7939,8.5623,8.7636,1388525
2005-06-14,8.7636,8.7989,8.7334,8.7687,1507632
2005-06-15,8.7687,8.7989,8.7485,8.7787,1551454
2005-06-16,8.8089,8.8794,8.7183,8.7787,2838953
2005-06-17,8.8492,8.9348,8.7787,8.8442,2253531
2005-06-20,8.8492,8.9751,8.8241,8.8694,1286375
2005-06-21,8.9348,8.9751,8.809,8.8341,2539245
2005-06-22,8.9096,8.96,8.8996,8.9197,1606309
2005-06-23,8.9449,8.9549,8.8291,8.8643,2731797
2005-06-24,8.8341,8.9298,8.8241,8.8291,2395111
2005-06-27,8.8241,8.8543,8.7586,8.7838,1010672
2005-06-28,8.8648,8.8699,8.8091,8.8142,1385971
2005-06-29,8.8597,8.9711,8.8344,8.8445,962968
2005-06-30,8.8597,8.9154,8.8294,8.8597,1228354
2005-07-01,8.9104,9.0116,8.8749,8.9964,1810098
2005-07-05,9.0065,9.128,8.9509,9.123,1989371
2005-07-06,9.1736,9.1837,9.0724,9.0825,1846872
2005-07-07,8.9863,9.0876,8.9255,9.0673,1421417
2005-07-08,9.0673,9.1534,9.042,9.0724,2297864
2005-07-11,9.1179,9.1837,9.1027,9.1635,1811222
2005-07-12,9.1635,9.285,9.128,9.2192,1344907
2005-07-13,9.1939,9.2141,9.1129,9.1787,2871743
2005-07-14,9.2141,9.2394,8.966,8.966,1684556
2005-07-15,8.961,9.0065,8.9002,9.0015,1397412
2005-07-18,9.0015,9.128,8.9914,9.0369,3359611
2005-07-19,9.0926,9.1331,9.0673,9.1027,1860458
2005-07-20,9.0977,9.3255,9.0977,9.3204,2199596
2005-07-21,9.3559,9.3559,9.1787,9.2698,2765711
