date,open,high,low,close,volume
2005-01-03,33.3674,33.4459,32.7518,32.8062,750900
2005-01-04,32.7518,33.1864,32.7458,33.1562,724600
2005-01-05,33.1562,33.1562,32.3535,32.3535,778300
2005-01-06,32.3595,32.3595,32.0759,32.2932,779700
2005-01-07,32.444,32.6251,32.1725,32.5949,418000
2005-01-10,32.5285,32.8846,32.4923,32.6975,432300
2005-01-11,32.6975,33.1562,32.5648,32.9812,557500
2005-01-12,32.9208,33.0717,32.6854,33.0174,613800
2005-01-13,32.9208,33.1079,32.6794,32.7277,389200
2005-01-14,32.8786,33.1924,32.8424,33.0958,512000
2005-01-18,33.0958,33.6993,32.782,33.6812,669500
2005-01-19,33.6933,34.0373,33.6571,33.7838,825000
2005-01-20,33.7355,34.0071,33.7114,33.9166,631900
2005-01-21,33.9166,33.9226,33.651,33.7355,458500
2005-01-24,33.7355,33.82,33.2829,33.3734,845100
2005-01-25,33.5605,34.2063,33.5304,33.9287,876900
2005-01-26,34.0976,34.8399,34.0373,34.3149,1280500
2005-01-27,34.3934,35.1175,34.3692,35.1175,1253100
2005-01-28,34.3994,35.2382,34.3994,34.9787,1115000
2005-01-31,35.0632,35.3046,34.9305,35.2986,875600
2005-02-01,35.2745,35.7512,35.1839,35.7512,1325900
2005-02-02,35.7331,36.0831,35.6064,36.0107,827800
2005-02-03,35.9081,36.1797,35.7512,36.1254,951400
2005-02-04,36.1495,36.3608,36.1133,36.3608,1266000
2005-02-07,36.2401,36.6927,36.2401,36.5177,834700
2005-02-08,36.5176,36.8254,36.5176,36.7168,972400
2005-02-09,36.6022,36.922,36.3487,36.3909,888500
2005-02-10,36.4211,36.9703,36.4211,36.8134,740200
2005-02-11,36.7229,37.272,36.7229,36.9582,1224900
2005-02-14,36.8435,37.3807,36.8435,37.2358,1055800
2005-02-15,37.2419,37.6522,37.2419,37.61,939800
2005-02-16,37.61,37.7669,37.3384,37.3626,869900
2005-02-17,37.3264,37.5074,37.1332,37.1332,861500
2005-02-18,37.1936,37.429,37.1634,37.1815,557900
2005-02-22,37.266,37.5919,37.2479,37.3324,1298000
2005-02-23,37.5565,37.5807,37.1446,37.1749,1213000
2005-02-24,37.181,37.7139,37.1386,37.6352,1053600
2005-02-25,37.5504,38.1137,37.5444,37.9259,946300
2005-02-28,37.7927,38.2893,37.7927,38.1561,1100900
2005-03-01,38.1561,38.683,38.1561,38.6527,960800
2005-03-02,38.5861,38.9192,38.3256,38.4771,824000
2005-03-03,38.6285,38.895,38.5013,38.7738,706900
2005-03-04,39.0948,39.1978,38.8586,39.0161,641100
2005-03-07,38.8829,39.0282,38.6527,38.9131,864800
2005-03-08,38.9131,38.9252,38.5679,38.5982,1026800
2005-03-09,38.5195,38.8102,38.3014,38.5134,885200
2005-03-10,38.6527,38.8041,38.2833,38.5195,746700
2005-03-11,38.6406,38.6467,37.5625,37.8411,1857800
2005-03-14,37.8411,37.9017,37.6958,37.7745,965900
2005-03-15,37.8411,37.8532,37.4898,37.6655,1284600
2005-03-16,37.6655,37.7382,37.4717,37.4899,894900
2005-03-17,37.5383,38.0471,37.4596,37.8048,711400
2005-03-18,37.7927,38.1318,37.4172,37.4172,3079200
2005-03-21,37.1022,37.2839,36.7934,37.1022,1218200
2005-03-22,37.1386,37.3082,37.1022,37.1325,962700
2005-03-23,37.1325,37.1628,36.5935,36.5935,961000
2005-03-24,36.6238,36.751,36.0545,36.4058,1327200
2005-03-28,36.4118,36.8236,35.788,36.436,787800
2005-03-29,36.436,36.6298,36.0363,36.1211,1015600
2005-03-30,36.2664,36.9387,36.1635,36.86,772900
2005-03-31,36.9387,37.0356,36.5814,36.6177,698300
2005-04-01,36.7631,36.7994,36.0908,36.3997,842200
2005-04-04,36.3936,36.4602,35.9757,36.2543,1091400
2005-04-05,36.3512,36.5814,36.1453,36.4481,785000
2005-04-06,36.4481,36.6238,36.2906,36.3815,596400
2005-04-07,36.3815,36.866,36.2119,36.7752,741000
2005-04-08,36.8782,36.8963,36.5572,36.5753,505000
2005-04-11,36.5935,36.8721,36.5814,36.6722,463400
2005-04-12,36.6722,37.2052,36.4057,37.0538,544900
2005-04-13,37.0901,37.2839,36.9508,37.2779,1046000
2005-04-14,37.399,37.9683,37.29,37.7321,1061400
2005-04-15,37.7018,37.8714,37.1083,37.1083,1096000
2005-04-18,37.0659,37.1991,36.5511,36.9448,641000
2005-04-19,36.8842,37.6291,36.8781,37.4838,836300
2005-04-20,37.2173,37.2718,36.1271,36.2785,739200
2005-04-21,36.3391,36.9084,36.3391,36.8358,686800
2005-04-22,36.8963,39.3371,36.8963,38.2711,2253200
2005-04-25,37.9804,38.9131,37.9259,38.6103,1046200
2005-04-26,38.4589,38.7617,38.362,38.362,739900
2005-04-27,38.2469,38.5861,38.0531,38.5255,656600
2005-04-28,38.2166,38.6103,38.2166,38.4952,948200
2005-04-29,38.3075,38.7617,38.2893,38.7012,825100
2005-05-02,38.58,38.8223,38.3075,38.5861,894700
2005-05-03,38.574,38.9919,38.574,38.8102,631700
2005-05-04,38.8829,39.1736,38.6527,39.0403,558000
2005-05-05,38.895,39.2947,38.8526,39.1554,767100
2005-05-06,39.3553,39.4098,39.0888,39.1554,492000
2005-05-09,39.0343,39.6399,38.9919,39.6399,533300
2005-05-10,39.5794,39.7792,39.3734,39.6096,580800
2005-05-11,39.7005,39.973,39.5067,39.9125,469200
2005-05-12,39.973,40.8028,39.434,40.1971,898700
2005-05-13,40.1547,40.2395,39.7792,40.1245,661200
2005-05-16,39.9791,40.5363,39.9791,40.3667,639100
2005-05-17,39.216,39.6218,38.7738,39.2947,1634600
2005-05-18,39.3068,39.8216,39.0767,39.4279,1056000
2005-05-19,39.4582,39.5733,39.1191,39.4643,797500
2005-05-20,39.5491,39.5854,39.2341,39.3492,965500
2005-05-23,39.2277,39.6227,39.0332,39.4161,573000
2005-05-24,39.3492,39.5315,39.0636,39.1973,695700
2005-05-25,39.0453,39.2277,38.9238,39.1,610100
2005-05-26,39.1365,39.5315,39.1365,39.3127,740700
2005-05-27,39.2581,39.4282,39.0454,39.2338,549800
2005-05-31,39.2884,39.3613,38.8934,39.021,707900
2005-06-01,38.9542,39.6105,38.9542,39.3796,604900
2005-06-02,39.3857,39.4829,39.094,39.4039,485700
2005-06-03,39.4039,39.5012,39.1183,39.2338,519900
2005-06-06,39.331,39.489,39.1669,39.4039,459500
2005-06-07,39.41,39.489,39.2277,39.3127,691600
2005-06-08,39.5011,39.5011,38.9481,39.1851,468700
2005-06-09,39.0757,39.1912,38.7111,38.8874,657200
2005-06-10,38.9238,39.0575,38.626,38.8995,483100
2005-06-13,38.7719,39.1912,38.6078,38.8874,392700
2005-06-14,38.8874,39.2034,38.8387,39.0879,710600
2005-06-15,39.1487,39.3006,38.857,39.2277,809900
2005-06-16,39.3492,39.3917,39.015,39.3188,362000
2005-06-17,39.4647,39.5133,39.2581,39.489,900500
2005-06-20,39.4404,39.6348,39.1973,39.6166,305000
2005-06-21,39.5923,39.6409,39.179,39.252,381800
2005-06-22,39.2337,39.2337,38.2249,38.6443,1051600
2005-06-23,38.6989,38.705,37.4653,37.9272,1138200
2005-06-24,37.8603,37.9818,37.3741,37.4228,1023200
2005-06-27,37.5018,37.8664,37.3195,37.7752,500100
2005-06-28,37.9758,38.231,37.8907,38.231,655000
2005-06-29,38.2553,38.2553,37.5443,37.6962,546100
2005-06-30,37.8421,38.0791,37.6537,37.7388,848800
2005-07-01,37.9819,38.0001,37.5929,37.8178,428000
2005-07-05,37.7388,37.9211,37.1858,37.6233,646300
2005-07-06,37.7388,37.7995,37.1371,37.2222,648600
2005-07-07,36.6753,37.1736,36.6206,36.7786,1090800
2005-07-08,36.8697,37.4531,36.8576,37.3316,760900
2005-07-11,37.6172,37.6294,37.0095,37.1797,677100
2005-07-12,37.283,37.4957,36.9791,37.125,778100
2005-07-13,37.1007,37.3438,36.815,36.9305,691500
2005-07-14,37.2222,37.3741,36.8394,37.0338,679000
2005-07-15,37.0095,37.2465,36.8211,36.9123,700400
2005-07-18,36.5233,36.967,36.5233,36.8819,1025200
2005-07-19,37.0703,37.3255,37.0338,37.2708,977000
2005-07-20,37.0095,37.1918,36.6449,37.1311,1162300
2005-07-21,37.2526,38.4559,37.2526,38.0183,1646100
2005-07-22,38.2128,38.3465,37.9819,38.2736,1003600
2005-07-25,38.0912,38.4376,38.0487,38.1338,689200
2005-07-26,38.225,38.9542,38.2189,38.7658,831000
2005-07-27,38.8631,38.8691,38.62,38.7901,401500
2005-07-28,38.863,39.3067,38.7962,39.1973,597500
2005-07-29,39.2276,39.3796,38.6746,38.8144,442900
2005-08-01,38.7354,38.9299,38.0305,38.1156,672700
2005-08-02,38.2675,38.6989,38.1945,38.4498,411800
2005-08-03,38.3829,38.4741,38.1156,38.2189,447700
2005-08-04,38.2371,38.2371,37.7145,37.9575,494700
2005-08-05,38.0001,38.0001,37.4957,37.5139,479900
2005-08-08,37.5869,37.678,37.3255,37.5322,360800
2005-08-09,37.6537,37.9515,37.6415,37.8117,463700
2005-08-10,37.8056,37.9515,37.3559,37.5382,869400
2005-08-11,37.6294,37.7327,37.2952,37.5261,1161900
2005-08-12,37.4957,37.7995,37.283,37.3984,908100
2005-08-15,37.4471,37.5322,37.1371,37.3742,448400
2005-08-16,37.3863,37.52,36.7847,36.8272,569600
2005-08-17,36.8515,36.8758,36.5294,36.6814,616800
2005-08-18,36.6692,36.9123,36.5841,36.8211,665000
2005-08-19,37.0521,37.0703,36.8637,36.9244,605700
2005-08-22,36.888,37.0885,36.8576,36.9609,680200
2005-08-23,36.9701,37.1348,36.5979,36.6101,1142700
2005-08-24,36.366,36.4148,35.3348,35.7985,1933700
2005-08-25,35.6033,35.7497,35.1151,35.524,1293800
2005-08-26,35.6094,35.7253,35.4507,35.5301,882400
2005-08-29,35.3592,35.7924,35.2738,35.5911,874100
2005-08-30,35.5118,35.5118,35.0053,35.4507,801200
2005-08-31,35.3287,36.0914,35.3287,36.0548,1360300
2005-09-01,36.0975,36.2318,35.5057,35.646,925800
2005-09-02,35.7558,35.9389,35.5423,35.7192,631600
2005-09-06,35.7558,36.1952,35.7497,36.0975,474900
2005-09-07,35.9572,36.0487,35.7619,35.9389,860200
2005-09-08,35.7863,36.0792,35.6155,35.6216,901800
2005-09-09,35.6643,36.2379,35.4996,36.1646,798200
2005-09-12,36.1219,36.189,36.0121,36.1524,677300
2005-09-13,36.1524,36.2074,35.5118,35.5179,1002000
2005-09-14,35.4569,35.5484,35.0969,35.1457,1209200
2005-09-15,35.2982,35.3409,35.0602,35.3104,1064200
2005-09-16,35.4629,35.9084,35.2067,35.3653,3528900
