date,open,high,low,close,volume
2007-05-04,6.3211,6.5606,5.9438,5.9955,94059600
2007-05-07,6.0338,6.0453,5.6124,5.6986,18848800
2007-05-08,5.712,5.7465,5.4189,5.4592,11493600
2007-05-09,5.4611,5.6086,5.3174,5.4247,8882400
2007-05-10,5.4515,5.4687,5.258,5.304,5564000
2007-05-11,5.3902,5.44,5.2121,5.2159,5238400
2007-05-14,5.2102,5.4783,5.2063,5.2963,8377600
2007-05-15,5.3615,5.4362,5.2523,5.3596,6286400
2007-05-16,5.3634,5.4477,5.3059,5.4151,4160000
2007-05-17,5.4611,5.4687,5.2101,5.2331,2856800
2007-05-18,5.2772,5.2772,5.009,5.0991,6581600
2007-05-21,5.0799,5.2504,4.9803,5.1891,4286000
2007-05-22,5.2331,5.3557,5.2025,5.2772,3120400
2007-05-23,5.35,5.3615,5.1623,5.1948,2124400
2007-05-24,5.1948,5.235,5.1565,5.1718,1847200
2007-05-25,5.2561,5.2561,5.1948,5.2274,1087200
2007-05-29,5.2485,5.3251,5.191,5.2772,1769600
2007-05-30,4.9401,4.9899,4.7006,4.9631,15253200
2007-05-31,4.942,5.0282,4.8366,4.8845,3370800
2007-06-01,4.9324,5.0952,4.8883,5.0837,2250400
2007-06-04,5.0914,5.0952,4.9726,4.9994,2384400
2007-06-05,4.9975,5.0492,4.9516,5.032,2524000
2007-06-06,5.0358,5.1718,4.9803,5.1642,1992400
2007-06-07,5.1431,5.191,5.0799,5.1335,1666400
2007-06-08,5.0952,5.3212,5.0952,5.3136,3777600
2007-06-11,5.2714,5.4553,5.2197,5.4094,2519200
2007-06-12,5.3634,5.4975,5.3634,5.4975,2747600
2007-06-13,5.5549,5.5645,5.2963,5.3461,5999200
2007-06-14,5.3442,5.3921,5.2408,5.26,1942000
2007-06-15,5.2389,5.3538,5.2197,5.3538,2761600
2007-06-18,5.3634,5.3691,5.2676,5.2868,1079200
2007-06-19,5.2772,5.304,5.1757,5.2331,2138800
2007-06-20,5.258,5.3098,5.1718,5.1833,1376800
2007-06-21,5.145,5.1584,5.0531,5.1431,1814000
2007-06-22,5.1316,5.1316,4.9803,5.0588,18477200
2007-06-25,5.0282,5.0435,4.9056,5.0052,2904000
2007-06-26,5.0052,5.1642,4.965,5.1489,3236800
2007-06-27,5.0952,5.2638,5.0569,5.2159,1542400
2007-06-28,5.2025,5.2331,5.1374,5.214,1076400
2007-06-29,5.237,5.2389,5.1489,5.1967,1390400
2007-07-02,5.2121,5.2293,5.1642,5.2216,1738800
2007-07-03,5.2082,5.2485,5.1623,5.2159,520400
2007-07-05,5.1833,5.2063,5.032,5.1929,2328000
2007-07-06,4.7198,4.9324,4.6451,4.783,12674800
2007-07-09,4.7887,4.8117,4.6527,4.6642,4786800
2007-07-10,4.6508,4.6585,4.4995,4.4995,3232000
2007-07-11,4.5014,4.6106,4.4727,4.5416,1888000
2007-07-12,4.5742,4.6891,4.5397,4.6432,3210800
2007-07-13,4.624,4.6604,4.5493,4.5934,971600
2007-07-16,4.5934,4.5934,4.5033,4.5091,1122400
2007-07-17,4.5014,4.5474,4.4631,4.4842,894800
2007-07-18,4.4803,4.4957,4.3099,4.4076,2709600
2007-07-19,4.4095,4.4899,4.2811,4.3692,2770800
2007-07-20,4.3597,4.5206,4.283,4.4286,3820800
2007-07-23,4.4535,4.4938,4.3846,4.419,1235600
2007-07-24,4.3961,4.4037,4.1969,4.2122,3216400
2007-07-25,4.2524,4.2773,4.1298,4.1758,3291200
2007-07-26,4.1394,4.2524,4.0225,4.2103,3775200
2007-07-27,4.1279,4.5014,4.1183,4.3922,2681200
2007-07-30,4.5493,4.7543,4.5455,4.7294,4410400
2007-07-31,4.7294,4.8117,4.6393,4.6508,2237200
2007-08-01,4.714,4.714,4.4401,4.6183,3210400
2007-08-02,4.5972,4.7619,4.5761,4.7006,4287600
2007-08-03,4.6834,4.7294,4.4918,4.5014,4175600
2007-08-06,4.5206,4.5206,4.2888,4.4401,4097200
2007-08-07,4.4056,4.6489,4.3463,4.601,4532800
2007-08-08,4.6527,4.8941,4.5704,4.7064,2893200
2007-08-09,4.6259,4.8845,4.578,4.8021,4125200
2007-08-10,4.7715,4.9209,4.7504,4.8136,2589600
2007-08-13,4.8749,4.965,4.806,4.8366,1907200
2007-08-14,4.8654,4.8711,4.76,4.7619,1324000
2007-08-15,4.783,4.9305,4.5474,4.6087,1943200
2007-08-16,4.5953,4.5953,4.3309,4.58,5587600
2007-08-17,4.7409,4.8041,4.6029,4.7294,2996000
2007-08-20,4.7409,4.7772,4.4995,4.7409,1635200
2007-08-21,4.7638,4.8769,4.6891,4.852,1583600
2007-08-22,4.9113,5.122,4.8845,5.0933,3764000
2007-08-23,5.0952,5.1335,5.0282,5.0818,919600
2007-08-24,5.1144,5.1431,5.0665,5.124,771600
2007-08-27,5.124,5.145,5.032,5.0799,795600
2007-08-28,5.0263,5.0971,4.9611,5.0301,1426800
2007-08-29,5.0492,5.1508,5.0033,5.1354,1043600
2007-08-30,5.0952,5.1489,5.0109,5.0971,976000
2007-08-31,5.1527,5.2063,5.0741,5.1259,957600
2007-09-04,5.1144,5.2676,5.1144,5.1738,1513200
2007-09-05,5.1527,5.1546,5.0243,5.0741,875200
2007-09-06,5.0914,5.1048,4.9899,5.0358,990400
2007-09-07,4.9822,5.0033,4.8692,4.9879,2027600
2007-09-10,5.0071,5.0282,4.8385,4.9132,1006400
2007-09-11,4.9324,5.009,4.8462,4.8596,876400
2007-09-12,4.8405,5.009,4.8405,4.9822,1115200
2007-09-13,4.9937,5.0569,4.9611,5.0033,720000
2007-09-14,4.9535,5.055,4.9516,5.0033,593600
2007-09-17,4.9975,5.0282,4.9209,5.0129,502400
2007-09-18,5.0435,5.1852,4.9669,5.1757,1559200
2007-09-19,5.2178,5.3615,5.1891,5.2542,1888800
