date,open,high,low,close,volume
2005-01-03,19.9167,20.0892,19.3353,19.4043,244500
2005-01-04,19.5274,19.6358,18.8967,19.0347,265650
2005-01-05,18.9706,19.084,18.606,18.6257,271350
2005-01-06,18.675,18.9017,18.606,18.675,239700
2005-01-07,18.7243,18.7735,18.3301,18.3843,282900
2005-01-10,18.335,18.6996,18.3153,18.404,229950
2005-01-11,18.4237,18.4976,18.2118,18.3695,201600
2005-01-12,18.3794,18.414,18.0432,18.3052,195750
2005-01-13,18.3102,18.6167,18.1915,18.5524,297750
2005-01-14,18.5326,18.8935,18.5079,18.8638,451050
2005-01-18,18.8688,18.9133,18.4684,18.7897,436350
2005-01-19,18.6661,18.9973,18.6364,18.7897,467700
2005-01-20,18.7847,18.9825,18.3744,18.9825,797700
2005-01-21,18.9825,19.0467,18.3744,18.5376,894150
2005-01-24,18.5376,18.8243,18.3992,18.5672,532950
2005-01-25,18.765,19.0714,18.6018,18.6364,360900
2005-01-26,18.587,18.9083,18.5821,18.8935,641850
2005-01-27,18.8342,18.9034,18.5128,18.765,460200
2005-01-28,18.7749,18.8539,18.3893,18.5722,304350
2005-01-31,18.7699,19.0813,18.6859,19.0566,237000
2005-02-01,19.1802,19.2791,18.933,19.0566,297150
2005-02-02,19.0072,19.2791,18.9627,19.2494,382950
2005-02-03,19.2,19.6103,19.1407,19.6103,323400
2005-02-04,19.5015,19.719,19.3878,19.6152,265800
2005-02-07,19.5658,19.6992,19.4867,19.5262,156450
2005-02-08,19.5262,19.9069,19.5262,19.8624,237900
2005-02-09,19.8179,19.9118,19.1357,19.2791,316050
2005-02-10,19.3038,19.6399,19.2593,19.5658,274800
2005-02-11,19.5509,19.7833,19.3285,19.5559,213900
2005-02-14,19.5559,19.5905,19.2049,19.4027,691500
2005-02-15,19.3582,19.5213,19.3285,19.4274,842700
2005-02-16,19.3779,19.4274,19.2197,19.3631,247500
2005-02-17,19.3928,19.4224,19.0863,19.1555,235650
2005-02-18,19.106,19.1555,18.933,18.9479,422250
2005-02-22,19.5262,19.5262,19.2346,19.2445,617850
2005-02-23,19.368,19.4026,19.0072,19.0517,459750
2005-02-24,19.0665,19.1802,18.8391,19.1505,362850
2005-02-25,19.2247,19.4076,19.0368,19.3582,423150
2005-02-28,19.4026,19.5262,19.2,19.5262,529200
2005-03-01,19.6498,19.8723,19.3631,19.8475,457050
2005-03-02,19.8228,20.3271,19.7388,20.2579,598950
2005-03-03,20.2677,20.2974,20.0947,20.2183,295200
2005-03-04,20.2677,20.8263,20.1738,20.772,466200
2005-03-07,20.8115,20.8115,20.4506,20.4902,247050
2005-03-08,20.4951,20.6237,20.4012,20.4902,129750
2005-03-09,20.4655,20.4655,20.1244,20.1788,174750
2005-03-10,20.2183,20.2183,19.9514,20.0799,262950
2005-03-11,20.1441,20.2826,20.0206,20.0947,215400
2005-03-14,20.1442,20.4062,20.1194,20.3023,162150
2005-03-15,20.2677,20.5149,20.1886,20.1886,178950
2005-03-16,20.1392,20.2925,19.9365,19.9761,186750
2005-03-17,19.9959,20.0898,19.8772,19.8822,210900
2005-03-18,20.0057,20.1441,19.8377,20.1441,467250
2005-03-21,20.2183,20.2183,19.8673,19.9365,159750
2005-03-22,19.9365,20.6978,19.9365,20.2875,380550
2005-03-23,20.0206,20.1244,19.8475,19.8723,317250
2005-03-24,19.9711,20.1442,19.7882,19.7882,171150
2005-03-28,19.8377,20.1194,19.7635,19.9761,343650
2005-03-29,19.981,20.3567,19.5954,19.6251,272100
2005-03-30,19.6053,20.1936,19.6053,20.0206,263100
2005-03-31,20.0255,20.1689,19.7882,19.9464,401250
2005-04-01,19.9514,19.9959,19.4916,19.5658,337050
2005-04-04,19.5658,19.9612,19.4768,19.8673,532200
2005-04-05,19.8673,20.0898,19.8673,19.9217,299550
2005-04-06,19.9711,20.0304,19.8179,19.8228,202950
2005-04-07,19.8327,19.8871,19.5856,19.8327,202800
2005-04-08,19.9563,20.1936,19.8673,20.1837,327450
2005-04-11,20.2331,20.2331,19.9959,20.0403,286050
2005-04-12,19.9909,20.4111,19.6696,20.3666,282450
2005-04-13,20.3765,20.441,19.8064,19.9303,247500
2005-04-14,19.9303,19.9402,19.2362,19.266,643500
2005-04-15,19.2709,19.4048,18.8793,18.9784,390150
2005-04-18,18.9536,19.1619,18.7157,18.9834,266700
2005-04-19,18.9338,19.38,18.9338,19.2957,255450
2005-04-20,19.385,19.5486,18.8842,18.8991,457800
2005-04-21,19.2114,19.8559,19.2114,19.7072,423600
2005-04-22,19.5833,19.5833,18.6562,18.914,417450
2005-04-25,18.9635,19.5337,18.9635,19.5337,352500
2005-04-26,19.5337,19.5337,18.8247,18.8396,223350
2005-04-27,18.6661,19.1767,18.5818,18.9784,349650
2005-04-28,18.9834,19.023,18.6115,18.7107,394800
2005-04-29,18.7355,18.7702,18.2546,18.4678,331950
2005-05-02,18.5421,19.3007,18.5421,19.261,633900
2005-05-03,19.2362,19.261,18.914,18.9834,379950
2005-05-04,19.0379,19.1123,18.8594,19.0131,516900
2005-05-05,19.033,19.261,18.8694,19.2015,334350
2005-05-06,19.3255,19.3453,18.914,19.0131,331050
2005-05-09,19.0131,19.1718,18.79,19.1718,389550
2005-05-10,19.1371,19.1371,18.8396,18.9983,394200
2005-05-11,18.9487,19.1866,18.7107,19.0875,193650
2005-05-12,19.1123,19.2957,18.8297,18.914,280500
2005-05-13,18.9388,18.9487,18.2397,18.443,320250
2005-05-16,18.4529,18.4678,18.1951,18.3686,614250
2005-05-17,18.3438,18.5768,18.2695,18.4926,590250
2005-05-18,18.5421,19.1172,18.5421,18.9883,378900
2005-05-19,18.9388,19.1321,18.79,19.0032,204000
2005-05-20,18.9983,18.9983,18.6116,18.7603,168450
2005-05-23,18.79,19.1569,18.7851,19.1073,213000
2005-05-24,18.9635,19.1371,18.8148,19.0478,364050
2005-05-25,19.0131,19.0131,18.8049,18.9388,250950
2005-05-26,18.9338,19.147,18.8892,19.0131,126450
2005-05-27,19.0181,19.1073,18.8693,18.9933,124500
2005-05-31,18.8396,19.1024,18.7752,19.0429,228000
2005-06-01,18.9883,19.1966,18.8099,18.9041,281400
2005-06-02,18.8446,18.9388,18.7256,18.7404,232800
2005-06-03,18.7504,18.9388,18.324,18.4231,403650
2005-06-06,18.4231,18.5173,18.2794,18.3438,378300
2005-06-07,18.4678,18.7801,18.4182,18.5025,691650
2005-06-08,18.552,18.6611,18.3141,18.3289,174450
2005-06-09,18.329,18.4083,18.1554,18.3884,218850
2005-06-10,18.3537,18.5372,18.2942,18.4083,178200
2005-06-13,18.3438,18.7057,18.2992,18.6215,300300
2005-06-14,18.6165,18.7999,18.5174,18.7999,224400
