date,open,high,low,close,volume
2005-01-03,18.0453,18.1182,17.9338,18.011,2781147
2005-01-04,17.9767,18.0067,17.4065,17.578,3240192
2005-01-05,17.8781,18.2597,17.8009,17.8309,6353925
2005-01-06,17.8309,17.8567,17.6466,17.7452,3187081
2005-01-07,17.7923,17.9167,17.6637,17.7023,2185256
2005-01-10,17.7066,17.8352,17.7023,17.7795,2617639
2005-01-11,17.728,17.7795,17.5694,17.578,2414404
2005-01-12,17.6337,17.7838,17.4108,17.7495,2303685
2005-01-13,17.8138,17.8352,17.5351,17.5608,1671494
2005-01-14,17.5394,17.6852,17.4108,17.5437,1492566
2005-01-18,17.4408,17.5222,17.2136,17.3851,2545789
2005-01-19,17.3851,17.4837,17.0035,17.0206,4289132
2005-01-20,17.0163,17.1064,16.892,17.0035,3437431
2005-01-21,16.9349,16.9606,16.7548,16.7634,2842717
2005-01-24,16.7634,16.8834,16.609,16.6219,2276166
2005-01-25,16.7205,16.7634,16.549,16.6133,3402095
2005-01-26,16.742,16.8406,16.6862,16.8234,3177016
2005-01-27,16.7291,16.9606,16.6562,16.892,2512916
2005-01-28,16.8277,16.892,16.7291,16.892,2036524
2005-01-31,17.0635,17.1235,16.6819,16.7848,2736710
2005-02-01,16.7848,17.0335,16.7505,17.0292,3052698
2005-02-02,17.0292,17.2693,16.9863,17.2693,3042526
2005-02-03,17.1921,17.1964,16.7891,16.8449,6621942
2005-02-04,16.772,17.2093,16.7634,16.952,4526525
2005-02-07,16.9092,16.9135,16.5233,16.549,3219205
2005-02-08,16.549,16.549,16.2403,16.2832,3711123
2005-02-09,16.2189,16.2232,15.8931,15.9788,5894131
2005-02-10,16.056,16.0689,15.9402,15.9702,4603300
2005-02-11,15.9531,16.0689,15.9402,15.9788,2551678
2005-02-14,15.9702,16.0517,15.9617,15.9745,2022176
2005-02-15,16.0346,16.0346,15.773,15.8631,3765947
2005-02-16,15.8631,16.2559,15.8328,16.2084,4236236
2005-02-17,16.381,16.5623,16.1911,16.4026,5672478
2005-02-18,16.4674,16.6832,16.4544,16.558,3677072
2005-02-22,16.4113,16.5753,16.122,16.122,5629433
2005-02-23,16.1868,16.4026,15.971,16.3724,3732860
2005-02-24,16.2947,16.3724,16.0832,16.3724,3594515
2005-02-25,16.3724,16.5321,16.2343,16.4501,2481649
2005-02-28,16.3336,16.4415,16.1005,16.122,2872164
2005-03-01,16.1911,16.4717,16.1479,16.4458,2470727
2005-03-02,16.4285,16.5278,16.23,16.4587,2237939
2005-03-03,16.489,16.5537,16.2429,16.5278,2267171
2005-03-04,16.6487,17.1321,16.6184,17.0933,3777726
2005-03-07,17.158,17.158,16.8213,16.9335,2732534
2005-03-08,16.9335,16.9379,16.7307,16.8645,2099807
2005-03-09,16.7695,16.899,16.7048,16.7652,2294048
2005-03-10,16.8774,16.8774,16.653,16.7738,1969065
2005-03-11,16.7264,16.994,16.7264,16.9422,3136648
2005-03-14,16.9465,17.1364,16.9163,17.1235,3019183
2005-03-15,17.24,17.3005,17.0242,17.0242,2455950
2005-03-16,16.899,16.9335,16.476,16.5235,2909748
2005-03-17,16.5105,16.6918,16.4544,16.6012,2139212
2005-03-18,16.5753,16.8084,16.4458,16.8041,4083221
2005-03-21,16.817,16.9335,16.5666,16.6141,1990052
2005-03-22,16.5407,16.5969,16.2084,16.2084,3797857
2005-03-23,16.2256,16.2515,16.0357,16.1048,2684991
2005-03-24,16.1005,16.2774,16.053,16.0875,1567628
2005-03-28,16.0875,16.1134,15.8933,15.8933,1988981
2005-03-29,15.7983,15.889,15.3969,15.4271,3854394
2005-03-30,15.5609,15.7336,15.5393,15.6904,2939945
2005-03-31,15.8113,15.9753,15.7767,15.8803,2288587
2005-04-01,15.8803,16.0487,15.6559,15.6904,1991230
2005-04-04,15.6904,15.7552,15.5005,15.6688,1920665
2005-04-05,15.6472,15.8199,15.5954,15.699,2083424
2005-04-06,15.7767,16.1177,15.7724,16.0141,2569453
2005-04-07,16.0659,16.3681,16.0487,16.2386,2558853
2005-04-08,16.2386,16.3465,16.0832,16.1005,2623528
2005-04-11,16.1048,16.1566,16.0012,16.0875,1490317
2005-04-12,16.0659,16.1393,15.6904,15.8976,4422017
2005-04-13,15.8976,15.8976,15.4098,15.4962,2988451
2005-04-14,15.3753,15.4875,15.0559,15.1293,4538625
2005-04-15,15.194,15.4012,14.8487,14.8616,4030966
2005-04-18,14.948,15.276,14.9264,15.112,3085250
2005-04-19,15.1163,15.1595,14.9652,15.0213,2679423
2005-04-20,15.0602,15.0731,14.6242,14.676,2650405
2005-04-21,14.771,14.866,14.594,14.8055,2872485
2005-04-22,15.1077,15.1206,14.5379,14.6113,4680290
2005-04-25,14.6847,14.7839,14.5681,14.5724,3119194
2005-04-26,14.4861,14.6847,14.4516,14.4775,2518912
2005-04-27,14.4602,14.9652,14.3523,14.7278,3373505
2005-04-28,14.594,14.7408,14.3911,14.3998,2511631
2005-04-29,14.5336,14.8271,14.2616,14.8012,3882234
2005-05-02,14.7192,14.771,14.4861,14.594,2791213
2005-05-03,14.6242,14.8962,14.4688,14.7667,2443208
2005-05-04,14.8055,14.9221,14.7537,14.7667,2840576
2005-05-05,14.758,14.7926,14.43,14.5422,3598584
2005-05-06,14.676,14.8228,14.5206,14.5854,2396308
2005-05-09,14.6285,14.6285,14.3998,14.4041,2807167
2005-05-10,14.4041,14.417,14.2487,14.2832,2277986
2005-05-11,14.3091,14.4343,14.2875,14.4084,2776436
2005-05-12,14.512,14.5293,14.171,14.1753,3285701
2005-05-13,14.2099,14.2099,13.4674,13.6617,4292559
2005-05-16,13.7221,13.8559,13.6832,13.8041,3666900
2005-05-17,13.817,14.0156,13.735,13.9854,4678577
2005-05-18,14.1507,14.403,14.1463,14.3377,3265356
2005-05-19,14.4204,14.4378,14.2029,14.3813,2648156
2005-05-20,14.3812,14.3812,14.1985,14.3073,1563559
2005-05-23,14.3986,14.6248,14.3421,14.5596,3015435
2005-05-24,14.4856,14.4943,14.2899,14.3725,3361619
2005-05-25,14.2681,14.2725,13.9897,14.068,3969289
2005-05-26,14.2029,14.2116,14.0463,14.1159,2184078
2005-05-27,14.1159,14.1898,14.0289,14.155,1385916
2005-05-31,14.155,14.155,13.9593,14.0115,2246719
2005-06-01,14.0419,14.2681,14.0289,14.1681,2162448
2005-06-02,14.2116,14.2464,14.1072,14.2159,1602428
2005-06-03,14.2159,14.3725,14.1594,14.2986,2647835
2005-06-06,14.3029,14.3377,14.1855,14.2333,2462589
2005-06-07,14.3116,14.5248,14.2333,14.3638,2239866
2005-06-08,14.4421,14.5031,14.2986,14.3769,1956215
2005-06-09,14.2899,14.3073,14.0898,14.1594,1994335
2005-06-10,14.1811,14.2986,14.0941,14.2203,1667639
2005-06-13,14.2072,14.4857,14.1898,14.3769,3912431
2005-06-14,14.4813,14.7118,14.4682,14.6901,3031604
2005-06-15,14.7858,14.8424,14.6031,14.7118,3142537
2005-06-16,14.7249,15.1642,14.7249,14.8641,2918208
2005-06-17,15.0512,15.0512,14.7423,14.7467,3467734
2005-06-20,14.7902,14.8467,14.7467,14.7728,3506496
2005-06-21,14.8119,14.8902,14.6683,14.6683,1872908
2005-06-22,14.6814,14.7945,14.6292,14.6292,1997976
2005-06-23,14.6379,14.6466,14.3769,14.3769,2281305
2005-06-24,14.2812,14.4813,14.0593,14.1159,2762087
2005-06-27,13.5895,13.8766,13.5678,13.6722,4966832
2005-06-28,13.6939,13.7244,13.6548,13.6765,2672784
2005-06-29,13.9245,14.5422,13.4808,13.5069,2650940
2005-06-30,13.4938,13.5286,13.1197,13.1415,4833412
2005-07-01,13.2546,13.3503,13.1502,13.198,2085780
2005-07-05,13.2241,13.4503,13.1632,13.4286,2860064
2005-07-06,13.3677,13.372,13.1241,13.1545,3178622
2005-07-07,13.0501,13.1632,12.9457,13.1632,2656080
2005-07-08,13.1589,13.3329,13.1589,13.3155,2814342
2005-07-11,13.3981,13.5808,13.3546,13.5634,2827512
2005-07-12,13.5156,13.633,13.3981,13.5504,2440745
2005-07-13,13.5721,13.6287,13.4808,13.5199,2349621
2005-07-14,13.4851,13.6113,13.4634,13.6113,2963181
2005-07-15,13.5895,13.6069,13.3677,13.4242,2287195
2005-07-18,13.4242,13.4242,13.2502,13.3372,2140818
2005-07-19,15.2469,15.2469,13.881,14.0158,24413447
2005-07-20,13.8592,14.2638,13.7896,14.0941,10084965
2005-07-21,14.1376,14.1594,13.8592,13.8592,5441403
2005-07-22,13.8636,13.8723,13.5504,13.7418,4945523
2005-07-25,13.7113,13.881,13.633,13.7461,4413450
2005-07-26,13.6809,13.8114,13.6287,13.6287,3038028
2005-07-27,13.633,13.6809,13.4851,13.5069,3969610
2005-07-28,13.4764,13.5852,13.4634,13.4895,4603943
2005-07-29,13.9027,13.9027,13.5634,13.7461,5046605
2005-08-01,13.8114,13.8201,13.5982,13.7026,2898398
2005-08-02,13.7461,13.9593,13.7244,13.8027,2369966
2005-08-03,13.7505,13.7896,13.6417,13.7418,2401769
2005-08-04,13.6548,13.7983,13.62,13.6852,3281525
2005-08-05,13.6374,13.6722,13.5678,13.5678,1553922
2005-08-08,13.5982,13.6635,13.5286,13.633,2628025
2005-08-09,14.0071,14.0071,13.633,13.7635,2832438
2005-08-10,13.8114,13.9984,13.7331,13.7896,2584873
2005-08-11,13.7505,13.7896,13.6461,13.7679,2047660
2005-08-12,14.0245,14.0289,13.6113,13.62,2351656
2005-08-15,13.62,13.6939,13.5417,13.6678,2535724
2005-08-16,13.6722,13.7244,13.5634,13.5895,1827721
2005-08-17,13.6378,13.8746,13.6378,13.8044,3710052
2005-08-18,13.7386,13.7869,13.686,13.7079,2437211
2005-08-19,13.8132,13.8132,13.6202,13.6246,2336237
2005-08-22,13.6816,13.7781,13.6378,13.6948,1671708
2005-08-23,13.6948,13.7036,13.322,13.3264,2683063
2005-08-24,13.2606,13.4711,13.2606,13.344,2208706
2005-08-25,13.3747,13.4185,13.322,13.3747,1378741
2005-08-26,13.4097,13.458,13.3089,13.3878,1733492
2005-08-29,13.2563,13.3133,13.1729,13.2519,2443101
2005-08-30,13.2212,13.5018,13.1993,13.4054,3328532
2005-08-31,13.3834,13.5501,13.2387,13.5281,1782855
2005-09-01,13.5281,13.6641,13.4843,13.5939,2386349
2005-09-02,13.6465,13.6772,13.3791,13.4229,1320277
2005-09-06,13.5325,13.8088,13.4404,13.7913,3563034
2005-09-07,13.8526,13.9228,13.6509,13.7693,1716788
2005-09-08,13.7693,13.8307,13.629,13.6641,2320710
2005-09-09,13.7255,14.1377,13.7079,13.9667,3173590
2005-09-12,13.993,14.0456,13.9009,14.0017,1642368
2005-09-13,14.0017,14.0061,13.7693,13.7869,1852778
2005-09-14,13.7562,14.0544,13.6992,13.9009,2518912
2005-09-15,14.0324,14.0763,13.8746,13.8921,2941229
2005-09-16,13.8921,13.936,13.7211,13.8439,4225849
2005-09-19,13.7825,13.7869,13.5106,13.5281,2801813
2005-09-20,13.572,13.822,13.5545,13.6904,4084184
2005-09-21,13.6158,13.6904,13.4273,13.4273,2211490
2005-09-22,13.3703,13.4097,13.2826,13.344,2857387
2005-09-23,13.2343,13.2957,13.1116,13.287,3628459
2005-09-26,13.4141,13.4141,13.1773,13.2738,1526081
2005-09-27,13.2913,13.3747,13.1247,13.208,2078071
2005-09-28,13.1554,13.2124,13.0019,13.0195,2870772
2005-09-29,12.9932,13.1554,12.9142,13.1554,2902467
2005-09-30,13.094,13.1335,12.9844,13.0677,4004518
2005-10-03,13.0852,13.0852,12.8923,12.9581,1852992
2005-10-04,13.0458,13.0458,12.6862,12.6906,2489573
2005-10-05,12.6906,12.6906,12.4143,12.5503,2830618
2005-10-06,12.6029,12.6073,12.3003,12.331,5808361
2005-10-07,12.3924,12.5196,12.331,12.4494,2613677
2005-10-10,12.445,12.4801,12.2784,12.3266,2169301
2005-10-11,12.3266,12.4099,12.2082,12.2959,2292763
2005-10-12,12.2345,12.3135,12.0547,12.0547,3205820
2005-10-13,12.0153,12.1117,11.8267,11.9056,5024654
2005-10-14,12.0021,12.0109,11.8399,11.9276,4145540
2005-10-17,11.9276,11.9539,11.8662,11.9495,4417948
2005-10-18,12.1381,12.2258,12.0767,12.0898,5111066
2005-10-19,12.0942,12.2258,11.9933,12.2038,4403385
2005-10-20,12.2784,12.3222,12.1074,12.1644,5588315
2005-10-21,12.2565,12.2828,12.0591,12.2828,4741217
2005-10-24,12.2828,12.4538,12.2565,12.4406,2513237
2005-10-25,12.5853,12.6467,12.2433,12.2784,3540761
2005-10-26,12.3661,12.6423,12.3661,12.5766,4126909
2005-10-27,12.5766,12.6687,12.4275,12.4319,2245113
2005-10-28,12.5239,12.6555,12.4713,12.6555,2753093
2005-10-31,12.6467,12.809,12.5415,12.7958,2179367
2005-11-01,12.8046,12.8528,12.7476,12.8528,2523195
2005-11-02,12.8002,13.1291,12.7607,13.0414,2868202
2005-11-03,13.0677,13.0852,12.9011,12.9362,1947863
2005-11-04,12.9361,12.9756,12.6555,12.8748,1672458
2005-11-07,12.9186,13.0721,12.8791,13.0721,1817549
2005-11-08,13.0502,13.0589,12.9142,12.9449,1915633
2005-11-09,12.8923,12.9493,12.7958,12.8528,1669673
2005-11-10,12.8528,12.9844,12.7257,12.9581,1789601
2005-11-11,12.9581,13.1028,12.8967,13.0809,2001402
2005-11-14,13.7299,13.7693,13.2826,13.3527,6753006
2005-11-15,13.3703,13.5808,13.3308,13.4054,3881913
2005-11-16,13.4363,13.569,13.4319,13.4938,1972705
2005-11-17,13.4982,13.6883,13.4894,13.6883,1858881
2005-11-18,13.8386,13.8519,13.6397,13.6574,2778684
2005-11-21,13.7414,13.9713,13.706,13.9713,2404660
2005-11-22,13.905,14.0067,13.7502,13.9801,2140069
2005-11-23,13.958,14.0332,13.8519,13.8873,1292972
2005-11-25,13.9492,14.0376,13.8563,13.8873,750513
2005-11-28,13.9271,13.9713,13.7723,13.821,1348867
2005-11-29,13.9934,14.2366,13.8431,14.1305,3130865
2005-11-30,14.1349,14.1879,13.9271,13.9403,2143495
2005-12-01,14.0597,14.5461,14.0332,14.5284,3839939
2005-12-02,14.5903,15.0943,14.5903,14.7936,4558970
2005-12-05,14.6964,14.8113,14.4621,14.6168,2930736
2005-12-06,14.7229,14.8113,14.6168,14.6743,2399413
2005-12-07,14.7008,14.9793,14.7008,14.9793,2596865
2005-12-08,14.9042,15.0457,14.7981,14.8777,2265351
2005-12-09,14.6699,15.0191,14.6699,14.9572,1855347
2005-12-12,15.0545,15.1827,15.0059,15.0633,2786930
2005-12-13,15.0633,15.165,14.9793,15.0412,2289550
2005-12-14,14.9749,15.0457,14.86,14.8998,1471686
2005-12-15,14.9661,15.0545,14.8909,14.944,3045952
2005-12-16,14.9086,14.9882,14.8555,14.8953,3568066
2005-12-19,14.8644,14.9926,14.7936,14.8158,2273274
2005-12-20,14.7671,14.9086,14.6787,14.7318,2365255
2005-12-21,14.7671,15.1031,14.7671,15.0855,2016715
2005-12-22,15.165,15.2446,15.0545,15.2446,1587009
2005-12-23,15.2446,15.249,15.0501,15.2225,1507343
2005-12-27,15.2667,15.4303,15.1783,15.2579,1636479
2005-12-28,15.2314,15.2933,15.0987,15.2667,1477896
2005-12-29,15.1916,15.2314,15.0589,15.1297,1795812
2005-12-30,15.0103,15.0766,14.7627,14.86,2668608
2006-01-03,15.0501,15.0501,14.6389,14.8069,2985132
2006-01-04,14.7848,14.9351,14.7671,14.9219,2222948
2006-01-05,14.8423,14.8732,14.7671,14.8732,1702547
2006-01-06,14.944,15.1429,14.8555,15.112,2205173
2006-01-09,15.2402,15.2402,14.8953,14.9926,2574593
2006-01-10,14.9086,15.1739,14.7583,15.1429,1842498
2006-01-11,15.196,15.2888,15.0236,15.0457,1739917
2006-01-12,14.9882,15.028,14.7671,14.7671,1736705
2006-01-13,14.7583,14.7981,14.5372,14.7008,1819155
2006-01-17,14.5682,14.7362,14.524,14.7141,1779857
2006-01-18,14.6345,14.6743,14.4267,14.5063,1596753
2006-01-19,14.325,14.5593,14.325,14.4178,1911992
2006-01-20,14.7671,14.7671,14.1924,14.2631,3417728
2006-01-23,14.325,14.4621,14.3161,14.4399,4608012
2006-01-24,14.4576,14.5858,14.3294,14.3294,3397276
2006-01-25,14.3338,14.4399,14.2366,14.3913,3602010
2006-01-26,14.4355,14.4797,14.3736,14.4444,4172631
2006-01-27,14.4267,14.5151,14.3913,14.462,1591613
2006-01-30,14.4178,14.6035,14.378,14.5637,2365362
2006-01-31,14.5328,14.5416,14.4134,14.4267,2125935
2006-02-01,14.4134,14.6522,14.409,14.608,4409596
2006-02-02,14.7671,14.7848,14.4134,14.5549,5924541
2006-02-03,14.4797,14.5416,14.3161,14.3692,3960830
2006-02-06,14.3073,14.4886,14.2719,14.4709,2152704
2006-02-07,14.4267,14.4753,14.2675,14.325,2662290
2006-02-08,14.3957,14.3957,14.1968,14.2542,3070259
2006-02-09,14.2542,14.3736,14.2454,14.3029,2259354
2006-02-10,14.3073,14.4532,14.241,14.4399,2768405
2006-02-13,14.4134,14.4709,14.3559,14.4576,2689809
2006-02-14,14.4709,14.8688,14.4399,14.86,4646025
2006-02-15,14.86,15.0337,14.7753,14.9891,3032996
2006-02-16,15.0782,15.0782,14.9179,15.0159,2100450
2006-02-17,15.0159,15.056,14.8555,14.909,2150134
2006-02-21,14.8778,14.8867,14.713,14.8199,1342121
2006-02-22,14.8778,15.0203,14.8288,14.9981,1531114
2006-02-23,14.9891,15.1629,14.8911,15.0248,1681559
2006-02-24,14.9981,15.0292,14.8021,14.8956,2828155
2006-02-27,14.9401,15.1094,14.762,14.8199,1917881
2006-02-28,14.8911,14.9179,14.5259,14.5971,2960611
2006-03-01,14.5704,14.6551,14.4145,14.6551,3206034
2006-03-02,14.566,14.7263,14.5214,14.6194,2466123
2006-03-03,14.615,14.6773,14.4635,14.5214,1372531
2006-03-06,14.5749,14.6506,14.4412,14.566,1892718
2006-03-07,14.4635,14.566,14.3076,14.4234,2925061
2006-03-08,14.4769,14.7486,14.468,14.7263,4182589
2006-03-09,14.7352,14.8778,14.7352,14.8065,4267181
2006-03-10,15.1228,15.3143,14.9357,15.2386,4321791
2006-03-13,15.3277,15.5994,15.292,15.4346,3636918
2006-03-14,15.4123,15.733,15.35,15.6707,2904180
2006-03-15,15.7197,16.0315,15.6885,16.0003,3809742
2006-03-16,16.0493,16.2097,15.733,15.8444,2636913
2006-03-17,15.9736,15.9869,15.6529,15.684,3590874
