date,open,high,low,close,volume
2005-01-03,36.5954,36.881,35.8611,36.1466,7031958
2005-01-04,36.3812,36.4424,35.5551,36.3608,7214035
2005-01-05,36.2079,36.422,35.9529,36.1977,4512716
2005-01-06,36.3098,37.1768,36.2996,37.0952,5071865
2005-01-07,37.0238,37.1156,36.4322,36.7178,4729469
2005-01-10,36.7382,36.8912,36.1772,36.3404,3552817
2005-01-11,36.2894,36.3608,35.9427,36.1161,2736043
2005-01-12,36.2895,36.5546,36.0039,36.5546,3186647
2005-01-13,36.6464,36.7178,36.0753,36.1569,3991174
2005-01-14,36.2588,36.4016,36.0141,36.2894,3660881
2005-01-18,36.0141,36.6464,36.0141,36.5954,2869130
2005-01-19,36.9728,37.3094,36.5138,36.524,2200669
2005-01-20,36.2384,36.5852,36.2282,36.473,3894829
2005-01-21,36.422,36.5546,35.9223,35.9529,4294570
2005-01-24,35.9631,36.0651,35.4939,35.6469,3830230
2005-01-25,35.6979,36.1263,35.6979,35.7183,2638785
2005-01-26,36.0345,36.1875,35.7999,35.9325,3429480
2005-01-27,35.9325,36.5954,35.8305,36.4424,3648442
2005-01-28,36.5852,36.7178,36.3506,36.7178,2746562
2005-01-31,36.7178,36.9626,36.4424,36.8606,5858717
2005-02-01,35.3919,35.8407,35.0349,35.1981,13746160
2005-02-02,35.1981,35.5245,35.0145,35.1573,6151307
2005-02-03,35.0553,35.1063,34.3822,34.6881,5687639
2005-02-04,34.6881,34.9533,34.5454,34.8411,3483704
2005-02-07,34.8615,35.1369,34.8513,35.0859,2916102
2005-02-08,35.2083,35.8815,35.2083,35.6571,4685331
2005-02-09,35.6673,35.7081,34.4229,34.4331,4377708
2005-02-10,34.6473,34.6881,33.505,34.219,8553840
2005-02-11,34.3312,34.9635,34.2802,34.9023,4398936
2005-02-14,34.8309,34.9227,34.5759,34.5759,3035213
2005-02-15,34.5759,34.6269,34.2394,34.4433,3931811
2005-02-16,33.862,34.3923,33.76,34.3821,7235071
2005-02-17,34.117,34.6779,33.7294,33.8416,8053238
2005-02-18,33.9232,34.321,33.76,34.2802,4773031
2005-02-22,34.0252,34.2496,33.811,33.9742,5248418
2005-02-23,34.168,34.3312,34.1068,34.1374,4170657
2005-02-24,34.0354,34.5963,33.9742,34.4331,3698296
2005-02-25,34.4331,35.0451,34.3923,34.4229,4602433
2005-02-28,34.423,34.6779,34.0252,34.1476,4208935
2005-03-01,34.2088,34.6677,34.1782,34.5453,4272909
2005-03-02,34.4433,35.1675,34.27,35.0247,5921010
2005-03-03,35.1879,35.4429,34.9227,35.2899,4369639
2005-03-04,35.4327,36.4628,35.4225,36.3302,6496296
2005-03-07,36.0549,36.728,35.9529,36.6566,5003088
2005-03-08,36.6566,36.7178,36.4832,36.5444,6390345
2005-03-09,36.2894,36.83,36.2384,36.473,4811646
