date,open,high,low,close,volume
2010-07-15,6.0265,6.3594,5.8543,5.8543,8791400
2010-07-16,5.883,5.9289,5.3951,5.5616,428400
2010-07-19,5.7108,5.7223,5.5558,5.619,272600
2010-07-20,5.8428,5.8428,5.068,5.309,3116500
2010-07-21,5.3148,5.332,4.9589,5.0508,746800
2010-07-22,5.0508,5.3664,5.0508,5.3377,2691700
2010-07-23,5.3262,5.4525,5.3262,5.4525,257400
2010-07-26,5.728,5.728,5.5214,5.5616,1613300
2010-07-27,5.6821,5.8428,5.5386,5.6534,1159800
2010-07-28,5.7108,5.751,5.487,5.5042,789200
2010-07-29,5.573,5.6017,5.3664,5.441,626300
2010-07-30,5.464,5.464,5.177,5.1942,2072200
2010-08-02,5.4468,5.6477,5.2746,5.4181,1033000
2010-08-03,5.4525,5.5042,5.3377,5.4697,367200
2010-08-04,5.4755,5.5271,5.4181,5.4755,2207600
2010-08-05,5.5099,5.7223,5.5099,5.6821,3230900
2010-08-06,5.6706,5.6821,5.5443,5.6591,533700
2010-08-09,5.7395,5.7452,5.6247,5.6764,1148400
2010-08-10,5.6993,5.7051,5.6247,5.6419,268000
2010-08-11,5.6304,5.6534,5.4927,5.6362,668000
2010-08-12,5.6247,5.8198,5.573,5.7739,797700
2010-08-13,5.8026,5.8428,5.728,5.8313,1260200
2010-08-16,5.7624,5.7969,5.7108,5.7338,1045000
2010-08-17,5.7395,5.9806,5.7338,5.9633,257800
2010-08-18,6.2273,6.2273,5.8543,6.0494,2045000
2010-08-19,6.0552,6.1413,5.9117,5.9806,1918700
2010-08-20,6.021,6.0557,5.9343,5.9574,115800
2010-08-23,5.9806,6.0095,5.8475,5.8475,2008000
2010-08-24,5.8012,5.9285,5.7434,5.8822,615800
2010-08-25,5.888,5.8996,5.7839,5.8533,1014200
2010-08-26,5.807,5.8764,5.7955,5.8186,274700
2010-08-27,5.8417,5.9343,5.7839,5.9169,595800
2010-08-30,5.888,5.9054,5.7608,5.807,518100
2010-08-31,5.7839,5.8302,5.7376,5.7955,1000400
2010-09-01,5.8533,6.2293,5.8186,5.9227,1323600
2010-09-02,5.8822,5.9516,5.8128,5.9054,1362900
2010-09-03,5.9285,5.9516,5.8707,5.9285,444600
2010-09-07,5.8475,5.9863,5.8475,5.9285,1210400
2010-09-08,5.9227,6.2119,5.6509,5.9285,1662200
2010-09-09,5.9169,5.9574,5.8302,5.8822,436300
2010-09-10,5.8822,5.9285,5.807,5.8764,956500
2010-09-13,5.9227,5.9516,5.8128,5.9458,1713200
2010-09-14,5.8996,5.9516,5.8128,5.8475,358400
2010-09-15,5.8475,5.9285,5.8128,5.888,451500
2010-09-16,5.8302,5.9227,5.8302,5.8996,423000
2010-09-17,5.9285,5.9285,5.8302,5.8996,275900
2010-09-20,5.8996,5.9054,5.8128,5.8475,760700
2010-09-21,5.8417,5.9169,5.7897,5.8417,1372400
2010-09-22,5.8244,5.9863,5.7955,5.9285,1076700
2010-09-23,5.9169,6.0153,5.8417,5.9458,782000
2010-09-24,5.9401,6.183,5.9401,6.1541,338800
2010-09-27,6.1772,6.3623,6.0731,6.1772,1024800
2010-09-28,6.2235,6.2408,6.021,6.0673,16616300
2010-09-29,5.9863,6.1599,5.9343,6.1309,761500
2010-09-30,6.1599,6.3623,6.0153,6.1309,984400
2010-10-01,6.1599,6.3044,6.1425,6.2697,1459600
2010-10-04,6.2755,6.316,6.2061,6.2061,866000
2010-10-05,6.1888,6.3218,6.1656,6.264,1475600
2010-10-06,6.235,6.2871,6.0153,6.0731,999800
2010-10-07,6.0673,6.1483,6.0153,6.1194,292200
2010-10-08,6.1483,6.4664,6.1483,6.4201,3009900
2010-10-11,6.4317,6.4317,6.2524,6.3623,1111000
2010-10-12,6.3623,6.611,6.3623,6.53,1068400
2010-10-13,6.5532,6.6804,6.478,6.5705,1899600
2010-10-14,6.5242,6.5647,6.4143,6.478,697700
2010-10-15,6.4664,6.5069,6.3334,6.3507,354400
2010-10-18,6.3623,6.4953,6.3507,6.4895,290900
2010-10-19,6.449,6.5011,6.2755,6.3334,311600
2010-10-20,6.3276,6.6168,6.3276,6.5821,330100
2010-10-21,6.6746,7.0448,6.5994,6.825,3246300
