date,open,high,low,close,volume
2005-01-03,30.3927,30.5175,29.7637,29.8516,1586403
2005-01-04,29.9672,30.3325,29.8516,29.8655,2259868
2005-01-05,29.8654,29.9857,29.3244,29.3521,2302110
2005-01-06,29.3567,30.0227,29.3475,29.8285,1521216
2005-01-07,29.8377,29.9533,29.6481,29.662,1522571
2005-01-10,29.7128,30.1059,29.5047,29.8562,2080055
2005-01-11,29.9209,29.9302,29.6157,29.6342,1329825
2005-01-12,29.7082,29.8793,29.514,29.8793,1281221
2005-01-13,29.7637,29.8516,29.3336,29.403,1329616
2005-01-14,29.4816,29.7915,29.3845,29.7683,1330972
2005-01-18,29.5741,29.6712,29.4169,29.6481,1851325
2005-01-19,29.6204,29.8285,29.5602,29.5972,1188394
2005-01-20,29.5972,30.0134,29.5972,29.8238,2266752
2005-01-21,29.7082,29.8285,29.2874,29.4955,2496525
2005-01-24,29.5001,30.1291,29.5001,29.7822,1911923
2005-01-25,29.8053,30.3603,29.7776,29.8747,2329436
2005-01-26,29.9903,30.1383,29.7591,29.7591,1608932
2005-01-27,29.6666,29.9764,29.551,29.9256,1591618
2005-01-28,30.0412,30.2539,29.7313,30.1429,2084957
2005-01-31,30.5684,30.684,30.1753,30.2955,2048243
2005-02-01,30.4112,30.4528,30.0643,30.1984,1582231
2005-02-02,30.0874,30.61,30.0874,30.5638,1501816
2005-02-03,30.4158,30.8459,30.314,30.7904,1673702
2005-02-04,30.7441,30.9661,30.6516,30.9383,1555426
2005-02-07,30.9384,30.9846,30.8089,30.8782,912938
2005-02-08,30.8227,30.9568,30.8089,30.8921,1307088
2005-02-09,30.9152,31.0262,30.7626,30.8366,1239501
2005-02-10,30.8459,31.0216,30.7626,30.9707,1088683
2005-02-11,31.0216,31.3129,30.8274,31.2944,1521946
2005-02-14,31.2944,31.5812,31.2343,31.5164,1436420
2005-02-15,31.2158,31.3129,30.8736,30.9846,2739544
2005-02-16,30.5915,30.8042,30.3926,30.4944,2439890
2005-02-17,30.4065,30.6377,30.2724,30.4204,1496601
2005-02-18,30.4851,30.6655,30.3233,30.4851,1715109
2005-02-22,30.3603,30.4944,30.0273,30.0273,2002456
2005-02-23,30.1661,30.5222,30.1429,30.462,1624055
2005-02-24,30.4065,30.8782,30.3418,30.8227,1767363
2005-02-25,30.7071,30.832,30.4851,30.6609,1608515
2005-02-28,30.6146,30.7811,30.4065,30.5129,1868430
2005-03-01,30.499,31.0216,30.4898,30.7349,1899094
2005-03-02,30.6138,30.8932,30.3903,30.6836,1473968
2005-03-03,30.8699,31.0887,30.516,30.6464,1394074
2005-03-04,30.9025,30.9025,30.6324,30.665,1330347
2005-03-07,30.7768,30.8001,30.4741,30.5067,1142815
2005-03-08,30.544,30.7535,30.5021,30.6138,1035177
2005-03-09,30.4974,30.6417,30.3019,30.367,1215825
2005-03-10,30.4136,30.7768,30.4043,30.7209,1579624
2005-03-11,30.5579,30.7395,30.3717,30.5393,1757455
2005-03-14,30.5207,30.7675,30.4555,30.7302,1127900
2005-03-15,30.8,30.963,30.5207,30.5207,1031944
2005-03-16,30.3577,30.5114,30.1436,30.26,1067719
2005-03-17,30.1482,30.3298,29.9899,30.218,1479808
2005-03-18,30.1016,30.381,30.0784,30.218,1948324
2005-03-21,30.4509,30.4741,30.0784,30.2367,1207690
2005-03-22,30.2134,30.6138,30.0644,30.1017,1909420
2005-03-23,30.111,30.693,30.111,30.4229,1790622
2005-03-24,30.5207,30.5207,30.1761,30.1761,1142189
2005-03-28,30.26,30.5207,30.1715,30.3112,1286123
2005-03-29,30.2646,30.679,30.0784,30.4741,1737429
2005-03-30,30.5626,30.7675,30.4881,30.6371,1999848
2005-03-31,30.6371,30.6557,30.516,30.6045,1183596
2005-04-01,30.6371,30.7209,30.3996,30.4788,2000995
2005-04-04,30.4788,30.5067,30.2646,30.4183,1778836
2005-04-05,30.4881,30.7023,30.4136,30.6278,1668696
2005-04-06,30.6743,30.7954,30.5812,30.6185,955179
2005-04-07,30.6604,31.0748,30.5021,30.9165,1483042
2005-04-08,30.9164,31.0375,30.5998,30.6231,1185578
2005-04-11,30.5207,31.0608,30.5207,30.9584,1381036
2005-04-12,30.8699,31.1492,30.6185,31.0282,1342028
2005-04-13,31.0282,31.1912,30.53,30.6371,1596520
2005-04-14,30.5207,30.6604,30.3996,30.4369,2094135
2005-04-15,30.2413,31.0748,29.9806,30.0458,2492249
2005-04-18,30.0783,30.2413,29.9014,30.0225,1788954
2005-04-19,30.1482,30.1529,29.8037,29.9107,1117575
2005-04-20,29.799,29.8782,29.2636,29.3334,1651695
