date,open,high,low,close,volume
2006-10-17,22.5055,22.518,21.9949,22.381,1741338
2006-10-18,22.7172,22.7172,21.9077,22.0073,1484487
2006-10-19,22.0073,22.1568,21.4344,21.5091,1481774
2006-10-20,21.671,22.2938,21.4842,22.2315,1440342
2006-10-23,22.5429,22.5429,21.9824,22.1568,1152306
2006-10-24,22.1692,22.518,22.0696,22.2938,880349
2006-10-25,22.3934,22.5304,21.9326,22.5055,1214960
2006-10-26,22.7048,24.8221,22.5055,24.0499,4729712
2006-10-27,24.4111,25.0338,24.1371,24.9964,3889418
2006-10-30,25.2455,26.2793,25.0587,25.3203,1939059
2006-10-31,25.9554,26.1298,24.6352,24.9093,1322082
2006-11-01,25.1583,25.4448,24.5979,24.5979,854186
2006-11-02,24.5979,25.4074,24.2865,24.299,821745
2006-11-03,24.4609,24.8719,24.4111,24.7224,787037
2006-11-06,24.7847,25.2455,24.6228,24.8968,842360
2006-11-07,24.9093,25.0961,24.6103,24.8594,706928
2006-11-08,24.299,24.436,23.4147,23.888,1550948
2006-11-09,24.0125,25.1583,23.7883,25.1583,992372
2006-11-10,24.9093,25.0463,24.299,24.8968,765653
2006-11-13,24.8594,24.8594,24.5605,24.7598,332870
2006-11-14,24.8096,24.984,24.5356,24.8345,520020
2006-11-15,24.8345,25.0587,24.7224,24.9342,591746
2006-11-16,24.8594,25.0089,24.7224,25.0089,374018
2006-11-17,24.9092,24.9092,24.4609,24.6228,485960
2006-11-20,24.7224,24.7723,24.0748,24.2865,427032
2006-11-21,24.162,24.2242,23.6638,23.9876,1593351
2006-11-22,23.5891,24.2616,23.4147,24.0748,1469462
2006-11-24,23.6887,23.9129,23.6389,23.8755,141143
2006-11-27,23.6638,23.7883,22.9788,23.5392,826565
2006-11-28,23.1656,23.5891,22.518,23.5392,782298
2006-11-29,23.8506,23.9004,23.5392,23.7136,458663
2006-11-30,23.6638,23.751,23.3649,23.6264,246686
2006-12-01,23.5766,23.6015,23.3026,23.4396,371588
2006-12-04,23.1905,23.4147,23.1282,23.3649,306950
2006-12-05,23.4022,23.751,23.2652,23.6389,370008
2006-12-06,23.6389,23.8008,23.3275,23.7883,580284
2006-12-07,23.9129,23.9752,23.5392,23.9253,364865
2006-12-08,23.7385,24.2243,23.7261,24.0997,545292
2006-12-11,24.0997,24.2865,23.5517,23.614,499608
2006-12-12,23.6638,24.6851,23.3524,24.5605,946283
2006-12-13,23.7883,23.7883,22.5678,22.7172,2291693
2006-12-14,22.4432,22.8418,21.9824,22.3685,1634742
2006-12-15,22.7048,23.477,22.4183,23.2902,3829397
2006-12-18,23.1781,23.2279,22.5802,22.6425,769095
2006-12-19,22.4557,22.5927,22.1194,22.2938,914936
2006-12-20,22.2938,22.6301,22.1692,22.3561,428207
2006-12-21,22.2938,22.4557,22.107,22.2315,466439
2006-12-22,22.2938,22.3436,22.1443,22.2315,537881
2006-12-26,22.2315,22.3436,21.9824,22.0073,322340
2006-12-27,22.0073,22.0696,21.6835,21.808,464495
2006-12-28,22.2938,22.2938,21.8081,22.107,520506
2006-12-29,22.1443,22.2938,22.0073,22.1568,476847
2007-01-03,22.2564,22.6674,22.1568,22.6425,714542
2007-01-04,22.7297,22.8293,22.2938,22.5304,398115
2007-01-05,22.0447,22.518,21.8205,21.8579,457083
2007-01-08,21.8579,22.0073,21.5839,21.9949,504995
2007-01-09,21.8579,22.0821,21.6835,22.0198,802103
2007-01-10,22.1319,22.381,21.9201,22.1443,438332
2007-01-11,22.1443,23.0411,22.0945,22.3436,859451
2007-01-12,22.3187,22.8916,22.0571,22.107,569268
2007-01-16,22.107,22.1443,21.808,22.0073,504387
2007-01-17,21.9326,22.518,21.9201,22.4059,591948
2007-01-18,22.1692,22.1692,21.6586,21.6835,824540
2007-01-19,21.6461,22.0198,21.148,22.0198,955071
2007-01-22,22.1194,22.5802,22.0198,22.5055,954342
2007-01-23,22.4432,22.9041,22.1692,22.7297,533102
