date,open,high,low,close,volume
2005-01-03,14.8845,15.0875,14.8244,14.9597,442800
2005-01-04,14.9221,15.11,14.7717,14.8394,365500
2005-01-05,14.8244,15.0724,14.7793,14.8093,282400
2005-01-06,14.8093,14.9747,14.7116,14.7717,293200
2005-01-07,14.8093,14.9071,14.6364,14.8845,285800
2005-01-10,14.7342,15.0724,14.7266,14.9597,381900
2005-01-11,14.9672,15.0198,14.5763,14.659,382800
2005-01-12,14.659,14.8319,14.5312,14.7567,229200
2005-01-13,14.7342,15.0273,14.7116,14.7642,381400
2005-01-14,14.6214,15.2604,14.6214,15.2453,315700
2005-01-18,15.08,15.516,14.9296,15.4784,359700
2005-01-19,15.3807,15.3807,14.8394,14.8469,290400
2005-01-20,14.8469,14.9071,14.5462,14.7116,334700
2005-01-21,14.7492,15.0349,14.659,14.6665,212800
2005-01-24,14.6665,14.8695,14.5913,14.7492,240000
2005-01-25,14.7417,14.9973,14.644,14.7793,151900
2005-01-26,14.8394,14.9522,14.7116,14.9446,134600
2005-01-27,14.9522,15.1025,14.9071,15.0123,144500
2005-01-28,15.0198,15.0273,14.6515,14.7266,173000
2005-01-31,14.7492,15.0499,14.7492,15.0048,179600
2005-02-01,14.8845,15.3055,14.7116,15.2829,335600
2005-02-02,15.2604,15.4483,15.1777,15.3581,622800
2005-02-03,15.3205,15.3205,15.0349,15.1852,219100
2005-02-04,15.1852,15.4107,15.1476,15.3957,144300
2005-02-07,15.2754,15.6663,15.2529,15.5611,299300
2005-02-08,15.5611,15.5761,15.4634,15.5536,191500
2005-02-09,15.2604,15.5987,15.2604,15.3205,271400
2005-02-10,15.749,16.1023,15.6362,15.9294,952500
2005-02-11,15.9294,16.2752,15.8392,16.2376,397300
2005-02-14,16.155,16.3279,16.155,16.2903,384700
2005-02-15,16.2001,16.4481,16.0121,16.3504,312500
2005-02-16,16.1625,16.5383,16.1474,16.5383,401800
2005-02-17,16.5383,16.839,16.5008,16.5008,381300
2005-02-18,16.5383,16.5684,16.2903,16.403,181800
2005-02-22,16.3504,16.5383,16.0873,16.1023,336200
2005-02-23,16.1098,16.4105,15.952,16.4105,404000
2005-02-24,16.4105,16.4256,15.9971,16.373,312600
2005-02-25,16.373,16.5835,16.373,16.5759,291600
2005-02-28,16.5383,16.5383,16.1399,16.2527,309300
2005-03-01,16.3128,16.4932,16.2602,16.4932,242400
2005-03-02,16.388,16.9668,16.2903,16.2903,391000
2005-03-03,16.2978,16.4181,16.0873,16.1775,396700
2005-03-04,16.2376,16.8616,16.2151,16.7864,283200
2005-03-07,16.6661,16.9894,16.6586,16.7789,319100
2005-03-08,16.7864,17.2149,16.7338,16.8015,1027100
2005-03-09,16.8015,17.0495,16.7639,16.8015,255700
2005-03-10,16.7263,16.9744,16.5383,16.5383,248700
2005-03-11,16.6135,16.7413,16.388,16.5008,137800
2005-03-14,16.5383,16.9142,16.5083,16.8992,172800
2005-03-15,17.0195,17.0721,16.9142,16.9142,241900
2005-03-16,16.9217,17.0345,16.6436,16.7488,217200
2005-03-17,16.7413,17.2826,16.7188,17.0646,248600
2005-03-18,17.1021,17.1397,16.5158,16.5158,516900
2005-03-21,16.4932,16.7037,16.4105,16.5158,181300
2005-03-22,16.5385,16.8858,16.5007,16.8028,414800
2005-03-23,16.7499,16.7499,16.4252,16.4252,145800
2005-03-24,16.4403,16.9538,16.4025,16.8405,159300
2005-03-28,16.8103,16.8103,16.4025,16.4705,224400
2005-03-29,16.4629,16.5384,15.9494,16.0174,182700
2005-03-30,16.0325,16.7877,16.0325,16.6744,198300
2005-03-31,16.6744,16.9085,16.4705,16.5535,253600
2005-04-01,16.5762,16.9236,16.2968,16.395,172800
2005-04-04,16.3119,16.614,16.0853,16.3345,195900
2005-04-05,16.3043,16.5762,16.2892,16.2892,179500
2005-04-06,16.327,16.4478,16.0929,16.0929,222700
2005-04-07,16.1458,16.2741,15.9796,16.176,119400
2005-04-08,16.1911,16.2288,15.7531,15.7606,117800
2005-04-11,15.8588,15.9343,15.5567,15.7455,326900
2005-04-12,15.67,15.9645,15.4132,15.8965,249900
2005-04-13,15.9645,15.9721,15.4434,15.4812,144500
2005-04-14,15.4812,15.7757,14.9677,15.1036,282300
2005-04-15,15.1036,15.1716,14.5976,14.6505,208100
2005-04-18,14.726,15.0432,14.5448,14.8544,294400
2005-04-19,14.9299,15.0432,14.8695,14.9526,240100
2005-04-20,14.9979,15.1338,14.7638,14.8997,494600
2005-04-21,14.9752,15.4208,14.9752,15.4208,368400
2005-04-22,15.3679,15.3679,14.9601,15.0658,188300
2005-04-25,15.1036,15.232,14.9752,15.2244,137000
2005-04-26,15.1791,15.3604,14.877,15.0281,186700
2005-04-27,14.9903,15.1565,14.6882,14.9148,107000
2005-04-28,14.8771,14.8846,14.0841,14.1219,484700
2005-04-29,15.1791,15.2924,14.5976,14.7638,670300
2005-05-02,14.6882,15.1338,14.6882,15.0734,350800
2005-05-03,15.0281,15.1036,14.4844,14.6505,257900
2005-05-04,14.726,15.1489,14.5146,14.9828,383700
2005-05-05,14.6883,15.0734,14.6127,14.9299,378400
2005-05-06,14.9903,15.2546,14.9903,15.1187,248100
2005-05-09,15.1187,15.1187,14.7562,14.9752,206800
2005-05-10,14.9526,14.9526,14.5976,14.6656,252000
2005-05-11,14.7487,14.9299,14.507,14.9299,201900
2005-05-12,14.9299,15.1716,14.726,14.7336,279200
2005-05-13,14.8015,14.8921,14.4541,14.5448,139900
2005-05-16,14.575,14.8619,14.4541,14.8619,228000
2005-05-17,14.8015,14.8015,14.3182,14.6732,290900
2005-05-18,14.8401,15.66,14.8401,15.6524,237700
2005-05-19,15.5992,15.6675,15.3715,15.5537,180700
2005-05-20,15.5916,15.66,15.3563,15.66,100700
2005-05-23,15.5992,15.7131,15.5081,15.5613,83100
2005-05-24,15.5233,15.6068,15.326,15.4474,132700
2005-05-25,15.4474,15.4474,15.1666,15.1817,148100
2005-05-26,15.2956,15.7435,15.2956,15.6751,319600
2005-05-27,15.6751,15.9256,15.6751,15.7738,201600
2005-05-31,15.7738,16.161,15.751,16.123,313200
2005-06-01,16.1534,16.3128,16.0016,16.2596,192500
2005-06-02,16.1685,16.3355,16.0547,16.2976,174900
2005-06-03,16.3204,16.3356,15.9408,15.9408,237000
2005-06-06,15.9788,16.1078,15.7511,15.9408,185800
2005-06-07,15.9788,16.4494,15.6524,15.6827,547700
2005-06-08,15.7131,15.7966,15.6372,15.6524,383600
2005-06-09,15.5613,16.0167,15.5005,16.0167,268100
2005-06-10,16.0775,16.1382,15.827,16.0167,270800
2005-06-13,16.0243,16.1002,15.9332,16.0243,134900
2005-06-14,15.9788,16.0775,15.8953,16.0395,162200
2005-06-15,16.0471,16.0926,15.7966,15.9636,394300
2005-06-16,15.9408,16.0016,15.8801,15.9636,358200
2005-06-17,16.0926,16.3204,15.9105,15.956,547900
2005-06-20,15.9408,15.9408,15.7511,15.827,131400
2005-06-21,15.8421,15.9864,15.7738,15.8573,109700
2005-06-22,15.9029,15.9636,15.7359,15.827,152100
2005-06-23,15.8649,15.9408,15.6751,15.6979,128400
2005-06-24,15.6751,15.7814,15.4854,15.7586,393000
2005-06-27,15.789,15.9029,15.5309,15.5689,373900
2005-06-28,15.6751,16.0395,15.6676,15.7814,181400
2005-06-29,15.7814,16.1154,15.5841,16.1154,340900
2005-06-30,16.1686,16.2065,16.0016,16.0699,432500
2005-07-01,16.0699,16.0699,15.6068,15.7131,382300
2005-07-05,15.6372,15.9029,15.5613,15.827,165300
2005-07-06,15.8118,15.8953,15.7207,15.8497,164100
2005-07-07,15.7511,16.0015,15.622,15.9029,186400
2005-07-08,15.9408,16.5481,15.9332,16.5481,175900
2005-07-11,16.5481,16.8517,16.4722,16.7758,140200
2005-07-12,16.6771,16.7379,16.5329,16.586,322500
2005-07-13,16.5557,16.8138,16.5557,16.7379,218200
2005-07-14,16.8669,16.8745,16.6999,16.829,287300
2005-07-15,16.8517,17.0339,16.7986,16.9884,385200
2005-07-18,16.9125,16.9884,16.8138,16.8138,158000
2005-07-19,16.8897,17.1326,16.8897,17.1022,187700
2005-07-20,16.9808,17.497,16.8669,17.497,172300
2005-07-21,17.459,17.4666,16.9884,17.0643,172600
2005-07-22,17.0035,17.7095,16.9808,17.7095,147700
2005-07-25,17.6488,17.7323,17.3451,17.5045,230100
2005-07-26,17.4438,17.5729,17.0415,17.5653,422500
2005-07-27,18.0663,18.4458,17.755,18.2029,884900
2005-07-28,18.2105,18.9772,18.1953,18.7115,3265600
2005-07-29,18.5976,18.795,18.4914,18.5369,516600
2005-08-01,18.4989,18.59,18.4079,18.423,391000
2005-08-02,18.4838,18.7115,18.4079,18.5597,381400
2005-08-03,18.5445,18.5445,18.1574,18.2485,591700
2005-08-04,18.2181,18.256,18.1422,18.1498,241300
2005-08-05,18.165,18.1953,17.8234,17.8461,329300
2005-08-08,17.9144,18.1953,17.9144,18.1194,465200
2005-08-09,18.1574,18.2788,17.9979,18.089,221500
2005-08-10,18.1042,18.3775,17.9296,18.0283,290400
2005-08-11,17.9979,18.2029,17.8765,18.2029,290700
