date,open,high,low,close,volume
2005-01-03,29.8811,30.0158,29.3218,29.6318,1382800
2005-01-04,29.5779,29.625,29.0321,29.2073,1776800
2005-01-05,29.113,29.5037,28.6144,28.6144,2078100
2005-01-06,28.4998,28.9782,28.4594,28.8974,2095900
2005-01-07,28.9176,29.0591,28.7896,28.8906,1226200
2005-01-10,28.7222,29.0186,28.6548,28.7896,797100
2005-01-11,28.7896,28.8839,28.4325,28.7155,828000
2005-01-12,28.6548,28.8839,28.3988,28.8637,1081600
2005-01-13,28.7357,28.8098,28.3719,28.419,1093300
2005-01-14,28.3651,28.4662,28.2101,28.4257,1829100
2005-01-18,28.1967,28.6279,28.136,28.574,1025600
2005-01-19,28.4662,28.4931,28.1495,28.1764,1150800
2005-01-20,28.1562,28.163,27.7655,27.88,1970800
2005-01-21,27.9272,27.9676,27.6644,27.725,2255800
2005-01-24,27.6914,27.9204,27.6711,27.6711,1107300
2005-01-25,27.7587,28.2169,27.6846,27.7655,1736900
2005-01-26,28.0619,28.291,27.8059,28.2438,3124900
2005-01-27,28.2438,28.8771,28.2438,28.6885,2224600
2005-01-28,28.6952,28.7424,28.5201,28.7357,1466300
2005-01-31,29.1062,29.1399,28.9108,29.0725,1245800
2005-02-01,29.0725,29.2275,28.9243,29.0725,1171600
2005-02-02,29.2073,29.2679,29.0389,29.0725,1270800
2005-02-03,29.0052,29.0186,28.7357,28.9647,909900
2005-02-04,28.9378,29.7867,28.9378,29.7328,1256200
2005-02-07,29.6654,30.292,29.652,30.1303,1496800
2005-02-08,30.2179,30.2179,29.9484,30.0697,936500
2005-02-09,30.0225,30.0967,29.5172,29.6318,996600
2005-02-10,29.6452,30.0495,29.5779,29.8743,834000
2005-02-11,29.9013,30.4335,29.7194,30.2112,840000
2005-02-14,30.1169,30.2382,30.0495,30.1843,538600
2005-02-15,30.1169,30.4874,30.0562,30.447,724500
2005-02-16,30.2516,30.5144,30.1506,30.4268,991700
2005-02-17,30.2853,30.5009,30.2314,30.319,971800
2005-02-18,30.3527,30.6289,30.3392,30.4537,791300
2005-02-22,30.2651,30.4537,29.78,29.8137,1190000
2005-02-23,29.9147,30.063,29.7126,29.9956,1006200
2005-02-24,29.9956,30.2381,29.8474,30.2381,1299800
2005-02-25,30.1303,30.6289,30.0293,30.602,1349700
2005-02-28,30.3863,30.5211,30.0562,30.2044,1333400
2005-03-01,30.2045,30.7165,30.2045,30.5885,1423800
2005-03-02,30.319,30.9254,30.2179,30.8378,1626900
2005-03-03,31.0475,31.1422,30.8107,31.0475,1208900
2005-03-04,31.2504,31.9065,31.1827,31.9065,2096700
2005-03-07,32.3327,32.7115,32.15,32.2989,2493300
2005-03-08,32.4477,32.4477,32.1703,32.2853,1526600
2005-03-09,32.5018,32.8129,32.4003,32.5626,2548100
2005-03-10,32.468,32.5965,31.9404,32.2989,1802000
2005-03-11,32.2312,32.6979,32.1433,32.3665,1304700
2005-03-14,32.4679,32.7182,32.3056,32.6776,1063800
2005-03-15,32.6777,32.6979,32.2447,32.2989,1343700
2005-03-16,32.3056,32.3259,31.7171,31.7712,1652300
2005-03-17,31.8253,32.522,31.7036,32.4409,1708500
2005-03-18,32.4477,32.5018,32.1094,32.4003,1586100
2005-03-21,32.3665,32.3733,31.9877,32.0689,929600
2005-03-22,31.9945,32.5626,31.9133,32.1636,1769300
2005-03-23,32.0621,32.5085,32.0621,32.3665,1641900
2005-03-24,32.4477,32.6709,32.3056,32.3394,1042600
2005-03-28,32.5018,32.5965,32.3327,32.4341,946700
2005-03-29,32.5018,32.5762,31.5683,31.5751,1307800
2005-03-30,31.7036,32.1703,31.5818,32.1297,1285400
2005-03-31,32.2312,32.4883,32.1703,32.3733,1040800
2005-04-01,32.6709,32.7385,32.1297,32.2244,1386900
2005-04-04,32.0621,32.4071,31.9606,32.3056,1137700
2005-04-05,32.2988,32.4206,32.1365,32.3056,964000
2005-04-06,32.5288,32.8332,32.495,32.6032,1234900
2005-04-07,32.6371,32.8941,32.3665,32.8873,1220400
2005-04-08,32.8873,33.0091,32.7385,32.7588,1162200
2005-04-11,32.8062,33.4285,32.5829,33.0632,2097100
2005-04-12,33.0632,33.0767,32.2988,32.9414,1680800
2005-04-13,32.7723,32.7723,31.778,31.893,1906700
2005-04-14,31.8253,31.8253,30.9731,31.3383,2360700
