date,open,high,low,close,volume
2005-01-03,30.6009,30.7335,29.8829,29.9436,5258500
2005-01-04,29.8166,29.8166,29.0212,29.4354,9493800
2005-01-05,29.4354,30.38,29.093,30.1756,6969900
2005-01-06,30.1756,30.6175,29.9768,30.1093,3024800
2005-01-07,30.1093,30.3855,29.9215,30.2529,2158100
2005-01-10,30.2143,30.6562,30.021,30.38,3109700
2005-01-11,30.2419,30.6507,30.0541,30.4352,3680200
2005-01-12,30.3524,30.9103,30.3524,30.8219,3046700
2005-01-13,30.7943,30.9268,30.5623,30.5733,2770900
2005-01-14,30.6562,31.0704,30.6562,30.9324,2538600
2005-01-18,30.9379,31.308,30.855,31.2251,2056700
2005-01-19,31.2362,31.2472,30.7943,30.8716,1468600
2005-01-20,30.6286,30.9434,30.38,30.38,2390100
2005-01-21,30.3855,30.5844,30.1314,30.2419,2256100
2005-01-24,30.3248,30.4187,30.0817,30.0872,1715700
2005-01-25,30.1646,30.3358,29.9602,29.9713,1496900
2005-01-26,30.159,30.5291,30.0928,30.507,1846000
2005-01-27,30.9324,31.6449,30.7943,31.1533,3929400
2005-01-28,31.4847,31.5344,30.601,31.1423,3091800
2005-01-31,31.9542,32.026,31.5621,31.9321,3740500
2005-02-01,31.9321,32.5066,31.7885,32.4348,2934300
2005-02-02,32.3685,32.722,32.3409,32.5232,1737700
2005-02-03,32.2857,32.5121,32.1586,32.2138,1674500
2005-02-04,32.0371,32.1918,31.8438,31.8438,2536500
2005-02-07,31.8161,32.1752,31.7057,32.1144,1827800
2005-02-08,32.1917,32.4679,32.1752,32.4237,1455900
2005-02-09,32.3685,32.4513,32.1917,32.2856,1196200
2005-02-10,32.2857,33.0534,32.2083,32.9761,2720300
2005-02-11,32.9485,33.175,32.6668,32.9706,2194600
2005-02-14,32.8932,33.1363,32.7938,32.7938,1018500
2005-02-15,32.7275,33.1915,32.6171,33.1197,1735200
2005-02-16,32.9485,33.2744,32.9485,33.1142,1361200
2005-02-17,33.0313,33.1031,32.7551,32.7551,1862000
2005-02-18,32.838,32.838,32.6171,32.6944,1070700
2005-02-22,32.5894,32.9043,32.3906,32.4072,1472500
2005-02-23,32.4514,32.6281,32.3409,32.3409,2265700
2005-02-24,32.3961,32.7828,32.3961,32.722,2161200
2005-02-25,32.7886,33.2823,32.7276,33.1769,1771000
2005-02-28,33.1713,33.3045,32.8274,32.8496,1816300
2005-03-01,32.894,33.1769,32.8219,33.0049,1407800
2005-03-02,32.6166,33.3488,32.6,33.1325,1995500
2005-03-03,33.1547,33.4709,32.8995,33.1103,1261200
2005-03-04,33.2545,33.31,33.0271,33.249,1392600
2005-03-07,33.0049,33.5042,32.9217,33.1492,2331500
2005-03-08,33.0382,33.5707,32.9938,33.5208,2683400
2005-03-09,33.3932,33.5818,33.31,33.5818,1947600
2005-03-10,33.4487,33.7538,33.4099,33.5763,2150200
2005-03-11,33.3655,33.4764,32.9716,32.9994,3969800
2005-03-14,33.0604,33.2823,32.9495,33.2157,2349100
2005-03-15,33.31,33.4764,33.1713,33.2823,2800000
2005-03-16,33.2823,33.4431,33.1436,33.2545,2337000
2005-03-17,33.2545,33.5374,33.1713,33.4099,2244600
2005-03-18,33.4099,33.6872,33.3544,33.5874,5447000
2005-03-21,33.5042,33.5596,33.1658,33.2545,2184200
2005-03-22,33.1991,33.5929,33.1991,33.2268,2345000
2005-03-23,33.31,33.432,33.1547,33.2767,1867400
2005-03-24,33.3821,33.604,33.188,33.188,1743700
2005-03-28,33.2268,33.6206,33.2213,33.3932,1695200
2005-03-29,33.4487,33.5596,33.2934,33.4986,2666000
2005-03-30,33.432,34.0977,33.4265,34.0977,2959200
2005-03-31,33.9479,33.9535,33.31,33.8703,2428600
2005-04-01,33.9202,34.1088,33.4265,33.9257,2404600
2005-04-04,34.2031,34.3917,33.8092,34.1698,3807600
2005-04-05,34.0311,34.7245,34.0034,34.669,2590000
2005-04-06,34.669,34.9353,34.4305,34.4472,2572600
2005-04-07,34.4083,34.425,33.8647,34.2086,2471800
2005-04-08,34.0866,34.2475,33.837,34.0145,1080800
2005-04-11,33.9202,34.5858,33.8647,34.5304,1692300
2005-04-12,34.4194,34.7467,34.0422,34.4527,1877900
2005-04-13,34.3917,34.6579,34.2419,34.3639,1548600
2005-04-14,34.3362,34.4915,33.726,33.8425,2432400
2005-04-15,33.6262,33.6317,32.894,32.8995,2515300
2005-04-18,32.6388,33.0327,32.5889,32.8607,2142400
2005-04-19,32.8718,32.9994,32.5501,32.5612,1985800
2005-04-20,32.5611,32.7442,32.3892,32.3892,1428400
2005-04-21,32.6998,32.9605,32.5889,32.9383,1726000
2005-04-22,32.8385,32.955,32.3282,32.6166,1169400
2005-04-25,32.7276,33.2823,32.6943,33.1436,1773200
2005-04-26,33.2545,33.5208,32.5501,33.1935,2536600
2005-04-27,33.1935,33.3156,33.0327,33.249,1903200
2005-04-28,33.249,33.6928,33.1713,33.543,2231100
2005-04-29,33.6428,33.898,33.3988,33.8093,1817600
2005-05-02,33.837,34.3196,33.8093,34.314,1711200
2005-05-03,34.3196,34.78,34.253,34.6191,2303800
2005-05-04,34.6413,35.5566,34.6136,35.4345,3437800
2005-05-05,35.2348,35.5288,34.8133,35.1572,2655400
2005-05-06,35.1128,35.3791,34.9353,34.963,1389400
2005-05-09,34.9187,35.2792,34.6968,35.196,2153600
2005-05-10,35.196,35.49,35.085,35.3402,2439800
2005-05-11,35.2792,36.0281,35.1128,35.7563,3900000
2005-05-12,35.7784,36.0558,35.6897,35.9171,2861000
2005-05-13,35.9171,36.0281,35.368,35.5122,2520500
2005-05-16,35.3347,35.8672,35.3347,35.7784,1760700
2005-05-17,35.4179,35.9504,35.4068,35.9449,1373700
2005-05-18,35.9504,36.0392,35.8783,35.9671,1694500
2005-05-19,36.0003,36.0003,35.7008,35.9227,1174300
2005-05-20,35.9726,35.9726,35.7785,35.8006,1480600
2005-05-23,35.8617,35.9338,35.7063,35.906,1495900
2005-05-24,36.0225,36.1889,35.9781,36.0946,2772800
2005-05-25,36.0281,36.2222,35.845,35.9726,2117300
2005-05-26,36.1113,36.311,36.0225,36.2333,2643300
2005-05-27,36.289,36.4449,36.2778,36.4171,1374100
2005-05-31,36.4171,36.4171,36.1108,36.1331,1887500
2005-06-01,36.0384,36.211,35.9159,36.1164,1470300
2005-06-02,36.2444,36.3836,36.2055,36.2946,1565600
