date,open,high,low,close,volume
2005-01-03,20.5697,20.6939,20.4562,20.5626,5378200
2005-01-04,20.5626,20.6371,20.1334,20.1334,6057800
2005-01-05,20.1369,20.2504,19.9276,19.9631,5359000
2005-01-06,19.9808,20.1369,19.8318,20.0269,6147600
2005-01-07,20.2114,20.2221,20.0624,20.1014,5048000
2005-01-10,19.9915,20.6017,19.9702,20.5201,7778400
2005-01-11,20.3462,20.5981,20.3462,20.4278,6683400
2005-01-12,20.3888,20.5201,20.1793,20.371,6491200
2005-01-13,20.3,20.3959,19.9876,20.0373,6117000
2005-01-14,20.1438,20.3036,20.0408,20.1899,4950200
2005-01-18,20.0586,20.3994,20.0266,20.3923,4034600
2005-01-19,20.3568,20.4491,20.261,20.2823,3317600
2005-01-20,20.2326,20.3071,19.8491,19.9698,6339000
2005-01-21,19.9414,20.0408,19.8136,19.8491,5862200
2005-01-24,19.9698,19.9769,19.5509,19.558,6224000
2005-01-25,19.6326,19.8669,19.6326,19.7568,5905200
2005-01-26,19.9343,20.0302,19.8172,19.8953,5533400
2005-01-27,19.9166,19.9521,19.7781,19.8491,5112800
2005-01-28,19.8456,20.0125,19.7568,19.945,4436000
2005-01-31,20.2361,20.3568,20.2006,20.2326,6085200
2005-02-01,20.3071,20.3178,20.1083,20.2645,6116600
2005-02-02,20.3071,20.3426,20.2112,20.3426,4308200
2005-02-03,20.2716,20.3817,20.2184,20.332,4124200
2005-02-04,20.3355,20.8219,20.3355,20.8219,5102800
2005-02-07,20.7864,21.0882,20.7509,20.9284,5531400
2005-02-08,20.868,20.9426,20.7864,20.8432,5055800
2005-02-09,20.7864,20.939,20.5166,20.545,4795800
2005-02-10,20.5663,21.0171,20.5627,20.9639,6347200
2005-02-11,20.9461,21.2905,20.7828,21.1592,6444800
2005-02-14,21.1024,21.1343,20.9284,20.9816,3444400
2005-02-15,20.9745,21.1166,20.9284,21.0171,3426000
2005-02-16,21.0207,21.1698,20.8645,21.1272,5577000
2005-02-17,21.1201,21.1414,20.7899,20.9923,4342600
2005-02-18,20.9923,21.0349,20.7686,20.8574,6873400
2005-02-22,20.6266,20.687,20.3497,20.4243,7979400
2005-02-23,20.4136,20.7686,20.1473,20.5556,11303400
2005-02-24,20.7331,21.0171,20.3568,21.0065,8866000
2005-02-25,20.971,20.9959,20.7757,20.9462,7924000
2005-02-28,20.8361,21.0527,20.8006,20.868,8190400
2005-03-01,20.8112,20.9745,20.5982,20.7154,9082200
2005-03-02,20.5024,20.7331,20.4669,20.6018,10534400
2005-03-03,20.6089,20.7722,20.5556,20.6266,7408800
2005-03-04,20.6799,20.7012,20.4846,20.6621,6044200
2005-03-07,20.5734,20.7367,20.5095,20.5734,6056600
2005-03-08,20.4527,20.584,20.3817,20.5024,5759600
2005-03-09,20.3959,20.4598,20.2397,20.3071,5875000
2005-03-10,20.2965,20.5343,20.2929,20.4669,5252600
2005-03-11,20.4136,20.5805,20.3675,20.4669,3857200
2005-03-14,20.4491,20.4811,20.2503,20.4065,4632200
2005-03-15,20.4491,20.474,20.3142,20.4385,4805200
2005-03-16,20.3249,20.3959,20.2006,20.3675,4914000
2005-03-17,20.3107,20.371,20.2397,20.3,5385200
2005-03-18,20.3036,20.4172,20.119,20.2397,8504200
2005-03-21,20.1545,20.1935,19.9166,20.0799,4782200
2005-03-22,20.0799,20.2361,19.9237,19.9698,5954000
2005-03-23,19.9698,20.1722,19.7852,20.0693,7925600
2005-03-24,20.0693,20.3036,20.0231,20.1687,7159400
2005-03-28,20.1722,20.5911,20.1687,20.4917,7795000
2005-03-29,20.4136,20.4633,20.1403,20.1864,8395000
2005-03-30,20.1687,20.3746,20.1509,20.1971,5592000
2005-03-31,20.2326,20.3817,20.158,20.2681,6872800
2005-04-01,20.3426,20.3639,19.8314,19.9485,9842400
2005-04-04,19.9876,20.1473,19.7284,20.0479,5932200
2005-04-05,20.0479,20.261,19.8988,20.1758,4765400
2005-04-06,20.1829,20.229,20.0409,20.0622,6238800
2005-04-07,20.0231,20.1047,19.7107,20.0018,8025600
2005-04-08,19.7391,19.9201,19.3734,19.4586,11800000
