date,open,high,low,close,volume
2005-01-03,7.3248,7.3632,7.0746,7.1461,4665800
2005-01-04,7.1873,7.1983,6.9262,7.0224,5362800
2005-01-05,6.9867,7.0527,6.7806,6.808,6521200
2005-01-06,6.8493,6.874,6.7283,6.7283,4903600
2005-01-07,6.7338,6.8465,6.6596,6.7421,3545200
2005-01-10,6.7338,6.8025,6.6129,6.7393,5978200
2005-01-11,6.7063,6.7421,6.6266,6.6734,3272000
2005-01-12,6.7668,6.8218,6.6266,6.7256,3806800
2005-01-13,6.7366,6.7998,6.6569,6.7091,5015200
2005-01-14,6.7476,7.1901,6.7448,6.9207,6532600
2005-01-18,6.83,6.9675,6.8218,6.9235,3193200
2005-01-19,6.9262,6.962,6.8025,6.8465,2961600
2005-01-20,6.8163,6.9867,6.8053,6.8355,5202800
2005-01-21,6.8713,6.951,6.819,6.852,5233400
2005-01-24,6.8548,6.907,6.7723,6.8328,5940800
2005-01-25,6.874,7.1928,6.8713,7.0114,7598400
2005-01-26,7.2396,7.2451,7.0004,7.1076,6709200
2005-01-27,7.0911,7.2918,7.0197,7.2423,4659000
2005-01-28,7.2258,7.2945,6.9894,7.1076,4222000
2005-01-31,7.1763,7.2341,7.1076,7.1598,2653400
2005-02-01,7.1379,7.2066,7.1021,7.1956,4575800
2005-02-02,7.2258,7.3852,7.2011,7.3577,5447800
2005-02-03,7.4979,7.5199,7.2011,7.2863,4234200
2005-02-04,7.3248,7.6408,7.2863,7.6381,3650600
2005-02-07,7.6188,7.6821,7.4924,7.5364,3715000
2005-02-08,7.5419,7.7315,7.5117,7.6683,3632000
2005-02-09,7.6463,7.6766,7.4534,7.4644,5564800
2005-02-10,7.5278,7.6049,7.4644,7.5774,3251200
2005-02-11,7.5774,7.9191,7.5361,7.8088,4530200
2005-02-14,7.8088,7.8502,7.7014,7.773,1789200
2005-02-15,7.7593,7.9687,7.7262,7.8336,3681800
2005-02-16,7.7951,7.8336,7.6738,7.7868,3282600
2005-02-17,7.7565,7.8144,7.4947,7.5223,2558400
2005-02-18,7.5278,7.5581,7.3762,7.3818,3274200
2005-02-22,7.3432,7.4727,7.2633,7.3074,4518200
2005-02-23,7.4121,7.4396,7.2164,7.3184,3916800
2005-02-24,7.3156,7.6132,7.3019,7.6132,4862200
2005-02-25,7.5691,7.8061,7.5691,7.7482,3822800
2005-02-28,7.762,7.8171,7.5195,7.5664,5266200
2005-03-01,7.616,7.8667,7.6132,7.8336,3560000
2005-03-02,7.7372,7.9218,7.6766,7.7482,4056000
2005-03-03,7.7317,7.7896,7.4699,7.7041,4212000
2005-03-04,7.7565,7.9163,7.7152,7.7648,7246600
2005-03-07,7.7675,7.9218,7.7179,7.8502,3917000
2005-03-08,7.875,7.9218,7.6353,7.6656,4960600
2005-03-09,7.6408,7.7813,7.5306,7.5609,5503000
2005-03-10,7.5388,7.627,7.3983,7.5691,2961000
2005-03-11,7.5691,7.6545,7.3983,7.4975,3429200
2005-03-14,7.4754,7.5939,7.4341,7.5195,1615000
2005-03-15,7.5361,7.5636,7.3377,7.3432,2242600
2005-03-16,7.2853,7.3156,7.1531,7.1668,4424000
2005-03-17,7.1503,7.2109,7.0814,7.0842,2888200
2005-03-18,7.142,7.2082,7.0814,7.1338,4456200
2005-03-21,7.1255,7.1723,7.0098,7.0649,2498800
2005-03-22,7.0787,7.1806,6.9326,6.9932,4906000
2005-03-23,7.1476,7.1724,7.0263,7.0263,4118600
2005-03-24,7.0952,7.1393,7.0318,7.0318,3097000
2005-03-28,7.0456,7.1283,7.0291,7.0318,2765000
2005-03-29,7.0263,7.1806,6.9519,7.0676,4538000
2005-03-30,7.0787,7.2798,7.0676,7.2771,2851800
2005-03-31,7.2715,7.2743,7.1062,7.1668,2904800
2005-04-01,7.2275,7.233,6.9133,6.9684,5277200
2005-04-04,6.9244,7.0125,6.8637,6.8941,3786000
2005-04-05,6.9299,6.9547,6.8279,6.9106,3880800
2005-04-06,6.9712,6.985,6.8059,6.8362,2896800
2005-04-07,6.8252,7.1586,6.8197,7.098,3810000
2005-04-08,7.0952,7.2412,7.0621,7.12,2743800
2005-04-11,7.1448,7.1613,7.0318,7.0621,1454200
2005-04-12,7.0291,7.1448,6.9216,7.1255,2406400
2005-04-13,7.1062,7.131,6.9299,6.9684,2284800
2005-04-14,7.0263,7.0401,6.8555,6.8748,3153000
2005-04-15,6.8059,6.85,6.6681,6.7783,4609600
2005-04-18,6.7673,6.9822,6.7342,6.8637,3713400
2005-04-19,6.9161,7.1117,6.9161,7.0346,3822200
2005-04-20,7.098,7.1531,6.9519,7.0043,3915400
2005-04-21,7.0676,7.2991,7.0621,7.2027,4670200
2005-04-22,7.1448,7.1558,6.9106,6.9877,5092000
2005-04-25,7.0401,7.109,6.9381,7.0456,4047200
2005-04-26,7.0291,7.2467,6.974,7.0263,4370200
2005-04-27,6.996,7.1007,6.8913,7.0346,3385000
2005-04-28,7.4203,7.8529,7.4093,7.6931,17741400
2005-04-29,7.7455,7.9025,7.4396,7.8474,7220200
2005-05-02,7.8557,7.8832,7.7069,7.7482,4629800
2005-05-03,7.7427,7.8805,7.6904,7.7289,3206000
2005-05-04,7.7648,7.8805,7.7427,7.864,2823600
2005-05-05,7.8336,7.8805,7.7345,7.8171,3814400
2005-05-06,7.8447,7.9025,7.7896,7.8915,2456800
2005-05-09,7.8557,7.8584,7.7289,7.8419,2838200
2005-05-10,7.8226,7.8364,7.6793,7.7537,4214200
2005-05-11,7.7911,7.8436,7.5367,7.7275,5859400
2005-05-12,7.7745,8.1007,7.7164,7.9929,7833000
2005-05-13,8.0371,8.1394,7.9542,8.0399,4359400
2005-05-16,7.9957,8.1201,7.9487,8.109,2897200
2005-05-17,8.0758,8.2942,8.062,8.2942,4987800
2005-05-18,8.2611,8.2998,8.1311,8.2666,4593200
2005-05-19,8.2942,8.3081,8.1781,8.2307,3333800
2005-05-20,8.1809,8.2998,8.1781,8.2915,2246600
2005-05-23,8.2804,8.3025,8.1284,8.286,3357800
2005-05-24,8.239,8.2749,8.1781,8.2749,2749200
2005-05-25,8.2749,8.2749,8.0869,8.1698,2697000
2005-05-26,8.2113,8.3164,8.1698,8.2942,3779200
2005-05-27,8.2777,8.3025,8.145,8.2058,1619200
2005-05-31,8.2251,8.2832,8.1394,8.1975,2782800
2005-06-01,8.239,8.4021,8.156,8.2915,3531600
2005-06-02,8.2666,8.3302,8.2307,8.3136,3025000
2005-06-03,8.3219,8.3523,8.2196,8.2721,2407800
2005-06-06,8.2528,8.2887,8.1228,8.2583,2752800
2005-06-07,8.2777,8.4822,8.2168,8.25,3888600
2005-06-08,8.3247,8.3357,8.0786,8.1588,3387600
2005-06-09,8.1809,8.2832,8.0979,8.2638,3836400
2005-06-10,8.344,8.344,8.0039,8.1394,3542800
2005-06-13,8.1394,8.297,8.062,8.1892,2302600
2005-06-14,8.2196,8.2749,8.1477,8.1809,2150200
2005-06-15,8.2141,8.2528,8.0012,8.1726,2894400
2005-06-16,8.38,8.4408,8.2915,8.4131,5018400
2005-06-17,8.5016,8.5486,8.3551,8.4823,4831000
2005-06-20,8.4159,8.4463,8.3136,8.3578,1658600
2005-06-21,8.3053,8.4491,8.2943,8.427,1881200
