date,open,high,low,close,volume
2005-01-03,34.4325,34.4325,33.6193,33.6749,1329600
2005-01-04,33.6749,33.7423,32.8775,33.1671,1072600
2005-01-05,33.0878,33.1711,32.8736,33.0243,983000
2005-01-06,32.8855,32.9886,32.822,32.9331,1021400
2005-01-07,33.1235,33.1631,32.8815,32.9251,669600
2005-01-10,32.945,33.5559,32.9093,33.2425,1010000
2005-01-11,33.1235,33.3297,32.9529,32.9529,1086800
2005-01-12,33.06,33.2345,32.3975,33.1235,1407800
2005-01-13,33.1235,33.3218,32.9648,32.9846,1127000
2005-01-14,33.0679,33.4606,33.0084,33.3615,958200
2005-01-18,33.3615,33.5202,33.1116,33.4011,919400
2005-01-19,33.5598,34.0081,33.532,33.8534,1788400
2005-01-20,33.8296,34.0279,33.7225,33.8573,999200
2005-01-21,33.9565,34.016,33.5796,33.5915,775000
2005-01-24,33.5201,33.5201,33.0203,33.0957,1423800
2005-01-25,32.0326,32.8458,32.0088,32.5641,1972200
2005-01-26,32.6474,33.0084,32.5284,32.945,676200
2005-01-27,32.9053,33.4249,32.8577,33.3615,1583000
2005-01-28,33.3139,33.3694,33.1354,33.2821,1552400
2005-01-31,33.3813,33.5201,33.1155,33.2345,827200
2005-02-01,33.3615,33.54,33.1473,33.5321,834000
2005-02-02,33.3218,33.9168,33.179,33.8891,1793800
2005-02-03,33.7185,34.3849,33.7185,34.2262,1080400
2005-02-04,34.1945,34.3294,34.0755,34.2461,785600
2005-02-07,34.1469,34.2144,33.9327,34.0358,1294200
2005-02-08,33.9962,34.2064,33.6392,34.1192,952000
2005-02-09,34.0239,34.0279,33.5836,33.6709,931200
2005-02-10,33.6511,33.9129,33.6273,33.8454,484400
2005-02-11,33.8256,34.3096,33.6431,34.2104,688800
2005-02-14,34.1548,34.1786,33.9129,34.1033,626800
2005-02-15,34.5119,35.1347,34.5079,35.1069,2925600
2005-02-16,35.2807,35.3442,33.733,34.0584,3580000
2005-02-17,34.1417,34.3203,33.7965,33.8679,1552600
2005-02-18,33.8798,33.8798,33.4472,33.4472,1509600
2005-02-22,32.84,33.3758,32.8003,33.1496,1628200
2005-02-23,33.1774,33.3322,33.1377,33.2091,1333600
2005-02-24,33.2131,33.2568,32.9671,33.2052,1167000
2005-02-25,33.2885,33.86,33.2806,33.86,1311400
2005-02-28,33.7727,33.7727,33.229,33.3004,1313600
2005-03-01,33.3837,34.0544,33.3559,33.9711,1529000
2005-03-02,33.733,34.1497,33.5941,33.979,1055200
2005-03-03,34.0782,34.3045,33.6893,34.0584,1078000
2005-03-04,34.0663,34.4989,34.0346,34.2092,817000
2005-03-07,34.1576,34.2092,33.8917,34.1695,898600
2005-03-08,34.2092,34.2846,33.8203,34.2251,1263800
2005-03-09,33.9711,34.0981,33.3441,33.4274,1655600
2005-03-10,33.4949,33.6933,33.4155,33.5623,1243400
2005-03-11,33.6338,33.7449,33.4115,33.4512,1027800
2005-03-14,33.5385,33.8838,33.483,33.8362,822000
2005-03-15,33.8361,34.0385,33.6734,33.9195,1254200
2005-03-16,33.7528,33.7846,33.5941,33.6139,1287600
2005-03-17,33.6179,33.6218,33.2686,33.2766,1533800
