date,open,high,low,close,volume
2005-01-03,42.0551,42.1648,40.9809,41.0829,279800
2005-01-04,41.1848,41.224,39.8519,40.1263,326600
2005-01-05,39.9303,40.3537,39.7892,40.1107,329800
2005-01-06,40.0636,40.338,39.8833,39.9774,493300
2005-01-07,40.0087,40.2126,39.6481,39.6951,112200
2005-01-10,39.8127,39.9695,39.3815,39.5148,338700
2005-01-11,39.6011,39.6481,39.1699,39.507,224600
2005-01-12,39.703,39.703,38.9817,39.209,252800
2005-01-13,39.2639,39.7814,39.2639,39.554,456400
2005-01-14,39.75,40.5105,39.5697,40.4556,225700
2005-01-18,40.5105,41.0045,40.1734,41.0045,172800
2005-01-19,40.8085,41.1848,40.3851,40.3929,148200
2005-01-20,40.3929,40.5184,39.6951,39.8127,256900
2005-01-21,39.9068,40.1891,39.8284,39.9539,176600
2005-01-24,39.9146,40.0087,39.75,39.8676,180600
2005-01-25,39.8755,40.3772,39.8676,40.0715,253100
2005-01-26,40.3772,40.7614,40.291,40.7614,252700
2005-01-27,40.7614,40.7614,40.1812,40.534,192600
2005-01-28,42.7293,42.7293,41.6238,41.8669,582300
2005-01-31,41.7885,42.353,41.7885,42.353,324600
2005-02-01,42.353,42.9332,42.2667,42.9018,250100
2005-02-02,42.9096,43.2389,42.8704,43.2389,254800
2005-02-03,43.2389,43.2703,42.8469,43.0037,227200
2005-02-04,43.0037,43.8269,43.0037,43.8269,245600
2005-02-07,44.023,44.3836,43.6858,43.9054,215800
2005-02-08,43.827,44.1719,43.5525,43.9054,218400
2005-02-09,45.003,45.0422,43.6153,43.8269,351700
2005-02-10,43.7485,43.874,42.8077,42.8077,303400
2005-02-11,42.7293,44.1092,42.6823,43.9054,429800
2005-02-14,43.9054,44.7443,43.9054,44.7286,265300
2005-02-15,44.7286,45.003,44.5404,44.6423,236800
2005-02-16,44.6894,44.854,44.5326,44.7913,209000
2005-02-17,44.7678,45.2774,44.7678,44.9324,274100
2005-02-18,45.0108,45.2225,44.8619,45.0657,221500
2005-02-22,45.0657,45.4577,44.1562,44.2581,277300
2005-02-23,44.2582,44.6502,43.8897,44.0935,275800
2005-02-24,44.2582,44.7756,44.0543,44.7756,225500
2005-02-25,44.8543,45.4129,44.8464,45.1375,354600
2005-02-28,45.1611,45.4287,44.8622,45.3814,228900
2005-03-01,45.3814,45.9243,45.3814,45.4444,243900
2005-03-02,45.4365,45.4601,45.0431,45.051,154500
2005-03-03,45.2398,45.468,44.8307,44.8307,160400
2005-03-04,44.8858,45.5703,44.8858,45.4365,248100
2005-03-07,45.6096,45.7119,45.2398,45.5073,160500
2005-03-08,45.3185,45.468,44.9408,45.1847,155800
2005-03-09,45.1218,45.1218,44.398,44.5632,182900
2005-03-10,44.7599,44.8543,44.0911,44.099,263800
2005-03-11,44.217,44.5789,43.9416,44.1383,158400
2005-03-14,44.2327,44.6891,44.0596,44.6812,224500
2005-03-15,44.7599,45.2083,44.6576,44.7127,246100
2005-03-16,44.6104,44.8622,44.4216,44.4452,209900
2005-03-17,44.398,44.8936,44.0754,44.4452,368400
2005-03-18,44.4137,44.8385,44.2721,44.6104,331900
2005-03-21,44.5317,44.9172,43.981,44.6261,225600
2005-03-22,44.6104,45.3106,44.5632,44.7048,233300
2005-03-23,44.6969,44.6969,43.9259,43.9259,401300
2005-03-24,44.0046,44.2878,43.8236,43.8944,150200
2005-03-28,44.099,44.2563,43.7921,44.0124,210800
2005-03-29,43.9338,44.1541,43.1234,43.1785,308400
2005-03-30,43.1942,43.5876,42.7772,43.3358,168100
2005-03-31,43.3909,44.1226,43.1548,43.9967,179100
2005-04-01,44.1777,44.5947,43.9652,44.3114,217600
2005-04-04,44.3114,44.3822,43.7449,44.1777,181200
2005-04-05,44.1776,44.9566,44.1776,44.8071,274100
2005-04-06,44.8464,45.0825,44.6497,44.8543,155000
2005-04-07,44.7678,45.405,44.7284,44.8936,96900
2005-04-08,44.8464,44.8464,44.0754,44.1147,263100
2005-04-11,44.3114,44.4924,43.9023,44.2406,88300
2005-04-12,44.3744,45.1139,43.863,44.9251,171000
2005-04-13,44.9644,44.9881,44.0124,44.0597,78700
2005-04-14,44.9644,45.4601,43.981,44.752,548300
2005-04-15,44.752,45.3972,44.2878,44.4845,485400
2005-04-18,44.516,45.2319,43.8157,44.335,258200
2005-04-19,44.5317,45.1611,44.2406,44.9959,211200
2005-04-20,45.0982,45.169,44.0596,44.0754,157200
2005-04-21,44.2721,44.9172,44.2721,44.8543,225500
2005-04-22,44.8071,44.8071,43.5482,43.7921,209800
2005-04-25,43.9888,45.0116,43.9652,44.8464,219000
2005-04-26,45.0431,45.5703,44.6261,44.6261,149100
2005-04-27,44.5317,44.5396,43.9101,44.1383,220400
2005-04-28,44.1383,44.1462,43.0762,43.084,362800
2005-04-29,43.0919,43.265,42.5569,43.265,378400
2005-05-02,43.863,44.5317,43.5482,43.9652,310700
2005-05-03,43.9731,45.2319,43.9416,44.8228,358200
2005-05-04,44.8779,45.5309,44.6261,45.5073,220900
2005-05-05,45.3972,45.8299,45.2713,45.3421,268500
2005-05-06,45.5152,46.003,45.2477,45.8614,195800
2005-05-09,45.9479,45.9479,45.4758,45.5939,237800
2005-05-10,45.3972,45.4444,44.9644,45.1611,171300
2005-05-11,45.0431,45.051,44.4373,44.8228,254400
2005-05-12,44.7441,44.7914,43.7528,43.7843,555200
2005-05-13,43.8236,44.1226,43.2414,43.3909,384000
2005-05-16,43.2729,44.4137,43.2729,44.335,216600
2005-05-17,44.4137,44.9094,44.3114,44.8779,274600
2005-05-18,45.2713,46.2469,45.2713,46.0974,252400
2005-05-19,46.302,46.7583,46.1761,46.6639,318100
2005-05-20,46.8134,46.8685,46.4593,46.7583,151500
2005-05-23,47.0337,48.0801,46.9707,47.8913,381100
2005-05-24,47.8126,48.1037,47.5057,48.0329,281000
2005-05-25,47.9935,48.1981,47.6867,47.7654,212500
2005-05-26,47.8441,48.859,47.8441,48.5915,187000
2005-05-27,48.5441,48.8046,48.1653,48.7415,157200
2005-05-31,48.852,48.8914,48.1889,48.1889,155100
2005-06-01,48.1889,48.8757,48.1653,48.7178,488400
2005-06-02,49.3335,49.5308,49.2151,49.4519,527000
2005-06-03,49.6492,49.6887,49.0809,49.1598,277100
2005-06-06,49.294,49.9413,49.294,49.886,633000
2005-06-07,50.0833,50.5332,49.9491,49.9491,227200
2005-06-08,50.0044,50.2412,49.5861,49.6255,176300
2005-06-09,49.7045,50.2412,49.444,50.0281,260100
2005-06-10,50.0281,50.3596,49.9334,50.3517,252800
2005-06-13,50.4543,50.6911,49.9412,50.5411,281100
2005-06-14,50.5569,50.9753,50.5569,50.8885,134000
2005-06-15,50.8885,51.8041,50.849,51.7725,290500
2005-06-16,51.8199,53.3038,51.7409,53.0433,366700
2005-06-17,53.0433,53.6906,52.9249,53.6038,603800
2005-06-20,53.6275,53.6511,53.0512,53.1302,213800
2005-06-21,53.0828,53.2959,52.7118,53.0828,166400
2005-06-22,53.1302,53.2012,52.6092,52.7907,155600
2005-06-23,52.6881,52.7671,51.7804,51.9856,322300
2005-06-24,51.9857,52.4908,51.9857,52.3093,456300
2005-06-27,52.3092,53.7458,52.3014,53.7222,311800
2005-06-28,53.8721,54.8193,53.8485,54.4326,275900
2005-06-29,54.5668,54.7246,54.2747,54.4484,257700
2005-06-30,54.4878,55.3798,54.3773,54.5589,531600
2005-07-01,54.6615,55.0562,54.1326,54.4641,390000
2005-07-05,54.622,55.2456,54.3063,54.9772,400400
2005-07-06,55.1745,55.1745,54.5431,54.8904,308600
2005-07-07,54.2668,54.8825,52.9565,54.8825,721100
2005-07-08,54.9378,55.6482,54.8509,55.2535,595900
2005-07-11,55.2535,55.4982,55.1035,55.364,340800
2005-07-12,55.4271,55.4271,53.9984,54.2589,551300
2005-07-13,54.3852,54.5431,53.9747,54.1879,339700
2005-07-14,54.4641,54.8588,53.6353,54.0063,395100
2005-07-15,53.9116,54.1484,53.738,53.8011,358600
2005-07-18,53.8721,54.3457,53.8721,54.1326,503100
2005-07-19,54.1405,54.6615,54.109,54.4641,412800
2005-07-20,58.3319,58.3319,56.5006,56.9821,1038500
2005-07-21,57.069,57.4557,56.4612,56.7295,616700
2005-07-22,56.7927,57.5347,56.7848,57.4241,303200
2005-07-25,57.4794,57.8583,56.8322,56.9269,442600
2005-07-26,57.3215,58.2214,57.0847,57.8662,466800
2005-07-27,58.0241,58.1188,56.1533,56.8085,490200
2005-07-28,57.2268,58.3319,57.2031,58.0398,656400
2005-07-29,58.1819,58.5924,57.2821,57.3768,280000
2005-08-01,56.0428,57.511,54.4641,56.6348,806700
2005-08-02,56.5953,57.882,56.548,57.3768,438000
2005-08-03,57.3768,57.4242,56.398,56.5401,301600
2005-08-04,56.619,56.7453,55.7981,56.0428,198400
2005-08-05,54.9772,55.5455,53.8958,54.6062,468100
2005-08-08,54.6615,54.9141,53.6827,54.3457,370400
