date,open,high,low,close,volume
2005-01-03,29.6587,29.9554,29.5209,29.6216,5105800
2005-01-04,29.6746,29.7329,29.0175,29.3037,6100300
2005-01-05,29.1712,29.6322,29.1341,29.1341,5072100
2005-01-06,29.6481,30.0031,29.5527,29.823,5991400
2005-01-07,29.913,30.1515,29.6746,29.7064,4269900
2005-01-10,29.5156,29.7859,29.4096,29.7011,3733200
2005-01-11,29.7011,29.7011,29.2454,29.3831,4113800
2005-01-12,29.5163,29.6121,29.021,29.4364,4726600
2005-01-13,29.234,29.8677,29.234,29.5535,5402800
2005-01-14,29.6068,29.9582,29.4683,29.8571,3526100
2005-01-18,29.5535,30.086,29.5376,30.0594,3384600
2005-01-19,29.9263,29.9955,29.463,29.5163,3215000
2005-01-20,29.2979,29.4843,28.9465,29.2074,4111200
2005-01-21,29.2021,29.5056,28.9678,29.0104,4884300
2005-01-24,29.053,29.4151,28.7015,28.7921,5614900
2005-01-25,28.9412,29.3725,28.9199,28.9678,4749200
2005-01-26,29.0104,29.069,28.6803,28.8453,5381700
2005-01-27,28.7548,28.9146,28.5045,28.6217,3925300
2005-01-28,28.7122,29.1435,28.7122,28.9518,4799000
2005-01-31,29.3033,29.8358,29.2979,29.7985,5418400
2005-02-01,30.0594,30.8422,29.9263,30.4854,6411900
2005-02-02,30.4215,30.5227,30.2511,30.3896,4372400
2005-02-03,30.3257,30.6239,30.2458,30.4481,3609200
2005-02-04,30.5813,31.2575,30.5387,31.2469,4892000
2005-02-07,31.2469,31.2735,30.8262,30.9221,4369300
2005-02-08,31.0339,31.2948,30.9913,31.2043,3544500
2005-02-09,31.0445,31.2735,30.8795,30.9753,3567300
2005-02-10,31.0339,31.3534,30.938,31.3481,5585000
2005-02-11,31.2575,32.1574,31.2043,32.1202,6476800
2005-02-14,32.1202,32.2213,31.8379,32.0935,3474200
2005-02-15,31.9498,32.0989,31.7634,31.9498,4421600
2005-02-16,31.6356,31.9444,31.4758,31.806,4528000
2005-02-17,31.6729,31.9072,31.609,31.7421,4115600
2005-02-18,31.7421,31.7421,30.6079,30.6984,6679000
2005-02-22,30.1819,30.6931,30.1712,30.2884,5676100
2005-02-23,30.512,30.5546,30.1819,30.3683,3824300
2005-02-24,30.4321,30.4321,30.0328,30.1978,3785300
2005-02-25,30.118,30.7517,30.102,30.7037,3508000
2005-02-28,30.512,30.6185,29.8997,30.0701,5473600
2005-03-01,30.0701,30.4961,30.0701,30.3257,5029100
2005-03-02,30.1925,30.5919,30.1393,30.2138,4827400
2005-03-03,30.4481,30.5972,29.921,30.315,4687600
2005-03-04,30.725,31.396,30.6451,31.0924,4752000
2005-03-07,31.3108,31.6995,31.2628,31.5238,4641800
2005-03-08,31.5238,31.9498,31.3907,31.6303,5283800
2005-03-09,31.6356,32.0935,31.3747,31.9285,7575200
2005-03-10,31.9498,32.1628,31.5664,31.9391,6332800
2005-03-11,31.8699,31.8859,30.8528,31.1457,5528800
2005-03-14,31.1457,31.4599,31.0445,31.4173,3534700
2005-03-15,31.7634,31.9125,31.183,31.3374,4403200
2005-03-16,31.0392,31.1936,30.5387,30.8582,4984200
2005-03-17,30.725,30.8581,30.134,30.3896,7634900
2005-03-18,30.3949,30.7783,30.0008,30.7676,8396500
2005-03-21,30.7144,30.9913,30.2671,30.3576,5810000
2005-03-22,30.4322,30.5866,29.6387,29.66,5824900
2005-03-23,29.66,29.7772,29.1275,29.6281,5802300
2005-03-24,29.5429,29.8997,29.4524,29.6015,5669100
2005-03-28,29.6227,29.7133,29.4044,29.5429,4449500
2005-03-29,29.5535,29.8997,28.5311,28.5471,13796100
2005-03-30,28.5471,29.6068,28.5471,29.4364,17600600
2005-03-31,30.6185,30.6718,30.0754,30.4854,17723900
2005-04-01,30.6079,31.4599,30.1393,30.283,13769600
2005-04-04,31.151,32.003,30.3257,31.0445,26080300
