date,open,high,low,close,volume
2007-11-15,20.2847,25.0913,19.4557,23.0187,11770500
2007-11-16,22.9129,22.9129,20.8139,22.0133,1242900
2007-11-19,21.7928,22.71,21.6341,22.71,469500
2007-11-20,22.419,25.7616,22.2779,24.0947,522200
2007-11-21,23.8125,23.9271,22.8776,23.5038,167500
2007-11-23,24.0771,24.9855,23.6537,24.1653,100700
2007-11-26,24.6856,26.0085,24.2799,24.518,438300
2007-11-27,24.8973,25.3559,23.1775,23.7948,305800
2007-11-28,23.9183,24.3593,23.5302,24.0771,273600
2007-11-29,23.4685,24.6856,23.4597,24.0771,110600
2007-11-30,24.3416,25.3118,23.9007,24.3857,524000
2007-12-03,24.4298,24.8708,24.1652,24.668,83600
2007-12-04,24.4387,26.2378,24.0241,25.885,387400
2007-12-05,28.8219,28.8219,25.4793,25.8233,207200
2007-12-06,25.5764,25.9468,25.0825,25.497,97700
2007-12-07,25.6293,25.6645,25.1354,25.4705,82500
2007-12-10,25.2148,26.4142,25.2148,25.5764,177900
2007-12-11,25.5675,25.9291,24.9149,25.5764,236200
2007-12-12,25.8939,25.8939,24.959,25.1177,64700
2007-12-13,24.6327,25.5764,24.6327,25.5234,78000
2007-12-14,25.4264,25.5234,24.9855,25.3294,118200
2007-12-17,24.6415,25.6293,24.4034,24.6768,128600
2007-12-18,24.6944,25.4,24.6944,25.1354,132400
2007-12-19,25.1883,25.885,25.1883,25.5323,197600
2007-12-20,25.5323,25.5852,25.4793,25.4793,197800
2007-12-21,26.0173,30.2771,25.9291,29.7391,498600
2007-12-24,29.6333,30.3389,28.7073,29.9155,142000
2007-12-26,29.9155,31.75,29.8097,30.2948,228300
2007-12-27,30.2947,32.7995,29.8097,32.235,194600
2007-12-28,32.1468,33.752,31.75,32.9141,165900
2007-12-31,33.0288,33.8666,31.75,33.8666,136200
2008-01-02,33.3551,33.4697,29.21,29.8538,442900
2008-01-03,29.8538,29.8538,26.9522,27.155,395900
2008-01-04,25.3471,27.3402,24.7914,26.5906,354100
2008-01-07,26.2378,26.2378,24.4739,24.8179,383000
2008-01-08,24.6944,24.8267,22.9393,23.4861,183900
2008-01-09,24.0771,26.2378,21.8193,24.4827,383400
2008-01-10,25.8409,27.693,23.6361,26.1408,531500
2008-01-11,25.9468,28.9013,25.7616,26.8375,121900
2008-01-14,26.5465,26.8993,26.2378,26.8993,198300
2008-01-15,26.8993,27.2785,26.2114,27.0845,74200
2008-01-16,27.1286,27.1286,25.1354,25.8409,123700
2008-01-17,25.9732,25.9732,25.2677,25.5675,122400
2008-01-18,26.2025,26.2378,25.5764,25.8586,238900
2008-01-22,24.8267,25.7528,24.1035,25.4882,193000
2008-01-23,25.5587,28.6367,25.0296,27.4814,193100
2008-01-24,27.1462,29.1041,26.67,28.3721,305000
2008-01-25,28.575,28.7337,27.4549,28.0282,148700
2008-01-28,27.6048,29.9861,26.4848,29.1571,222500
2008-01-29,28.8131,29.5098,28.5309,28.9101,142600
2008-01-30,28.9013,29.1041,27.3402,28.8396,117300
2008-01-31,28.6632,29.1041,28.3104,29.0777,114800
2008-02-01,29.0777,31.7235,28.575,30.5152,134600
2008-02-04,30.5152,30.7798,29.1041,29.5275,75300
2008-02-05,29.5275,29.5275,28.2045,28.9895,109100
2008-02-06,28.8395,28.8572,27.4196,27.6666,146000
2008-02-07,27.693,28.2222,26.035,26.2025,128000
2008-02-08,26.5906,27.6313,26.5818,27.6313,103400
2008-02-11,27.6489,28.1781,27.3402,27.7195,94600
2008-02-12,27.5607,28.1693,26.8375,27.6048,147800
2008-02-13,27.5166,29.8714,27.5166,29.8361,114200
2008-02-14,29.6245,29.8097,28.3545,29.3511,103100
2008-02-15,29.3511,29.3864,26.7493,27.9929,142700
2008-02-19,27.9576,28.6102,26.7758,28.3104,183500
2008-02-20,28.0811,30.2859,27.2873,28.4074,181300
2008-02-21,28.4868,29.9773,27.8694,29.6333,207100
2008-02-22,29.5451,30.1184,28.6455,29.7479,123500
2008-02-25,29.7656,30.136,28.9718,29.1835,158500
2008-02-26,29.404,31.1855,28.769,29.9155,186100
2008-02-27,29.7656,30.2418,27.6225,28.2222,220300
2008-02-28,28.7072,28.7072,25.7351,27.4196,344100
2008-02-29,28.5397,28.5397,25.8674,26.2202,216900
2008-03-03,26.0173,26.767,24.9502,25.6381,188100
2008-03-04,24.5357,26.3436,23.98,25.8939,177400
2008-03-05,26.3877,28.3104,26.2114,27.9135,221400
2008-03-06,27.9047,28.0811,26.0702,26.3348,214800
2008-03-07,26.2466,26.6435,23.345,24.9237,268800
2008-03-10,25.0384,25.0384,23.6714,23.8213,85800
2008-03-11,24.2446,26.7582,24.033,26.7141,166300
2008-03-12,26.5112,27.3402,26.1055,26.3084,194800
2008-03-13,26.1055,26.7758,25.3647,26.4054,176700
2008-03-14,26.4054,26.4054,23.151,23.689,306100
2008-03-17,23.2216,23.4068,20.5405,20.7874,367900
2008-03-18,22.7365,24.2887,20.9285,23.8125,563900
2008-03-19,23.4773,24.4739,22.8423,23.5391,275700
2008-03-20,23.3186,24.8796,22.8423,24.8796,171400
2008-03-24,25.0119,27.2609,24.8884,26.52,219600
2008-03-25,26.229,27.252,25.2412,26.8023,163400
2008-03-26,26.8905,27.155,25.9291,25.938,242400
2008-03-27,26.1937,27.208,25.8674,26.1937,173700
2008-03-28,26.1055,27.7812,25.9115,27.5607,137600
2008-03-31,27.2609,27.2609,24.7561,26.2378,230600
2008-04-01,26.2995,27.79,26.1584,27.2432,116300
2008-04-02,27.3402,28.4427,26.1761,28.0193,128100
