date,open,high,low,close,volume
2005-01-03,2.8121,2.8389,2.6916,2.7184,187800
2005-01-04,2.7318,2.7451,2.6112,2.638,144600
2005-01-05,2.6273,2.6782,2.5845,2.6112,208500
2005-01-06,2.6193,2.6782,2.5978,2.6246,107700
2005-01-07,2.6112,2.6112,2.4372,2.4425,202500
2005-01-10,2.4425,2.5175,2.4238,2.5175,96000
2005-01-11,2.5175,2.5978,2.4907,2.5309,143100
2005-01-12,2.5041,2.5041,2.4505,2.4773,46800
2005-01-13,2.4505,2.4505,2.1827,2.33,443400
2005-01-14,2.33,2.3434,2.2229,2.2283,156000
2005-01-18,2.2497,2.4372,2.1693,2.3568,242100
2005-01-19,2.3032,2.3059,2.2363,2.2497,75300
2005-01-20,2.2229,2.3568,2.1827,2.3247,120900
2005-01-21,2.2925,2.33,2.2497,2.2631,62100
2005-01-24,2.2497,2.3032,2.1961,2.2229,164100
2005-01-25,2.2899,2.2899,2.0354,2.1693,718200
2005-01-26,2.1881,2.2497,2.1426,2.2175,284400
2005-01-27,2.2175,2.2791,2.2095,2.2631,145800
2005-01-28,2.2684,2.3166,2.2577,2.3166,124500
2005-01-31,2.3086,2.3166,2.2925,2.2925,143400
2005-02-01,2.3166,2.3166,2.2229,2.2229,83100
2005-02-02,2.2229,2.2765,2.1827,2.2497,189300
2005-02-03,2.2229,2.3407,2.2229,2.33,138900
2005-02-04,2.33,2.6514,2.33,2.5737,1469700
2005-02-07,2.5978,2.7585,2.5711,2.6862,1396800
2005-02-08,2.6862,2.6916,2.638,2.6514,1386000
2005-02-09,2.6514,2.6782,2.5711,2.6005,901500
2005-02-10,2.5443,2.8523,2.4532,2.8442,26694300
2005-02-11,2.8791,2.9192,2.6996,2.8121,4468800
2005-02-14,2.8228,2.8523,2.7612,2.8014,3008700
2005-02-15,2.8148,2.8148,2.6219,2.6916,1911600
2005-02-16,2.7184,2.7318,2.6702,2.7184,2392200
2005-02-17,2.7318,2.7318,2.6112,2.638,2098800
2005-02-18,2.6005,2.705,2.5175,2.6862,3285600
2005-02-22,2.6514,2.6514,2.5577,2.6059,1204200
2005-02-23,2.5978,2.6246,2.5443,2.5925,1654800
2005-02-24,2.5443,2.6112,2.5443,2.5845,456900
2005-02-25,2.5764,2.8389,2.5443,2.8121,1976700
2005-02-28,2.8121,2.8683,2.7666,2.8228,1196700
2005-03-01,2.8683,2.9112,2.7344,2.8442,750300
2005-03-02,2.8094,2.9942,2.7666,2.9085,1440300
2005-03-03,2.9192,3.0237,2.8389,2.8844,1310100
2005-03-04,2.8817,2.9165,2.8282,2.8657,684000
2005-03-07,3.021,3.021,2.9085,2.9273,2968800
2005-03-08,2.9192,2.9862,2.8389,2.8657,1588200
2005-03-09,2.8308,2.855,2.7451,2.7639,1683600
2005-03-10,2.7585,2.8094,2.6916,2.721,737400
2005-03-11,2.6969,2.7746,2.6648,2.7559,1494600
2005-03-14,2.8121,2.8255,2.6889,2.7987,1482900
2005-03-15,2.8308,2.9326,2.8228,2.8844,3214800
2005-03-16,2.8791,2.946,2.8389,2.938,720300
2005-03-17,2.9433,2.9835,2.8764,2.9648,769200
2005-03-18,2.9648,3.0585,2.9487,3.0424,1279500
2005-03-21,3.013,3.1763,2.9594,3.0746,2259900
2005-03-22,3.0772,3.0772,2.9353,2.9594,1335900
2005-03-23,2.9728,2.9728,2.8683,2.8951,653400
2005-03-24,2.9433,3.013,2.8924,2.9728,975300
2005-03-28,2.9407,3.0237,2.8924,2.9862,813600
2005-03-29,2.9728,2.9728,2.9166,2.9299,889800
2005-03-30,2.954,2.9648,2.8442,2.8764,912000
2005-03-31,2.8924,2.946,2.8416,2.8657,1101000
2005-04-01,2.9407,2.9407,2.7559,2.8014,1705200
2005-04-04,2.78,2.9058,2.7746,2.8791,903000
2005-04-05,2.8255,2.9032,2.8255,2.8737,606900
2005-04-06,2.9219,2.9514,2.8603,2.8871,503400
2005-04-07,2.9005,2.938,2.8657,2.9112,246900
2005-04-08,2.8844,2.9514,2.8844,2.9166,500400
2005-04-11,2.946,2.954,2.7719,2.8201,392400
2005-04-12,2.7773,2.9139,2.7773,2.8737,618000
2005-04-13,2.8871,2.8951,2.8121,2.8442,541200
2005-04-14,2.8442,2.8924,2.8121,2.8255,890100
2005-04-15,2.7451,2.8924,2.6273,2.8014,3222300
2005-04-18,2.7987,2.9192,2.78,2.8496,1500900
2005-04-19,2.8523,2.9058,2.8523,2.9005,1011300
2005-04-20,2.9058,2.9326,2.7719,2.7853,873900
2005-04-21,2.7987,2.946,2.6782,2.8523,4152900
2005-04-22,2.9701,3.7896,2.9674,3.5968,22864800
2005-04-25,3.5593,3.9423,3.5513,3.878,9013500
2005-04-26,3.8352,3.9021,3.7173,3.7736,6187800
2005-04-27,3.7361,3.9637,3.6289,3.8593,2516100
2005-04-28,3.8834,4.0709,3.8834,4.0173,3757500
2005-04-29,3.9423,4.1512,3.9423,4.0146,2183700
2005-05-02,4.0173,4.0708,3.9637,4.0146,1828800
2005-05-03,4.0173,4.1458,3.9637,4.0066,2806200
2005-05-04,4.0307,4.0601,3.9771,4.0575,875700
2005-05-05,4.0789,4.1378,4.0093,4.0976,948600
2005-05-06,4.103,4.2958,4.0226,4.253,1648200
2005-05-09,4.2851,4.2985,4.1646,4.2235,1112100
2005-05-10,4.2262,4.2449,3.9369,4.0173,3884700
2005-05-11,4.0441,4.0441,3.9396,3.9959,938700
2005-05-12,3.945,3.9744,3.8646,3.8887,2119200
2005-05-13,3.8807,3.9477,3.862,3.8941,1774800
2005-05-16,3.8834,3.9584,3.8459,3.8834,1418400
2005-05-17,3.8834,4.0039,3.8566,3.961,1674300
2005-05-18,3.9771,4.1083,3.9771,3.9959,2850900
2005-05-19,3.9959,4.1378,3.9959,4.0976,2013900
2005-05-20,4.0789,4.4967,4.0789,4.3226,4877100
2005-05-23,4.328,4.3735,4.2396,4.3092,2490900
2005-05-24,4.2878,4.4458,4.2744,4.4163,2401500
2005-05-25,4.3922,4.5154,4.3815,4.4324,2084100
2005-05-26,4.4565,4.6761,4.4244,4.6413,3349200
2005-05-27,4.6199,4.6601,4.5904,4.6011,1427100
2005-05-31,4.6172,4.6386,4.5342,4.5958,1609800
