date,open,high,low,close,volume
2005-01-03,5.0067,5.0067,4.9132,4.9332,8639200
2005-01-04,4.9332,4.9566,4.8718,4.8732,7299200
2005-01-05,4.8578,4.8732,4.8031,4.8104,7496800
2005-01-06,4.8117,4.9005,4.793,4.8885,10853600
2005-01-07,4.8898,4.9593,4.8578,4.8792,5803200
2005-01-10,4.8832,4.9252,4.8625,4.8958,8305600
2005-01-11,4.8972,4.8979,4.8398,4.8398,4523200
2005-01-12,4.8391,4.8685,4.8284,4.8631,6058400
2005-01-13,4.8665,4.9165,4.8665,4.8865,5259200
2005-01-14,4.8798,4.9292,4.8518,4.8892,4590400
2005-01-18,4.8885,4.9459,4.8678,4.9459,5831200
2005-01-19,4.9626,4.974,4.9199,4.9259,5108000
2005-01-20,4.98,4.98,4.9279,4.9466,8758400
2005-01-21,4.9466,5.022,4.9466,4.9806,9207200
2005-01-24,4.9853,5.022,4.9746,4.9833,10758400
2005-01-25,5.0033,5.014,4.9246,4.9286,8687200
2005-01-26,4.9533,5.0227,4.9379,5.0167,6529600
2005-01-27,4.9933,5.046,4.9893,5.0187,5049600
2005-01-28,5.036,5.044,5.0027,5.044,6284800
2005-01-31,5.0487,5.1302,5.0447,5.1161,7364800
2005-02-01,5.1161,5.1902,5.0934,5.1862,7667200
2005-02-02,5.1862,5.2476,5.1669,5.2203,8046400
2005-02-03,5.2003,5.2617,5.1902,5.2577,7438400
2005-02-04,5.2703,5.3204,5.2577,5.3204,5941600
2005-02-07,5.3204,5.3251,5.2797,5.2884,4763200
2005-02-08,5.2697,5.3531,5.2637,5.3364,6960000
2005-02-09,5.3211,5.3511,5.2997,5.2997,5512000
2005-02-10,5.3104,5.3171,5.2663,5.2804,8482400
2005-02-11,5.2737,5.291,5.2336,5.257,8734400
2005-02-14,5.257,5.3458,5.235,5.3458,7082400
2005-02-15,5.3351,5.3464,5.3077,5.3278,6902400
2005-02-16,5.3211,5.3404,5.291,5.3391,5466400
2005-02-17,5.3271,5.3378,5.2737,5.3164,6585600
2005-02-18,5.3164,5.3164,5.2103,5.247,6971200
2005-02-22,5.2723,5.2777,5.1702,5.1702,11951200
2005-02-23,5.2103,5.2523,5.1228,5.1368,13301600
2005-02-24,5.1635,5.2296,5.1495,5.2256,6525600
2005-02-25,5.2256,5.3411,5.2189,5.3204,6088000
2005-02-28,5.3271,5.3444,5.2737,5.297,8144000
2005-03-01,5.297,5.3752,5.277,5.3725,9558400
2005-03-02,5.3725,5.388,5.3327,5.3408,7512800
2005-03-03,5.3637,5.3866,5.3213,5.3812,7988800
2005-03-04,5.3913,5.4701,5.3913,5.4513,8669600
2005-03-07,5.4445,5.5159,5.4297,5.5092,6191200
2005-03-08,5.5092,5.5132,5.452,5.4903,7079200
2005-03-09,5.4621,5.4627,5.361,5.3738,10153600
2005-03-10,5.3738,5.4156,5.3307,5.4102,7996800
2005-03-11,5.388,5.4284,5.3664,5.3752,6494400
2005-03-14,5.3738,5.487,5.3678,5.4843,7063200
