date,open,high,low,close,volume
2005-01-03,4.4217,4.4295,4.3209,4.324,1424780
2005-01-04,4.3286,4.3628,4.251,4.251,2207187
2005-01-05,4.2821,4.2821,4.1921,4.2216,1457676
2005-01-06,4.251,4.251,4.22,4.2278,1762186
2005-01-07,4.2588,4.2666,4.2076,4.2185,667730
2005-01-10,4.2417,4.2821,4.22,4.2247,1221012
2005-01-11,4.2448,4.2448,4.1921,4.2045,1043285
2005-01-12,4.2278,4.2278,4.1673,4.2061,1137174
2005-01-13,4.2324,4.265,4.2092,4.2216,1099710
2005-01-14,4.2433,4.2914,4.2216,4.2867,580466
2005-01-18,4.3209,4.3209,4.2821,4.3022,856422
2005-01-19,4.3302,4.369,4.3162,4.341,1014045
2005-01-20,4.341,4.3659,4.2991,4.3348,737404
2005-01-21,4.3659,4.4077,4.355,4.3721,920156
2005-01-24,4.3053,4.3348,4.2386,4.2386,2009130
2005-01-25,4.2666,4.2945,4.2526,4.2821,1575779
2005-01-26,4.2976,4.324,4.2774,4.3007,1042600
2005-01-27,4.2146,4.368,4.2146,4.3351,1483718
2005-01-28,4.3367,4.3367,4.2788,4.2929,2076976
2005-01-31,4.3132,4.3445,4.3054,4.3367,878123
2005-02-01,4.3524,4.3978,4.3508,4.3805,1467499
2005-02-02,4.3868,4.4479,4.3774,4.4479,1127351
2005-02-03,4.4588,4.4745,4.4228,4.4698,2102333
2005-02-04,4.4776,4.5402,4.476,4.5402,1245912
2005-02-07,4.5715,4.5794,4.4713,4.5089,1455163
2005-02-08,4.5324,4.5371,4.4901,4.5167,1652992
2005-02-09,4.5371,4.5387,4.4807,4.4823,1596110
2005-02-10,4.4933,4.5293,4.4933,4.5214,1873665
2005-02-11,4.5214,4.5214,4.487,4.5136,1243856
2005-02-14,4.5387,4.5762,4.5277,4.559,993942
2005-02-15,4.5794,4.6029,4.5575,4.5872,1279949
2005-02-16,4.6154,4.642,4.5966,4.6404,1322211
2005-02-17,4.6655,4.6655,4.5575,4.57,852995
2005-02-18,4.5856,4.5903,4.5308,4.5324,1026838
2005-02-22,4.534,4.5355,4.4604,4.4619,1393712
2005-02-23,4.4619,4.5183,4.4619,4.4839,2352704
2005-02-24,4.4933,4.5136,4.4275,4.5136,885662
2005-02-25,4.512,4.606,4.4917,4.5888,874011
2005-02-28,4.5872,4.6185,4.5465,4.5872,1265558
2005-03-01,4.6154,4.6796,4.606,4.6514,1614842
2005-03-02,4.6577,4.6764,4.6342,4.6717,2620435
2005-03-03,4.6811,4.7171,4.6623,4.6623,1840998
2005-03-04,4.689,4.7829,4.6874,4.7829,1031863
2005-03-07,4.8142,4.8533,4.8017,4.833,1463615
2005-03-08,4.8455,4.858,4.7766,4.844,1406734
2005-03-09,4.844,4.844,4.7438,4.7438,1432776
2005-03-10,4.7547,4.8048,4.7438,4.8048,1817012
2005-03-11,4.8048,4.8455,4.7782,4.7892,1118899
2005-03-14,4.7907,4.8283,4.7907,4.8283,1717412
2005-03-15,4.8283,4.8299,4.7751,4.7766,1301651
2005-03-16,4.8158,4.822,4.7312,4.7359,977266
2005-03-17,4.7359,4.8111,4.7359,4.7719,1404449
2005-03-18,4.7719,4.8017,4.761,4.7813,1426608
2005-03-21,4.7813,4.7813,4.7516,4.7751,864874
2005-03-22,4.7751,4.8048,4.7265,4.7344,1474352
2005-03-23,4.7046,4.7265,4.6749,4.689,1073896
2005-03-24,4.7281,4.7735,4.7203,4.7375,1127351
2005-03-28,4.7672,4.7923,4.7625,4.7688,1640656
2005-03-29,4.797,4.844,4.7297,4.7297,1651393
2005-03-30,4.7203,4.7829,4.7124,4.7547,1669211
2005-03-31,4.7547,4.8299,4.7547,4.8252,1790284
2005-04-01,4.8533,4.8894,4.8487,4.8612,1585145
2005-04-04,4.8565,4.88,4.844,4.8737,1082806
2005-04-05,4.8737,4.9316,4.8737,4.905,967672
2005-04-06,4.916,4.9629,4.9003,4.9081,923126
2005-04-07,4.8847,4.9175,4.8565,4.8894,1185375
2005-04-08,4.8612,4.8627,4.7939,4.7954,1637915
2005-04-11,4.7845,4.8377,4.7516,4.8236,1742312
2005-04-12,4.8236,4.8533,4.7359,4.8377,2809812
2005-04-13,4.8095,4.8095,4.6921,4.7046,1809930
2005-04-14,4.6968,4.6968,4.6107,4.6216,1747109
