date,open,high,low,close,volume
2005-01-03,24.4242,24.5855,24.2658,24.3666,2011800
2005-01-04,24.3666,24.7094,24.2226,24.3522,4304400
2005-01-05,24.3522,24.3954,24.1938,24.237,2137200
2005-01-06,24.237,24.5107,24.2342,24.4588,2393000
2005-01-07,24.5308,24.5308,24.3695,24.502,1822600
2005-01-10,24.4819,24.5827,24.358,24.5308,2921600
2005-01-11,24.4012,24.574,24.2543,24.4991,1846000
2005-01-12,24.4675,24.8102,24.4214,24.7843,2582200
2005-01-13,24.7872,24.8275,24.6863,24.7296,2351400
2005-01-14,24.718,24.9917,24.551,24.9571,2043400
2005-01-18,24.7411,25.1702,24.646,25.0781,2512800
2005-01-19,25.0061,25.1126,24.6345,24.7468,1794000
2005-01-20,24.6259,24.7641,24.4905,24.4991,1814200
2005-01-21,24.4847,24.5164,24.1362,24.2111,1998200
2005-01-24,24.2226,24.3897,24.1535,24.1996,1586200
2005-01-25,24.237,24.4531,24.2313,24.263,1128800
2005-01-26,24.2658,24.479,24.1161,24.2486,2332200
2005-01-27,24.1478,24.3465,23.8569,24.3004,2729000
2005-01-28,24.2284,24.2284,23.8972,24.0469,2696400
2005-01-31,24.237,24.5424,23.9317,24.4502,2958800
2005-02-01,24.4387,24.4387,24.1967,24.3436,1765800
2005-02-02,24.237,24.5596,24.237,24.5395,1674800
2005-02-03,24.4819,24.6662,24.43,24.6086,2035800
2005-02-04,24.5107,25.0061,24.502,24.9571,2949200
2005-02-07,24.8851,25.1875,24.8188,25.1241,2087000
2005-02-08,25.2278,25.2278,24.7814,24.8563,1161000
2005-02-09,24.7987,24.839,24.5193,24.5567,1485200
2005-02-10,24.5164,24.6374,24.4847,24.5913,1093800
2005-02-11,24.6115,24.9254,24.4905,24.7699,817200
2005-02-14,24.718,24.9081,24.5827,24.6835,862800
2005-02-15,24.6432,24.7123,24.5452,24.6057,914200
2005-02-16,24.4819,24.551,24.2802,24.358,2057800
2005-02-17,24.3004,24.4559,24.2831,24.3436,858600
2005-02-18,24.3724,24.7699,24.309,24.6575,2455800
2005-02-22,24.6,25.1818,24.6,25.0925,3374600
2005-02-23,25.0925,25.4986,25.0925,25.3834,2185400
2005-02-24,25.5591,25.7722,25.3546,25.7722,3178200
2005-02-25,25.657,26.0256,25.5187,25.9076,2442600
2005-02-28,25.8989,26.3482,25.4784,26.2301,3588600
2005-03-01,26.21,26.305,25.7779,25.8788,2852600
2005-03-02,25.8068,26.0084,25.706,25.8874,2355600
2005-03-03,25.922,25.9796,25.7491,25.85,1614400
2005-03-04,25.85,25.922,25.6339,25.85,2276600
2005-03-07,25.824,25.8932,25.7434,25.8096,1666200
2005-03-08,25.71,25.8544,25.71,25.7735,1656400
2005-03-09,25.4848,25.6263,25.3144,25.505,2277200
2005-03-10,25.505,25.7649,25.4559,25.6956,1832800
2005-03-11,25.6985,25.6985,25.4011,25.4386,2018600
2005-03-14,25.4819,25.8861,25.4242,25.8486,2200400
2005-03-15,25.889,25.9583,25.6609,25.6667,1479000
2005-03-16,25.3375,25.3635,24.9102,24.9708,2875000
2005-03-17,24.9737,25.3231,24.9188,25.2509,1550000
2005-03-18,25.326,25.5079,25.1441,25.4097,2128600
2005-03-21,25.3577,25.5483,25.3404,25.4559,1052400
2005-03-22,25.3664,25.609,25.2105,25.2105,934200
2005-03-23,25.2105,25.3029,25.1008,25.1441,1683600
2005-03-24,25.1354,25.2942,25.0141,25.1672,1059200
2005-03-28,25.1672,25.2451,25.0921,25.1701,1277200
2005-03-29,25.1643,25.4097,25.043,25.1036,1797200
2005-03-30,25.1758,25.5223,25.0806,25.4675,1048000
2005-03-31,25.4386,25.6407,25.2913,25.5599,1656200
2005-04-01,25.684,25.6985,25.1932,25.2798,1533600
2005-04-04,25.1932,25.3953,25.1325,25.2394,1722000
2005-04-05,25.2654,25.4444,24.9795,25.0921,2321400
2005-04-06,25.1325,25.3029,24.9448,24.9766,1914400
2005-04-07,25.0488,25.1758,24.8322,24.9766,1821000
2005-04-08,24.9044,25.0199,24.7629,24.7947,1706800
2005-04-11,24.7976,24.9622,24.6907,24.7629,1329000
2005-04-12,24.7167,25.0546,24.5579,25.0055,1598800
2005-04-13,24.8958,25.1268,24.7572,24.8409,1424600
2005-04-14,24.8611,24.8611,24.4626,24.5002,2046800
2005-04-15,24.3991,24.4164,24.0699,24.1479,3108400
2005-04-18,24.1739,24.3673,24.0324,24.0959,2832600
2005-04-19,24.1768,24.3991,24.1104,24.2201,1413200
2005-04-20,24.1854,24.2576,23.6455,23.6686,2589400
2005-04-21,23.8909,24.7052,23.7927,24.659,2665000
2005-04-22,24.5521,24.5926,24.0555,24.2519,2064200
2005-04-25,24.3991,24.7976,24.3038,24.7456,2228600
2005-04-26,24.2114,24.6301,24.197,24.4915,1974800
2005-04-27,24.4193,24.4222,24.1161,24.3125,1787400
2005-04-28,24.3385,24.3385,23.966,23.966,1762000
2005-04-29,24.0382,24.0757,23.7379,23.9371,3153200
2005-05-02,24.0093,24.3269,24.0093,24.2374,1797400
2005-05-03,24.2374,24.4193,24.1306,24.1825,1218600
2005-05-04,24.3067,24.7052,24.2721,24.6446,1637800
2005-05-05,24.555,24.6012,24.2432,24.4742,1663000
2005-05-06,24.6734,24.9968,24.6648,24.9304,2405200
2005-05-09,24.9044,24.9131,24.6763,24.7138,2096200
2005-05-10,24.659,24.6763,24.3645,24.3645,1840000
2005-05-11,24.5579,24.6359,24.018,24.1537,2536800
2005-05-12,24.2056,24.3298,23.9054,24.0064,2120400
2005-05-13,23.9949,24.0786,23.6426,23.8332,1379400
2005-05-16,23.8332,23.9833,23.7552,23.9256,1879400
2005-05-17,23.9227,24.3529,23.862,24.3096,2078600
2005-05-18,24.3356,24.6532,24.2778,24.5839,1877800
2005-05-19,24.5868,24.607,24.4049,24.4857,1946200
2005-05-20,24.4857,24.5146,24.2259,24.2721,1745200
2005-05-23,24.2692,24.2721,24.0382,24.1421,2157400
2005-05-24,24.0815,24.093,23.9053,23.9949,1683600
2005-05-25,23.8967,23.9516,23.813,23.8447,1883200
2005-05-26,23.9169,24.0555,23.888,23.9949,1520200
2005-05-27,23.9487,24.0006,23.7841,23.8794,1517000
2005-05-31,23.8043,23.8794,23.6253,23.6455,1663600
2005-06-01,23.5704,23.9458,23.504,23.9458,2187800
2005-06-02,23.9458,24.2114,23.8187,24.1883,1463800
2005-06-03,24.2201,24.3154,23.9054,24.0064,1871200
2005-06-06,23.9285,23.9862,23.5329,23.6657,1970000
2005-06-07,23.6729,23.8843,23.589,23.6005,1709400
2005-06-08,23.6585,23.7337,23.5976,23.7279,2389800
2005-06-09,23.7627,23.7656,23.5137,23.67,2576200
2005-06-10,23.7424,23.7598,23.6556,23.6961,2177400
2005-06-13,23.6411,23.6729,23.3892,23.4905,1904000
2005-06-14,23.4934,23.7598,23.4471,23.6816,2200800
2005-06-15,23.5108,23.5455,23.2039,23.2039,2873200
2005-06-16,23.1315,23.4094,22.0341,23.3313,10054800
2005-06-17,23.4384,23.4963,23.1633,23.4008,3320600
2005-06-20,23.3429,23.4471,23.2357,23.3255,1800200
2005-06-21,23.2531,23.3226,23.1633,23.2328,1681200
2005-06-22,23.2792,23.2878,23.0794,23.1228,3167200
2005-06-23,23.1257,23.1489,22.6827,22.7435,2657600
2005-06-24,23.091,23.1083,22.7435,22.7725,3695600
2005-06-27,22.7667,22.8304,22.6566,22.6972,2836000
2005-06-28,22.7782,23.1431,22.6682,23.0823,2612800
2005-06-29,23.1546,23.4529,23.1402,23.3457,2624200
2005-06-30,23.2357,23.3023,23.0909,23.1228,3156000
2005-07-01,23.3081,23.3776,23.2357,23.3197,1813600
2005-07-05,23.2936,23.5976,23.2126,23.5542,1771800
2005-07-06,23.5108,23.5137,23.2299,23.2994,2648400
2005-07-07,23.2386,23.2502,22.8738,23.1547,2360800
2005-07-08,23.1778,23.3197,23.0417,23.3081,2359400
2005-07-11,23.3805,23.3805,23.1691,23.2705,1020000
2005-07-12,23.2155,23.3631,23.0823,23.2965,1374000
2005-07-13,23.2386,23.3226,23.1228,23.3023,1166200
2005-07-14,23.3284,23.6382,23.3284,23.6266,1807400
2005-07-15,23.6295,23.7048,23.534,23.6411,1581800
2005-07-18,23.5976,23.6266,23.2907,23.3371,2204000
2005-07-19,23.4963,24.032,23.3979,24.0262,3351800
2005-07-20,23.9046,24.0551,23.7164,24.0435,1583400
2005-07-21,24.0435,24.2086,23.8206,24.0956,2267600
2005-07-22,24.307,24.5531,24.2694,24.53,2228400
2005-07-25,24.475,24.5618,24.197,24.3331,1851800
2005-07-26,24.3939,24.5502,24.1159,24.4373,1796200
2005-07-27,24.307,24.4199,24.1188,24.3389,2436800
2005-07-28,24.3389,24.5126,24.2694,24.4171,2636600
2005-07-29,24.4199,24.5821,24.2781,24.5734,2508600
2005-08-01,24.7211,24.8485,24.6516,24.7558,2777400
2005-08-02,24.7558,24.8369,24.7037,24.7761,1898200
2005-08-03,24.7935,25.0048,24.6979,24.999,2337200
2005-08-04,24.8629,24.8948,24.6545,24.6892,1916400
2005-08-05,24.585,24.6111,24.3099,24.3678,1679000
2005-08-08,24.4952,24.5387,24.1478,24.168,1243600
2005-08-09,24.1709,24.1912,23.9856,24.142,1948600
2005-08-10,24.1825,24.3505,24.0117,24.0609,1003400
2005-08-11,24.0638,24.2926,24.0493,24.2549,895400
2005-08-12,24.1854,24.2868,24.0291,24.226,1028400
2005-08-15,24.2346,24.6111,24.1217,24.5068,1069800
2005-08-16,24.4113,24.4489,24.1623,24.1767,990600
2005-08-17,24.1362,24.3591,24.1072,24.3244,697600
2005-08-18,24.3215,24.3591,24.1767,24.2231,1026200
2005-08-19,24.307,24.3244,24.1043,24.2202,916600
2005-08-22,24.2202,24.4923,23.8409,23.9277,1926400
2005-08-23,23.809,23.8553,23.5368,23.6874,2213600
2005-08-24,23.5687,23.644,23.3805,23.4471,2504400
2005-08-25,23.4731,23.4847,23.1865,23.3892,1424800
2005-08-26,23.3892,23.45,23.2212,23.3081,922800
2005-08-29,23.2792,23.4355,23.227,23.3515,1165000
2005-08-30,23.1952,23.3979,23.1228,23.366,1419200
2005-08-31,23.3573,23.366,22.8767,23.2907,2615400
2005-09-01,23.7424,23.7482,23.3689,23.4037,2453600
2005-09-02,23.3834,23.6411,23.3313,23.3313,1168800
2005-09-06,23.4645,23.7135,23.4037,23.7135,979200
2005-09-07,23.6816,23.7279,23.5368,23.7279,1349400
2005-09-08,23.6179,23.6324,23.4616,23.5079,833800
2005-09-09,23.5079,23.67,23.4239,23.6092,1459800
2005-09-12,23.5397,23.644,23.3602,23.5542,865400
2005-09-13,23.5976,23.5976,23.4529,23.5137,1159000
2005-09-14,23.5021,23.6614,23.3747,23.4934,1885200
2005-09-15,23.4934,23.7772,23.4702,23.7714,1608000
2005-09-16,24.0986,24.3591,23.9827,24.336,3225400
2005-09-19,24.3852,24.3852,24.1217,24.1912,1822800
2005-09-20,24.1825,24.5358,24.1507,24.3244,1983400
2005-09-21,24.3288,24.4159,24.0791,24.1371,2186000
2005-09-22,24.2242,24.3607,24.0675,24.291,1573000
2005-09-23,24.2939,24.2968,24.0239,24.0646,1495200
2005-09-26,24.2068,24.2126,23.8933,24.0065,1413800
2005-09-27,23.8817,24.1226,23.7801,24.0123,1440800
2005-09-28,24.0152,24.262,23.8468,24.2097,2239600
2005-09-29,24.2097,24.3868,24.0123,24.3462,1218400
2005-09-30,24.2097,24.3752,24.082,24.2794,1909200
2005-10-03,24.0675,24.1284,23.6233,23.9862,2638000
2005-10-04,24.0529,24.0646,23.5913,23.7075,1655000
2005-10-05,23.7191,23.7481,23.1384,23.153,3075200
2005-10-06,23.182,23.1965,22.8452,22.9933,4629800
2005-10-07,23.0339,23.1443,22.8743,22.9613,2027800
2005-10-10,22.9613,23.1878,22.9091,23.0717,1839200
2005-10-11,23.1297,23.1936,22.7901,22.8191,1928200
2005-10-12,22.8075,23.0078,22.8046,22.8626,2090200
2005-10-13,22.8191,23.1355,22.8191,22.9962,1616200
2005-10-14,23.0049,23.0746,22.9062,22.9933,1148000
2005-10-17,22.8946,22.9352,22.7001,22.7814,2053400
2005-10-18,22.6594,22.703,22.3169,22.3546,2917200
2005-10-19,22.2239,22.2675,21.9917,22.1804,3674800
2005-10-20,22.2152,22.6246,22.1281,22.2356,2562000
2005-10-21,22.3546,22.6449,22.343,22.6304,2361600
2005-10-24,22.6972,23.002,22.6856,22.9817,2145200
2005-10-25,23.8062,24.3723,23.6784,24.3404,5124600
2005-10-26,24.3578,24.4217,23.9688,24.0704,3774600
2005-10-27,24.0675,24.1139,23.9223,23.9455,1849400
2005-10-28,24.1197,24.4652,24.0849,24.4652,2102800
2005-10-31,24.4652,24.6133,23.9949,24.0849,3754800
2005-11-01,24.0965,24.2417,23.8584,24.0355,2113000
2005-11-02,24.14,24.1981,23.9659,24.1081,1329000
2005-11-03,24.111,24.1836,23.9165,24.053,1779200
2005-11-04,24.0965,24.1575,23.9281,24.053,1152800
2005-11-07,24.14,24.2417,24.0413,24.1836,1106400
2005-11-08,23.8933,23.9455,23.7714,23.8468,1794800
2005-11-09,23.7888,24.0442,23.78,23.9252,1840400
2005-11-10,23.8875,24.0472,23.812,23.9775,1362600
2005-11-11,23.9891,24.14,23.8962,24.1284,1415400
2005-11-14,24.082,24.0965,23.9223,23.9571,1254800
2005-11-15,23.902,23.9339,23.632,23.7133,2227800
2005-11-16,23.7162,23.8729,23.571,23.5884,1740600
2005-11-17,23.5739,23.6726,23.2836,23.6697,2414200
2005-11-18,23.661,23.661,23.4578,23.5565,2641600
2005-11-21,23.603,23.6755,23.452,23.5884,1692600
2005-11-22,23.5449,23.7104,23.4114,23.6378,1949000
2005-11-23,23.6755,23.9049,23.5942,23.8091,1021200
2005-11-25,23.8729,24.0181,23.7859,23.8875,390400
2005-11-28,23.96,24.0704,23.8062,23.9078,1219000
2005-11-29,23.9804,24.3781,23.9804,24.3113,3002000
2005-11-30,24.8775,24.8775,24.3113,24.5494,2864000
2005-12-01,24.6481,24.7962,24.5639,24.68,1565200
2005-12-02,24.561,24.8513,24.5029,24.8049,1283400
2005-12-05,24.7033,24.8804,24.6742,24.8513,2614600
2005-12-06,24.8717,25.043,24.8542,25.0197,3046400
2005-12-07,24.9965,25.0894,24.8455,24.9675,1556400
2005-12-08,24.9675,25.0574,24.6771,24.8629,1526800
2005-12-09,24.8629,25.2433,24.8252,24.8426,1556200
2005-12-12,24.9152,25.0458,24.7962,24.9733,1542000
2005-12-13,25.0255,25.4058,25.0255,25.3652,1730600
2005-12-14,25.419,25.8469,25.4161,25.5384,2238400
2005-12-15,25.4481,25.6257,25.2939,25.4394,1338600
2005-12-16,25.55,25.6432,25.4947,25.5617,2030200
2005-12-19,25.4394,25.518,25.2415,25.323,1017000
2005-12-20,25.3026,25.4249,25.1949,25.2677,1146800
2005-12-21,25.2735,25.6053,25.1338,25.224,973400
2005-12-22,25.2066,25.291,25.0319,25.2706,661800
2005-12-23,25.2735,25.3172,25.1542,25.2269,633400
2005-12-27,25.2298,25.3084,24.703,24.834,1248200
2005-12-28,24.7903,25.0581,24.7903,24.9039,661400
2005-12-29,24.8456,25.0639,24.8456,24.8544,503800
2005-12-30,24.7816,24.8893,24.7321,24.7787,821800
2006-01-03,24.8835,25.1192,24.7408,25.0639,2467400
2006-01-04,25.0756,25.3375,25.0669,25.2037,1518600
2006-01-05,25.1687,25.2037,24.7088,24.7525,2608600
2006-01-06,24.8835,25.0203,24.7438,25.0115,1188800
2006-01-09,24.9737,24.9737,24.7117,24.7379,1560400
2006-01-10,24.6273,24.7147,24.5371,24.6099,1176200
2006-01-11,24.6535,24.7991,24.607,24.7583,1756400
2006-01-12,24.7321,24.7321,24.5429,24.6099,1305600
2006-01-13,24.6535,24.7321,24.5662,24.7263,987800
2006-01-17,24.5953,24.7001,24.3275,24.4934,1694000
2006-01-18,24.444,24.4818,24.1471,24.1471,1905200
2006-01-19,24.1907,24.6739,24.1121,24.6302,1756400
2006-01-20,24.8806,24.8806,24.1034,24.1558,2160000
2006-01-23,24.1645,24.4381,24.1005,24.1762,1340800
2006-01-24,24.246,24.6215,24.2431,24.5226,1790400
2006-01-25,24.5196,24.5313,24.0598,24.2373,2126400
2006-01-26,24.3101,24.377,24.0976,24.1733,1905400
2006-01-27,24.1733,24.5022,24.1005,24.4294,1542200
