date,open,high,low,close,volume
2005-01-03,1.5073,1.519,1.486,1.503,11958000
2005-01-04,1.5117,1.5137,1.4973,1.498,10593000
2005-01-05,1.493,1.5153,1.493,1.4963,6216000
2005-01-06,1.5007,1.503,1.4767,1.4827,4950000
2005-01-07,1.4863,1.4933,1.465,1.4787,4920000
2005-01-10,1.484,1.515,1.4787,1.5067,9573000
2005-01-11,1.5003,1.5377,1.497,1.5213,14109000
2005-01-12,1.5187,1.5403,1.5133,1.534,13341000
2005-01-13,1.5267,1.5353,1.51,1.528,14070000
2005-01-14,1.526,1.543,1.5183,1.5363,5502000
2005-01-18,1.5333,1.5667,1.5237,1.5543,6228000
2005-01-19,1.561,1.564,1.5397,1.5433,8025000
2005-01-20,1.5367,1.551,1.5327,1.5423,9324000
2005-01-21,1.5467,1.5467,1.535,1.5373,10437000
2005-01-24,1.5323,1.5383,1.521,1.5227,7350000
2005-01-25,1.52,1.543,1.5197,1.5233,5661000
2005-01-26,1.53,1.5347,1.5213,1.53,8043000
2005-01-27,1.53,1.5413,1.518,1.5213,7224000
2005-01-28,1.5223,1.5223,1.497,1.5053,6156000
2005-01-31,1.5187,1.5293,1.51,1.5243,7305000
2005-02-01,1.5417,1.5423,1.5143,1.53,5493000
2005-02-02,1.5243,1.555,1.5243,1.551,8409000
2005-02-03,1.5417,1.555,1.5363,1.5463,6402000
2005-02-04,1.5453,1.581,1.5453,1.581,7029000
2005-02-07,1.5707,1.6167,1.5707,1.6033,12516000
2005-02-08,1.592,1.6003,1.5843,1.588,6600000
2005-02-09,1.596,1.596,1.5553,1.5633,5520000
2005-02-10,1.5563,1.5743,1.553,1.5653,4734000
2005-02-11,1.5587,1.5833,1.5587,1.5693,8388000
2005-02-14,1.5727,1.5767,1.5493,1.564,7074000
2005-02-15,1.5597,1.5773,1.5557,1.5673,4626000
2005-02-16,1.5603,1.5937,1.5603,1.5857,6249000
2005-02-17,1.6067,1.6527,1.6033,1.6343,36636000
2005-02-18,1.6333,1.6397,1.6167,1.623,8034000
2005-02-22,1.614,1.6237,1.601,1.6063,8172000
2005-02-23,1.607,1.6197,1.6,1.6,8463000
2005-02-24,1.653,1.6533,1.6247,1.6383,19617000
2005-02-25,1.638,1.6707,1.6357,1.6617,14778000
2005-02-28,1.652,1.6983,1.65,1.6967,20484000
2005-03-01,1.693,1.7243,1.6923,1.7127,13413000
2005-03-02,1.704,1.7167,1.7003,1.7107,9030000
2005-03-03,1.7103,1.7223,1.706,1.706,7821000
2005-03-04,1.7157,1.7233,1.7087,1.7177,5760000
2005-03-07,1.722,1.7357,1.7153,1.7243,7068000
2005-03-08,1.7217,1.731,1.704,1.715,6894000
2005-03-09,1.7163,1.733,1.7083,1.721,6756000
2005-03-10,1.7123,1.7377,1.7123,1.7307,8481000
2005-03-11,1.722,1.7477,1.722,1.7403,5646000
2005-03-14,1.727,1.7333,1.682,1.694,13257000
2005-03-15,1.6907,1.6987,1.6673,1.6727,12621000
2005-03-16,1.6633,1.6693,1.65,1.6637,7176000
2005-03-17,1.6567,1.6623,1.653,1.655,9342000
2005-03-18,1.6537,1.6567,1.6387,1.6437,7044000
2005-03-21,1.6493,1.6493,1.613,1.6253,6729000
2005-03-22,1.628,1.645,1.617,1.6293,4659000
2005-03-23,1.62,1.6353,1.617,1.6253,6462000
2005-03-24,1.6413,1.6443,1.6213,1.634,6408000
2005-03-28,1.64,1.64,1.6217,1.632,5892000
2005-03-29,1.6377,1.6407,1.63,1.63,5073000
2005-03-30,1.6297,1.6597,1.6297,1.6563,4806000
2005-03-31,1.6577,1.661,1.6467,1.651,4677000
2005-04-01,1.6573,1.6573,1.6263,1.635,7383000
2005-04-04,1.6303,1.6567,1.6253,1.6563,4983000
2005-04-05,1.6567,1.6767,1.6557,1.6717,7686000
2005-04-06,1.677,1.681,1.6557,1.656,6690000
2005-04-07,1.6613,1.6787,1.6483,1.6727,8625000
2005-04-08,1.6597,1.6717,1.64,1.647,5919000
2005-04-11,1.65,1.663,1.635,1.655,5436000
2005-04-12,1.651,1.6593,1.6183,1.6517,7590000
2005-04-13,1.6467,1.6673,1.643,1.643,3993000
2005-04-14,1.6407,1.6523,1.6027,1.606,11607000
2005-04-15,1.6083,1.6113,1.553,1.5617,12402000
2005-04-18,1.569,1.5727,1.5527,1.5667,11088000
2005-04-19,1.5723,1.581,1.561,1.5697,10218000
2005-04-20,1.5743,1.5853,1.547,1.556,7758000
2005-04-21,1.558,1.5777,1.5513,1.5773,13596000
2005-04-22,1.5787,1.5873,1.554,1.5663,5823000
2005-04-25,1.5697,1.6027,1.5683,1.6,7713000
2005-04-26,1.6043,1.6097,1.5833,1.6033,8994000
2005-04-27,1.621,1.7493,1.611,1.7307,31521000
2005-04-28,1.7327,1.7423,1.7,1.7217,11976000
2005-04-29,1.7303,1.7397,1.6867,1.7107,11733000
2005-05-02,1.6993,1.729,1.6963,1.721,8700000
2005-05-03,1.7247,1.751,1.716,1.7447,10056000
2005-05-04,1.751,1.7807,1.7433,1.78,15582000
2005-05-05,1.782,1.8037,1.7583,1.7893,15372000
2005-05-06,1.7983,1.7993,1.7683,1.778,7197000
2005-05-09,1.7883,1.7963,1.7647,1.7927,5844000
2005-05-10,1.7883,1.7953,1.777,1.7903,6831000
2005-05-11,1.7873,1.7987,1.7687,1.7857,5172000
2005-05-12,1.781,1.7967,1.7777,1.7857,6039000
2005-05-13,1.7857,1.795,1.7783,1.7933,10896000
2005-05-16,1.7907,1.816,1.7907,1.8153,8388000
2005-05-17,1.8267,1.8267,1.8067,1.815,15219000
2005-05-18,1.8083,1.852,1.8063,1.8503,12267000
2005-05-19,1.85,1.871,1.8483,1.8597,9543000
2005-05-20,1.86,1.8813,1.8583,1.8763,16728000
2005-05-23,1.881,1.9083,1.8763,1.9053,8367000
2005-05-24,1.8943,1.908,1.889,1.9007,8769000
2005-05-25,1.9083,1.92,1.88,1.8873,13353000
2005-05-26,1.892,1.904,1.875,1.879,10377000
2005-05-27,1.88,1.88,1.8477,1.8487,14667000
2005-05-31,1.855,1.8583,1.8283,1.852,16437000
2005-06-01,1.859,1.8907,1.85,1.8757,14886000
2005-06-02,1.8783,1.9093,1.8783,1.9037,8178000
2005-06-03,1.9,1.915,1.89,1.89,4749000
2005-06-06,1.8883,1.9233,1.8873,1.9127,7083000
2005-06-07,1.9143,1.926,1.907,1.9123,10896000
2005-06-08,1.9137,1.9193,1.8793,1.8813,7893000
2005-06-09,1.88,1.9433,1.88,1.9433,18105000
2005-06-10,1.9463,1.953,1.933,1.946,8076000
2005-06-13,1.95,1.9573,1.941,1.957,5910000
2005-06-14,1.9583,1.962,1.95,1.9567,5490000
2005-06-15,1.9623,1.97,1.9437,1.9663,6042000
2005-06-16,1.9667,2.008,1.952,1.9853,5862000
2005-06-17,1.988,2.0053,1.9753,2.0027,14340000
2005-06-20,1.9947,2.012,1.9733,1.98,5817000
2005-06-21,1.97,2.0333,1.9373,1.97,9546000
2005-06-22,1.98,1.996,1.9533,1.964,7129500
2005-06-23,1.9707,1.9953,1.94,1.942,5349000
2005-06-24,1.94,1.9593,1.9247,1.932,5172000
2005-06-27,1.924,1.9513,1.9233,1.9267,5362500
2005-06-28,1.9267,1.9813,1.9247,1.9767,7879500
2005-06-29,1.974,1.986,1.9633,1.974,4485000
2005-06-30,1.9873,2.002,1.9667,1.9887,7590000
2005-07-01,1.978,2.0,1.95,1.9707,5040000
2005-07-05,1.9653,1.9873,1.9513,1.9833,11428500
2005-07-06,1.9827,1.9933,1.9687,1.9793,5098500
2005-07-07,1.9813,1.9913,1.9553,1.9747,6069000
2005-07-08,1.9773,1.9893,1.966,1.9787,5185500
2005-07-11,1.992,2.0073,1.986,2.0073,5784000
2005-07-12,2.0053,2.0333,1.9933,2.0133,5424000
2005-07-13,2.022,2.0267,1.936,1.9833,8196000
2005-07-14,1.984,2.0013,1.978,1.984,5533500
2005-07-15,1.9887,2.062,1.978,2.042,10152000
2005-07-18,2.0433,2.0467,2.0247,2.0307,4630500
2005-07-19,2.036,2.0653,2.0187,2.0653,3936000
2005-07-20,2.0587,2.0713,2.0433,2.0647,5304000
2005-07-21,2.0687,2.0753,2.044,2.0547,11653500
2005-07-22,2.0747,2.0753,2.034,2.0387,6499500
2005-07-25,2.0333,2.0607,2.0307,2.0567,4731000
2005-07-26,2.0673,2.1007,2.0533,2.068,15094500
2005-07-27,2.1067,2.1513,2.0653,2.1213,11037000
2005-07-28,2.1453,2.1533,2.1173,2.1467,5247000
2005-07-29,2.134,2.1687,2.134,2.1507,9481500
2005-08-01,2.1647,2.1647,2.1313,2.1387,7146000
2005-08-02,2.144,2.1607,2.1353,2.1607,6207000
