date,open,high,low,close,volume
2005-01-03,26.9957,27.1492,26.2758,26.5397,374300
2005-01-04,26.4917,26.6117,26.0838,26.2038,395700
2005-01-05,26.0838,26.151,24.716,25.2679,699900
2005-01-06,25.2439,25.7862,25.2439,25.3399,458100
2005-01-07,25.4359,25.5463,25.2439,25.4599,243000
2005-01-10,25.3399,25.4695,25.2199,25.3639,301200
2005-01-11,25.3639,25.5895,25.2535,25.2535,540700
2005-01-12,25.2199,25.4359,24.812,25.2487,376900
2005-01-13,25.2199,25.8822,25.2199,25.3975,340500
2005-01-14,25.4503,25.6279,25.2295,25.5511,334700
2005-01-18,26.0598,26.4293,25.9638,26.4293,459700
2005-01-19,26.2038,26.7029,25.9926,26.2806,819900
2005-01-20,26.2758,26.4629,26.0118,26.1798,293700
2005-01-21,26.1798,26.3669,26.0262,26.1558,322200
2005-01-24,26.1558,26.295,25.9926,26.055,372300
2005-01-25,26.0358,26.2038,25.4359,25.5175,426800
2005-01-26,25.5127,25.7047,25.4551,25.6519,425200
2005-01-27,25.4839,25.5943,25.1959,25.2967,503300
2005-01-28,25.4167,25.5799,25.3735,25.5223,374000
2005-01-31,25.5079,25.7479,24.8408,25.2007,479300
2005-02-01,25.3399,25.4599,25.2871,25.4263,484400
2005-02-02,25.4839,26.1942,25.4839,26.1942,401000
2005-02-03,26.1942,26.4437,26.1798,26.199,263900
2005-02-04,26.2998,26.5637,26.2998,26.5157,321800
2005-02-07,26.4917,26.6357,26.343,26.3957,220400
2005-02-08,26.4197,26.5589,26.4101,26.5349,258900
2005-02-09,26.5349,26.7509,26.3957,26.7509,325500
2005-02-10,26.6837,26.6981,26.4773,26.6885,224000
2005-02-11,26.5925,26.9093,26.3621,26.8757,204100
2005-02-14,26.7029,26.9429,26.6501,26.8661,274900
2005-02-15,26.9093,27.0676,26.8037,27.0676,285000
2005-02-16,27.0532,27.3556,26.8757,27.3124,247000
2005-02-17,27.4324,27.4372,27.3076,27.3556,359800
2005-02-18,27.3556,27.3604,27.0436,27.1876,344900
2005-02-22,27.1636,27.1684,26.6405,26.7125,476200
2005-02-23,26.7557,26.8853,26.6693,26.6693,378000
2005-02-24,26.6357,26.6405,26.2038,26.271,532300
2005-02-25,26.271,26.5829,26.247,26.5253,539900
2005-02-28,26.5397,26.5829,25.9734,26.1846,735200
2005-03-01,26.2278,26.7029,26.2086,26.6597,333800
2005-03-02,26.5637,26.7749,26.3333,26.6741,353900
2005-03-03,26.6357,27.0148,26.5637,26.9332,174200
2005-03-04,27.2356,28.2098,27.226,27.8115,727300
2005-03-07,27.8355,28.5506,27.8355,28.1762,395700
2005-03-08,28.1763,28.1907,27.9459,28.0515,216400
2005-03-09,28.0515,28.0563,27.3124,27.4324,378800
2005-03-10,27.5811,27.9075,27.4276,27.7395,414700
2005-03-11,27.8363,27.8363,27.5412,27.5509,347900
2005-03-14,27.3768,27.9427,27.2317,27.9427,296600
2005-03-15,27.9717,28.3635,27.9378,28.1748,454300
2005-03-16,28.1748,28.2764,28.0781,28.1361,394900
2005-03-17,28.199,28.5376,28.199,28.5134,653000
2005-03-18,28.4892,28.586,28.3925,28.3925,396300
2005-03-21,28.3199,28.3248,27.8459,27.9814,257500
2005-03-22,28.0297,28.2184,27.3381,27.3961,306100
2005-03-23,27.3719,27.8556,27.0285,27.4445,489400
2005-03-24,27.4638,27.9959,27.4251,27.4638,297500
2005-03-28,27.5219,27.8653,27.43,27.4396,310600
2005-03-29,27.4735,27.6476,27.3574,27.4251,265000
2005-03-30,27.4251,27.5219,27.3284,27.4445,362700
2005-03-31,27.4493,27.8217,27.3284,27.5412,365000
2005-04-01,27.8121,27.8314,27.0479,27.222,368100
2005-04-04,27.0382,27.2558,26.748,27.2026,230700
2005-04-05,27.1011,27.3913,26.9656,27.3187,240500
2005-04-06,27.3671,27.4783,27.251,27.3429,152800
2005-04-07,27.3429,27.4977,27.2558,27.4251,200700
2005-04-08,27.5219,27.5219,27.2897,27.309,193300
2005-04-11,27.3768,27.4106,27.2462,27.4106,119600
2005-04-12,27.2897,27.8846,27.1784,27.8653,190300
2005-04-13,27.9088,28.1216,27.7976,27.8895,247400
2005-04-14,27.7153,27.8121,27.4106,27.459,170200
2005-04-15,27.4638,27.6379,27.28,27.5219,211100
2005-04-18,27.5702,27.6573,27.28,27.3961,211000
2005-04-19,27.3961,27.667,27.3961,27.5944,182400
2005-04-20,27.5944,27.5944,27.2655,27.3477,168000
2005-04-21,27.28,27.5993,27.2171,27.5412,284800
2005-04-22,27.5606,27.5944,27.2752,27.3768,700500
2005-04-25,27.3768,27.8121,27.3768,27.7153,349700
2005-04-26,27.7153,27.8604,27.546,27.8604,242700
2005-04-27,27.8121,28.0878,27.7202,28.0201,155800
2005-04-28,28.0394,28.0733,27.8701,27.9378,155700
2005-04-29,27.9088,28.407,27.9088,28.3925,388600
2005-05-02,28.3441,28.3925,27.9572,28.2958,260300
2005-05-03,28.1265,28.4892,27.9669,28.3732,325800
2005-05-04,28.349,28.9246,28.3103,28.9246,204200
2005-05-05,29.0213,29.4083,28.9246,29.0503,245500
2005-05-06,28.7795,29.06,28.5666,28.6247,442600
2005-05-09,28.5376,29.3792,28.5376,29.3792,226900
2005-05-10,29.1422,29.4083,29.0068,29.3889,246200
2005-05-11,29.505,29.7372,29.2196,29.7178,547300
2005-05-12,29.6017,29.7226,29.5001,29.6356,343600
2005-05-13,29.6501,29.7372,29.3067,29.4083,342300
2005-05-16,29.4324,29.8194,29.4276,29.8194,303900
2005-05-17,29.7468,30.0661,29.6259,30.0177,250400
2005-05-18,30.0177,30.2063,29.8532,29.9403,327800
2005-05-19,29.9355,30.6658,29.9113,30.3756,349600
2005-05-20,30.3515,30.4821,30.1967,30.4724,156100
2005-05-23,30.3515,30.6513,30.3515,30.5546,141600
2005-05-24,30.4724,30.5111,30.0467,30.0903,312100
2005-05-25,29.8919,30.0274,29.505,29.505,222100
