date,open,high,low,close,volume
2005-12-05,18.9887,18.9887,16.9,16.9,1087800
2005-12-06,16.9949,16.9949,16.2987,16.305,1743800
2005-12-07,16.4569,16.4569,15.9822,16.1721,1536400
2005-12-08,16.1594,16.2987,15.8872,16.0708,2100700
2005-12-09,16.0771,16.4253,15.7923,16.2227,2414700
2005-12-12,16.3936,16.6468,16.3936,16.6088,898600
2005-12-13,16.6151,16.6215,16.4126,16.4569,639700
2005-12-14,16.4569,16.4886,16.2354,16.267,672800
2005-12-15,16.267,16.267,15.9505,16.0265,1948400
2005-12-16,16.0328,16.1404,15.9316,16.0138,1023000
2005-12-19,16.0202,16.0771,15.8872,16.0075,362700
2005-12-20,16.0075,16.0075,15.6594,15.8683,385800
2005-12-21,15.9189,16.0138,15.8113,15.9822,673000
2005-12-22,15.9822,15.9822,15.8239,15.8936,274300
2005-12-23,15.8872,16.1531,15.8872,16.1404,667100
2005-12-27,16.2354,16.4126,16.0138,16.2354,511400
2005-12-28,16.2987,16.3556,15.8239,15.8556,821600
2005-12-29,15.9189,15.9822,15.6657,15.8239,776100
2005-12-30,15.8239,16.1404,15.729,16.1404,3887900
2006-01-03,16.2037,17.343,16.2037,16.5835,6604500
2006-01-04,16.6278,16.6278,16.3556,16.4569,8900000
2006-01-05,16.4569,16.7354,16.3493,16.6848,8040500
2006-01-06,16.7734,17.2797,16.7481,17.2354,7449100
2006-01-09,17.0899,17.2228,16.9949,17.1088,7858700
2006-01-10,17.1532,17.1975,16.7291,16.8114,9081400
2006-01-11,16.8747,16.9316,16.4885,16.5708,6941200
2006-01-12,16.3683,16.5518,16.1341,16.4506,7687400
2006-01-13,16.4253,16.4569,16.1278,16.1278,4858900
2006-01-17,15.9189,16.2417,15.8303,15.8619,6226600
2006-01-18,15.8239,16.248,15.7163,16.248,5522800
2006-01-19,16.229,16.2733,16.0391,16.1847,5021500
2006-01-20,16.0455,16.2797,15.7733,15.8113,5064800
2006-01-23,16.0138,16.3936,15.8556,16.343,6361700
2006-01-24,16.4569,17.0899,16.3303,17.0266,8567000
2006-01-25,17.0899,17.0899,16.5139,16.7101,5665700
2006-01-26,16.805,17.1595,16.7607,16.9696,7545300
2006-01-27,16.9316,17.3114,16.7291,16.9633,7927600
2006-01-30,16.9949,17.3747,16.9,17.2608,5639100
2006-01-31,17.1975,17.1975,16.4759,16.5392,6437100
2006-02-01,16.4632,16.8114,16.4316,16.5455,4373800
2006-02-02,16.5329,16.6468,16.1214,16.2354,6802800
2006-02-03,16.2037,16.4696,16.0645,16.2417,5411600
2006-02-06,16.2417,16.5075,16.229,16.3556,3735500
2006-02-07,16.4253,16.5455,16.1594,16.1594,3321300
2006-02-08,16.1594,16.5012,16.1594,16.4696,3761800
2006-02-09,16.3303,16.4569,16.1657,16.2227,3644000
2006-02-10,16.1911,16.2354,16.0075,16.1151,3895200
2006-02-13,15.9822,16.2227,15.9189,16.1657,2695600
2006-02-14,16.1088,16.3493,16.0012,16.2037,4273900
2006-02-15,16.2797,16.3366,16.1721,16.21,1984200
2006-02-16,16.1721,16.1911,15.8872,15.9189,4152400
2006-02-17,15.8556,16.4253,15.8429,16.362,5383800
2006-02-21,16.4569,16.4696,15.9252,16.0138,4557900
2006-02-22,16.1088,16.1531,15.9315,15.9695,7170900
2006-02-23,15.9695,16.1721,15.7353,15.9505,5946200
2006-02-24,15.9505,16.097,15.6257,15.6257,7852800
2006-02-27,15.6257,15.9569,15.6257,15.8168,7683400
2006-02-28,15.7085,15.7658,15.5301,15.5811,4980000
2006-03-01,15.6066,15.7594,15.4218,15.7021,4525500
2006-03-02,15.4409,15.4728,15.2307,15.3263,8128400
2006-03-03,15.3263,15.4855,15.1925,15.2753,4152400
2006-03-06,15.2881,15.5747,15.2244,15.2753,4676300
2006-03-07,15.2817,15.5683,15.2753,15.5174,4749900
2006-03-08,15.5174,15.5556,15.3008,15.3772,4224300
2006-03-09,15.3518,15.4155,15.2371,15.2626,3110400
2006-03-10,15.3772,15.4346,15.2116,15.2562,3694600
2006-03-13,15.3199,15.46,15.2944,15.3008,3411600
2006-03-14,15.3008,15.3645,15.2562,15.2626,3359300
2006-03-15,15.3199,15.5747,15.218,15.5046,3223200
2006-03-16,15.6066,15.6066,15.3836,15.4282,3201700
2006-03-17,15.511,15.7658,15.39,15.683,4418800
2006-03-20,15.5938,15.6703,15.4537,15.5429,2975200
2006-03-21,15.6448,15.7977,15.6384,15.7849,6324000
2006-03-22,15.8104,15.9824,15.7658,15.976,7172300
2006-03-23,15.9251,15.9251,15.8295,15.855,3651500
2006-03-24,15.7658,15.9633,15.7531,15.9442,4420400
2006-03-27,15.8295,15.9505,15.6384,15.7849,4419300
