date,open,high,low,close,volume
2005-01-03,14.75,14.825,14.125,14.15,828960
2005-01-04,14.225,14.575,13.6,13.675,846360
2005-01-05,13.575,13.65,12.975,13.375,777560
2005-01-06,13.625,13.75,13.35,13.45,612360
2005-01-07,13.375,13.7,13.15,13.325,617920
2005-01-10,13.3,13.825,13.125,13.6,663560
2005-01-11,13.55,13.7,12.8,12.95,465440
2005-01-12,13.0,13.15,12.65,13.05,1214800
2005-01-13,13.0,13.175,12.8,12.875,678520
2005-01-14,13.0,13.625,12.875,13.325,1506640
2005-01-18,13.325,14.0,13.15,13.9,1075320
2005-01-19,14.675,15.0,13.625,13.925,2617600
2005-01-20,13.95,14.375,13.775,14.05,1910880
2005-01-21,14.1,14.475,13.85,13.875,1795080
2005-01-24,14.05,14.175,13.775,13.825,1055800
2005-01-25,13.925,14.05,13.325,13.45,1327480
2005-01-26,13.625,14.2,13.5,14.2,780880
2005-01-27,14.1,14.15,13.85,13.9,582480
2005-01-28,13.875,14.0,13.45,13.75,820760
2005-01-31,13.925,14.25,13.725,14.25,1234560
2005-02-01,13.475,14.225,13.475,14.1,1033560
2005-02-02,14.175,14.425,13.975,14.275,747440
2005-02-03,14.2,14.375,13.85,14.0,793680
2005-02-04,14.05,14.35,13.925,14.275,1014560
2005-02-07,14.275,14.675,14.05,14.65,818600
2005-02-08,14.65,14.95,14.625,14.85,711600
2005-02-09,14.875,14.975,14.05,14.325,751480
2005-02-10,14.225,14.3,13.85,13.95,709680
2005-02-11,14.1,14.875,13.825,14.725,856440
2005-02-14,14.475,14.775,14.25,14.65,697480
2005-02-15,14.55,14.85,14.4,14.55,520160
2005-02-16,14.55,14.875,14.45,14.825,793400
2005-02-17,14.75,14.825,14.575,14.625,967240
2005-02-18,14.775,14.875,14.6,14.825,661280
2005-02-22,14.675,14.875,14.375,14.4,864720
2005-02-23,14.475,14.475,14.125,14.225,438160
2005-02-24,14.2,14.375,13.875,14.275,817960
2005-02-25,14.3,14.55,14.025,14.475,519080
2005-02-28,14.4,14.875,14.375,14.475,945440
2005-03-01,14.525,14.6,14.325,14.45,1457440
2005-03-02,14.35,14.5,14.05,14.1,691480
2005-03-03,14.15,14.425,14.025,14.375,898720
2005-03-04,14.475,14.525,14.175,14.375,734520
2005-03-07,14.475,14.475,14.15,14.325,846880
2005-03-08,14.25,14.375,14.025,14.025,2173480
2005-03-09,14.0,14.325,13.875,13.9,1151320
2005-03-10,14.025,14.15,13.625,13.65,1133440
2005-03-11,13.75,13.875,13.05,13.15,1820760
2005-03-14,13.3,13.675,13.05,13.575,1177400
2005-03-15,13.725,13.75,13.35,13.55,709000
2005-03-16,13.425,13.7,13.25,13.65,1133960
2005-03-17,13.525,13.75,13.375,13.375,854680
2005-03-18,13.4,13.5,13.025,13.125,1340920
2005-03-21,13.125,13.25,13.0,13.125,719920
2005-03-22,13.225,13.6,13.1,13.125,1046480
2005-03-23,13.125,13.4,13.0,13.225,1057360
2005-03-24,13.325,13.5,13.175,13.325,646600
2005-03-28,13.25,13.375,13.125,13.15,585400
2005-03-29,13.125,13.35,12.825,13.05,861480
2005-03-30,13.05,13.475,13.05,13.45,971800
2005-03-31,13.375,14.025,13.325,13.975,1233480
2005-04-01,13.875,14.2,13.55,14.15,1044440
2005-04-04,14.0,14.25,13.85,14.25,590800
2005-04-05,14.2,14.2,13.375,14.0,887560
2005-04-06,14.1,14.125,13.65,13.85,441200
2005-04-07,13.9,14.025,13.65,13.825,574280
2005-04-08,13.9,13.925,13.525,13.575,610720
2005-04-11,13.525,13.775,13.475,13.725,650920
2005-04-12,13.675,13.875,13.5,13.85,942920
2005-04-13,13.725,13.825,13.125,13.15,721680
2005-04-14,13.15,13.425,12.925,12.925,971120
2005-04-15,12.85,12.875,12.3,12.475,1191680
2005-04-18,12.125,12.65,11.825,12.2,1153520
