date,open,high,low,close,volume
2005-01-03,7.8197,8.0454,7.8099,7.9081,1514900
2005-01-04,7.8982,7.9964,7.5352,7.5548,1338000
2005-01-05,7.5548,7.7216,7.4567,7.653,1132200
2005-01-06,7.653,7.8296,7.5843,7.6333,598900
2005-01-07,7.6235,7.6824,7.4371,7.5941,730700
2005-01-10,7.5941,7.6824,7.3586,7.4763,476000
2005-01-11,7.4273,7.4273,7.2605,7.3586,672900
2005-01-12,7.3488,7.3979,7.1624,7.2899,585800
2005-01-13,7.2605,7.4371,7.2212,7.2997,582200
2005-01-14,7.3586,7.4469,7.182,7.4469,380500
2005-01-18,7.4371,7.5941,7.3292,7.496,377700
2005-01-19,7.3979,7.5352,7.3488,7.3586,195600
2005-01-20,7.2605,7.4371,7.182,7.3586,481500
2005-01-21,7.339,7.4371,7.0446,7.1133,602500
2005-01-24,7.1624,7.2016,7.0643,7.1722,403700
2005-01-25,7.8492,7.8492,7.1329,7.2114,450900
2005-01-26,7.2605,7.3782,7.2114,7.3194,170100
2005-01-27,7.2703,7.3782,7.1624,7.2605,445100
2005-01-28,7.2311,7.3194,7.0937,7.1918,326900
2005-01-31,7.2997,7.3684,7.2212,7.339,247200
2005-02-01,7.3096,7.3782,7.2114,7.2801,431700
2005-02-02,7.2801,7.3979,7.182,7.3979,344500
2005-02-03,7.3488,7.3488,7.1918,7.2507,333200
2005-02-04,7.182,7.4469,7.1624,7.4469,384300
2005-02-07,7.4469,7.5647,7.4175,7.5254,358700
2005-02-08,7.545,7.6824,7.5254,7.6333,238700
2005-02-09,7.702,7.7511,7.4862,7.5058,482300
2005-02-10,7.4469,7.5352,7.3096,7.4862,244700
2005-02-11,7.4077,7.6333,7.3488,7.5941,832500
2005-02-14,8.4869,8.8303,7.8492,7.9964,2160800
2005-02-15,8.0454,8.2024,7.9964,8.0552,659400
2005-02-16,8.0454,8.3103,8.0454,8.2416,533200
2005-02-17,8.3103,8.3201,7.9473,7.9473,748500
2005-02-18,7.9669,8.0454,7.8786,8.0062,316500
2005-02-22,7.9375,7.9865,7.8099,7.8099,541100
2005-02-23,7.8688,8.016,7.8198,7.8688,382100
2005-02-24,7.8394,7.9179,7.5941,7.7118,790300
2005-02-25,7.7118,7.8492,7.6039,7.8492,477700
2005-02-28,7.8197,7.8982,7.6039,7.702,325600
2005-03-01,7.702,7.7118,7.1624,7.4273,1045900
2005-03-02,7.3292,7.5647,7.3194,7.5156,567000
2005-03-03,7.5058,7.5745,7.4077,7.4763,606600
2005-03-04,7.4862,7.6039,7.4077,7.4567,1119600
2005-03-07,7.4665,7.5941,7.4469,7.496,921700
2005-03-08,7.496,7.5156,7.2409,7.2507,493300
2005-03-09,7.2114,7.4567,7.1722,7.339,848800
2005-03-10,7.339,7.4763,7.1722,7.2212,839600
2005-03-11,7.2114,7.4077,7.2016,7.388,800100
2005-03-14,7.3586,7.4371,7.2409,7.2997,399500
2005-03-15,7.1624,7.3488,7.1133,7.2016,1029800
2005-03-16,7.1624,7.3096,7.1231,7.2212,332300
2005-03-17,7.182,7.4273,7.1133,7.3586,590600
2005-03-18,7.3684,7.4371,7.2605,7.3782,1385200
2005-03-21,7.3684,7.4175,7.3292,7.3586,505300
2005-03-22,7.3488,7.7511,7.3096,7.6235,754000
2005-03-23,7.5647,7.6137,7.3586,7.3782,496100
2005-03-24,7.3586,7.5254,7.3586,7.3586,400300
2005-03-28,7.4273,7.5548,7.3684,7.4862,425000
2005-03-29,7.4273,7.5843,7.3586,7.3979,484000
2005-03-30,7.3782,7.5058,7.3586,7.496,310600
2005-03-31,7.4469,7.4862,7.3292,7.4862,508100
2005-04-01,7.5352,7.5941,7.3586,7.4567,398200
2005-04-04,7.4273,7.6039,7.3684,7.5058,367500
2005-04-05,7.4862,7.653,7.4273,7.5156,233600
2005-04-06,7.496,7.5548,7.4567,7.5156,452200
2005-04-07,7.5058,7.7216,7.4469,7.7216,508300
2005-04-08,7.6726,7.8197,7.6039,7.7511,478100
2005-04-11,7.7216,7.859,7.6628,7.8099,401600
2005-04-12,7.7511,8.2024,7.702,8.1043,1451900
2005-04-13,8.1043,8.1239,7.7216,7.7511,657500
2005-04-14,7.7413,7.8982,7.5843,7.6824,343500
2005-04-15,7.6922,7.7216,7.5058,7.5058,228500
2005-04-18,7.4273,7.6628,7.4077,7.653,430300
2005-04-19,7.6726,7.8786,7.653,7.8099,372600
2005-04-20,7.7707,7.8982,7.6137,7.6235,561600
2005-04-21,7.6922,7.8492,7.6922,7.7413,334200
2005-04-22,7.6824,7.8296,7.5745,7.6628,419100
2005-04-25,7.6628,7.7903,7.6039,7.7805,245200
2005-04-26,7.7118,7.8982,7.6137,7.6235,483400
2005-04-27,7.6137,7.7413,7.5058,7.702,453600
2005-04-28,7.7118,7.7118,7.5548,7.6333,682800
2005-04-29,7.6333,7.8394,7.5548,7.8296,340900
2005-05-02,7.8198,7.8688,7.702,7.859,382500
2005-05-03,7.8394,7.9767,7.8296,7.9179,665800
2005-05-04,7.9081,8.016,7.8786,7.8884,375500
2005-05-05,7.8982,8.4869,7.8982,8.4379,1465100
2005-05-06,8.4477,8.6341,8.2416,8.585,633000
2005-05-09,8.5262,8.8303,8.5066,8.8303,960100
2005-05-10,8.7322,8.7617,8.3888,8.3888,517500
2005-05-11,8.4084,8.585,8.4084,8.5556,2372200
2005-05-12,8.6145,8.6734,8.2907,8.3986,695800
2005-05-13,8.4967,8.536,8.1435,8.2711,2014900
2005-05-16,8.3888,8.585,8.2613,8.5654,574200
2005-05-17,8.5164,8.7126,8.4477,8.6832,726000
2005-05-18,8.6635,8.6832,8.5164,8.6733,1202200
2005-05-19,8.6439,9.2032,8.6439,9.1835,1219600
2005-05-20,9.1247,9.2718,9.0069,9.056,452300
2005-05-23,9.0462,9.1835,8.8794,9.0854,1269500
2005-05-24,8.9383,9.0658,8.8107,8.8598,600100
2005-05-25,8.7715,8.85,8.5949,8.7518,896800
2005-05-26,8.8107,9.0167,8.8107,8.8794,858300
2005-05-27,8.899,9.0167,8.8303,8.8794,433600
2005-05-31,8.9186,8.9775,8.7911,8.8598,394600
2005-06-01,8.8303,9.0658,8.7813,9.0462,886300
2005-06-02,9.0462,9.3405,8.9775,9.3307,1390200
2005-06-03,9.2719,9.3405,8.9481,9.0069,736800
2005-06-06,8.8794,8.9284,8.7126,8.7322,750900
2005-06-07,8.7322,8.8303,8.6733,8.6832,682600
2005-06-08,8.7028,8.8107,8.6537,8.6832,609900
2005-06-09,8.693,8.8696,8.6341,8.8009,626800
2005-06-10,8.8205,8.8794,8.6832,8.7322,686700
2005-06-13,8.7322,8.9284,8.7322,8.8401,758200
2005-06-14,8.8205,8.9088,8.7911,8.899,799600
2005-06-15,8.9088,9.1149,8.9088,9.0756,695200
2005-06-16,9.1149,9.3602,8.9873,9.3405,878200
2005-06-17,9.3896,9.4583,9.262,9.262,1232500
2005-06-20,9.1737,9.2522,9.0756,9.1639,374000
2005-06-21,9.1247,9.1247,8.7322,8.8009,1517500
2005-06-22,8.85,8.9579,8.6341,8.9088,1934400
2005-06-23,8.9579,9.0266,8.6439,8.7224,1449100
