date,open,high,low,close,volume
2005-01-03,5.8362,5.8646,5.5933,5.6115,6026000
2005-01-04,5.6682,5.7046,5.5812,5.6338,5366800
2005-01-05,5.6055,5.6763,5.5852,5.5852,2669600
2005-01-06,5.5508,5.7917,5.5366,5.7634,15237600
2005-01-07,5.7876,5.8868,5.7472,5.7897,8946800
2005-01-10,5.7492,5.8808,5.6743,5.7998,7846000
2005-01-11,5.7694,5.8342,5.733,5.818,2458000
2005-01-12,5.7856,5.818,5.7188,5.7876,2430800
2005-01-13,5.7876,5.8423,5.6965,5.7714,3802800
2005-01-14,5.7795,5.8443,5.7694,5.8362,5021200
2005-01-18,5.8119,6.0569,5.7897,6.0528,5289600
2005-01-19,5.9415,6.0468,5.9273,5.9678,5249600
2005-01-20,6.0002,6.0103,5.9273,5.9334,3651200
2005-01-21,5.9395,5.9658,5.7876,5.7897,3881600
2005-01-24,5.7795,5.8848,5.7755,5.7998,4398400
2005-01-25,5.8666,5.9739,5.8038,5.9253,6156000
2005-01-26,5.9516,6.0083,5.814,5.8382,5385600
2005-01-27,5.8059,5.8625,5.7755,5.8302,3784400
2005-01-28,5.7937,5.814,5.5872,5.6439,11676000
2005-01-31,5.6965,5.8059,5.6804,5.7937,6372000
2005-02-01,5.82,5.9536,5.7897,5.9071,5634000
2005-02-02,5.9071,6.0285,5.9071,5.98,4021200
2005-02-03,5.9557,5.9577,5.8099,5.8686,6129600
2005-02-04,5.8929,5.9314,5.8038,5.8706,2871600
2005-02-07,5.8524,5.901,5.7816,5.8079,4253600
2005-02-08,5.8099,5.8099,5.6419,5.6621,7345600
2005-02-09,5.6378,5.6682,5.5528,5.5933,5626800
2005-02-10,5.6338,5.6581,5.5548,5.6318,5482800
2005-02-11,5.6115,5.6783,5.5164,5.6237,4303200
2005-02-14,5.6156,5.6682,5.5771,5.6176,2228800
2005-02-15,5.6075,5.6945,5.5872,5.6034,5668400
2005-02-16,5.6156,5.6378,5.5346,5.6095,4124000
