date,open,high,low,close,volume
2005-01-03,19.3464,19.3893,18.7373,18.9518,641200
2005-01-04,18.9947,19.1062,18.54,18.7202,903000
2005-01-05,18.703,18.7545,18.111,18.1625,985400
2005-01-06,18.274,18.54,18.1968,18.3427,669400
2005-01-07,18.3856,18.4199,18.0939,18.3341,474300
2005-01-10,18.274,18.437,18.1196,18.3598,923800
2005-01-11,18.274,18.3598,17.7764,18.0081,567300
2005-01-12,17.9995,18.0853,17.7335,17.9823,362200
2005-01-13,17.7421,18.3341,17.5019,17.8022,804400
2005-01-14,18.0166,18.2311,17.8279,18.1024,464700
2005-01-18,17.9738,18.2912,17.7936,18.0853,712700
2005-01-19,18.1197,18.1197,17.6463,17.6893,665100
2005-01-20,17.6807,17.8184,17.5344,17.7324,705500
2005-01-21,17.7324,17.9734,17.6893,17.8701,1082900
2005-01-24,17.9045,18.0078,17.7754,17.8701,756300
2005-01-25,17.9476,18.2488,17.9217,18.0939,672600
2005-01-26,18.3005,18.5157,17.9476,18.5071,801200
2005-01-27,18.464,18.7223,18.0767,18.5501,2004100
2005-01-28,19.1527,19.8241,19.0322,19.4109,1920300
2005-01-31,19.4539,19.8757,19.4023,19.7897,983800
2005-02-01,19.7122,19.7897,19.1441,19.7036,1662400
2005-02-02,19.8843,20.1254,19.6347,20.0995,1015200
2005-02-03,20.0995,20.1426,19.6003,19.6864,712700
2005-02-04,19.7122,20.2975,19.6433,20.2373,738900
2005-02-07,20.2717,20.5299,20.1081,20.3664,1048900
2005-02-08,20.375,20.5385,20.2287,20.3233,521900
2005-02-09,20.3147,20.3147,19.7036,19.781,541000
2005-02-10,19.781,19.9188,19.5056,19.6261,402000
2005-02-11,19.6691,19.8757,19.4625,19.7724,910900
2005-02-14,19.6089,19.8069,19.6089,19.6605,662300
2005-02-15,19.7294,19.8671,19.5917,19.695,451300
2005-02-16,19.54,19.9102,19.4109,19.8585,621600
2005-02-17,19.9274,20.2373,19.8155,20.0565,754100
2005-02-18,20.1081,20.1081,19.7036,19.7552,619400
2005-02-22,19.7552,19.7552,19.1785,19.1785,346200
2005-02-23,19.2818,19.3679,19.058,19.2473,459700
2005-02-24,19.2474,19.4023,18.9633,19.3507,434500
2005-02-25,19.3248,19.4453,19.1096,19.3937,457600
2005-02-28,19.3248,19.5314,18.9977,19.0924,650300
2005-03-01,19.3162,19.3679,19.058,19.1096,760800
2005-03-02,19.1096,19.1957,18.7223,18.9891,685100
2005-03-03,19.1527,19.3334,18.9891,19.2043,547300
2005-03-04,19.3248,19.8585,19.2818,19.8155,1016300
2005-03-07,19.8413,20.1082,19.5917,19.5917,878800
2005-03-08,19.6691,19.9188,19.5831,19.8069,820700
2005-03-09,19.8155,19.9704,19.3937,19.4281,605400
2005-03-10,19.54,19.5831,19.058,19.3334,321000
2005-03-11,19.4539,19.5831,18.8944,19.0063,380700
2005-03-14,19.1096,19.1957,18.8858,18.9375,547400
2005-03-15,18.9375,19.1441,18.7997,18.8514,474000
2005-03-16,18.8428,18.86,18.421,18.4382,676700
2005-03-17,18.4382,18.4813,18.1886,18.3349,557800
2005-03-18,18.4899,18.6792,18.4382,18.5329,1097900
2005-03-21,18.1197,18.5071,18.1025,18.2919,756100
2005-03-22,18.3779,18.4382,18.0422,18.0767,500100
2005-03-23,18.2058,18.8428,18.1197,18.7137,1074800
2005-03-24,18.7567,19.0494,18.7223,19.0149,829600
2005-03-28,19.0666,19.0924,18.8256,18.8686,491800
2005-03-29,18.903,18.9116,18.1628,18.2058,888000
2005-03-30,17.2159,17.4741,16.4584,17.0523,3568200
2005-03-31,17.1728,17.7668,17.0782,17.7582,1473300
2005-04-01,17.8012,17.9217,17.3966,17.4913,976900
2005-04-04,17.4311,17.6291,17.302,17.6032,626700
2005-04-05,17.5602,17.6377,17.2675,17.4913,1101200
2005-04-06,17.4827,17.9648,17.4827,17.9045,657100
2005-04-07,17.9045,18.0767,17.8184,17.8959,437400
2005-04-08,17.9045,17.9045,17.6807,17.7496,340600
2005-04-11,17.7324,17.8443,17.5688,17.5688,257900
2005-04-12,17.5774,17.5774,17.0868,17.5602,936000
2005-04-13,17.6032,17.7754,17.2934,17.4483,631900
2005-04-14,17.388,17.586,17.0782,17.2159,1217900
2005-04-15,17.1728,17.2675,16.8974,16.906,832200
2005-04-18,16.906,17.0179,16.8716,16.9146,544100
2005-04-19,16.949,16.9662,16.8199,16.8716,411000
2005-04-20,16.932,17.148,16.8456,16.932,497400
2005-04-21,17.1048,17.7959,17.1048,17.7614,664300
2005-04-22,17.6663,17.6663,16.8456,16.9493,997200
2005-04-25,17.0184,17.0962,16.6988,16.7074,1386100
2005-04-26,16.7593,17.5713,16.7593,17.1653,1386500
2005-04-27,17.2949,17.2949,16.7679,17.0357,747300
2005-04-28,17.1826,17.2085,16.2582,16.3187,1515300
2005-04-29,16.3187,16.3446,15.8954,15.9818,1426500
2005-05-02,16.0422,16.1545,15.6967,15.7485,1821300
2005-05-03,15.8176,16.0509,15.5585,15.5585,1511400
2005-05-04,15.6276,16.1545,15.4807,16.0682,1373600
2005-05-05,16.12,16.3187,16.025,16.2669,1153300
2005-05-06,16.3705,16.5001,16.1546,16.2841,585300
2005-05-09,16.31,16.5347,16.1632,16.4137,512400
2005-05-10,16.4223,16.6297,16.1805,16.31,726600
2005-05-11,16.2409,16.4828,16.1027,16.4655,663500
2005-05-12,16.4742,16.7074,16.4137,16.4915,729900
2005-05-13,16.5001,16.5779,15.9127,16.0595,732600
2005-05-16,16.1113,16.2668,15.9818,16.0682,1002100
2005-05-17,16.025,16.025,15.7312,15.8954,738300
2005-05-18,15.8781,16.2582,15.8781,16.1891,788900
2005-05-19,16.1718,16.4569,16.1632,16.4569,398900
2005-05-20,16.4828,16.621,16.3273,16.5778,446900
2005-05-23,16.5778,16.7333,16.4828,16.6383,582300
2005-05-24,16.5865,16.6901,16.4396,16.5865,298800
2005-05-25,16.5865,16.5865,16.3619,16.4396,362900
2005-05-26,16.5174,16.6901,16.5174,16.6383,744100
2005-05-27,16.6729,16.8025,16.5433,16.5433,816900
2005-05-31,16.5865,16.7074,16.5087,16.526,1063300
2005-06-01,16.5692,16.8716,16.431,16.8629,824900
2005-06-02,16.8888,16.8888,16.3705,16.5865,1207900
2005-06-03,16.6729,16.7765,16.3964,16.4137,869000
2005-06-06,16.4569,16.6815,16.4396,16.6815,855700
2005-06-07,16.7593,17.1566,16.742,16.8888,1223500
2005-06-08,16.932,17.0271,16.6297,16.6297,768800
2005-06-09,16.6729,16.8975,16.6383,16.8888,808900
2005-06-10,16.932,17.053,16.7074,16.7074,381100
2005-06-13,16.7161,17.0184,16.647,16.7506,447800
2005-06-14,16.7161,16.8543,16.6642,16.7852,505300
2005-06-15,16.8543,16.9752,16.6902,16.8802,395200
2005-06-16,16.8802,17.0184,16.8802,16.9666,363900
2005-06-17,17.1394,17.1394,16.8456,16.932,569200
2005-06-20,16.8025,16.9493,16.7161,16.8457,814800
2005-06-21,16.8024,16.8716,16.6901,16.7333,425300
2005-06-22,16.742,16.8629,16.6642,16.6901,784300
2005-06-23,16.6383,16.6988,16.3705,16.5174,1709800
2005-06-24,16.4915,16.5001,15.999,16.0682,1094400
2005-06-27,16.025,16.025,15.5498,15.6881,1382400
2005-06-28,15.8522,16.3273,15.7658,16.1977,1043600
2005-06-29,16.1805,16.2582,16.0422,16.1805,899600
2005-06-30,16.1891,16.5347,16.1891,16.3273,735400
2005-07-01,16.3446,16.621,16.336,16.621,754100
2005-07-05,16.621,17.0184,16.6038,17.0184,923000
2005-07-06,16.932,17.0357,16.8284,16.9839,728400
2005-07-07,16.8629,17.1048,16.8457,17.0789,638100
2005-07-08,17.0443,17.3813,16.9839,17.2949,603200
2005-07-11,17.3035,17.7095,17.2949,17.6145,480800
2005-07-12,17.4504,17.459,17.0616,17.3121,728000
2005-07-13,17.3121,17.4158,17.2517,17.364,396200
2005-07-14,17.4849,17.7959,17.4072,17.7873,614400
2005-07-15,17.7873,18.2192,17.7614,18.1587,983500
2005-07-18,18.0292,18.1847,17.96,18.1415,1124600
2005-07-19,18.1501,18.3142,18.1501,18.271,1120400
2005-07-20,18.2017,18.5484,18.2017,18.5484,774000
2005-07-21,18.5224,18.7131,18.3751,18.6004,742700
2005-07-22,18.5831,18.6004,18.2971,18.5137,510600
2005-07-25,18.4704,18.6784,18.3491,18.4011,420800
2005-07-26,18.4097,18.7218,18.3751,18.6784,873400
2005-07-27,18.3837,18.4444,17.5603,18.1497,2021900
2005-07-28,18.1497,18.4357,18.0544,18.4357,1176900
2005-07-29,18.3751,18.4617,18.1064,18.1844,500000
2005-08-01,18.2017,18.323,18.063,18.1064,495500
2005-08-02,18.063,18.1584,17.907,17.985,659800
2005-08-03,17.959,18.011,17.8117,17.8983,464800
2005-08-04,17.855,17.8724,17.5777,17.5777,481500
2005-08-05,17.5343,17.569,17.3783,17.4823,310100
2005-08-08,17.439,17.5603,17.3436,17.465,440500
2005-08-09,17.543,17.7683,17.5083,17.6123,777800
2005-08-10,17.621,17.803,17.465,17.6123,876000
2005-08-11,17.6296,17.7943,17.6296,17.7943,460200
2005-08-12,17.7943,17.8463,17.6903,17.725,566600
2005-08-15,17.7683,17.8117,17.6643,17.725,423800
2005-08-16,17.7337,17.7683,17.569,17.6037,407200
2005-08-17,17.621,17.751,17.5083,17.7077,365900
2005-08-18,17.7077,17.777,17.6297,17.6297,500100
2005-08-19,17.7683,17.777,17.5083,17.5516,597400
2005-08-22,17.5083,17.6817,17.3263,17.361,627300
2005-08-23,17.335,17.3436,17.1096,17.1876,705600
2005-08-24,17.0923,17.5343,17.0923,17.2396,1114200
2005-08-25,17.335,17.3696,17.1183,17.3436,834600
2005-08-26,17.361,17.361,16.9623,17.0576,353400
2005-08-29,17.3696,17.907,17.335,17.8983,762300
2005-08-30,17.907,17.9677,17.5083,17.699,605800
2005-08-31,17.699,17.9417,17.569,17.9417,530100
2005-09-01,17.9417,17.9417,17.335,17.4216,1316800
2005-09-02,17.5343,17.6903,17.4736,17.5083,345900
2005-09-06,17.5516,18.0024,17.5516,17.985,459500
2005-09-07,17.8897,18.0544,17.7683,17.985,396500
2005-09-08,17.985,18.1237,17.8983,18.0024,376000
2005-09-09,18.0284,18.245,18.0197,18.2017,521000
2005-09-12,18.2017,18.2104,18.0804,18.1324,278200
2005-09-13,18.0717,18.0717,17.647,17.673,477500
2005-09-14,17.6643,17.7597,17.4216,17.4736,531000
2005-09-15,17.4823,17.699,17.2223,17.2483,390000
2005-09-16,17.335,17.5516,17.3176,17.543,902800
2005-09-19,17.5516,17.6123,17.2309,17.2656,285000
2005-09-20,17.2223,17.3956,16.9883,17.0663,387700
2005-09-21,17.0663,17.1096,16.8236,16.8409,323200
2005-09-22,16.8149,16.8236,16.5982,16.7022,411400
2005-09-23,16.6242,16.9016,16.6242,16.8669,324200
2005-09-26,16.9883,17.0489,16.6156,16.6156,592300
2005-09-27,16.6849,17.0143,16.6762,16.9623,956100
2005-09-28,17.0576,17.439,17.0576,17.3956,1181100
2005-09-29,17.3523,17.491,17.309,17.465,510600
2005-09-30,17.4996,17.7597,17.465,17.6557,610300
2005-10-03,17.6557,18.089,17.595,18.0024,799700
2005-10-04,18.0717,18.1497,17.8117,17.8983,456900
2005-10-05,17.8723,18.0284,17.725,17.855,956400
2005-10-06,17.8117,18.0717,17.7163,17.881,954000
2005-10-07,18.9818,19.3285,18.7651,19.1291,2622500
2005-10-10,19.1291,19.1378,18.4531,18.4531,1390700
2005-10-11,18.4617,18.6611,18.2537,18.271,1119000
2005-10-12,18.1584,18.2884,17.7857,17.959,906300
2005-10-13,17.959,18.323,17.8463,18.2884,878400
2005-10-14,18.245,18.3231,17.9504,18.3144,803200
2005-10-17,18.2884,18.5224,18.219,18.3491,446300
2005-10-18,18.2537,18.3924,18.1064,18.1497,632200
2005-10-19,18.1584,18.3062,17.9758,18.3062,618500
2005-10-20,18.2628,18.6541,18.2628,18.6541,1247300
2005-10-21,18.6976,18.7845,18.0366,18.0627,854900
2005-10-24,18.0714,18.4802,17.8453,18.4454,650400
2005-10-25,18.3758,18.3758,17.9323,18.1062,708700
2005-10-26,18.6976,19.6977,18.5237,19.489,2572300
2005-10-27,19.489,19.4977,19.0455,19.0455,922400
2005-10-28,19.0628,19.0628,18.3236,18.7585,1701400
2005-10-31,18.8715,19.2629,18.8715,19.1933,845500
2005-11-01,19.2281,19.3933,19.1846,19.2455,537500
2005-11-02,19.3933,20.0021,19.3846,19.7934,956800
2005-11-03,19.6977,19.7151,19.2629,19.4368,1150100
2005-11-04,19.3846,19.6977,19.315,19.4542,471800
2005-11-07,19.2194,19.4716,19.2194,19.2803,668100
2005-11-08,19.1324,19.1759,18.9933,18.9933,436200
2005-11-09,18.9933,19.3498,18.9498,19.2803,434300
2005-11-10,19.2542,19.5672,19.0976,19.4716,221800
2005-11-11,19.4803,19.4803,19.2716,19.3411,402800
2005-11-14,19.4803,19.4803,19.2281,19.3759,623300
2005-11-15,19.2194,19.3672,19.0541,19.1498,234400
2005-11-16,19.1324,19.1846,18.9585,19.1324,592500
2005-11-17,19.1759,19.4194,19.1324,19.3846,323600
2005-11-18,19.5846,19.602,19.1411,19.3846,663800
2005-11-21,19.3411,19.8977,19.2455,19.7238,1620200
2005-11-22,19.5672,19.7499,19.315,19.7499,630000
2005-11-23,19.6542,19.7847,19.6542,19.7151,447300
2005-11-25,19.7412,19.7412,19.5672,19.6107,77400
2005-11-28,19.5759,19.6629,19.4455,19.5585,438100
2005-11-29,19.689,19.8107,19.5585,19.7673,411500
2005-11-30,19.7064,20.0021,19.7064,19.8368,521100
2005-12-01,19.9238,20.0803,19.889,19.9412,396400
2005-12-02,19.8542,20.0021,19.6368,19.9586,219500
2005-12-05,19.8803,19.8977,19.5846,19.6977,569600
2005-12-06,19.802,20.176,19.7064,20.0542,506100
2005-12-07,20.0282,20.3673,19.976,20.263,1149900
2005-12-08,20.263,20.3499,20.0282,20.2456,763200
2005-12-09,20.263,20.4717,20.2021,20.3673,525900
2005-12-12,20.376,20.4369,20.2021,20.3847,607700
2005-12-13,20.3847,20.5065,20.2195,20.3499,577800
2005-12-14,20.3064,20.6978,20.2543,20.6108,886500
2005-12-15,20.6804,20.6891,20.4108,20.5934,393500
2005-12-16,20.6369,20.6891,20.376,20.4978,808100
2005-12-19,20.4369,20.4456,20.176,20.2369,620800
2005-12-20,20.2369,20.3238,20.0542,20.089,563100
2005-12-21,20.263,20.2891,19.8194,19.9499,767400
2005-12-22,19.9673,20.0369,18.7063,20.0369,1773200
2005-12-23,20.0369,20.263,19.9847,20.2195,627000
2005-12-27,20.2195,20.4282,20.2108,20.3325,1101900
2005-12-28,20.3151,20.7152,20.263,20.663,1008800
2005-12-29,20.6978,20.8891,20.6717,20.75,843200
2005-12-30,20.6282,20.6543,20.376,20.4891,528000
2006-01-03,20.663,20.9761,20.3934,20.863,1204000
2006-01-04,20.8195,21.0022,20.5934,20.8804,935300
2006-01-05,20.8195,20.9587,20.6978,20.7761,724000
2006-01-06,20.8195,20.8195,20.5239,20.5673,808000
2006-01-09,20.4021,20.8543,20.3325,20.6456,954700
2006-01-10,20.576,20.6108,20.2804,20.6021,863100
2006-01-11,20.5499,20.8978,20.5499,20.8369,493400
2006-01-12,20.8543,20.8543,20.2456,20.2543,832300
2006-01-13,20.3412,20.4891,20.1847,20.4282,523900
2006-01-17,20.263,20.3064,20.0803,20.1934,351800
2006-01-18,20.0713,20.1759,19.8794,20.0102,353700
2006-01-19,20.0277,20.5772,20.0277,20.4202,685500
2006-01-20,20.3591,20.394,20.0276,20.0276,656900
2006-01-23,20.0015,20.0713,19.8532,20.0189,368100
2006-01-24,20.1411,20.2806,19.9404,20.0626,614600
2006-01-25,20.0974,20.1847,19.7834,19.8881,643400
2006-01-26,19.9753,20.49,19.8445,20.3678,719900
2006-01-27,20.2806,20.2893,18.8675,19.0158,2557900
2006-01-30,19.1467,20.0887,19.1467,19.8706,1409000
2006-01-31,19.6787,19.9666,19.4258,19.8358,1096300
2006-02-01,19.8009,20.2108,19.3647,20.141,1090800
2006-02-02,20.1149,20.1149,19.609,19.6439,778300
2006-02-03,19.5479,19.8619,19.4083,19.7485,638000
2006-02-06,19.7485,20.0974,19.6264,20.0102,670600
2006-02-07,20.0364,20.3068,19.9317,20.0626,683700
2006-02-08,20.0451,20.5859,19.8445,20.551,881900
