date,open,high,low,close,volume
2005-01-03,8.7277,8.8387,8.6168,8.6242,6296900
2005-01-04,8.6538,8.6908,8.3062,8.4245,7891700
2005-01-05,8.4245,8.5059,8.3357,8.3727,5274300
2005-01-06,8.3653,8.5354,8.3653,8.5133,4557000
2005-01-07,8.5428,8.639,8.4615,8.4837,4059500
2005-01-10,8.4319,8.5428,8.4023,8.5354,4434900
2005-01-11,8.4689,8.4689,8.1508,8.284,8698500
2005-01-12,8.247,8.3061,8.1582,8.3061,5450800
2005-01-13,8.2248,8.3061,8.0547,8.1212,7778200
2005-01-14,8.1286,8.247,8.1064,8.2248,5382200
2005-01-18,8.2174,8.4837,8.2174,8.4245,5136500
2005-01-19,8.5798,8.5798,8.3135,8.3135,5785100
2005-01-20,8.2766,8.3062,8.2396,8.2692,4635800
2005-01-21,8.2692,8.3209,7.9511,8.0991,5641000
2005-01-24,8.21,8.2692,8.136,8.173,4491000
2005-01-25,8.2322,8.3579,8.1804,8.2618,4976200
2005-01-26,8.2692,8.3727,8.173,8.3579,7594900
2005-01-27,8.3579,8.4097,8.2988,8.3505,3571500
2005-01-28,8.3283,8.3875,8.1952,8.21,5528700
2005-01-31,8.284,8.4023,8.2396,8.3135,5441400
2005-02-01,8.2988,8.3061,8.136,8.2544,6701700
2005-02-02,8.2174,8.247,8.1434,8.2026,4392100
2005-02-03,8.173,8.1804,7.8846,7.9141,7324900
2005-02-04,7.8402,7.8476,7.5073,7.6775,18997000
2005-02-07,7.7664,7.796,7.6552,7.7516,8728200
2005-02-08,7.7516,7.8257,7.6849,7.7812,5584300
2005-02-09,7.7812,7.9072,7.7664,7.7812,6400400
2005-02-10,7.7812,7.8331,7.6775,7.7071,7121400
2005-02-11,7.7071,8.0702,7.6923,7.9813,6997900
2005-02-14,8.0109,8.2258,8.0035,8.1295,9616200
2005-02-15,8.1295,8.1666,8.0554,8.1147,4405500
2005-02-16,8.0406,8.1073,8.0183,8.0702,3070200
2005-02-17,8.0332,8.0628,8.0035,8.0554,3678400
2005-02-18,8.085,8.085,7.922,7.9516,4598800
2005-02-22,7.8405,7.9665,7.8183,7.8701,4588000
2005-02-23,7.8701,7.9517,7.7738,7.8183,3563100
2005-02-24,7.8034,7.8924,7.7738,7.8627,5104000
2005-02-25,7.8257,8.0035,7.8034,7.9442,3403400
2005-02-28,7.8701,7.8924,7.7664,7.7812,3994500
2005-03-01,7.7442,7.9442,7.7367,7.9146,3611900
2005-03-02,7.8405,8.1814,7.8034,8.0999,6154700
2005-03-03,8.0999,8.1592,7.9665,8.0109,4257800
2005-03-04,8.0109,8.2481,8.0035,8.0999,5985000
2005-03-07,8.0702,8.3,8.0628,8.2184,3237800
2005-03-08,8.174,8.2629,8.0925,8.1221,4140200
2005-03-09,8.1295,8.1962,8.1073,8.1369,5515600
2005-03-10,8.1147,8.2555,8.1147,8.1592,3725800
