date,open,high,low,close,volume
2005-01-03,24.1957,24.2675,23.9546,24.0264,224600
2005-01-04,24.1341,24.1752,23.652,23.8007,170100
2005-01-05,23.9033,24.0521,23.8059,23.8725,258700
2005-01-06,23.9238,24.0418,23.6725,24.0213,260900
2005-01-07,23.9803,24.0726,23.8007,23.9803,129700
2005-01-10,24.0316,24.088,23.852,23.9085,146500
2005-01-11,23.9085,23.9085,23.7084,23.8059,154000
2005-01-12,23.7289,23.7597,23.575,23.7135,119700
2005-01-13,23.6468,23.7494,23.5904,23.5955,85400
2005-01-14,23.6725,23.7135,23.575,23.6161,134900
2005-01-18,23.5956,23.852,23.534,23.852,153300
2005-01-19,23.8572,23.9187,23.6879,23.8725,139800
2005-01-20,23.8726,24.1085,23.8674,24.011,231600
2005-01-21,24.0829,24.1034,23.9033,23.929,122400
2005-01-24,23.8777,23.8982,23.7084,23.7648,129200
2005-01-25,23.7648,23.929,23.4878,23.5596,207200
2005-01-26,23.5597,23.5956,23.416,23.5032,195500
2005-01-27,23.5135,23.6828,23.3904,23.6366,252300
2005-01-28,23.6366,23.734,23.5032,23.7084,191700
2005-01-31,23.7084,23.9649,23.6109,23.929,90700
2005-02-01,23.8264,24.0623,23.7546,24.0572,235800
2005-02-02,24.0572,24.483,24.0213,24.4573,340500
2005-02-03,24.4573,24.4932,24.2214,24.483,260600
2005-02-04,24.483,24.5599,24.3855,24.5548,149700
2005-02-07,24.5291,25.1293,24.5189,25.1293,359900
2005-02-08,25.001,25.001,24.4727,24.7753,378900
2005-02-09,24.801,24.801,24.4983,24.524,84900
2005-02-10,24.5446,24.6374,24.4054,24.4621,190800
2005-02-11,24.4415,24.5498,24.2816,24.4621,99400
2005-02-14,24.3744,24.6065,24.2971,24.5549,93000
2005-02-15,24.493,24.7715,24.493,24.7251,177400
2005-02-16,24.7251,24.7818,24.6271,24.6787,153700
2005-02-17,24.6993,24.9623,24.6787,24.9107,315500
2005-02-18,24.854,24.8849,24.2868,24.8488,396000
2005-02-22,24.756,24.8488,24.4415,24.6013,348700
2005-02-23,24.6013,25.0551,24.6013,25.0242,267800
2005-02-24,25.0293,25.184,24.9365,25.1376,296600
2005-02-25,25.0603,25.2356,25.0603,25.2356,123200
2005-02-28,25.3439,25.5295,25.2768,25.349,267900
2005-03-01,25.4779,25.5862,25.4573,25.5862,232400
2005-03-02,25.5089,25.9317,25.5089,25.7718,282900
2005-03-03,25.7822,26.1844,25.7615,26.174,403300
2005-03-04,26.2256,26.633,26.1173,26.5556,538200
2005-03-07,26.5608,26.6175,26.4577,26.5453,319900
2005-03-08,26.5195,26.5195,26.2462,26.3494,329700
2005-03-09,26.2978,26.3081,26.0142,26.0761,284700
2005-03-10,26.1534,26.3133,26.0915,26.3133,427700
2005-03-11,26.3184,26.37,26.1998,26.2978,325400
