date,open,high,low,close,volume
2005-01-03,25.3552,25.3552,24.6595,24.7175,1449561
2005-01-04,24.7948,25.0577,24.4354,24.447,1046929
2005-01-05,24.5049,24.5436,23.3647,23.3647,2466215
2005-01-06,23.3454,23.7087,23.2951,23.5734,1563983
2005-01-07,23.9252,24.0875,23.5271,23.6778,969355
2005-01-10,23.6739,23.7822,23.4072,23.6585,870124
2005-01-11,23.6662,23.7242,23.3454,23.4652,1035832
2005-01-12,23.4652,23.4652,22.8429,23.3531,1546421
2005-01-13,23.3609,24.2305,23.3609,23.6237,1409266
2005-01-14,23.6198,24.0566,23.6198,24.0063,838772
2005-01-18,23.9716,24.2808,23.8131,24.2808,743420
2005-01-19,24.3387,24.617,24.2034,24.3117,961059
2005-01-20,24.273,24.3117,24.0373,24.188,1099292
2005-01-21,24.1377,24.3619,23.9831,23.9831,1059319
2005-01-24,24.0991,24.215,23.6353,23.6353,1015468
2005-01-25,23.8324,23.844,23.1792,23.1792,1384916
2005-01-26,23.1599,23.2681,23.0014,23.1908,1106295
2005-01-27,23.1135,23.1908,22.7656,22.8159,890488
2005-01-28,22.9782,23.0284,22.7231,23.0091,1034323
2005-01-31,23.1019,23.2642,22.5299,22.9202,1137971
2005-02-01,23.0284,23.2835,22.8738,23.2101,1677759
2005-02-02,23.1908,23.7048,23.156,23.6933,1136032
2005-02-03,23.6932,23.8942,23.5386,23.7551,1034000
2005-02-04,24.1184,24.3503,23.9329,24.2266,1829136
2005-02-07,24.3001,24.4122,24.1841,24.1841,934662
2005-02-08,24.331,24.532,24.2846,24.4199,1649853
2005-02-09,24.4199,24.6402,24.3271,24.6402,865061
2005-02-10,24.6402,24.9649,24.559,24.8876,1112867
2005-02-11,24.9301,25.1195,24.7794,25.0924,902878
2005-02-14,25.1156,25.3166,25.0113,25.1543,963214
2005-02-15,25.1581,25.22,24.9417,25.2006,1060828
2005-02-16,25.2397,25.3296,24.8685,25.0522,1270925
2005-02-17,25.1225,25.1655,24.978,25.0248,734585
2005-02-18,25.0248,25.0248,24.5833,24.7435,942096
2005-02-22,24.5365,24.5951,24.0559,24.1731,1318008
2005-02-23,24.2356,24.4153,24.1301,24.302,1515391
2005-02-24,24.3411,24.3645,24.0012,24.1809,985193
2005-02-25,24.1262,24.7709,24.1184,24.7435,1156072
2005-02-28,24.7513,24.7513,24.1809,24.2083,1383623
2005-03-01,24.2122,24.3997,24.1575,24.2864,1255949
2005-03-02,24.2747,24.3645,23.9543,24.2551,1092181
2005-03-03,24.2786,24.3606,24.052,24.2551,871310
2005-03-04,24.5755,24.7943,24.4036,24.7162,852563
2005-03-07,24.7513,25.0444,24.6185,24.8295,753332
2005-03-08,24.81,24.81,24.3685,24.4739,866246
2005-03-09,24.3802,24.3841,23.6027,23.6495,1475635
2005-03-10,23.7472,24.1418,23.716,24.1418,1286763
2005-03-11,24.1028,24.1262,23.6183,23.6652,819378
2005-03-14,23.6261,24.1067,23.5714,24.0559,757857
2005-03-15,24.0832,24.3802,23.8371,23.9699,724996
2005-03-16,23.9504,23.9543,23.548,23.5792,629644
2005-03-17,23.6574,24.1418,23.6574,24.091,994351
2005-03-18,24.1457,24.3098,24.0871,24.2825,1801231
2005-03-21,24.2825,24.2981,24.095,24.134,1060720
2005-03-22,24.1848,24.5521,23.505,23.5089,1269309
2005-03-23,23.4425,23.7472,23.2393,23.4073,1315099
2005-03-24,23.5011,23.8996,23.5011,23.5128,809681
2005-03-28,23.5519,23.6535,23.3526,23.376,737063
2005-03-29,23.3956,23.7824,23.3448,23.6027,996290
2005-03-30,23.6105,23.8449,23.5597,23.8449,1121702
2005-03-31,23.841,23.966,23.6378,23.6691,1231599
2005-04-01,24.1067,24.1418,23.3604,23.544,1568724
2005-04-04,23.5597,23.5597,23.1651,23.3682,1407003
2005-04-05,23.3839,23.4347,23.1729,23.2745,818624
2005-04-06,23.3643,23.5597,23.2315,23.4229,653994
2005-04-07,23.3839,23.7316,23.3565,23.6613,770786
2005-04-08,23.6574,23.7121,23.5206,23.5402,533969
2005-04-11,23.5597,23.5909,23.4698,23.5128,517700
2005-04-12,23.4737,24.0363,23.3643,23.9582,1023657
2005-04-13,23.9855,24.2747,23.9855,24.1809,979914
2005-04-14,24.1067,24.2239,24.0676,24.1223,1329321
2005-04-15,24.1653,24.259,23.966,24.0324,963968
2005-04-18,24.1067,24.2005,23.841,24.134,842004
2005-04-19,24.1067,24.1965,24.0324,24.1614,1101554
2005-04-20,24.1614,24.22,23.9699,24.1106,872387
2005-04-21,24.2043,24.3333,24.0559,24.3333,1011051
2005-04-22,24.302,24.6615,24.2864,24.5716,1041003
2005-04-25,24.7123,24.9037,24.5599,24.8256,949315
