date,open,high,low,close,volume
2005-01-03,8.2645,8.3688,8.056,8.2408,3579500
2005-01-04,8.5062,8.5062,7.8617,8.0892,3965600
2005-01-05,8.0086,8.1271,7.9897,8.0086,2697200
2005-01-06,8.0797,8.1982,7.8617,7.966,4173300
2005-01-07,8.056,8.0939,7.8902,7.8949,3411000
2005-01-10,7.9423,8.2408,7.9233,8.146,6546800
2005-01-11,8.146,8.1982,8.0655,8.1413,5080800
2005-01-12,8.1982,8.293,8.165,8.2835,4444700
2005-01-13,8.4351,8.601,8.3166,8.4825,6700900
2005-01-14,8.3593,8.4825,8.293,8.4446,6567500
2005-01-18,8.4588,8.7147,8.4399,8.6958,9240600
2005-01-19,8.5536,8.5773,8.1034,8.1603,12638700
2005-01-20,7.9849,8.274,7.9423,8.2219,5692600
2005-01-21,8.2693,8.3403,8.1792,8.2219,8427400
2005-01-24,8.2313,8.293,7.947,7.9991,3568300
2005-01-25,8.056,8.1129,7.9612,8.0513,3702600
2005-01-26,8.0939,8.1081,7.8665,8.0607,3236700
2005-01-27,7.9612,8.2503,7.9612,8.1697,3279000
2005-01-28,8.2456,8.2503,7.9612,8.056,2994600
2005-01-31,8.1603,8.1603,7.9233,8.0181,3217300
2005-02-01,7.9233,8.075,7.8665,8.0371,3264600
2005-02-02,8.1084,8.1559,8.0608,8.1036,4368600
2005-02-03,8.1322,8.1417,8.0133,8.1179,1786300
2005-02-04,8.1227,8.4223,8.1036,8.408,5083300
2005-02-07,8.3224,8.4746,8.2748,8.3129,2622200
2005-02-08,8.3367,8.4318,8.175,8.2368,4204600
2005-02-09,8.3462,8.3937,8.1702,8.2035,3403300
2005-02-10,8.2035,8.2653,8.0656,8.2035,3695900
2005-02-11,8.2225,8.3224,8.0941,8.2178,2514300
2005-02-14,8.2273,8.2273,8.1084,8.1131,2310400
2005-02-15,8.1322,8.427,8.1084,8.3176,4225900
2005-02-16,8.2273,8.3462,8.0846,8.2511,3371800
2005-02-17,8.3224,8.4413,8.2273,8.408,3726500
2005-02-18,8.5364,8.641,8.3462,8.3462,6542700
2005-02-22,8.2796,8.3462,8.1417,8.1655,2913300
2005-02-23,8.1464,8.2986,7.7755,7.9657,5868900
2005-02-24,7.9182,8.2273,7.8468,8.2035,4661500
2005-02-25,8.2986,8.4413,8.1987,8.4175,4384200
2005-02-28,8.4888,8.5982,8.1559,8.5459,5276500
2005-03-01,8.5554,8.6077,8.5031,8.5697,3840700
2005-03-02,8.5221,8.8027,8.4175,8.7552,4109100
2005-03-03,8.7266,8.8312,8.5887,8.7409,2814000
2005-03-04,8.8408,9.0357,8.8075,9.0167,4812700
2005-03-07,9.012,9.1166,8.8645,8.9549,4328500
2005-03-08,9.2022,9.2973,9.0595,9.1071,5654000
2005-03-09,9.1071,9.1832,8.9549,9.1309,3247900
2005-03-10,9.1071,9.1213,8.9406,9.0738,2677500
2005-03-11,8.9882,9.0595,8.6696,8.7837,3677800
2005-03-14,8.798,8.9882,8.7504,8.9549,1988300
2005-03-15,9.0262,9.0357,8.7742,8.8265,2072200
2005-03-16,8.7504,9.0785,8.7266,9.0405,4383800
2005-03-17,9.0643,9.2164,9.05,9.1356,3470600
2005-03-18,9.0976,9.3972,8.9739,9.3829,3768600
2005-03-21,9.3924,9.478,9.1737,9.4305,2957500
2005-03-22,9.4114,9.4637,9.2307,9.2593,1689800
2005-03-23,9.2355,9.3924,9.226,9.2545,1708000
2005-03-24,9.44,9.6064,9.3591,9.4305,4551500
2005-03-28,9.4162,9.459,9.069,9.069,3560000
2005-03-29,9.0833,9.1309,8.7266,8.7884,5312600
2005-03-30,8.8931,9.0643,8.8693,8.9977,3843900
2005-03-31,9.3686,9.4305,9.1784,9.2973,4200500
2005-04-01,9.3496,9.4114,9.1546,9.226,2361400
2005-04-04,9.2545,9.2545,9.0357,9.1118,2238400
2005-04-05,9.1451,9.1689,8.9406,8.9787,3556600
2005-04-06,8.9882,9.1546,8.9311,8.9549,2155000
2005-04-07,8.9549,9.1499,8.9359,9.1309,2693300
2005-04-08,9.1546,9.1784,9.0453,9.1071,1486000
2005-04-11,9.1261,9.1261,8.8693,8.9882,1709100
2005-04-12,8.9644,9.1213,8.8503,9.031,2041500
2005-04-13,8.9882,8.9977,8.7789,8.8075,2642000
2005-04-14,8.6886,8.6886,8.2463,8.2653,5134800
2005-04-15,8.0846,8.1797,7.8088,7.8801,6358500
2005-04-18,7.9657,8.0133,7.823,7.9752,3969100
2005-04-19,8.2986,8.3129,8.1322,8.2463,6892800
2005-04-20,8.6077,8.7266,8.4651,8.5507,11025300
2005-04-21,8.6696,9.012,8.6315,8.9834,4850200
2005-04-22,8.7504,8.798,8.5126,8.6791,6370400
2005-04-25,8.7361,8.8455,8.7171,8.8217,5510300
2005-04-26,8.8075,8.9311,8.7552,8.8836,4343100
2005-04-27,8.8455,8.8931,8.6838,8.7266,3001100
2005-04-28,8.641,8.7266,8.3319,8.3652,3463400
2005-04-29,8.4413,8.5126,8.2273,8.3604,2951200
2005-05-02,8.3604,8.4841,8.3034,8.408,1749500
2005-05-03,8.427,8.5412,8.3462,8.3795,2827100
2005-05-04,8.3795,8.4655,8.26,8.3365,4505000
2005-05-05,8.346,8.3842,8.1119,8.1836,3945800
2005-05-06,8.2887,8.6327,8.2553,8.6279,3939900
2005-05-09,8.5992,8.6661,8.561,8.6183,1805000
2005-05-10,8.5992,8.6136,8.4033,8.5085,1339400
2005-05-11,8.5084,8.5849,8.4081,8.5323,1173600
2005-05-12,8.5037,8.6852,8.389,8.432,1917500
2005-05-13,8.5037,8.8476,8.5037,8.8333,5552000
2005-05-16,8.8285,9.1773,8.8094,9.1629,4851600
2005-05-17,9.077,9.4353,9.0531,9.2776,5969900
2005-05-18,9.3636,9.6789,9.3636,9.6407,9117500
2005-05-19,9.7458,9.784,9.5738,9.6837,4357800
2005-05-20,9.6837,9.7123,9.5069,9.6311,2832900
2005-05-23,9.698,9.8413,9.6837,9.8127,2763300
2005-05-24,9.7936,9.9942,9.7458,9.9417,2669000
2005-05-25,10.0085,10.1041,9.8127,10.0611,3783800
2005-05-26,10.0611,10.1327,9.9225,10.0324,2833100
2005-05-27,10.0038,10.0945,9.9608,10.0085,2387500
2005-05-31,10.0229,10.1519,9.8843,10.1375,4454900
2005-06-01,10.0563,10.171,9.999,10.0563,3569900
2005-06-02,10.0515,10.1996,10.0324,10.1757,2571300
2005-06-03,10.128,10.128,9.8079,9.8509,2796400
2005-06-06,9.8413,9.9751,9.8127,9.9369,1348800
2005-06-07,10.1757,10.2713,9.9703,10.1136,2738200
2005-06-08,10.042,10.042,9.6359,9.9751,4976600
2005-06-09,10.0085,10.1901,9.7171,9.7553,5443000
2005-06-10,9.784,9.8891,9.4639,9.7553,4524400
2005-06-13,9.698,9.9321,9.698,9.8079,3218300
2005-06-14,9.7601,9.7888,9.4114,9.6216,5676500
2005-06-15,9.6025,9.6502,9.4353,9.5356,2568200
2005-06-16,9.5977,9.8891,9.5547,9.6932,2956900
2005-06-17,9.397,9.483,8.8859,9.077,13605400
2005-06-20,9.1486,9.5069,9.0292,9.354,6386500
