date,open,high,low,close,volume
2005-01-03,20.7621,20.917,20.4857,20.6018,3032600
2005-01-04,20.6184,20.6958,20.2479,20.2645,2067600
2005-01-05,20.3589,20.4755,20.2923,20.2923,1374000
2005-01-06,20.2312,20.4366,20.0702,20.2534,2223800
2005-01-07,20.2368,20.3311,20.0702,20.1646,1384200
2005-01-10,20.1313,20.4588,20.1202,20.4033,1233100
2005-01-11,20.32,20.3922,20.0924,20.1923,1221200
2005-01-12,20.1257,20.209,19.8148,20.1646,1846000
2005-01-13,20.1923,20.4533,20.159,20.2201,1296000
2005-01-14,20.2145,20.4089,20.048,20.0702,1404500
2005-01-18,19.8481,20.2368,19.5983,20.2312,2906700
2005-01-19,20.209,20.2645,19.9536,19.998,1182000
2005-01-20,19.8592,20.0091,19.7648,19.8481,1480200
2005-01-21,19.8481,19.9647,19.7204,19.8259,1150400
2005-01-24,19.8426,19.8537,19.6649,19.7204,1712200
2005-01-25,19.726,19.8148,19.5705,19.5761,1626000
2005-01-26,19.626,19.6871,19.4983,19.5428,1889500
2005-01-27,19.5428,19.8315,19.515,19.787,2230900
2005-01-28,19.7315,19.9258,19.6816,19.9258,1449100
2005-01-31,19.8759,19.887,19.2985,19.4151,4257500
2005-02-01,19.3373,19.4095,19.1597,19.3207,5627200
2005-02-02,19.2374,19.3429,19.0875,19.2929,3250500
2005-02-03,19.3262,19.3873,19.1208,19.2541,3511500
2005-02-04,19.1597,19.4095,19.1153,19.4095,2382700
2005-02-07,19.4262,19.4428,19.2208,19.304,1799600
2005-02-08,19.2097,19.5594,19.2097,19.5483,1992500
2005-02-09,19.465,19.5539,19.2374,19.4595,1873900
2005-02-10,19.5372,19.6316,19.354,19.3818,1500400
2005-02-11,19.3484,19.5594,19.243,19.3429,2583300
2005-02-14,19.4151,19.6483,19.3484,19.626,1463000
2005-02-15,19.626,19.6316,19.3984,19.4262,1786900
2005-02-16,19.4151,19.5094,19.3151,19.404,1038700
2005-02-17,19.3762,19.4484,19.2041,19.2208,1063600
2005-02-18,19.3318,19.4095,19.2152,19.3096,1838800
2005-02-22,19.2152,19.3096,18.9765,19.0153,2408100
2005-02-23,19.1264,19.2929,19.0708,19.0931,2841300
2005-02-24,19.032,19.243,18.9321,19.193,1546700
2005-02-25,19.2263,19.2929,19.082,19.2096,1778200
2005-02-28,19.1541,19.1819,19.0153,19.1097,2264200
2005-03-01,19.1208,19.3318,19.0709,19.2208,2066000
2005-03-02,18.9598,19.4206,18.9376,19.3262,1774300
2005-03-03,19.3318,19.3873,19.2263,19.2818,1445400
2005-03-04,19.404,19.4706,19.243,19.243,1614100
2005-03-07,19.2096,19.354,19.1375,19.1819,1771200
2005-03-08,19.2319,19.3484,19.1541,19.1819,2673600
2005-03-09,19.1264,19.2041,18.7544,18.7877,2520800
2005-03-10,18.7377,18.9432,18.7266,18.9098,2147500
2005-03-11,18.8377,19.0042,18.6767,18.7211,1313600
2005-03-14,18.7932,19.0431,18.7655,18.9987,1845700
2005-03-15,19.0708,19.1153,18.6933,18.71,1979300
2005-03-16,18.71,18.71,18.3935,18.4324,2229500
2005-03-17,18.3491,18.3658,18.2103,18.2325,2661600
2005-03-18,18.2325,18.288,18.0826,18.1936,2915600
2005-03-21,18.2492,18.3769,18.0826,18.1215,1813000
2005-03-22,18.2103,18.9709,18.2103,18.8099,3686200
2005-03-23,18.7655,18.932,18.7322,18.8043,2638600
2005-03-24,18.7877,19.2263,18.6489,19.1874,3087200
2005-03-28,19.2652,19.9592,19.2374,19.9592,4292800
2005-03-29,19.8759,20.1535,19.7704,20.0869,3404400
2005-03-30,20.1147,20.3433,20.1147,20.2485,1972600
2005-03-31,20.2541,20.2541,19.7914,19.9586,2248000
2005-04-01,19.9586,20.0422,19.7189,19.7802,1751700
2005-04-04,19.7356,19.8471,19.6241,19.7858,1711500
2005-04-05,19.9029,20.36,19.875,20.36,2568900
2005-04-06,20.2931,20.3099,20.0868,20.2374,1894100
2005-04-07,20.1649,20.3433,20.0924,20.3377,1319300
2005-04-08,20.3377,20.3433,20.0422,20.0645,1701400
2005-04-11,20.0311,20.1761,20.0144,20.0423,2356600
2005-04-12,20.0311,20.176,19.8583,20.0144,1592500
2005-04-13,19.9865,20.1091,19.9084,19.9921,1566800
2005-04-14,19.9363,20.0701,19.8416,19.9865,1969300
2005-04-15,19.9809,19.9865,19.507,19.5126,2585300
2005-04-18,19.4011,19.691,19.2785,19.6018,1738300
2005-04-19,19.5572,19.6241,19.3119,19.4959,1752400
2005-04-20,19.5963,19.5963,19.1447,19.2004,1274700
2005-04-21,19.3342,19.7412,19.3175,19.5517,1982500
2005-04-22,19.5572,19.6408,19.1893,19.3454,1558400
2005-04-25,19.4569,19.6297,19.4179,19.5517,1272900
2005-04-26,19.5461,19.6743,19.39,19.4625,1269500
2005-04-27,19.4011,19.5405,19.1558,19.4346,1148200
2005-04-28,19.3454,19.4847,19.2171,19.2952,1505500
2005-04-29,19.39,19.4792,19.0833,19.2896,2526100
2005-05-02,19.5684,19.7914,19.3398,19.7412,2620400
2005-05-03,19.8471,19.9586,19.7356,19.7914,1908300
2005-05-04,19.9029,20.0924,19.8304,19.9308,1368800
2005-05-05,20.0701,20.1928,19.7468,19.8806,1390900
2005-05-06,19.9921,20.0701,19.8973,19.9531,1214300
2005-05-09,19.9308,20.0367,19.8193,20.0367,1447000
2005-05-10,19.9029,20.1537,19.8304,20.098,1383600
2005-05-11,20.0813,20.282,20.0032,20.2374,1555400
2005-05-12,20.321,20.3768,19.9865,20.0088,1586600
2005-05-13,19.9698,19.9809,19.5963,19.7858,1571500
2005-05-16,19.8415,20.2597,19.7914,20.2374,1232400
2005-05-17,20.1314,20.3879,20.0422,20.3823,1197800
2005-05-18,20.4046,20.6834,20.3935,20.6555,1601600
2005-05-19,20.6109,20.6667,20.3879,20.6444,1182500
2005-05-20,20.5997,20.8172,20.4882,20.728,1340500
2005-05-23,21.0067,21.0457,20.8172,20.8172,1780000
2005-05-24,20.767,21.1071,20.6722,20.99,1543400
2005-05-25,20.99,21.0067,20.6889,20.8172,1142800
2005-05-26,20.8172,20.9733,20.7391,20.9008,982100
2005-05-27,20.8172,20.8841,20.6889,20.8172,845600
2005-05-31,20.767,20.8674,20.5998,20.7168,1426700
2005-06-01,20.689,21.1851,20.6388,21.0513,1610600
2005-06-02,21.029,21.0959,20.8729,21.0402,889700
2005-06-03,20.99,21.1294,20.7782,20.8674,877000
2005-06-06,20.7614,20.9566,20.7614,20.8283,842200
2005-06-07,20.806,21.174,20.767,20.9287,1103500
2005-06-08,20.8506,20.9287,20.7336,20.7837,871200
2005-06-09,20.6834,20.8339,20.505,20.7447,1338100
2005-06-10,20.7391,21.0458,20.5384,20.6276,1016400
2005-06-13,20.5161,20.9287,20.4715,20.9064,1340100
2005-06-14,20.8451,21.2074,20.8395,21.0681,1851700
2005-06-15,20.5719,20.6778,20.1872,20.5998,3432700
2005-06-16,20.4659,20.6499,20.3266,20.5496,1908200
2005-06-17,20.7837,20.7837,20.5886,20.6555,2290000
2005-06-20,20.5161,20.6611,20.1314,20.6555,1130500
2005-06-21,20.5719,20.6276,20.2708,20.3656,1715500
2005-06-22,20.4436,20.4715,20.2429,20.3879,1494700
2005-06-23,20.3433,20.3768,20.059,20.059,2385000
2005-06-24,19.9921,20.1426,19.9754,20.0423,2151300
2005-06-27,20.0032,20.0367,19.7747,19.9308,1543600
2005-06-28,19.9865,20.3099,19.9809,20.2151,1313800
2005-06-29,20.1815,20.2655,20.0247,20.0695,1098600
2005-06-30,20.0079,20.4502,20.0079,20.2599,2058700
2005-07-01,20.3494,20.4278,20.2207,20.2934,1316500
2005-07-05,20.3326,20.7245,20.299,20.6461,1865900
