date,open,high,low,close,volume
2005-01-03,4.4604,4.4604,4.3883,4.3934,13108262
2005-01-04,4.4226,4.4261,4.3471,4.3471,15728061
2005-01-05,4.366,4.4278,4.3643,4.3677,14649398
2005-01-06,4.4301,4.4301,4.369,4.3917,11942480
2005-01-07,4.4092,4.4319,4.376,4.3795,13383124
2005-01-10,4.383,4.383,4.3166,4.3481,16073492
2005-01-11,4.3463,4.3516,4.2904,4.3044,14657210
2005-01-12,4.2939,4.3393,4.2817,4.3324,12273348
2005-01-13,4.3166,4.3324,4.2416,4.266,14992049
2005-01-14,4.2695,4.2835,4.2276,4.2625,14524810
2005-01-18,4.259,4.3551,4.259,4.3446,18581413
2005-01-19,4.4179,4.4266,4.3236,4.3289,12983674
2005-01-20,4.3271,4.3463,4.273,4.273,16270504
2005-01-21,4.3044,4.3201,4.273,4.2922,17816936
2005-01-24,4.3079,4.3673,4.2817,4.2852,11804122
2005-01-25,4.287,4.3044,4.2468,4.2695,12244352
2005-01-26,4.3131,4.3463,4.2555,4.2922,16351135
2005-01-27,4.2346,4.2363,4.1298,4.1333,36204648
2005-01-28,4.1053,4.1368,4.0739,4.1246,22835690
2005-01-31,4.1246,4.1892,4.0687,4.149,41465959
2005-02-01,4.1909,4.2031,4.149,4.1769,26649737
2005-02-02,4.2398,4.2712,4.1874,4.259,29170236
2005-02-03,4.3201,4.3306,4.273,4.2992,20621035
2005-02-04,4.2992,4.3062,4.2625,4.2957,17177046
2005-02-07,4.2957,4.2992,4.2485,4.273,10213071
2005-02-08,4.2939,4.3131,4.2747,4.2974,12940644
2005-02-09,4.3079,4.3114,4.2555,4.2573,10863155
2005-02-10,4.2573,4.259,4.1996,4.2084,16498099
2005-02-11,4.2084,4.2625,4.1822,4.2363,14423788
2005-02-14,4.2677,4.3131,4.2346,4.2555,16173322
2005-02-15,4.2695,4.3201,4.2555,4.2817,12032512
2005-02-16,4.2922,4.3062,4.2538,4.28,11878796
2005-02-17,4.2817,4.2835,4.2206,4.2346,14189838
2005-02-18,4.2433,4.2433,4.2119,4.2223,13077148
2005-02-22,4.2398,4.2782,4.1909,4.1962,15994052
2005-02-23,4.1979,4.2328,4.1717,4.2154,14219495
2005-02-24,4.2049,4.2346,4.1892,4.2189,8454005
2005-02-25,4.2223,4.2346,4.1787,4.2276,10097354
2005-02-28,4.2293,4.2293,4.1909,4.2014,10970399
2005-03-01,4.2276,4.2608,4.2171,4.2468,10216646
2005-03-02,4.2468,4.2747,4.2276,4.2468,8330211
2005-03-03,4.2712,4.2782,4.2206,4.2538,7547594
2005-03-04,4.2852,4.2992,4.2555,4.2765,7556730
2005-03-07,4.2904,4.2939,4.2625,4.2642,6482172
2005-03-08,4.2695,4.2835,4.2136,4.2206,8270101
2005-03-09,4.2188,4.2311,4.1839,4.2084,9524856
2005-03-10,4.2241,4.2433,4.2014,4.2119,7675096
2005-03-11,4.2206,4.2381,4.1839,4.1909,8165373
2005-03-14,4.1909,4.2171,4.1839,4.2066,9583244
2005-03-15,4.2241,4.2241,4.1298,4.1315,12512330
2005-03-16,4.1211,4.149,4.0792,4.0896,14769088
2005-03-17,4.0984,4.1071,4.0565,4.0861,8929850
2005-03-18,4.0879,4.1036,4.018,4.0774,19503844
2005-03-21,4.0652,4.0844,4.0303,4.053,9739874
2005-03-22,4.0582,4.0774,4.0145,4.0233,9855194
2005-03-23,4.0582,4.1368,4.0338,4.0861,17415366
2005-03-24,4.0861,4.1001,4.0599,4.0687,7829342
2005-03-28,4.0861,4.17,4.0774,4.1019,11597446
2005-03-29,4.1019,4.1455,4.0669,4.0739,12753430
2005-03-30,4.0861,4.1438,4.0774,4.1385,11627368
2005-03-31,4.149,4.156,4.1211,4.1368,12519876
2005-04-01,4.1525,4.1769,4.0949,4.1315,13940131
