date,open,high,low,close,volume
2005-01-03,8.1378,8.1964,7.9182,8.0102,817600
2005-01-04,8.0709,8.1838,7.8178,7.8617,743200
2005-01-05,7.8449,8.0228,7.8157,7.8512,769200
2005-01-06,7.868,8.0207,7.8366,7.937,474800
2005-01-07,7.9558,8.0269,7.8491,7.8868,577600
2005-01-10,7.8638,8.0207,7.8157,7.8554,959600
2005-01-11,7.8136,7.8512,7.6985,7.7466,1038000
2005-01-12,7.7403,7.824,7.6964,7.7759,1408400
2005-01-13,7.8115,7.8198,7.4454,7.4768,1837200
2005-01-14,7.5814,7.5855,7.4788,7.5416,1007200
2005-01-18,7.4726,7.5479,7.4726,7.5395,2363200
2005-01-19,7.4935,7.55,7.3889,7.4286,982800
2005-01-20,7.3952,7.4621,7.3345,7.345,1177200
2005-01-21,7.3471,7.4182,7.1964,7.2006,1339200
2005-01-24,7.2655,7.3491,7.1379,7.142,1432800
2005-01-25,7.2215,7.2508,7.0542,7.1274,1001600
2005-01-26,7.1755,7.3429,7.1441,7.3429,867200
2005-01-27,7.2948,7.4245,7.2927,7.3178,709200
2005-01-28,7.2801,7.368,7.1797,7.2906,849200
2005-01-31,7.2634,7.4056,7.209,7.2948,1336800
2005-02-01,7.2676,7.3868,7.2425,7.3345,1604400
2005-02-02,7.2801,7.3931,7.2801,7.3512,716800
2005-02-03,7.2948,7.3178,7.1776,7.2571,674400
2005-02-04,7.2132,7.3366,7.209,7.3115,876400
2005-02-07,7.2927,7.3973,7.255,7.3094,907200
2005-02-08,7.2529,7.4056,7.2529,7.3931,1844400
2005-02-09,7.3701,7.3994,7.2864,7.3282,1564400
2005-02-10,7.3303,7.3889,7.2173,7.301,660000
2005-02-11,7.2885,7.3952,7.2634,7.3115,2736000
2005-02-14,7.2738,7.3345,7.255,7.2592,667600
2005-02-15,7.2425,7.3324,7.1797,7.2215,833200
2005-02-16,7.2215,7.2989,7.2173,7.2404,910400
2005-02-17,7.2759,7.3115,7.1546,7.1651,754400
2005-02-18,7.2048,7.2487,7.0918,7.119,725600
2005-02-22,7.1065,7.1337,6.9119,6.9266,1607600
2005-02-23,6.9098,7.0312,6.9098,6.9559,911600
2005-02-24,6.9768,7.1462,6.9015,7.1462,871600
2005-02-25,7.1211,7.1964,7.0228,7.1964,556400
2005-02-28,7.1441,7.2027,7.0605,7.1316,848000
2005-03-01,7.1692,7.2676,7.1211,7.2069,919200
2005-03-02,7.1232,7.4035,7.1002,7.3471,2202400
2005-03-03,7.5814,8.0186,7.5688,7.9224,4426800
2005-03-04,7.8868,8.0813,7.8659,8.0813,2410800
2005-03-07,8.0876,8.2508,8.0521,8.2341,2484400
2005-03-08,8.1901,8.4077,8.1901,8.3721,2072400
2005-03-09,8.3156,8.4056,8.2801,8.3407,2485600
2005-03-10,8.3219,8.4307,8.2926,8.3847,2478000
2005-03-11,8.3679,8.4412,8.3073,8.4307,1709600
2005-03-14,8.4014,8.6922,8.4014,8.6901,1563200
2005-03-15,8.7215,8.7215,8.3052,8.3617,2211600
2005-03-16,8.3177,8.4956,8.3177,8.391,1491200
2005-03-17,8.3449,8.4328,8.2926,8.3575,998400
2005-03-18,8.4704,8.4704,8.3031,8.3449,1788400
2005-03-21,8.3868,8.46,8.2864,8.3156,1594800
2005-03-22,8.2989,8.4893,8.2989,8.4014,1360400
2005-03-23,8.3679,8.4767,8.3679,8.4035,1625600
2005-03-24,8.4077,8.4893,8.3345,8.3679,567600
2005-03-28,8.3889,8.4307,8.3177,8.3659,857600
2005-03-29,8.3533,8.5499,8.3198,8.4098,1360000
2005-03-30,8.3826,8.4725,8.3596,8.4558,970400
2005-03-31,8.4788,8.4976,8.3554,8.4056,975600
2005-04-01,8.4119,8.4746,8.324,8.4014,898400
2005-04-04,8.37,8.4035,8.1985,8.3617,1196000
2005-04-05,8.393,8.5332,8.3805,8.5102,1459600
2005-04-06,8.5374,8.8052,8.5353,8.6085,1238800
2005-04-07,8.5646,8.8031,8.5248,8.7152,645200
2005-04-08,8.7361,8.7612,8.5458,8.5939,777200
2005-04-11,8.619,8.619,8.4328,8.4642,1084000
2005-04-12,8.4098,8.6587,8.3073,8.619,1537600
2005-04-13,8.6064,8.6817,8.3826,8.4223,782400
2005-04-14,8.4663,8.5039,8.3052,8.3052,796000
2005-04-15,8.3052,8.4433,8.2633,8.37,986000
2005-04-18,8.3366,8.4663,8.2843,8.4119,793200
2005-04-19,8.4391,8.6755,8.4077,8.4516,979200
2005-04-20,8.4349,8.4349,8.301,8.3366,1084400
2005-04-21,8.3679,8.6001,8.3387,8.5395,865200
2005-04-22,8.5248,8.5248,8.2884,8.3679,819600
2005-04-25,8.4516,8.4935,8.347,8.4098,465600
2005-04-26,8.5604,8.8847,8.5186,8.7047,2166400
2005-04-27,8.7006,8.7591,8.5813,8.7424,846400
2005-04-28,8.6713,8.6713,8.4495,8.4935,972400
2005-04-29,8.5081,8.7654,8.5018,8.734,973600
2005-05-02,8.7068,8.9056,8.7068,8.9056,899200
2005-05-03,8.8491,9.0729,8.8491,8.9725,1903200
2005-05-04,8.9997,9.1231,8.9056,9.0708,943200
2005-05-05,9.0729,9.2445,8.9767,9.2319,1553200
2005-05-06,9.2696,9.2947,9.1608,9.1859,502400
2005-05-09,9.1462,9.2549,9.1462,9.2549,774400
2005-05-10,9.188,9.3533,9.1671,9.257,1126000
2005-05-11,9.3052,9.4035,9.1503,9.3742,738400
2005-05-12,9.3574,9.4328,9.2152,9.3093,1149600
2005-05-13,9.2821,9.3282,9.0771,9.1441,1012400
2005-05-16,9.1985,9.4139,9.1796,9.4139,894800
2005-05-17,9.3616,9.416,9.3093,9.4118,827600
2005-05-18,9.4223,9.7256,9.4181,9.7089,1718000
2005-05-19,9.6838,9.7256,9.5604,9.6692,646000
2005-05-20,9.6671,9.6859,9.5771,9.6043,636400
2005-05-23,9.6022,9.8323,9.6001,9.7779,896000
2005-05-24,9.7654,9.8323,9.6859,9.8051,1990400
2005-05-25,9.7424,9.7989,9.6859,9.7486,904000
2005-05-26,9.7696,9.9579,9.7696,9.8846,1701600
2005-05-27,9.9286,9.9286,9.7863,9.847,1686800
2005-05-31,9.8219,9.847,9.6838,9.7486,2533600
2005-06-01,9.6964,9.7633,9.4139,9.5771,2646400
2005-06-02,9.5185,9.6336,9.4641,9.5269,1198800
2005-06-03,9.5143,9.5499,9.2821,9.2821,966800
2005-06-06,9.3282,9.347,9.188,9.278,1094000
2005-06-07,9.2884,9.4244,9.2382,9.2905,2125600
2005-06-08,9.3093,9.416,9.257,9.3156,1990400
2005-06-09,9.3407,9.4558,9.2047,9.4244,1202800
2005-06-10,9.3972,9.4809,9.3972,9.4244,2455600
2005-06-13,9.4035,9.4976,9.3742,9.4662,1460400
