date,open,high,low,close,volume
2005-01-03,15.7403,15.952,15.1419,15.2524,2223100
2005-01-04,15.2616,15.3076,14.1202,14.3319,4230800
2005-01-05,14.3227,14.4424,13.9453,14.1386,3534500
2005-01-06,14.2307,14.2951,13.9361,13.9637,3600000
2005-01-07,14.2215,14.6633,14.0466,14.2675,3932300
2005-01-10,14.2951,14.3687,14.019,14.1386,1782500
2005-01-11,13.9913,14.0005,13.5955,13.66,3176300
2005-01-12,13.9913,14.3964,13.8809,13.9821,4441400
2005-01-13,14.019,14.0926,13.6047,13.6784,2886400
2005-01-14,13.7888,14.0466,13.7612,13.9913,2753900
2005-01-18,13.8533,14.1754,13.8441,14.1202,3017200
2005-01-19,13.8072,13.9729,13.0985,13.2181,4897200
2005-01-20,13.2181,13.4298,12.988,13.0524,3623400
2005-01-21,13.0248,13.2089,12.6658,12.7763,3899800
2005-01-24,12.7671,12.9604,12.4541,12.4817,2101600
2005-01-25,12.629,12.8499,12.4541,12.5554,2646900
2005-01-26,12.7303,12.7947,12.5186,12.7487,2219700
2005-01-27,12.7671,12.9328,12.6014,12.8315,1774600
2005-01-28,12.8868,12.8868,12.4633,12.6566,2484800
2005-01-31,12.8407,12.9972,12.7579,12.9144,1778200
2005-02-01,12.9696,13.3654,12.9144,13.347,2888600
2005-02-02,13.347,13.4206,13.0524,13.2457,2179700
2005-02-03,13.2273,13.2273,12.8315,12.9972,1287500
2005-02-04,13.0248,13.4759,12.9972,13.347,2887100
2005-02-07,13.255,13.4759,13.1813,13.3746,1811600
2005-02-08,13.4391,13.9821,13.347,13.9085,2973700
2005-02-09,13.8533,13.8533,13.393,13.4851,2007800
2005-02-10,13.7612,14.111,13.5311,13.66,3304700
2005-02-11,13.6324,14.5528,13.4851,14.3503,3629300
2005-02-14,14.4332,14.4332,13.9821,14.1478,1541100
2005-02-15,14.1202,14.8934,14.0834,14.5989,4614500
2005-02-16,14.5989,14.7738,14.2675,14.4884,2513900
2005-02-17,14.5436,14.5989,13.8993,13.9453,2603200
2005-02-18,13.752,14.1938,13.7244,14.111,1956500
2005-02-22,14.0098,14.5897,13.8901,13.9729,2559300
2005-02-23,14.065,14.2215,13.6324,13.8717,2322800
2005-02-24,13.8809,14.2399,13.5771,14.1938,2486800
2005-02-25,14.1938,14.6357,13.9913,14.5989,2172100
2005-02-28,14.516,14.8198,14.019,14.1938,2043500
2005-03-01,14.3595,14.7369,14.2491,14.7277,2489000
2005-03-02,14.4976,14.6449,14.1938,14.4792,2801400
2005-03-03,14.6357,14.6541,14.0834,14.2767,2330600
2005-03-04,14.4056,14.4056,13.9177,13.9821,2154900
2005-03-07,13.9913,14.3779,13.9545,14.1478,2985200
2005-03-08,14.0926,14.3595,13.9453,14.0466,1753500
2005-03-09,14.0466,14.2215,13.9913,14.0834,1757500
2005-03-10,14.0558,14.2215,13.8901,14.0834,1941800
2005-03-11,14.1478,14.157,13.706,13.7612,2593200
2005-03-14,13.7612,13.9821,13.7152,13.9269,918500
2005-03-15,14.0374,14.0374,13.7152,13.7428,2203300
2005-03-16,13.6508,13.8901,13.3562,13.4206,1875700
2005-03-17,13.5311,13.7336,13.4483,13.5127,1645300
2005-03-18,13.6047,13.6139,13.2365,13.2642,1785500
2005-03-21,13.2826,13.5403,13.0985,13.4206,1263800
2005-03-22,13.4943,13.6047,13.2365,13.2642,1471400
2005-03-23,13.2918,13.5863,13.2642,13.2734,1975200
2005-03-24,13.347,13.706,13.347,13.4851,1723500
2005-03-28,13.5495,13.706,13.5219,13.5403,1873300
2005-03-29,13.4483,13.5495,13.0432,13.1077,2131500
2005-03-30,13.1997,13.6416,13.0801,13.6416,2684000
2005-03-31,13.6416,13.7336,13.3838,13.4391,3508600
2005-04-01,13.5127,13.5403,13.0893,13.1537,1771400
2005-04-04,13.2089,13.2089,12.583,12.7027,3632800
2005-04-05,12.7027,12.8223,12.5554,12.6198,2236500
2005-04-06,12.7395,12.9052,12.7027,12.7395,2132900
2005-04-07,12.7671,13.1813,12.7211,13.1629,4142500
2005-04-08,13.1077,13.3286,13.0801,13.1261,1955500
2005-04-11,13.1261,13.1905,12.9144,12.9236,1775900
2005-04-12,12.8131,12.9236,12.5278,12.8591,2161700
2005-04-13,12.8591,12.8591,12.1596,12.1964,2858200
2005-04-14,12.224,12.27,11.7914,11.7914,3188100
2005-04-15,11.5981,11.6809,11.2023,11.3219,5693400
2005-04-18,11.2759,11.8926,11.2759,11.6993,3147000
2005-04-19,11.8282,12.0583,11.7178,12.0491,3553600
2005-04-20,12.132,12.1964,11.1378,11.1747,4174600
2005-04-21,11.2759,11.414,10.9445,11.0826,4453500
2005-04-22,11.0458,11.0458,10.5487,10.65,3658500
2005-04-25,10.7144,10.8433,10.5671,10.6592,3319900
2005-04-26,10.4015,10.742,10.337,10.3923,3402400
2005-04-27,10.3094,10.4015,10.1253,10.3278,3885100
2005-04-28,10.1713,10.4015,10.0517,10.0793,1756200
2005-04-29,10.2266,10.2542,9.9412,10.1437,3447600
2005-05-02,10.2358,10.3002,10.0241,10.0977,2077300
2005-05-03,10.0977,10.383,10.0701,10.2266,2968500
2005-05-04,10.3186,10.5487,10.2174,10.5027,2214700
2005-05-05,10.4475,10.6408,10.2726,10.4015,2219800
2005-05-06,10.4751,10.5211,10.337,10.4751,1643700
2005-05-09,10.5027,10.5948,10.3738,10.5119,1792800
2005-05-10,10.4199,10.5119,10.2818,10.3278,1914300
2005-05-11,10.3738,10.6592,10.2542,10.5856,2904900
2005-05-12,10.9353,11.0458,10.7052,10.8617,3230800
2005-05-13,11.009,11.4876,10.963,11.3864,5443700
2005-05-16,11.3588,11.506,11.1839,11.3403,3300300
2005-05-17,11.3035,11.6901,11.2851,11.5521,2438100
2005-05-18,11.5613,11.9755,11.4784,11.9387,3194700
2005-05-19,11.9387,12.224,11.7362,12.0307,2882100
2005-05-20,12.1504,12.1688,11.9387,12.1044,1555600
2005-05-23,12.1136,12.1136,11.8466,11.9571,1730300
2005-05-24,11.9755,12.1688,11.8374,12.132,1411800
2005-05-25,12.1044,12.1044,11.727,11.8282,1430900
2005-05-26,11.8742,12.2332,11.8742,12.2056,1693600
2005-05-27,12.1872,12.1872,11.9203,12.0583,1122900
2005-05-31,12.1596,12.3345,11.9571,11.9755,1525800
2005-06-01,11.9479,12.2792,11.865,12.2056,2323600
2005-06-02,12.1964,12.7395,12.1872,12.7211,2438100
2005-06-03,12.6935,12.7395,12.3713,12.3713,2349700
2005-06-06,12.3161,12.3253,12.0583,12.0859,1588300
2005-06-07,12.1504,12.4725,12.0307,12.0399,1842000
2005-06-08,12.27,12.4081,12.132,12.2148,1350600
2005-06-09,12.1964,12.3897,11.8834,12.3621,2011700
2005-06-10,12.4449,12.5462,12.0583,12.1044,1220400
2005-06-13,12.1412,12.3437,12.0491,12.2332,1334500
2005-06-14,12.2056,12.2977,11.9571,12.0123,1891000
2005-06-15,12.1504,12.27,11.7362,12.1412,2040800
2005-06-16,12.132,12.3713,12.0859,12.2884,1101100
2005-06-17,12.5186,12.7487,12.3805,12.6658,2865600
2005-06-20,12.5738,12.5738,12.3437,12.4357,1739200
