date,open,high,low,close,volume
2005-01-03,32.1071,32.3997,31.406,31.5767,4434100
2005-01-04,31.7901,31.7962,31.1866,31.2354,2424500
2005-01-05,31.3512,31.5706,31.0586,31.2597,2580900
2005-01-06,30.6075,30.6075,29.4188,29.5651,13875000
2005-01-07,29.626,30.1137,29.1079,29.8821,6716600
2005-01-10,29.8882,30.2966,29.8516,30.2844,3735500
2005-01-11,30.2356,30.3575,29.9979,29.9979,4146300
2005-01-12,30.0223,30.321,29.9613,30.321,3306800
2005-01-13,30.3453,30.4063,29.876,30.0223,3388900
2005-01-14,30.0223,30.3697,29.9674,30.3271,2969600
2005-01-18,29.4188,30.6623,29.4188,30.6014,2912300
2005-01-19,29.7419,30.6014,29.7419,30.4429,3199400
2005-01-20,30.6014,30.8208,30.3758,30.449,4420300
2005-01-21,30.6501,30.6501,29.7967,29.9308,4803600
2005-01-24,30.2051,30.2112,29.6443,29.6626,3572700
2005-01-25,29.8577,30.2112,29.6565,29.9247,2919700
2005-01-26,30.2234,30.8391,30.0527,30.7843,4013500
2005-01-27,30.7843,30.9366,30.4795,30.577,3173100
2005-01-28,30.6989,30.7477,30.0649,30.1686,2992200
2005-01-31,30.5099,31.083,30.4429,30.9489,2854500
2005-02-01,31.0891,31.4975,30.7294,30.9062,4032600
2005-02-02,31.3024,31.534,30.7538,31.278,3245800
2005-02-03,31.1378,32.3082,31.1378,31.5402,3623400
2005-02-04,31.6194,31.7474,31.2658,31.406,2577400
2005-02-07,31.406,31.6742,31.2719,31.3146,2203900
2005-02-08,31.3146,31.3329,30.8574,30.8696,2569400
2005-02-09,30.4185,30.6258,29.9857,30.2966,6293100
2005-02-10,30.4368,30.5221,29.8577,29.9065,4594600
2005-02-11,29.9796,30.449,29.9065,30.0101,2923700
2005-02-14,30.0893,30.2966,29.9064,30.2966,2906600
2005-02-15,30.2966,30.3941,30.1015,30.3697,3051900
2005-02-16,30.2232,30.2415,29.4905,29.9607,7103300
2005-02-17,30.3331,30.6445,29.9179,30.6262,7244500
2005-02-18,30.6506,30.9498,30.6506,30.907,4498700
2005-02-22,30.907,30.9742,30.3453,30.5224,4738300
2005-02-23,30.6506,31.1879,30.6323,31.1391,3808900
2005-02-24,31.1451,31.2489,30.8765,31.2245,3056300
2005-02-25,31.2612,31.4138,31.0169,31.365,1760500
2005-02-28,31.249,31.5237,30.7483,31.0292,2794500
2005-03-01,31.2184,31.6336,31.2123,31.3344,3335500
2005-03-02,31.2612,32.0122,31.0536,31.6703,4176300
2005-03-03,32.2991,32.5189,31.8107,32.0549,5790500
2005-03-04,32.2686,32.3358,31.9328,31.9877,4533000
2005-03-07,32.1221,32.2075,31.7191,31.9755,2677500
2005-03-08,31.9939,32.0671,31.7679,31.9023,2191100
2005-03-09,31.6886,31.9511,31.6458,31.7619,2261300
2005-03-10,31.9084,32.0,31.7008,31.9267,1942300
2005-03-11,31.8168,32.0305,31.5726,31.597,2583600
2005-03-14,31.8046,31.9084,31.4932,31.8412,2747600
2005-03-15,31.8778,32.1038,31.6764,31.7191,2414700
2005-03-16,31.5054,31.5664,31.1879,31.4016,3443600
2005-03-17,31.426,31.5725,31.0658,31.4016,2418600
2005-03-18,31.3833,31.4321,30.8399,30.9925,4304300
2005-03-21,30.9925,31.0719,30.2965,30.6994,2659800
2005-03-22,30.7117,31.3711,30.5346,30.7971,3368600
2005-03-23,30.7971,30.9559,30.5285,30.5834,4023400
2005-03-24,30.7117,30.8032,30.4552,30.5834,2030900
2005-03-28,30.5773,31.1818,30.5651,30.8154,1970200
2005-03-29,30.7117,31.1391,30.5346,30.6811,2281400
2005-03-30,30.8032,31.2856,30.8032,31.0169,2653000
2005-03-31,30.9131,31.1391,30.5346,30.5407,3551000
2005-04-01,30.6018,30.6018,29.7897,30.1621,5472400
2005-04-04,30.3209,30.5102,29.7958,30.3758,3704200
2005-04-05,30.2965,30.8032,30.2232,30.7849,2932200
2005-04-06,30.8643,31.0475,30.4003,30.5102,2543400
2005-04-07,30.6811,31.017,29.9362,30.9803,4037800
2005-04-08,30.6811,30.8765,30.4857,30.559,3222400
2005-04-11,30.6689,30.6689,30.2354,30.3758,2163600
2005-04-12,30.2537,30.8948,29.8813,30.7727,4465900
2005-04-13,30.7727,30.907,30.2415,30.3636,2858800
2005-04-14,30.4674,30.4918,29.7775,29.9118,3359800
2005-04-15,29.7714,29.9057,29.1852,29.3074,3673300
2005-04-18,29.4295,29.8874,29.2158,29.6859,4258200
2005-04-19,29.3073,29.3928,28.538,29.2402,5727200
2005-04-20,29.1547,29.3745,28.5686,28.6052,5507400
2005-04-21,28.8433,29.3073,28.8433,29.2158,3352600
2005-04-22,28.88,28.9288,28.2877,28.4709,3754000
2005-04-25,28.5502,29.0143,28.5502,28.709,3281400
2005-04-26,28.4709,28.77,28.2938,28.4342,2925600
2005-04-27,28.4281,28.8311,28.0923,28.6357,3051800
2005-04-28,28.6907,29.0143,28.3854,28.6052,3292700
2005-04-29,28.8494,28.9044,27.8114,28.3365,4473400
2005-05-02,28.4648,28.8189,28.4526,28.8189,3157000
2005-05-03,28.7212,28.9837,28.5136,28.6662,4337200
2005-05-04,28.6968,28.8616,27.903,28.2572,8511800
2005-05-05,29.0021,29.3257,28.6968,28.8677,4116400
2005-05-06,28.8983,29.173,28.538,28.6174,3117200
2005-05-09,28.6296,29.0753,28.6174,29.0692,2262800
2005-05-10,28.8067,29.2096,28.7578,29.0082,2418800
2005-05-11,28.9715,29.46,28.8311,29.4295,3441200
2005-05-12,29.0021,30.2354,29.0021,29.7958,7326200
