date,open,high,low,close,volume
2005-01-03,4.7847,4.8398,4.7067,4.7276,10098800
2005-01-04,4.7466,4.758,4.6933,4.7105,11391200
2005-01-05,4.7086,4.7485,4.68,4.6914,7756000
2005-01-06,4.739,4.7447,4.6724,4.6933,9952000
2005-01-07,4.7029,4.7029,4.6325,4.6705,6769600
2005-01-10,4.6325,4.7523,4.6325,4.7219,7185600
2005-01-11,4.6838,4.72,4.6477,4.6895,5811600
2005-01-12,4.68,4.7333,4.661,4.7295,7502400
2005-01-13,4.7181,4.7409,4.6895,4.7181,7692400
2005-01-14,4.7086,4.7561,4.6991,4.7504,4350800
2005-01-18,4.7219,4.8436,4.7181,4.8379,9930000
2005-01-19,4.8094,4.8455,4.7828,4.7847,4928000
2005-01-20,4.7618,4.8189,4.7561,4.7752,5409200
2005-01-21,4.7656,4.8018,4.7485,4.7504,4629600
2005-01-24,4.7542,4.7847,4.6838,4.6952,6725600
2005-01-25,4.6952,4.7771,4.6952,4.72,4448800
2005-01-26,4.7219,4.7485,4.7162,4.7371,6670000
2005-01-27,4.7086,4.798,4.701,4.758,7864000
2005-01-28,4.7732,4.7809,4.7048,4.7257,5216000
2005-01-31,4.7561,4.7828,4.7314,4.7637,5944400
2005-02-01,4.7771,4.8455,4.7713,4.8322,4668000
2005-02-02,4.8512,4.9159,4.8493,4.895,7460000
2005-02-03,4.9331,4.9331,4.8646,4.9083,6824400
2005-02-04,4.8931,4.9388,4.8874,4.9178,4523600
2005-02-07,4.9159,4.9369,4.9026,4.9254,4609200
2005-02-08,4.9054,4.9283,4.8578,4.8578,4358400
2005-02-09,4.8425,4.8578,4.7854,4.7892,6467600
2005-02-10,4.8197,4.8311,4.793,4.8044,6636400
2005-02-11,4.8025,4.8692,4.7987,4.8311,3926800
2005-02-14,4.8216,4.8502,4.8101,4.8197,3848000
2005-02-15,4.8216,4.8692,4.7987,4.8311,6314000
2005-02-16,4.8121,4.8273,4.7777,4.8121,6576000
2005-02-17,4.8121,4.8559,4.7835,4.8178,5214400
2005-02-18,4.8216,4.8444,4.793,4.8216,4414800
2005-02-22,4.8216,4.8464,4.6977,4.7149,7267600
2005-02-23,4.7454,4.7587,4.6329,4.6539,8775200
2005-02-24,4.631,4.6443,4.551,4.5929,12117600
2005-02-25,4.5776,4.6577,4.5433,4.6119,9525600
2005-02-28,4.6024,4.6729,4.5624,4.6539,8495600
2005-03-01,4.6786,4.7053,4.6501,4.671,7056800
2005-03-02,4.6329,4.6901,4.6139,4.6539,9987600
2005-03-03,4.692,4.7663,4.6577,4.7015,12573600
2005-03-04,4.7053,4.7682,4.6882,4.7168,8138400
2005-03-07,4.7415,4.7739,4.6996,4.7263,5030000
2005-03-08,4.7263,4.7282,4.631,4.6386,10152800
2005-03-09,4.631,4.7072,4.6291,4.6806,10887600
2005-03-10,4.6882,4.7244,4.6786,4.6882,5705200
2005-03-11,4.7072,4.7415,4.6806,4.7301,12845200
2005-03-14,4.7415,4.7625,4.6672,4.692,8919200
2005-03-15,4.7225,4.7454,4.6958,4.7206,6992400
2005-03-16,4.7072,4.7377,4.6501,4.6672,7249200
2005-03-17,4.6882,4.7225,4.6405,4.6672,5702000
2005-03-18,4.6691,4.7053,4.631,4.6729,10685200
2005-03-21,4.6729,4.6882,4.6272,4.6577,6000800
2005-03-22,4.6443,4.7168,4.6291,4.631,7474800
2005-03-23,4.6119,4.6482,4.5891,4.6081,9250400
2005-03-24,4.6081,4.6443,4.5872,4.6062,6274800
2005-03-28,4.6081,4.7149,4.6081,4.692,4864400
2005-03-29,4.6882,4.7396,4.671,4.6748,7925200
2005-03-30,4.6748,4.7072,4.6577,4.6844,8384800
2005-03-31,4.6882,4.7206,4.6501,4.6939,9240000
2005-04-01,4.7225,4.7263,4.5776,4.6158,13912800
2005-04-04,4.6215,4.652,4.5472,4.6196,7056400
2005-04-05,4.6196,4.7091,4.6196,4.6786,7948800
2005-04-06,4.6786,4.6786,4.6043,4.6196,7182800
2005-04-07,4.6215,4.6348,4.5529,4.6348,10218800
2005-04-08,4.6348,4.6482,4.5872,4.6081,5154000
2005-04-11,4.6062,4.6253,4.5433,4.5567,5972400
2005-04-12,4.5452,4.5834,4.509,4.5719,9882400
2005-04-13,4.5719,4.5948,4.5395,4.5529,8454800
2005-04-14,4.5452,4.5662,4.5052,4.5071,6742800
2005-04-15,4.4995,4.5128,4.4328,4.4347,8041600
2005-04-18,4.4385,4.4728,4.408,4.429,8280400
2005-04-19,4.4404,4.4709,4.3966,4.4023,12265200
2005-04-20,4.4023,4.4042,4.2956,4.3204,15806800
2005-04-21,4.3642,4.4157,4.3547,4.4118,9272400
2005-04-22,4.4157,4.4157,4.3013,4.3242,9965600
2005-04-25,4.3299,4.408,4.3166,4.3794,6366400
2005-04-26,4.389,4.4271,4.3661,4.3966,6367600
2005-04-27,4.3966,4.4404,4.3547,4.4061,8683200
2005-04-28,4.4137,4.4309,4.3775,4.3909,8983600
2005-04-29,4.3966,4.4157,4.2899,4.3166,11661200
2005-05-02,4.3261,4.3718,4.2861,4.3146,8435600
2005-05-03,4.3223,4.3756,4.3127,4.3623,9438800
2005-05-04,4.3699,4.429,4.3642,4.4176,9348000
2005-05-05,4.4099,4.4785,4.368,4.3833,9373600
2005-05-06,4.3985,4.4157,4.3413,4.3413,8875200
2005-05-09,4.3432,4.3756,4.3166,4.3547,6840800
2005-05-10,4.3413,4.3413,4.2954,4.3069,8969200
2005-05-11,4.3069,4.3375,4.261,4.3184,8331600
2005-05-12,4.3203,4.433,4.3012,4.3757,13000000
