date,open,high,low,close,volume
2005-01-03,5.2591,5.2635,5.2028,5.2028,86000
2005-01-04,5.2028,5.2201,5.1377,5.1594,89500
2005-01-05,5.1811,5.2244,5.077,5.1638,176400
2005-01-06,5.1811,5.2028,5.1377,5.1681,53900
2005-01-07,5.1681,5.2591,5.1681,5.2591,119000
2005-01-10,5.2244,5.3372,5.2028,5.3112,310600
2005-01-11,5.3155,5.3762,5.2895,5.3632,191100
2005-01-12,5.3979,5.3979,5.3198,5.3675,95900
2005-01-13,5.3632,5.3632,5.3112,5.3328,90600
2005-01-14,5.3545,5.4065,5.3112,5.4065,106800
2005-01-18,5.3849,5.3892,5.3242,5.3762,60800
2005-01-19,5.3545,5.3805,5.2678,5.2678,114500
2005-01-20,5.2375,5.5279,5.1681,5.4672,230100
2005-01-21,5.4803,5.5279,5.4412,5.4846,59000
2005-01-24,5.4629,5.5019,5.3892,5.3979,119400
2005-01-25,5.3979,5.4196,5.3415,5.3545,171200
2005-01-26,5.3458,5.3935,5.3155,5.3632,122700
2005-01-27,5.3589,5.4456,5.3589,5.4239,122100
2005-01-28,5.4196,5.5149,5.3415,5.4326,143200
2005-01-31,5.4369,5.4629,5.3589,5.4629,108200
2005-02-01,5.4412,5.5973,5.4282,5.593,147600
2005-02-02,5.593,5.6147,5.5106,5.5626,59300
2005-02-03,5.541,5.5453,5.4196,5.4759,117700
2005-02-04,5.4803,5.4933,5.4456,5.4846,106500
2005-02-07,5.4412,5.5323,5.4412,5.5323,77200
2005-02-08,5.5063,5.5496,5.4586,5.5453,71600
2005-02-09,5.5236,5.5323,5.3805,5.3805,110900
2005-02-10,5.3545,5.3762,5.2461,5.2851,88900
2005-02-11,5.2678,5.5409,5.2678,5.3979,110000
2005-02-14,5.3762,5.3762,5.3112,5.3112,62300
2005-02-15,5.3458,5.3545,5.2028,5.2331,117700
2005-02-16,5.2114,5.2461,5.1507,5.2114,163500
2005-02-17,5.2114,5.2678,5.1898,5.2201,59000
2005-02-18,5.2548,5.2808,5.2288,5.2331,56400
2005-02-22,5.2288,5.3025,4.9686,4.9947,185600
2005-02-23,5.2114,5.5063,5.2114,5.3545,170800
2005-02-24,5.3762,5.4846,5.2375,5.2461,126600
2005-02-25,5.2678,5.4846,5.2678,5.3675,99900
2005-02-28,5.3979,5.5236,5.2982,5.4889,80200
2005-03-01,5.5236,5.5366,5.3935,5.3979,83500
2005-03-02,5.4196,5.4542,5.3892,5.4196,92000
2005-03-03,5.3979,5.4412,5.3762,5.3892,42000
2005-03-04,5.3805,5.4629,5.3805,5.3849,56400
2005-03-07,5.4239,5.5756,5.4239,5.5756,290000
2005-03-08,5.5236,5.5756,5.5106,5.5236,40100
2005-03-09,5.5019,5.6103,5.4629,5.4846,69300
2005-03-10,5.4716,5.5453,5.4629,5.4846,60100
2005-03-11,5.5063,5.541,5.2808,5.3589,121100
2005-03-14,5.3979,5.4759,5.3675,5.4196,51700
2005-03-15,5.4412,5.5193,5.3805,5.4499,34400
2005-03-16,5.4195,5.4889,5.3155,5.4542,53400
2005-03-17,5.4542,5.4542,5.3112,5.3372,23200
2005-03-18,5.3112,5.3112,5.0467,5.2591,171200
2005-03-21,5.2244,5.2461,5.1811,5.2071,62700
2005-03-22,5.1811,5.1811,5.1204,5.1681,42000
2005-03-23,5.1681,5.1724,5.0987,5.1074,48100
2005-03-24,5.0987,5.2158,5.09,5.2114,87200
