date,open,high,low,close,volume
2005-01-03,2.4866,2.4868,2.3455,2.4436,1525500
2005-01-04,2.4483,2.4623,2.3689,2.3735,414000
2005-01-05,2.3922,2.4296,2.3735,2.4109,229500
2005-01-06,2.3941,2.4137,2.3941,2.4137,463500
2005-01-07,2.4109,2.4109,2.3735,2.3932,720000
2005-01-10,2.3885,2.3922,2.353,2.3548,225000
2005-01-11,2.3548,2.3548,2.2147,2.2502,733500
2005-01-12,2.1754,2.21,2.0558,2.0698,1345500
2005-01-13,1.9811,2.1313,1.9811,2.0913,1170000
2005-01-14,2.1025,2.1866,2.1025,2.1773,639000
2005-01-18,2.21,2.2707,2.196,2.2334,945000
2005-01-19,2.1979,2.2539,2.1851,2.2539,252000
2005-01-20,2.2539,2.2801,2.1726,2.2334,355500
2005-01-21,2.238,2.3268,2.2317,2.3221,382500
2005-01-24,2.3221,2.364,2.3221,2.3621,288000
2005-01-25,2.364,2.364,2.2756,2.2756,216000
2005-01-26,2.2758,2.3128,2.2709,2.2709,171000
2005-01-27,2.2801,2.3362,2.2801,2.3134,139500
2005-01-28,2.318,2.3502,2.3169,2.3502,121500
2005-01-31,2.3595,2.3638,2.2941,2.3268,301500
2005-02-01,2.3362,2.3638,2.3362,2.3362,171000
2005-02-02,2.3548,2.4249,2.3548,2.4249,409500
2005-02-03,2.4203,2.5791,2.4203,2.5791,495000
2005-02-04,2.5791,2.7006,2.523,2.6352,927000
2005-02-07,2.6352,2.6539,2.467,2.4857,985500
2005-02-08,2.4857,2.4857,2.3735,2.3922,459000
2005-02-09,2.4062,2.4389,2.3969,2.4382,126000
2005-02-10,2.4343,2.4857,2.4343,2.4857,391500
2005-02-11,2.4857,2.5044,2.4774,2.5044,139500
2005-02-14,2.4857,2.5042,2.3803,2.4576,486000
2005-02-15,2.4576,2.5044,2.4483,2.5044,463500
2005-02-16,2.5229,2.553,2.495,2.5229,315000
2005-02-17,2.5324,2.553,2.523,2.553,333000
2005-02-18,2.5343,2.5978,2.5212,2.5976,175500
2005-02-22,2.5978,2.6576,2.5651,2.5791,463500
2005-02-23,2.5744,2.6163,2.5744,2.6053,144000
2005-02-24,2.6146,2.6146,2.6015,2.6109,45000
2005-02-25,2.6159,2.6159,2.5698,2.6025,108000
2005-02-28,2.5885,2.5978,2.5606,2.5978,85500
2005-03-01,2.581,2.5997,2.5518,2.5698,126000
2005-03-02,2.5885,2.5885,2.5535,2.5772,319500
2005-03-03,2.5791,2.5885,2.5791,2.5885,90000
2005-03-04,2.5875,2.6165,2.5875,2.5929,130500
2005-03-07,2.5894,2.7053,2.5866,2.7053,837000
