date,open,high,low,close,volume
2010-12-07,12.6252,13.2015,12.3109,12.9396,10577600
2010-12-08,12.84,13.6206,12.7824,13.4372,865200
2010-12-09,13.2801,13.7516,13.2748,13.3953,877800
2010-12-10,13.2906,13.5106,13.2486,13.432,436900
2010-12-13,13.3587,13.9821,13.3534,13.893,397800
2010-12-14,13.8301,13.9349,13.5106,13.9035,250500
2010-12-15,13.914,14.2178,13.3482,13.652,396100
2010-12-16,13.5996,14.1078,13.5944,14.0449,133000
2010-12-17,14.1392,14.4326,14.0921,14.3069,101600
2010-12-20,14.2545,14.8779,14.244,14.4221,149300
2010-12-21,14.4745,14.5112,13.9349,14.1706,139200
2010-12-22,14.0659,14.0816,13.7306,14.0816,157500
2010-12-23,14.003,14.0711,13.9873,14.0711,135200
2010-12-27,14.0135,14.0135,13.8459,13.8878,97000
2010-12-28,13.8563,14.0659,13.8301,14.0397,204000
2010-12-29,13.9035,14.223,13.8825,14.223,75200
2010-12-30,14.1497,14.244,14.0659,14.1602,298000
2010-12-31,14.1445,14.1707,14.0344,14.0449,49800
2011-01-03,14.1026,14.1707,13.8878,14.1445,253500
2011-01-04,14.1445,14.244,13.9506,14.2283,232300
2011-01-05,14.1497,14.3383,14.0764,14.3226,61800
2011-01-06,14.2911,14.7521,14.1183,14.6631,116100
2011-01-07,14.6159,14.7364,14.3592,14.5636,288300
2011-01-10,14.4064,14.6526,14.1811,14.354,121100
2011-01-11,14.3697,14.4797,14.2073,14.4535,188900
2011-01-12,14.5007,14.9198,14.3697,14.8517,172300
2011-01-13,14.726,14.9093,14.6107,14.684,130200
2011-01-14,14.7155,14.9145,14.6474,14.8307,249000
2011-01-18,14.9827,15.847,14.8884,15.3703,692000
2011-01-19,15.5537,15.6375,15.0874,15.1241,227700
2011-01-20,15.1346,15.737,14.2859,15.407,354600
2011-01-21,15.4541,15.496,14.7783,15.407,118100
2011-01-24,15.4017,15.8366,14.9355,15.7685,129400
2011-01-25,15.737,16.2295,15.6427,15.8156,204000
2011-01-26,15.8366,16.1404,15.5065,15.9256,125200
2011-01-27,15.8418,16.0304,15.7161,15.9204,37300
2011-01-28,15.8261,16.1142,15.1817,16.0199,256400
2011-01-31,16.5228,16.6119,15.847,16.0985,202900
2011-02-01,16.362,16.362,15.8108,16.089,85500
2011-02-02,15.9788,16.4932,15.7688,15.8318,88600
2011-02-03,15.9316,16.0418,15.3541,15.4224,287900
