date,open,high,low,close,volume
2005-01-03,16.7533,16.8016,16.4717,16.5387,2128400
2005-01-04,16.5468,16.5521,15.9996,16.0774,1953200
2005-01-05,16.0425,16.1739,15.9996,16.0103,1465000
2005-01-06,15.9781,16.3268,15.9781,16.1632,1544000
2005-01-07,16.19,16.2464,16.0211,16.0425,770600
2005-01-10,16.0506,16.2893,15.9111,16.0774,1021800
2005-01-11,16.0506,16.1605,15.8843,15.9567,1164600
2005-01-12,15.8708,15.9674,15.7367,15.9084,1555600
2005-01-13,15.844,15.9996,15.7314,15.7743,1341200
2005-01-14,15.7823,15.954,15.7555,15.8655,1460800
2005-01-18,15.7636,16.0184,15.6911,16.0184,1007000
2005-01-19,16.0425,16.0452,15.8896,15.9191,954400
2005-01-20,16.0023,16.0157,15.439,15.6643,1672000
2005-01-21,15.5865,15.726,15.4658,15.5275,1507200
2005-01-24,15.5383,15.7314,15.4578,15.5517,1159200
2005-01-25,15.6965,15.8387,15.5731,15.6107,912800
2005-01-26,15.718,15.7206,15.5356,15.5838,989800
2005-01-27,15.5838,15.9057,15.4846,15.7931,1279600
2005-01-28,15.9191,15.9325,15.5329,15.7609,2565200
2005-01-31,15.8306,16.0532,15.7823,16.0532,1575400
2005-02-01,16.0827,16.2946,15.9594,16.2088,1142400
2005-02-02,16.1552,16.2061,16.0184,16.1257,1077600
2005-02-03,16.0586,16.1847,15.8065,15.8789,1066800
2005-02-04,15.9111,16.1525,15.7689,16.0962,1219400
2005-02-07,16.0962,16.1337,15.8494,15.9245,977200
2005-02-08,15.9272,15.9513,15.7314,15.785,1119400
2005-02-09,15.7475,15.9459,15.7475,15.7904,1232200
2005-02-10,15.8011,15.9835,15.7421,15.9701,644400
2005-02-11,15.9781,16.3805,15.9084,16.3429,1192600
2005-02-14,16.3644,16.4395,16.3134,16.3563,1003200
2005-02-15,16.351,16.5736,16.3376,16.4904,957800
2005-02-16,16.4153,16.5119,16.3322,16.4743,929600
2005-02-17,16.4207,16.477,16.3671,16.3939,854800
2005-02-18,16.4502,16.4609,16.2625,16.3161,1205400
2005-02-22,16.233,16.3805,16.0988,16.1203,1818800
2005-02-23,16.0345,16.1525,15.9701,16.0398,1161600
2005-02-24,16.0023,16.123,15.9084,16.1042,1240000
2005-02-25,16.0801,16.4717,16.0801,16.4395,1160400
2005-02-28,16.4663,16.4717,16.2973,16.4663,1150000
2005-03-01,16.351,16.8713,16.3402,16.7935,1612400
2005-03-02,16.8311,16.9947,16.595,16.7721,1161400
2005-03-03,16.8418,16.9116,16.5092,16.6299,1163000
2005-03-04,16.6728,17.0108,16.6702,16.8445,1071600
2005-03-07,16.8821,17.0188,16.7774,16.8874,780000
2005-03-08,16.8499,17.0376,16.7426,16.9786,1568400
2005-03-09,16.8767,17.0054,16.7828,16.8391,1281000
2005-03-10,16.933,16.9464,16.6809,16.7882,935600
2005-03-11,16.7238,16.764,16.3134,16.3832,1394600
2005-03-14,16.4636,16.7265,16.41,16.6728,863200
2005-03-15,16.697,16.8257,16.4717,16.4878,979000
2005-03-16,16.469,16.469,16.3134,16.469,1184000
2005-03-17,16.4127,16.5468,16.2732,16.4422,1011800
2005-03-18,16.4609,16.6916,16.4475,16.6192,2094000
2005-03-21,16.5977,16.6594,16.477,16.5334,1583000
2005-03-22,16.5414,16.633,16.0622,16.0999,1698800
2005-03-23,16.0245,16.0407,15.7903,15.9061,1282600
2005-03-24,15.9222,16.108,15.863,15.968,963000
2005-03-28,16.0487,16.1753,15.9922,16.0649,1038200
2005-03-29,16.038,16.1672,15.7661,15.7984,1081800
2005-03-30,15.8361,16.0649,15.8199,16.0111,1036600
2005-03-31,16.0245,16.0299,15.828,15.9868,1535800
2005-04-01,16.0003,16.248,15.758,15.828,1201000
2005-04-04,15.8522,16.1268,15.6126,16.0407,1450200
2005-04-05,16.1214,16.2938,15.9222,15.9572,1399200
2005-04-06,15.9384,16.1537,15.863,15.9007,1434600
2005-04-07,15.8845,15.9518,15.7284,15.8711,1329400
2005-04-08,15.8899,15.9357,15.6987,15.7768,1022800
2005-04-11,15.7499,15.8091,15.5103,15.5372,1162000
2005-04-12,15.4403,15.6611,15.1926,15.5803,1878400
2005-04-13,15.5614,15.5641,15.2357,15.3568,1740200
2005-04-14,15.3191,15.4349,15.1899,15.2222,1376000
2005-04-15,15.1226,15.2949,14.8588,14.8991,1669800
2005-04-18,14.9557,15.0176,14.7295,14.9314,1605400
2005-04-19,14.9314,15.1899,14.9314,15.1414,1446600
2005-04-20,15.0472,15.2114,14.8614,14.8884,1513600
2005-04-21,14.8641,15.2222,14.6003,15.1603,2092200
2005-04-22,15.1388,15.2114,14.6649,14.7968,1608400
2005-04-25,14.8184,15.1549,14.7726,15.1199,1298000
2005-04-26,14.9961,15.4511,14.9045,15.0688,1776600
2005-04-27,15.0284,15.2141,14.8076,15.0903,1558800
2005-04-28,15.0311,15.0634,14.708,14.7591,1717400
2005-04-29,14.6999,14.8991,14.5895,14.8534,2443600
2005-05-02,14.9153,14.9503,14.6541,14.8426,1626200
2005-05-03,14.8264,15.2249,14.8022,15.0714,1770000
2005-05-04,15.1791,15.513,15.1118,15.4161,1779200
2005-05-05,15.3999,15.5668,15.2868,15.4672,1169800
2005-05-06,15.5884,15.5884,15.3353,15.3838,986400
2005-05-09,15.3272,15.4995,15.1818,15.4618,731600
2005-05-10,15.3514,15.4134,15.2141,15.3272,1492800
2005-05-11,15.3245,15.6045,15.2949,15.5614,1085400
2005-05-12,15.5264,15.6637,15.3057,15.3353,1158200
2005-05-13,15.3676,15.4134,15.0768,15.1684,1046000
2005-05-16,15.2088,15.6288,15.2007,15.5938,880600
2005-05-17,15.5184,15.7634,15.3945,15.6934,1113000
2005-05-18,15.7311,16.1268,15.7176,15.9168,1703000
2005-05-19,15.933,16.0514,15.8657,16.0164,578200
2005-05-20,16.0407,16.0407,15.8388,16.0272,861000
2005-05-23,16.0568,16.1349,15.9518,16.0784,1087400
2005-05-24,16.0784,16.0891,15.8657,15.9599,978000
2005-05-25,15.8872,15.9141,15.653,15.7041,1346200
2005-05-26,15.7418,15.9464,15.7149,15.9007,1273800
2005-05-27,15.9491,16.0272,15.8845,15.9814,335600
2005-05-31,16.0137,16.0972,15.9034,16.0622,995000
2005-06-01,16.0649,16.2641,16.0057,16.0891,937400
2005-06-02,16.1241,16.2614,16.0595,16.2453,682400
2005-06-03,16.3045,16.4014,16.0326,16.1322,912600
2005-06-06,16.1726,16.2991,16.0191,16.2426,895800
2005-06-07,16.2238,16.4472,16.2238,16.283,876000
2005-06-08,16.318,16.3853,16.1834,16.1995,638200
2005-06-09,16.2103,16.4768,16.108,16.4418,849000
2005-06-10,16.4337,16.5091,16.2991,16.3907,428800
2005-06-13,16.3637,16.5253,16.2803,16.3584,680000
2005-06-14,16.3261,16.4687,16.3261,16.4149,482600
2005-06-15,16.3745,16.4445,16.2534,16.4068,683200
2005-06-16,16.4445,16.5468,16.4068,16.4634,610000
2005-06-17,16.5495,16.6087,16.2426,16.4849,1364600
2005-06-20,16.4364,16.4607,16.2964,16.4176,823200
2005-06-21,16.3987,16.4418,16.2911,16.3934,551400
2005-06-22,16.5555,16.6042,16.415,16.515,1002800
2005-06-23,16.3636,16.4393,16.1934,16.2177,1885400
2005-06-24,16.2799,16.5798,16.2123,16.5474,2244800
2005-06-27,16.5366,16.6474,16.4501,16.5312,1110600
2005-06-28,16.5879,16.9771,16.5393,16.9555,1567200
2005-06-29,16.9339,17.0122,16.8636,16.9528,832200
2005-06-30,17.0068,17.1609,16.9014,16.9176,1652600
2005-07-01,16.9825,16.9852,16.7933,16.9149,749400
2005-07-05,16.9366,17.1393,16.8636,17.0636,874200
2005-07-06,17.1257,17.2582,17.0203,17.1555,1181400
2005-07-07,17.1609,17.1798,16.9068,17.1582,1167600
2005-07-08,17.1149,17.3257,17.0447,17.323,1465200
2005-07-11,17.3528,17.4987,17.3014,17.4419,952000
2005-07-12,17.4257,17.6987,17.3987,17.6635,1349800
2005-07-13,17.6662,17.6987,17.5744,17.6473,401600
2005-07-14,17.6419,17.8392,17.6419,17.7257,671800
2005-07-15,17.7095,17.7743,17.5446,17.7662,1092800
2005-07-18,17.723,17.9203,17.723,17.8662,1002400
2005-07-19,17.9014,18.3175,17.8932,18.177,1786200
2005-07-20,18.2148,18.2797,18.05,18.0635,1895600
2005-07-21,18.0392,18.0878,17.7797,17.9554,1278800
2005-07-22,17.9662,18.0635,17.8987,18.0365,1084400
2005-07-25,17.9905,18.0392,17.9068,17.9716,1038800
2005-07-26,17.9095,17.9716,17.696,17.9122,1312800
2005-07-27,18.0041,18.1689,17.7608,17.8933,1844800
2005-07-28,17.9932,18.077,17.777,18.077,1236800
2005-07-29,18.1175,18.2013,17.9311,17.9311,954600
2005-08-01,18.0905,18.2311,17.9311,18.077,1537000
2005-08-02,18.1176,18.3392,18.0932,18.223,921000
2005-08-03,18.1932,18.3878,18.0959,18.3013,887600
2005-08-04,18.2365,18.3148,17.9095,17.9284,1091400
2005-08-05,17.8662,17.9014,17.5825,17.6581,964200
2005-08-08,17.7014,17.8122,17.596,17.6689,588000
2005-08-09,17.6554,17.8581,17.6446,17.7581,706400
2005-08-10,17.7554,18.2013,17.7068,17.8068,1079800
2005-08-11,17.7905,17.9257,17.7014,17.9122,666400
2005-08-12,17.8608,17.9176,17.6203,17.7365,435200
2005-08-15,17.7176,17.7851,17.6149,17.7095,702800
2005-08-16,17.7446,17.7689,17.2825,17.296,1426400
2005-08-17,17.2798,17.4068,17.2284,17.3636,823600
2005-08-18,17.3284,17.3879,17.2284,17.2906,864600
