date,open,high,low,close,volume
2005-01-03,17.7395,17.8894,17.3693,17.3804,4329578
2005-01-04,17.3759,17.4442,16.9088,17.0322,4761761
2005-01-05,17.0674,17.0851,16.6487,16.6487,4860204
2005-01-06,16.7677,16.922,16.6465,16.6708,5745228
2005-01-07,16.7148,16.792,16.554,16.5826,4434154
2005-01-10,16.4614,16.7259,16.4614,16.5804,4095895
2005-01-11,16.5496,16.6135,16.241,16.5341,5631937
2005-01-12,16.5341,16.6972,16.4173,16.6597,4084921
2005-01-13,16.6487,16.8294,16.587,16.6928,3382583
2005-01-14,16.7192,16.9903,16.7192,16.9572,2536615
2005-01-18,16.9132,16.944,16.6069,16.8713,2862931
2005-01-19,16.8471,16.9683,16.7831,16.7964,2654424
2005-01-20,16.6267,16.6928,16.4416,16.5121,3512335
2005-01-21,16.5275,16.5826,16.2455,16.2697,3481995
2005-01-24,16.3622,16.4504,16.0868,16.1022,3339333
2005-01-25,16.208,16.4548,16.1727,16.2344,2859703
2005-01-26,16.3292,16.3865,16.2102,16.2785,3947101
2005-01-27,16.1838,16.4129,15.8113,16.2719,4174005
2005-01-28,16.2565,16.4394,16.219,16.2675,4387998
2005-01-31,16.468,16.468,16.3116,16.3909,6407865
2005-02-01,16.8911,17.1908,16.7721,17.1269,7492358
2005-02-02,17.0762,17.1776,16.922,16.9793,17842805
2005-02-03,16.9683,17.6051,16.9595,17.4266,8390292
2005-02-04,17.3076,17.8233,17.3076,17.8013,4874083
2005-02-07,17.6514,17.9599,17.6294,17.8167,5549632
2005-02-08,17.8497,18.0194,17.6933,17.9026,3075633
2005-02-09,17.8607,17.918,17.755,17.7616,3286077
2005-02-10,17.7946,17.799,17.5588,17.7395,2717041
2005-02-11,17.7307,17.9982,17.6578,17.9672,2921351
2005-02-14,17.9451,18.0203,17.8258,17.8854,2104754
2005-02-15,17.8103,17.9827,17.7616,17.8567,2267106
2005-02-16,17.8567,18.0424,17.6356,18.0424,2601491
2005-02-17,17.9716,18.0269,17.7263,17.9053,3628854
2005-02-18,17.8501,17.9518,17.7373,17.8611,2958792
2005-02-22,17.7285,18.0092,17.4367,17.4699,3414215
2005-02-23,17.4853,17.5981,17.4058,17.5782,2559208
2005-02-24,17.5185,17.9053,17.419,17.9053,3784427
2005-02-25,17.9053,18.3629,17.8169,18.3474,5465713
2005-02-28,18.2922,18.8448,18.2811,18.6238,6498240
2005-03-01,18.5641,18.9752,18.5132,18.7498,6042818
2005-03-02,18.5685,18.9354,18.542,18.847,3895781
2005-03-03,18.8227,18.9775,18.7851,18.7984,4540989
2005-03-04,18.8448,19.3289,18.8006,19.3046,4731744
2005-03-07,19.2317,19.435,18.9664,19.0327,5484110
2005-03-08,18.9995,19.1919,18.9244,19.0438,2725433
2005-03-09,19.0106,19.0106,18.6901,18.7011,4509035
2005-03-10,18.7055,18.8006,18.3452,18.6724,5051282
2005-03-11,18.6812,18.847,18.5795,18.6238,3468116
2005-03-14,18.6414,18.7785,18.5287,18.6945,2123152
2005-03-15,18.7276,18.8404,18.4712,18.5199,2559208
2005-03-16,18.3806,18.4955,18.2015,18.3519,3835101
2005-03-17,18.4757,18.6989,18.4624,18.5552,3675655
2005-03-18,18.5574,18.7188,18.4646,18.6127,4846971
2005-03-21,18.6127,18.71,18.4359,18.5818,2498851
2005-03-22,18.5818,18.9332,18.4624,18.4624,4036507
2005-03-23,18.4624,18.4646,17.8523,17.8678,6435301
2005-03-24,18.038,18.3054,18.0092,18.1419,3894812
2005-03-28,18.1441,18.1485,17.8302,17.8545,4070074
2005-03-29,17.839,17.9628,17.419,17.4588,5237195
2005-03-30,17.4588,17.6754,17.4124,17.5627,4510004
2005-03-31,17.6091,17.8036,17.5163,17.6069,3391944
2005-04-01,17.7285,17.9363,17.5892,17.6224,5325310
2005-04-04,17.545,17.7506,17.4676,17.6401,5136169
2005-04-05,17.6379,17.839,17.6379,17.7528,2548557
2005-04-06,17.8788,18.007,17.7815,17.7904,2301641
2005-04-07,17.828,17.923,17.6953,17.7263,3438099
2005-04-08,17.7904,17.8655,17.6401,17.786,4425116
2005-04-11,17.8832,17.9274,17.66,17.6821,5066129
2005-04-12,17.5959,18.2458,17.5627,18.206,5376629
2005-04-13,18.0976,18.1728,17.6754,17.6754,3934190
2005-04-14,17.6953,17.6953,16.6741,16.862,10518931
2005-04-15,16.8885,17.0609,16.7912,16.8553,7057270
2005-04-18,16.9062,17.1029,16.7559,17.0587,4950579
2005-04-19,17.1316,17.3571,17.114,17.282,5761043
2005-04-20,17.629,17.7771,17.4168,17.4212,8077855
2005-04-21,17.6843,17.8081,17.1339,17.786,7426836
2005-04-22,17.618,17.7904,17.4367,17.6356,3980991
2005-04-25,17.786,17.9761,17.6202,17.7528,3767966
2005-04-26,17.6622,17.7948,17.2753,17.2753,5078394
2005-04-27,17.1648,17.2134,16.8111,17.1206,4948319
2005-04-28,16.9438,17.0432,16.6851,16.8509,7070503
2005-04-29,17.0211,17.1272,16.6807,16.9924,4857300
2005-05-02,16.9902,17.2864,16.9327,17.1184,2943622
2005-05-03,17.1184,17.2112,16.9813,17.0697,3171495
2005-05-04,17.1316,17.4411,17.0565,17.4256,2520477
2005-05-05,17.4257,17.5295,17.1228,17.2157,3733107
2005-05-06,17.2532,17.4632,17.2532,17.4168,2850989
2005-05-09,17.4411,17.5826,17.3637,17.5826,2279371
2005-05-10,17.5516,17.5516,17.2134,17.2798,3709222
2005-05-11,17.2798,17.3792,17.0211,17.3394,2567600
2005-05-12,17.3749,17.3838,16.7651,16.8249,3149547
2005-05-13,16.7873,16.9602,16.6431,16.8449,5155858
2005-05-16,16.9314,17.1465,16.8582,17.1376,1881078
2005-05-17,17.1532,17.437,17.0778,17.4171,5494439
2005-05-18,17.4237,17.7364,17.3195,17.6078,5681320
2005-05-19,17.6189,17.6521,17.4725,17.6166,3658548
2005-05-20,17.6189,17.6189,17.4548,17.5324,2325526
2005-05-23,17.5346,17.6898,17.5035,17.5834,4284713
2005-05-24,17.5834,17.5834,17.386,17.4614,2576638
2005-05-25,17.3749,17.3771,17.1842,17.2441,2598909
2005-05-26,17.3816,17.5368,17.3505,17.4414,2562436
2005-05-27,17.4747,17.5368,17.3572,17.386,2991714
2005-05-31,17.3971,17.4525,17.1487,17.1665,4722383
2005-06-01,17.2086,17.5767,17.1642,17.4791,3957752
2005-06-02,17.4148,17.4148,17.1532,17.2086,3804438
2005-06-03,17.0534,17.0755,16.734,16.7362,5911775
2005-06-06,16.7296,16.8227,16.6697,16.7739,4301497
