date,open,high,low,close,volume
2023-10-04,76.0451,79.9629,75.7277,77.1659,8358300
2023-10-05,75.3806,76.3625,72.0579,73.8432,15351900
2023-10-06,72.4447,77.8304,72.4447,77.3444,7781100
2023-10-09,76.0253,77.3643,73.1331,74.0019,7000900
2023-10-10,73.3572,74.8946,71.9091,74.3887,5385600
2023-10-11,73.8333,75.936,73.0101,73.8631,4602500
2023-10-12,73.1489,74.6863,72.1571,73.625,4668700
2023-10-13,73.0299,73.387,69.8957,71.2644,5286500
2023-10-16,71.0363,74.23,71.0363,73.6052,4555000
2023-10-17,72.534,74.5127,72.4149,73.873,2584900
2023-10-18,72.901,73.3284,71.682,71.8595,2959800
2023-10-19,71.2347,72.1472,69.3799,69.7171,2867400
2023-10-20,69.8262,70.2031,68.3384,69.36,3151500
2023-10-23,68.7352,71.8794,67.0986,71.314,4089800
2023-10-24,71.7008,73.1092,71.2049,71.4231,3432200
2023-10-25,70.7189,71.7455,69.2113,70.2131,3298200
2023-10-26,65.7894,71.6413,64.9761,69.4295,3537100
2023-10-27,68.0806,68.874,67.1978,67.4359,3412000
2023-10-30,67.9219,68.765,66.8705,67.8029,3393700
2023-10-31,68.3583,69.1617,67.0986,68.4376,3370700
2023-11-01,67.6045,68.6261,66.9201,66.9598,2503500
2023-11-02,67.4458,69.9651,66.1465,69.7072,2848700
2023-11-03,69.8957,70.5106,68.4971,70.223,2225900
2023-11-06,69.4791,69.4989,67.5251,67.7037,2855000
2023-11-07,67.1978,69.6774,66.811,69.4989,2133600
2023-11-08,69.2311,69.7469,68.9832,69.2311,2053800
2023-11-09,68.5269,69.7469,68.5269,69.0625,2020500
2023-11-10,68.7451,70.2031,68.5765,69.975,1645300
2023-11-13,69.7072,72.6034,69.608,72.3852,2964300
2023-11-14,73.2481,73.4961,72.4149,73.0299,2814500
2023-11-15,72.8712,74.0316,72.4149,73.3076,3437100
2023-11-16,72.1471,72.4645,70.0048,70.3023,2446600
2023-11-17,70.3221,70.7883,69.489,70.4114,1500400
2023-11-20,70.4213,70.7685,70.0048,70.1833,1814300
2023-11-21,70.223,72.2067,69.8956,71.7206,1767600
2023-11-22,72.2067,73.2283,71.7504,72.3455,1906300
2023-11-24,72.0678,73.5258,71.6413,73.4068,823400
2023-11-27,73.2183,73.3869,72.405,72.9009,1649900
2023-11-28,72.3306,73.9315,72.2562,72.7224,2062100
2023-11-29,72.8018,74.6367,72.6431,73.6151,2519200
2023-11-30,74.0912,76.9874,74.0912,76.6204,8454100
2023-12-01,76.541,76.541,75.3508,75.8864,2039400
2023-12-04,75.3508,76.2931,74.8747,75.1624,1625800
2023-12-05,74.7855,75.5194,74.6059,74.9342,1411400
2023-12-06,74.9343,75.8666,74.4086,75.212,2001200
2023-12-07,75.1822,75.6682,74.0118,74.0218,1296000
2023-12-08,73.992,75.0285,73.6647,74.8152,1131300
2023-12-11,74.3887,76.7295,74.0416,76.1939,1649000
2023-12-12,75.7476,77.2453,75.1624,76.8188,2329300
2023-12-13,76.541,78.0625,75.6781,77.1064,3854100
2023-12-14,77.8701,79.0703,76.9973,78.6834,3231000
2023-12-15,78.2272,79.2786,77.394,78.2074,6727600
2023-12-18,78.5446,80.2605,77.7908,80.1811,1955000
2023-12-19,80.9349,82.9385,80.3299,82.7599,2902900
2023-12-20,82.8691,83.2013,79.9629,79.9828,1704100
2023-12-21,80.6572,81.3119,79.1595,80.4589,919300
2023-12-22,79.9828,81.1234,79.3777,80.9746,712700
2023-12-26,81.0341,81.6639,80.7266,81.4606,700200
2023-12-27,81.4705,82.8195,81.3118,82.5417,1018100
2023-12-28,82.4127,82.8495,81.6878,82.4524,799300
2023-12-29,82.2538,82.7701,81.2807,81.6779,675000
2024-01-02,80.5261,81.4197,79.3842,80.4467,1129600
2024-01-03,80.0296,80.3275,77.1998,77.4977,1198300
2024-01-04,76.9019,77.7261,76.0282,76.0679,1388500
2024-01-05,76.0679,77.0906,75.7104,76.3558,1899300
2024-01-08,75.9289,77.2892,75.9289,76.9615,1555800
2024-01-09,76.9516,77.0261,76.1771,76.197,2100300
2024-01-10,75.8594,76.187,74.4643,75.8891,1625000
2024-01-11,75.8594,76.048,74.4295,75.5416,1020100
2024-01-12,75.6707,75.8792,74.4693,75.2239,1066100
2024-01-16,73.8338,74.7473,73.387,74.0225,1342700
2024-01-17,73.943,75.4423,73.7444,75.343,1469100
2024-01-18,75.3033,76.0381,74.4991,75.4721,1253400
2024-01-19,75.3331,77.1303,75.3331,77.0012,1280800
2024-01-22,77.1104,79.1956,76.9516,79.1261,1496100
2024-01-23,79.9303,79.9303,78.3019,78.3317,1202800
2024-01-24,78.9374,78.9374,75.6806,75.7204,1338600
2024-01-25,75.909,76.3955,75.4523,76.1572,1081000
2024-01-26,76.5246,77.5473,75.8991,76.4452,997600
2024-01-29,76.0877,77.4083,75.5218,77.3487,1044100
2024-01-30,77.1899,77.8154,76.2813,77.7757,1199100
2024-01-31,77.7757,78.0438,76.0679,76.1473,2405800
2024-02-01,76.2069,76.5842,74.6381,76.2466,1508000
2024-02-02,76.1473,76.5842,74.8069,76.2962,1069200
2024-02-05,75.5317,76.0679,74.9558,75.2338,1323400
2024-02-06,74.6778,77.17,74.5189,77.0707,1552900
2024-02-07,79.6722,82.3729,78.8659,80.5857,2520300
2024-02-08,81.1516,83.2964,80.9233,81.9758,2085600
2024-02-09,81.9857,82.9588,81.4098,81.5488,1319500
2024-02-12,81.946,83.1971,81.4595,82.9091,1681800
2024-02-13,81.3403,83.1871,80.6512,81.6084,1068900
2024-02-14,82.4524,83.8574,82.3134,83.624,1414000
2024-02-15,84.1006,86.4141,83.7184,85.9772,1767700
2024-02-16,85.8085,86.0865,85.1928,85.4808,1486200
2024-02-20,84.5474,85.5304,84.4084,85.1631,1534400
2024-02-21,83.5645,84.9347,82.7502,84.756,869100
2024-02-22,85.4311,85.9723,85.0935,85.3319,1006600
2024-02-23,85.7985,86.7865,85.7489,86.0964,1152700
2024-02-26,86.1659,86.8212,85.5503,85.6992,893800
2024-02-27,86.9602,87.2482,86.1709,87.1688,1836600
2024-02-28,86.9702,88.1816,86.2354,86.9503,1064500
2024-02-29,87.278,87.278,85.4023,85.8084,2953400
2024-03-01,85.0935,86.4241,85.0935,86.146,816800
2024-03-04,86.6127,87.8191,86.2751,87.1191,1522800
2024-03-05,86.7517,88.1617,86.2156,87.8737,1683500
2024-03-06,88.1915,88.9858,87.4567,88.2411,1298400
2024-03-07,88.6383,89.9092,88.5588,88.6879,934500
2024-03-08,88.817,89.8695,88.251,88.6284,698900
2024-03-11,88.2411,88.539,86.712,88.1319,1085500
2024-03-12,88.7078,88.9292,87.7744,87.8042,1316800
2024-03-13,87.7744,88.9709,87.2681,88.4695,1281100
2024-03-14,88.3007,88.5092,87.0397,87.6056,1124700
2024-03-15,86.3943,87.6454,85.2921,85.8879,5058400
2024-03-18,86.8411,87.0645,86.1014,86.4141,2674800
2024-03-19,86.7021,87.1092,86.3843,86.8212,1697500
2024-03-20,86.7617,87.9929,86.6802,87.4964,1736100
2024-03-21,88.5191,89.7106,87.8062,89.2638,1733500
2024-03-22,90.0482,90.0482,88.3255,88.8269,1495400
2024-03-25,88.6681,89.3631,88.2709,88.7674,1350800
2024-03-26,88.9163,89.5518,88.5191,88.6284,1518800
2024-03-27,89.0061,90.0795,88.201,89.1949,1395700
2024-03-28,89.2148,89.3042,88.0916,88.1215,1546500
2024-04-01,88.0519,88.1215,86.7797,87.0083,1172600
2024-04-02,86.7797,86.7797,86.0243,86.0541,1424200
2024-04-03,85.9249,87.2567,85.3882,86.72,3038000
2024-04-04,87.5847,87.5847,86.074,86.1634,1543300
2024-04-05,86.4318,87.048,86.064,86.561,1993800
2024-04-08,86.9188,87.6046,86.5212,87.1375,923800
2024-04-09,87.4754,89.1353,87.048,88.6582,1215100
2024-04-10,87.1971,88.0519,86.7995,87.6642,1142500
2024-04-11,87.7537,88.3997,85.7261,86.879,1241000
2024-04-12,86.1137,87.2269,85.5174,86.8393,1299000
2024-04-15,87.9326,90.2186,87.9326,89.3142,2158300
2024-04-16,89.1253,90.815,88.9265,90.3379,2097700
2024-04-17,91.0237,91.5903,89.5517,90.0,2265100
2024-04-18,90.0,90.0994,87.8829,88.2606,2378100
2024-04-19,88.2904,89.1054,87.873,88.3501,5196800
2024-04-22,88.5985,90.9144,87.5947,90.6758,1995500
