date,open,high,low,close,volume
2005-01-03,28.0406,28.3436,26.6179,27.4092,5677000
2005-01-04,27.4092,27.5271,25.6078,26.4917,6700700
2005-01-05,25.9024,26.66,25.6499,25.793,4217800
2005-01-06,25.6751,26.1381,25.4983,25.7425,3596900
2005-01-07,26.4159,27.2577,25.995,26.0539,5297900
2005-01-10,25.9445,26.2644,24.5555,25.9529,9060500
2005-01-11,26.3906,26.6937,25.5909,25.6246,4490400
2005-01-12,25.7845,25.793,24.5134,25.1953,7019700
2005-01-13,25.2795,25.2879,23.8147,24.042,7857700
2005-01-14,24.4461,24.4882,24.1262,24.404,5179300
2005-01-18,23.8989,24.9764,23.8989,24.7239,3908100
2005-01-19,24.8754,24.9091,23.7726,23.941,4939800
2005-01-20,23.5285,24.2945,23.3601,23.4443,3309800
2005-01-21,23.6632,24.3703,23.5874,23.68,5098800
2005-01-24,23.6127,23.68,22.6783,22.8045,5586400
2005-01-25,23.0992,23.4864,22.813,22.9729,3685700
2005-01-26,23.9578,25.0017,23.377,24.6481,15766100
2005-01-27,21.6765,22.089,20.9189,21.4324,36285800
2005-01-28,21.7691,21.8449,21.3314,21.5418,7348200
2005-01-31,22.0132,22.2658,21.626,21.7523,6628100
2005-02-01,21.9206,22.0638,21.4324,21.4829,5345900
2005-02-02,21.7691,21.8196,21.2472,21.5503,4342700
2005-02-03,21.5503,21.6681,21.1546,21.2977,2803500
2005-02-04,21.2893,21.7186,21.0536,21.6849,4778100
2005-02-07,21.6344,21.7607,21.1714,21.3735,3200000
2005-02-08,21.3061,21.7607,21.2304,21.3819,3251500
2005-02-09,21.4071,21.6176,20.6664,20.7253,2865200
2005-02-10,20.8263,21.163,20.6411,20.7505,2865000
2005-02-11,20.6832,21.6008,20.6074,21.4492,4448700
2005-02-14,21.5923,22.2995,21.5334,22.2658,6458800
2005-02-15,22.3331,23.3517,22.3331,22.8382,7380800
2005-02-16,22.7709,23.318,22.6783,23.1834,3715200
2005-02-17,23.0403,23.6548,22.8214,22.8214,2922400
2005-02-18,22.9476,23.1834,22.7625,22.9813,1502300
2005-02-22,22.8551,23.1918,22.4342,22.5183,2597300
2005-02-23,22.7035,23.0655,22.0974,22.8887,4229500
2005-02-24,22.3752,23.3349,22.2405,23.3349,4441500
2005-02-25,23.3686,23.7474,23.3265,23.6464,2936500
2005-02-28,23.5958,23.8989,22.4594,23.0823,5260400
2005-03-01,23.5201,23.7558,23.3601,23.7305,2947100
2005-03-02,23.7053,23.9494,23.5369,23.84,2598000
2005-03-03,23.8568,24.4629,23.8063,24.2188,4619400
2005-03-04,24.2861,24.8333,24.2019,24.6649,3231700
2005-03-07,24.867,25.2542,24.7828,25.0437,2977700
2005-03-08,25.0185,25.3805,24.8754,24.9343,1990000
2005-03-09,24.9259,25.0437,24.3703,24.6649,2414700
2005-03-10,24.7407,24.766,23.9662,24.4124,2787700
2005-03-11,24.4545,24.5471,23.9073,23.941,2013700
2005-03-14,24.0504,24.303,23.781,24.2356,2572900
2005-03-15,24.244,24.4629,23.941,24.1599,1445800
2005-03-16,23.8736,23.9999,22.9729,23.5622,4282800
2005-03-17,23.318,23.7305,23.217,23.6043,1449200
2005-03-18,23.4948,23.6969,23.1328,23.3349,1291000
2005-03-21,23.2928,23.4696,22.6446,22.7709,3571500
2005-03-22,22.7035,22.9056,22.3247,22.4426,2172200
2005-03-23,22.4426,22.7456,22.3163,22.3921,1881200
2005-03-24,22.3752,22.5688,22.1479,22.2153,1971700
