date,open,high,low,close,volume
2005-01-03,12.6687,12.7494,12.5351,12.5724,9236061
2005-01-04,12.6314,12.6562,12.3737,12.4451,11680234
2005-01-05,12.4575,12.5786,12.4078,12.4265,8201616
2005-01-06,12.4155,12.5096,12.2744,12.3998,7844458
2005-01-07,12.4782,12.4907,12.3214,12.3559,8424450
2005-01-10,12.3685,12.3779,12.1866,12.2368,10087813
2005-01-11,12.2399,12.2493,12.0926,12.102,9305224
2005-01-12,11.9139,12.0361,11.8104,11.986,13962395
2005-01-13,11.7571,11.7916,11.5533,11.6317,20131371
2005-01-14,11.5753,11.663,11.5157,11.5502,10249824
2005-01-18,11.5502,11.8135,11.4498,11.8135,13386518
2005-01-19,11.6819,11.7822,11.4906,11.4906,10558501
2005-01-20,11.3401,11.5,11.2241,11.3715,13373397
2005-01-21,11.5376,11.6411,11.431,11.4436,13119873
2005-01-24,11.4436,11.7257,11.4028,11.5533,11983128
2005-01-25,11.5533,11.6317,11.2398,11.2868,11559365
2005-01-26,11.2868,11.4749,11.2868,11.4498,12685212
2005-01-27,11.3652,11.3809,11.2022,11.2461,16697454
2005-01-28,11.2774,11.3244,10.9984,11.1865,13421655
2005-01-31,11.2241,11.2555,11.0454,11.1583,11637869
2005-02-01,11.2461,11.3809,11.199,11.2492,8528862
2005-02-02,11.3495,11.4091,11.2022,11.2492,10697049
2005-02-03,11.2805,11.3464,11.2147,11.2555,6531359
2005-02-04,11.3088,11.5627,11.2962,11.5533,9405633
2005-02-07,11.5847,11.5941,11.4498,11.4969,6032873
2005-02-08,11.5533,11.5659,11.3934,11.4279,7971776
2005-02-09,11.4436,11.453,11.2868,11.3056,6945671
2005-02-10,11.3182,11.4342,11.2398,11.2994,6677803
2005-02-11,11.3652,11.4655,11.2931,11.384,6502449
2005-02-14,11.384,11.6348,11.3244,11.3464,18089723
2005-02-15,11.4498,11.5282,11.3276,11.3683,12067303
2005-02-16,11.3809,11.3965,11.2743,11.3244,11621300
2005-02-17,11.3025,11.3182,11.1551,11.1865,7852576
2005-02-18,11.1865,11.2241,11.0235,11.0705,12942739
2005-02-22,11.0642,11.1551,11.036,11.0924,12761825
2005-02-23,11.0987,11.1677,11.014,11.1457,9185023
2005-02-24,11.1457,11.1645,11.0329,11.1301,9036355
2005-02-25,11.1301,11.3903,11.1144,11.3495,9451445
2005-02-28,11.3903,11.4404,11.2555,11.2774,6534806
2005-03-01,11.4122,11.4279,11.315,11.3652,7631854
2005-03-02,11.3652,11.4592,11.3244,11.4342,7173398
2005-03-03,11.4216,11.4592,11.3213,11.4028,7661654
2005-03-04,11.4875,11.5282,11.3871,11.4185,7599830
2005-03-07,11.5063,11.5533,11.4154,11.4467,7811990
2005-03-08,11.4279,11.4687,11.3182,11.3182,6864610
2005-03-09,11.2962,11.4248,11.2899,11.3307,6498557
2005-03-10,11.3307,11.3809,11.315,11.3401,6189658
2005-03-11,11.3746,11.4091,11.268,11.3088,6778879
2005-03-14,11.3652,11.3809,11.2398,11.3119,5719415
2005-03-15,11.3182,11.3621,11.1614,11.1865,6490996
2005-03-16,11.1301,11.2116,11.0423,11.0799,6930660
2005-03-17,11.083,11.1112,10.9858,11.0391,6349889
2005-03-18,11.0391,11.0423,10.9294,11.0203,13696974
2005-03-21,10.9921,11.0235,10.8886,10.9576,7258462
2005-03-22,10.9733,11.0109,10.7789,10.804,7785636
2005-03-23,10.8573,11.0673,10.8353,10.9451,8439128
2005-03-24,10.9419,11.0423,10.898,10.898,5461332
2005-03-28,10.9012,11.0203,10.8667,10.8855,8487831
2005-03-29,10.8071,11.1144,10.7852,10.9294,13966510
2005-03-30,10.9576,11.1144,10.9325,11.1081,6399482
2005-03-31,11.1238,11.199,10.9921,11.1301,7159610
2005-04-01,11.1614,11.2241,10.9921,11.0329,7196638
