date,open,high,low,close,volume
2005-01-03,9.8405,9.9701,9.6136,9.6552,732400
2005-01-04,9.6552,9.7062,9.3357,9.3542,457600
2005-01-05,9.3079,9.5904,9.1412,9.1412,596400
2005-01-06,9.1412,9.3959,9.1412,9.2014,348600
2005-01-07,9.169,9.2385,8.9513,8.9513,433400
2005-01-10,9.044,9.1922,8.9467,9.0671,529600
2005-01-11,9.0162,9.0208,8.7059,8.8448,329200
2005-01-12,8.868,8.868,8.567,8.8171,306600
2005-01-13,8.7754,8.7985,8.6596,8.7291,408000
2005-01-14,8.6596,8.8587,8.6133,8.7985,305400
2005-01-18,8.7985,9.1227,8.743,9.0486,474200
2005-01-19,9.0486,9.0995,8.7476,8.7846,262400
2005-01-20,8.7059,8.7985,8.6503,8.6596,312800
2005-01-21,8.6642,8.8726,8.6642,8.7661,445400
2005-01-24,8.7985,8.8217,8.442,8.442,605000
2005-01-25,8.5207,8.6503,8.3401,8.3586,446200
2005-01-26,8.4512,8.5114,8.3355,8.4883,271400
2005-01-27,8.4512,8.4883,8.3586,8.4327,275600
2005-01-28,8.4327,8.4744,8.3679,8.4559,328800
2005-01-31,8.5022,8.7893,8.4512,8.6318,273800
2005-02-01,8.6133,8.7615,8.5994,8.7059,413800
2005-02-02,8.6781,8.6828,8.5299,8.6133,212200
2005-02-03,8.5901,8.6133,8.442,8.5531,215200
2005-02-04,8.4975,8.5577,8.4003,8.4373,262600
2005-02-07,8.4049,8.5901,8.4003,8.5022,449600
2005-02-08,8.5022,8.5346,8.4281,8.479,213400
2005-02-09,8.479,8.5392,8.2336,8.2382,322200
2005-02-10,8.2336,8.3031,8.2197,8.2706,471800
2005-02-11,8.2475,8.3957,8.1687,8.3401,417000
2005-02-14,8.317,8.5486,8.317,8.5486,783600
2005-02-15,8.5023,8.5672,8.4096,8.4143,388000
2005-02-16,8.4143,8.5579,8.4143,8.456,250400
2005-02-17,8.456,8.6367,8.4328,8.4977,406000
2005-02-18,8.5486,8.5857,8.3494,8.4282,352600
2005-02-22,8.354,8.4189,7.659,7.761,1089000
2005-02-23,7.7656,7.988,7.7332,7.8722,2637800
2005-02-24,7.9092,8.0297,7.7841,8.0065,923000
2005-02-25,8.0065,8.3818,8.0065,8.3726,1123400
2005-02-28,8.3818,8.5486,8.3633,8.5301,1068800
2005-03-01,8.5023,8.6506,8.4328,8.6274,1050800
2005-03-02,8.6089,8.6876,8.4282,8.5069,585600
2005-03-03,8.5486,8.7108,8.4699,8.5996,487000
2005-03-04,8.6459,9.012,8.6413,8.9101,602000
2005-03-07,8.8544,8.9656,8.8498,8.9517,483400
2005-03-08,8.9193,8.9703,8.8035,8.873,1257200
2005-03-09,8.8035,8.8961,8.6691,8.771,382800
2005-03-10,8.7571,8.91,8.6413,8.7432,655600
2005-03-11,8.734,8.8962,8.7247,8.8035,350000
2005-03-14,8.8498,8.9796,8.7108,8.8498,297200
2005-03-15,9.2576,9.9109,9.1695,9.795,2657200
2005-03-16,9.795,9.9618,9.6282,9.7302,781800
2005-03-17,9.707,9.7441,9.2205,9.4058,1096400
2005-03-18,9.5912,9.6097,9.3827,9.48,762800
2005-03-21,9.4522,9.656,9.4151,9.5448,368400
2005-03-22,9.5912,9.7348,9.5495,9.6004,786600
2005-03-23,9.5912,9.8136,9.5912,9.7209,558600
2005-03-24,9.656,9.846,9.656,9.795,643400
2005-03-28,9.795,9.795,9.4058,9.5726,821000
2005-03-29,9.4985,9.5819,9.2576,9.2715,606600
2005-03-30,9.2622,9.6004,9.2622,9.5958,665200
