date,open,high,low,close,volume
2005-01-03,8.8185,8.8891,8.7871,8.8211,1397000
2005-01-04,8.8237,8.8917,8.8054,8.8159,1465000
2005-01-05,8.8159,8.842,8.7295,8.7531,977600
2005-01-06,8.7609,8.8054,8.7269,8.8054,761800
2005-01-07,8.8446,8.876,8.7609,8.8185,817400
2005-01-10,8.863,8.9336,8.8237,8.9048,887200
2005-01-11,8.9362,8.9362,8.7975,8.8682,713400
2005-01-12,8.8839,8.8865,8.7766,8.8551,712600
2005-01-13,8.8787,8.9441,8.8577,8.8734,831000
2005-01-14,8.9205,8.9572,8.8551,8.9362,552200
2005-01-18,8.8839,9.0278,8.8708,8.9702,1019600
2005-01-19,8.9833,9.0043,8.9388,8.9415,524800
2005-01-20,8.9231,8.9467,8.8734,8.8944,876600
2005-01-21,8.863,8.9022,8.8289,8.8394,771200
2005-01-24,8.8185,8.9598,8.8185,8.9127,627800
2005-01-25,8.7661,8.931,8.7661,8.8499,809000
2005-01-26,8.897,8.9702,8.8682,8.9493,792600
2005-01-27,8.965,9.0226,8.9415,9.0016,678800
2005-01-28,8.965,8.9938,8.8577,8.8813,988800
2005-01-31,8.8891,8.9702,8.8787,8.9441,639400
2005-02-01,8.9912,9.0383,8.9467,9.0278,650200
2005-02-02,9.0121,9.0697,8.9938,9.0409,341800
2005-02-03,9.0016,9.0383,8.9702,9.0278,374200
2005-02-04,9.0697,9.1743,9.0566,9.1743,509200
2005-02-07,9.1482,9.1979,9.1089,9.1194,469000
2005-02-08,9.122,9.1979,9.1142,9.1979,664200
2005-02-09,9.2032,9.3348,9.1531,9.1795,4784200
2005-02-10,9.19,9.2637,9.1505,9.2637,1329800
2005-02-11,9.2637,9.3217,9.219,9.2743,921800
2005-02-14,9.2269,9.4086,9.2163,9.4086,1911400
2005-02-15,9.4007,9.5113,9.377,9.4902,1073400
2005-02-16,9.4902,9.4902,9.4138,9.4797,970200
2005-02-17,9.4402,9.4639,9.3849,9.3875,432200
2005-02-18,9.348,9.348,9.2453,9.2769,629600
2005-02-22,9.2506,9.2506,9.1031,9.1373,716600
2005-02-23,9.1215,9.1953,9.082,9.0899,573000
2005-02-24,9.1005,9.1373,9.032,9.0583,1121000
2005-02-25,9.0583,9.2216,9.0504,9.2216,1060600
2005-02-28,9.2216,9.2453,9.0926,9.1426,738000
2005-03-01,9.1426,9.2348,9.1321,9.2137,1529600
2005-03-02,9.2111,9.2664,9.1637,9.2163,666800
2005-03-03,9.2032,9.2953,9.1689,9.2506,510400
2005-03-04,9.2637,9.3506,9.2637,9.3322,836200
2005-03-07,9.3348,9.427,9.3138,9.3954,509400
2005-03-08,9.4086,9.4138,9.3401,9.3717,412400
2005-03-09,9.3217,9.3217,9.2163,9.2163,525000
2005-03-10,9.2163,9.3085,9.1847,9.2558,367400
2005-03-11,9.2532,9.3243,9.1558,9.1558,505200
2005-03-14,9.1584,9.3506,9.1584,9.3032,728600
2005-03-15,9.3506,9.3664,9.2611,9.2769,564000
2005-03-16,9.2427,9.3085,9.1821,9.1821,484200
2005-03-17,9.2058,9.2348,9.1426,9.1663,355000
2005-03-18,9.1689,9.1847,9.0689,9.1242,697600
2005-03-21,9.1242,9.1847,9.1084,9.1742,784800
2005-03-22,9.1584,9.2216,9.0531,9.0583,940400
2005-03-23,9.0583,9.1005,8.9556,9.0583,585600
2005-03-24,9.0715,9.2005,9.0715,9.111,656400
2005-03-28,9.1215,9.2137,9.111,9.1505,930000
2005-03-29,9.1005,9.2084,9.0978,9.1795,1281200
2005-03-30,9.1531,9.3217,9.1531,9.3111,1135800
2005-03-31,9.319,9.348,9.2585,9.348,832600
2005-04-01,9.3875,9.4217,9.269,9.3322,933600
2005-04-04,9.3691,9.3691,9.2479,9.3217,411200
2005-04-05,9.3111,9.3849,9.3059,9.3427,534000
2005-04-06,9.398,9.427,9.3217,9.3454,532000
2005-04-07,9.2953,9.4244,9.2743,9.3612,429000
2005-04-08,9.3348,9.3822,9.3032,9.3217,439400
2005-04-11,9.3375,9.3901,9.3032,9.348,518200
