date,open,high,low,close,volume
2005-01-03,13.6754,13.6754,13.2368,13.3554,278500
2005-01-04,13.3554,13.3698,13.1972,13.2799,256800
2005-01-05,13.2296,13.2368,12.6544,12.7011,523900
2005-01-06,12.773,12.8881,12.6616,12.7263,371300
2005-01-07,12.8269,12.8952,12.7299,12.7443,251800
2005-01-10,12.7263,12.7874,12.6796,12.6903,200000
2005-01-11,12.7658,12.773,12.4926,12.507,290100
2005-01-12,12.507,12.5178,12.2769,12.3955,411100
2005-01-13,12.3129,12.6472,12.3129,12.4135,319200
2005-01-14,12.4423,12.5034,12.4207,12.4531,303800
2005-01-18,12.223,12.5357,12.223,12.5322,331400
2005-01-19,12.5681,12.7047,12.507,12.6544,530900
2005-01-20,12.6436,12.6903,12.5322,12.5825,279600
2005-01-21,12.6256,12.7227,12.5573,12.658,164300
2005-01-24,12.7299,12.7299,12.5357,12.5393,237500
2005-01-25,12.5825,12.6076,12.3057,12.3057,259100
2005-01-26,12.2589,12.3812,12.2194,12.2877,334200
2005-01-27,12.2877,12.3499,11.995,12.1413,410200
2005-01-28,12.1633,12.2767,12.0901,12.1962,264600
2005-01-31,12.2621,12.306,12.0059,12.2584,359900
2005-02-01,12.0755,12.123,11.9693,12.0352,454100
2005-02-02,12.0535,12.2218,11.8962,12.1706,636300
2005-02-03,12.2218,12.2987,12.1633,12.1706,218700
2005-02-04,12.1889,12.4048,12.1889,12.4048,304500
2005-02-07,12.4048,12.4597,12.2621,12.2621,222400
2005-02-08,12.3097,12.3865,12.2511,12.3243,269700
2005-02-09,12.5329,12.789,12.4597,12.7634,484600
2005-02-10,12.7634,12.7927,12.6646,12.7268,244000
2005-02-11,12.5512,12.6719,12.4999,12.606,360300
2005-02-14,12.6097,12.7122,12.5731,12.6609,227500
2005-02-15,12.5036,12.778,12.5036,12.7414,208100
2005-02-16,12.8,12.9354,12.6646,12.8622,264600
2005-02-17,12.9098,13.0781,12.811,12.9756,352000
2005-02-18,12.9793,12.9793,12.7085,12.7085,253000
2005-02-22,12.7085,12.7085,12.3133,12.3133,260500
2005-02-23,12.5512,12.5621,12.3499,12.4597,314600
2005-02-24,12.4633,12.5475,12.3536,12.4231,176500
2005-02-25,12.4048,12.6353,12.4048,12.6353,197300
2005-02-28,12.6097,12.6134,12.445,12.5512,257500
2005-03-01,12.5841,12.6756,12.4999,12.6207,194800
2005-03-02,12.5475,12.5475,12.4084,12.4194,200700
2005-03-03,12.4341,12.5036,12.3499,12.478,181100
2005-03-04,12.5146,12.628,12.4048,12.617,349100
2005-03-07,12.617,12.7195,12.4926,12.6609,210400
2005-03-08,12.6646,12.6646,12.5365,12.5877,111900
2005-03-09,12.5365,12.5402,12.1303,12.134,322500
2005-03-10,12.1377,12.3316,12.1303,12.3206,330800
2005-03-11,12.2804,12.3133,12.1669,12.1669,205200
2005-03-14,12.145,12.478,12.145,12.467,227700
2005-03-15,12.4414,12.6243,12.3719,12.3719,192800
2005-03-16,12.3719,12.467,12.2548,12.2621,237400
2005-03-17,12.317,12.4121,12.2657,12.3133,197000
2005-03-18,12.3755,12.3755,12.1011,12.1011,172000
2005-03-21,12.1011,12.134,11.9401,11.9913,196000
2005-03-22,11.9913,12.123,11.7461,11.7571,340100
2005-03-23,11.7315,11.8047,11.3985,11.6839,273800
2005-03-24,11.6876,11.9218,11.6729,11.7791,191800
2005-03-28,11.7315,11.8339,11.6546,11.7095,162200
2005-03-29,11.7205,11.812,11.5998,11.5998,194000
2005-03-30,11.6363,11.8303,11.6363,11.8303,271700
2005-03-31,11.8413,11.9218,11.7095,11.7095,213700
2005-04-01,11.7644,11.9401,11.6803,11.7608,195500
2005-04-04,11.7644,11.7791,11.5961,11.6839,157300
2005-04-05,11.7095,11.7827,11.6766,11.7534,114300
2005-04-06,11.7827,11.8632,11.7498,11.8632,115200
2005-04-07,11.8925,11.951,11.823,11.9181,135800
2005-04-08,11.9474,11.9584,11.801,11.8047,169100
2005-04-11,11.8193,11.8486,11.7681,11.823,104700
2005-04-12,11.823,11.995,11.7461,11.9803,186600
2005-04-13,11.8961,12.0096,11.8961,11.9291,248400
2005-04-14,11.9657,11.9657,11.8339,11.8705,222100
2005-04-15,11.8852,11.9291,11.8266,11.8852,135600
2005-04-18,11.9071,11.9986,11.8413,11.9474,160400
2005-04-19,12.0206,12.0498,11.9364,12.0425,136700
2005-04-20,12.0425,12.1121,11.9657,12.0425,222700
2005-04-21,12.0755,12.1377,12.0242,12.0938,159100
2005-04-22,12.1669,12.1743,12.0755,12.1413,290200
2005-04-25,12.2328,12.3426,12.1669,12.3426,171400
2005-04-26,12.3316,12.4121,12.2731,12.3938,237000
2005-04-27,12.3975,12.4833,12.3006,12.4497,355100
2005-04-28,12.4497,12.4572,12.3528,12.3677,140200
2005-04-29,12.3826,12.487,12.3267,12.487,169100
2005-05-02,12.4684,12.5317,12.364,12.4795,155100
2005-05-03,12.5243,12.5429,12.4087,12.4684,106400
2005-05-04,12.4497,12.5727,12.4013,12.5429,150100
2005-05-05,12.487,12.6622,12.4684,12.6622,141500
2005-05-06,12.6473,12.6696,12.4535,12.4758,187200
2005-05-09,12.5504,12.6734,12.5094,12.6361,252200
2005-05-10,12.6361,12.6995,12.5615,12.5988,271000
2005-05-11,12.5802,12.6696,12.5056,12.5243,225200
2005-05-12,12.5802,12.6175,12.3826,12.3826,304100
2005-05-13,12.4311,12.487,12.282,12.282,193000
2005-05-16,12.3379,12.5802,12.3379,12.5429,371300
2005-05-17,12.5988,12.8448,12.5914,12.7852,270600
2005-05-18,12.8784,12.9418,12.7703,12.8635,303200
2005-05-19,12.9157,12.9828,12.8635,12.8709,292500
2005-05-20,12.9157,13.0349,12.8672,13.0349,181300
2005-05-23,13.0461,13.1505,12.9902,13.0722,249100
2005-05-24,13.1207,13.1915,12.9529,13.0759,291400
2005-05-25,13.1207,13.1207,12.9157,12.9157,210300
2005-05-26,12.9716,13.1058,12.9007,12.9007,177200
2005-05-27,12.9045,13.0461,12.9045,13.0461,107900
2005-05-31,12.979,13.3592,12.979,13.3592,216400
2005-06-01,13.3965,13.5978,13.3555,13.5307,249800
2005-06-02,13.594,13.6686,13.5344,13.5419,221400
2005-06-03,13.512,13.6649,13.5009,13.5009,142100
2005-06-06,13.5419,13.6798,13.527,13.6761,157800
2005-06-07,13.6798,13.8177,13.6574,13.7432,168000
2005-06-08,13.8065,13.8587,13.6761,13.7282,143800
2005-06-09,13.7282,13.7282,13.568,13.6835,159200
2005-06-10,13.7059,13.7171,13.6164,13.6947,79100
