date,open,high,low,close,volume
2005-01-03,17.4307,17.4587,17.2962,17.341,8168200
2005-01-04,17.3522,17.5063,17.3018,17.355,9241400
2005-01-05,17.3887,17.5763,17.3522,17.3747,7694600
2005-01-06,17.3943,17.4503,17.3102,17.4363,8887600
2005-01-07,17.4615,17.5231,17.3831,17.4139,6573200
2005-01-10,17.3803,17.4923,17.2682,17.4027,7685200
2005-01-11,17.3802,17.4167,17.2822,17.369,7490800
2005-01-12,17.3298,17.3522,17.1142,17.1366,11469200
2005-01-13,17.1422,17.201,16.9349,16.9853,10710000
2005-01-14,16.9825,17.0441,16.8957,16.9993,10155000
2005-01-18,16.8481,17.229,16.8341,17.215,10051000
2005-01-19,17.1982,17.2234,17.0749,17.0861,6215400
2005-01-20,16.9293,17.0301,16.8929,16.9573,6901800
2005-01-21,16.9209,16.9685,16.8088,16.8397,6870600
2005-01-24,16.8397,16.9741,16.75,16.792,7968800
2005-01-25,16.792,16.9405,16.792,16.8985,7470600
2005-01-26,16.9461,17.1086,16.9349,17.0497,7278400
2005-01-27,16.9377,17.0777,16.8593,16.9265,6116000
2005-01-28,16.9153,17.0441,16.8649,16.9517,6079000
2005-01-31,17.1029,17.1982,17.0609,17.1702,6569800
2005-02-01,17.2402,17.4167,17.1898,17.3102,8031800
2005-02-02,17.2905,17.2905,17.09,17.1578,8393000
2005-02-03,17.1211,17.234,17.0872,17.234,5671600
2005-02-04,17.2481,17.2509,17.1013,17.2142,5937600
2005-02-07,17.2199,17.3723,17.0929,17.3385,7077800
2005-02-08,17.4994,17.4994,17.2961,17.3441,7216800
2005-02-09,17.3752,17.3836,17.1945,17.1945,5659000
2005-02-10,17.2622,17.3046,17.0533,17.059,8304000
2005-02-11,17.0929,17.1324,16.9997,17.0223,9075200
2005-02-14,17.2142,17.3074,17.2029,17.3074,6347800
2005-02-15,17.361,17.3836,17.2876,17.3046,7888200
2005-02-16,17.2764,17.282,17.1352,17.1521,6526800
2005-02-17,17.1352,17.1747,17.0505,17.0505,5904000
2005-02-18,17.0646,17.0759,16.8586,16.884,8970000
2005-02-22,16.8529,16.9009,16.5932,16.6073,10694800
2005-02-23,16.7259,16.8247,16.6864,16.7936,10419800
2005-02-24,16.9178,16.9348,16.7908,16.8501,11462600
2005-02-25,16.8529,16.9799,16.788,16.9094,6639200
2005-02-28,16.8529,16.915,16.7089,16.7626,10207800
2005-03-01,16.8388,16.9912,16.8388,16.8953,7323600
2005-03-02,16.867,16.9489,16.7965,16.7965,8147600
2005-03-03,16.8811,16.9291,16.771,16.771,7258600
2005-03-04,16.9235,17.1098,16.8699,17.0788,7183200
2005-03-07,17.0787,17.2538,17.0703,17.1437,6901600
2005-03-08,17.0872,17.2001,17.0308,17.1606,6662000
2005-03-09,17.0449,17.0731,16.8501,16.8642,8224600
2005-03-10,16.8981,17.0731,16.8924,16.9969,6687600
2005-03-11,17.0364,17.0787,16.8219,16.8811,6568800
2005-03-14,16.8811,17.0138,16.8727,16.9658,7924200
2005-03-15,17.0646,17.1239,16.915,16.9319,6888400
2005-03-16,16.8529,16.9122,16.7852,16.8049,8023800
2005-03-17,16.74,16.9094,16.7315,16.8247,6721000
2005-03-18,16.9094,16.9207,16.6694,16.7626,15738800
2005-03-21,16.7626,16.8021,16.6553,16.7089,7827200
2005-03-22,16.7456,16.8473,16.4803,16.4803,10154400
2005-03-23,16.4577,16.6638,16.4154,16.5819,9915800
2005-03-24,16.5791,16.7118,16.4831,16.4831,6903800
2005-03-28,16.5424,16.7259,16.5424,16.6186,6785400
2005-03-29,16.6214,16.7682,16.5847,16.6355,6835400
2005-03-30,16.6468,16.8755,16.6468,16.8529,7839000
2005-03-31,16.9235,17.0364,16.8783,16.8811,8826400
2005-04-01,16.9799,17.0138,16.7287,16.7767,10740000
2005-04-04,16.8077,16.9207,16.7118,16.8924,9716000
2005-04-05,16.8924,16.9517,16.8416,16.8473,5439400
2005-04-06,16.8755,16.9658,16.8529,16.8642,6572400
2005-04-07,16.8642,17.0195,16.8416,16.9037,6693600
2005-04-08,16.9743,16.98,16.8134,16.8134,7322600
2005-04-11,16.9178,16.9743,16.8642,16.9376,5838200
2005-04-12,16.8811,17.1917,16.8642,17.1154,9482200
2005-04-13,17.1465,17.186,16.9602,16.9997,8400000
2005-04-14,17.0562,17.0562,16.8642,16.8953,8100800
2005-04-15,16.8953,16.9489,16.692,16.692,9987200
2005-04-18,16.7118,16.9517,16.7118,16.7993,11165000
2005-04-19,16.7964,16.8219,16.6355,16.6355,10071000
2005-04-20,16.5791,16.6835,16.4069,16.4154,9099200
2005-04-21,16.5142,16.5678,16.3081,16.5621,10482400
2005-04-22,16.5198,16.6666,16.4125,16.5621,6322400
2005-04-25,16.6271,16.7344,16.5876,16.6977,6318800
2005-04-26,16.6977,16.8077,16.5791,16.596,6901200
2005-04-27,16.5876,16.867,16.5057,16.7993,8934400
