date,open,high,low,close,volume
2005-01-03,10.3204,10.5681,10.3039,10.4443,566000
2005-01-04,10.4649,10.5681,10.4649,10.5268,513200
2005-01-05,10.5268,10.6465,10.4649,10.5268,695800
2005-01-06,10.5227,10.6094,10.4608,10.5144,435000
2005-01-07,10.5186,10.5722,10.4855,10.4855,326200
2005-01-10,10.4443,10.7126,10.3452,10.63,476200
2005-01-11,10.6094,10.6094,10.3411,10.5062,187000
2005-01-12,10.4649,10.5887,10.3823,10.5846,380400
2005-01-13,10.6176,10.6176,10.4401,10.5062,364800
2005-01-14,10.5393,10.6057,10.502,10.5311,423400
2005-01-18,10.5311,10.7591,10.4896,10.6845,298600
2005-01-19,10.7176,10.8959,10.6554,10.8047,348400
2005-01-20,10.7798,10.8296,10.5933,10.6637,190400
2005-01-21,10.6969,10.7632,10.6306,10.7425,216400
2005-01-24,10.7508,10.7508,10.5725,10.5891,244600
2005-01-25,10.6264,10.6969,10.5891,10.6306,164600
2005-01-26,10.6347,10.6969,10.5974,10.5974,150400
2005-01-27,10.614,10.954,10.6057,10.7467,157200
2005-01-28,10.7384,10.755,10.6347,10.7011,131400
2005-01-31,10.6845,10.871,10.6845,10.8213,122000
2005-02-01,10.8627,11.1944,10.7964,11.1115,215000
2005-02-02,11.0701,11.1281,10.8545,10.9166,265000
2005-02-03,10.8752,10.954,10.7674,10.9415,330400
2005-02-04,10.9415,10.9457,10.842,10.9457,282800
2005-02-07,10.9042,11.0079,10.8793,10.9996,100800
2005-02-08,10.983,10.983,10.8337,10.9747,113600
2005-02-09,10.954,10.9788,10.842,10.8462,215200
2005-02-10,10.8296,10.8337,10.7384,10.784,169200
2005-02-11,10.7881,10.954,10.7301,10.9125,258400
2005-02-14,10.9332,10.9705,10.842,10.9166,146800
2005-02-15,10.9166,11.1488,10.9042,11.1405,329600
2005-02-16,11.1198,11.2276,10.9871,11.1778,407200
2005-02-17,11.153,11.153,10.9954,11.0908,168600
2005-02-18,11.0908,11.1032,10.9954,10.9954,112400
2005-02-22,10.9664,11.153,10.8627,10.9954,299600
2005-02-23,10.9705,11.0203,10.5808,10.5891,198800
2005-02-24,10.4896,10.5394,10.3859,10.4481,233200
2005-02-25,10.386,10.7176,10.3652,10.7176,168800
2005-02-28,10.4896,10.7259,10.4896,10.6554,194200
2005-03-01,10.6347,10.6969,10.5311,10.614,229600
2005-03-02,10.5933,10.842,10.5311,10.585,136600
2005-03-03,10.6347,10.6637,10.4274,10.4855,81800
2005-03-04,10.5103,10.7259,10.502,10.7135,66800
2005-03-07,10.4689,10.701,10.4689,10.6015,135600
2005-03-08,10.5642,10.5642,10.2989,10.3238,100000
2005-03-09,10.303,10.4108,10.245,10.2699,105800
2005-03-10,10.303,10.3569,10.0543,10.0584,102000
2005-03-11,10.0335,10.0543,9.9506,10.0418,166600
2005-03-14,9.9921,10.104,9.9506,9.9879,173400
2005-03-15,10.0294,10.0957,9.9506,9.9548,88200
2005-03-16,9.9548,9.9879,9.8221,9.8594,189000
2005-03-17,9.9009,10.0543,9.8594,9.9921,147800
2005-03-18,10.0667,10.0667,9.8387,9.9133,379200
2005-03-21,9.9506,10.0128,9.8304,9.9465,165000
2005-03-22,9.9921,10.0335,9.7433,9.7557,92400
2005-03-23,9.7433,9.764,9.6397,9.6521,101600
2005-03-24,9.6521,9.9838,9.6521,9.8304,178600
2005-03-28,9.8511,9.876,9.7557,9.8179,130600
2005-03-29,9.8179,10.0543,9.8013,9.876,155400
2005-03-30,9.9091,10.2491,9.9091,10.2491,109200
2005-03-31,10.1911,10.1911,9.7433,9.9091,176400
2005-04-01,9.9091,9.9506,9.7226,9.7848,106000
2005-04-04,9.8055,10.2284,9.7226,10.1786,207600
2005-04-05,10.1786,10.3238,10.0418,10.2491,184800
2005-04-06,10.2408,10.2408,9.7848,9.8221,146400
2005-04-07,9.9299,10.2864,9.9299,10.1828,155200
2005-04-08,10.1994,10.2408,9.9091,9.9091,158000
2005-04-11,9.9174,10.1579,9.9091,9.9755,169800
2005-04-12,9.9465,10.303,9.7889,10.303,194200
2005-04-13,10.2989,10.303,9.9838,10.0252,143600
2005-04-14,9.9506,9.9506,9.8138,9.8138,146200
2005-04-15,9.8138,9.9009,9.6811,9.7806,149600
2005-04-18,9.7765,9.8889,9.6557,9.739,107000
2005-04-19,9.8431,9.9056,9.6681,9.8723,302200
2005-04-20,9.8181,9.8473,9.539,9.6265,142400
2005-04-21,9.9972,11.3302,9.9972,11.0803,727400
2005-04-22,11.0928,11.2344,10.7095,11.0844,259800
2005-04-25,10.9969,11.2885,10.8803,10.9345,200800
2005-04-26,10.8928,11.0594,10.7553,10.7637,221400
2005-04-27,10.7637,11.2219,10.747,11.0928,141200
2005-04-28,11.0386,11.1552,10.8137,10.8512,226800
2005-04-29,11.0803,11.0803,10.7179,10.972,257800
2005-05-02,11.0511,11.2719,11.0136,11.2677,288000
2005-05-03,11.0803,11.5385,11.0761,11.501,338000
2005-05-04,11.2469,11.5718,11.2469,11.4968,309000
2005-05-05,11.4552,11.6301,11.4552,11.6301,195600
2005-05-06,11.6384,11.6384,11.5051,11.5593,149400
2005-05-09,11.6218,11.9508,11.426,11.9508,325800
2005-05-10,11.8925,11.8967,11.7217,11.8509,221000
2005-05-11,11.8384,11.9342,11.6009,11.8634,95800
2005-05-12,11.8842,12.0342,11.6134,11.6384,223600
2005-05-13,11.6634,11.6634,11.251,11.3968,255400
2005-05-16,11.351,11.5801,11.3094,11.5801,213200
2005-05-17,11.5176,11.7676,11.351,11.6718,180600
2005-05-18,11.7467,11.9217,11.7467,11.83,235000
2005-05-19,11.8092,11.8717,11.6051,11.8176,176000
2005-05-20,11.8176,11.8176,11.6009,11.7051,92600
2005-05-23,11.6634,11.7842,11.6634,11.7301,141600
2005-05-24,11.7676,11.7676,11.6009,11.6634,118600
2005-05-25,11.6218,11.6884,11.3927,11.5135,122600
2005-05-26,11.5176,11.8259,11.3927,11.7509,173600
2005-05-27,11.7509,11.7717,11.4885,11.6259,136000
2005-05-31,11.6843,11.6843,11.451,11.5968,542800
2005-06-01,11.5635,11.6468,11.5426,11.6009,593000
2005-06-02,11.5593,11.576,11.4552,11.5176,239000
2005-06-03,11.4343,11.5593,11.351,11.426,228800
2005-06-06,11.1719,11.451,11.1219,11.4343,215000
2005-06-07,11.2469,11.5676,11.2261,11.4635,145000
2005-06-08,11.5051,11.5176,11.3468,11.5176,156600
2005-06-09,11.476,11.6968,11.4135,11.6801,282600
2005-06-10,11.5176,11.6093,11.4385,11.6093,261800
2005-06-13,11.5885,11.7884,11.5885,11.7801,216800
2005-06-14,11.7467,11.905,11.6634,11.905,165400
2005-06-15,11.8301,12.0342,11.7967,12.0342,242400
2005-06-16,11.9425,11.9508,11.7759,11.9009,274600
2005-06-17,11.9009,11.955,11.8092,11.8467,816200
2005-06-20,11.8259,11.9134,11.8051,11.8384,146200
2005-06-21,11.8092,11.9175,11.7801,11.8134,276200
2005-06-22,11.8634,11.9175,11.7676,11.8884,169600
2005-06-23,11.8467,11.9467,11.8425,11.8717,242200
2005-06-24,11.8301,11.8634,11.6551,11.6551,303800
2005-06-27,11.551,11.855,11.5385,11.6634,178800
2005-06-28,11.6926,11.8717,11.6634,11.8717,165400
2005-06-29,11.8134,11.8967,11.7259,11.7884,113600
2005-06-30,11.8301,11.8717,11.6843,11.6843,141800
2005-07-01,11.7259,11.7259,11.5801,11.7051,120600
2005-07-05,11.6759,11.9134,11.6759,11.9134,161600
2005-07-06,11.855,11.905,11.8092,11.8342,125200
2005-07-07,11.6718,11.9134,11.5385,11.8717,283000
2005-07-08,11.8509,12.1175,11.7884,12.08,205800
2005-07-11,12.0675,12.1841,11.9717,12.08,283600
2005-07-12,12.0383,12.08,11.905,12.08,258600
2005-07-13,12.0592,12.0592,11.3843,11.7009,143600
2005-07-14,11.7676,11.8051,11.3968,11.476,104800
2005-07-15,11.3927,11.7217,11.3927,11.6051,170600
2005-07-18,11.5717,11.7515,11.5089,11.5131,123800
2005-07-19,11.6051,11.6929,11.5006,11.5173,208800
2005-07-20,11.4253,11.6971,11.396,11.626,181200
2005-07-21,11.5215,11.5215,10.7687,11.0447,375600
2005-07-22,11.0698,11.4169,11.0405,11.4169,454200
2005-07-25,11.5006,11.5842,11.3333,11.4629,443600
2005-07-26,11.4169,11.4378,11.0154,11.2915,427000
2005-07-27,11.2706,11.4671,11.1744,11.3291,170200
2005-07-28,11.3626,11.4337,11.2496,11.3416,133400
2005-07-29,11.2998,11.58,11.1869,11.5047,237200
2005-08-01,11.5215,11.6177,11.3751,11.3918,254400
2005-08-02,11.396,11.6469,11.2998,11.6302,182200
2005-08-03,11.5758,11.5926,11.4378,11.5047,243800
2005-08-04,11.4169,11.4462,11.1995,11.3249,300000
2005-08-05,11.3249,11.3249,11.1242,11.3166,190200
2005-08-08,11.3166,11.3333,10.9945,11.1869,196400
2005-08-09,11.2496,11.4127,11.1995,11.2496,143400
2005-08-10,11.2455,11.442,11.0071,11.0865,183200
2005-08-11,11.0447,11.3333,11.0447,11.2956,72600
2005-08-12,11.212,11.212,10.8649,11.1325,140600
2005-08-15,11.0824,11.3207,11.0113,11.3082,219600
2005-08-16,11.2915,11.2915,10.8816,10.9904,258200
2005-08-17,10.936,11.0698,10.8523,11.0029,137000
2005-08-18,10.9778,10.9778,10.7729,10.89,129000
2005-08-19,10.8314,10.9067,10.7562,10.8858,100200
2005-08-22,10.9025,11.1074,10.8231,11.0949,130200
2005-08-23,11.1242,11.2413,10.8607,11.2162,215600
2005-08-24,11.2287,11.3876,11.0824,11.2496,168400
2005-08-25,11.1785,11.3918,11.1785,11.3291,170800
2005-08-26,11.2789,11.3333,10.9276,11.2078,238400
2005-08-29,11.166,11.4002,11.1535,11.3835,111000
2005-08-30,11.3835,11.6302,11.2915,11.5967,218600
2005-08-31,11.626,11.8979,11.6009,11.856,234400
2005-09-01,11.8351,12.061,11.5842,11.7557,144800
2005-09-02,11.7473,11.8895,11.4964,11.8769,162000
2005-09-06,11.856,12.3035,11.856,12.1697,306000
2005-09-07,12.0651,12.1906,11.9522,12.0317,334600
2005-09-08,11.9731,12.1237,11.9731,12.086,371600
2005-09-09,12.086,12.1488,12.0442,12.1488,183000
2005-09-12,12.1153,12.1655,12.0442,12.132,223600
2005-09-13,12.1279,12.132,11.7891,11.8895,268800
2005-09-14,11.8895,11.9313,11.7849,11.8769,136400
2005-09-15,11.8979,11.9313,11.6678,11.9313,412200
2005-09-16,12.0066,12.2115,11.9689,12.2115,418200
2005-09-19,12.2115,12.2199,11.994,12.0359,170800
2005-09-20,12.0442,12.1781,11.994,12.1028,279800
2005-09-21,12.0819,12.1906,11.718,11.8268,166600
2005-09-22,11.7975,12.2951,11.7975,12.1279,181200
2005-09-23,12.1028,12.199,11.9731,12.1488,221200
2005-09-26,12.1613,12.3202,12.0484,12.2951,387400
2005-09-27,12.2533,12.383,12.0819,12.337,159000
2005-09-28,12.337,12.5419,12.1822,12.3997,206000
2005-09-29,12.3788,12.4959,12.0651,12.475,161600
2005-09-30,12.4624,12.4624,12.2617,12.4081,223000
2005-10-03,12.3746,12.4164,12.2324,12.3411,165000
2005-10-04,12.3704,12.3788,12.2533,12.291,241600
2005-10-05,12.2826,12.3913,11.8769,11.8937,303200
2005-10-06,11.8895,12.0568,11.6302,11.7975,279400
2005-10-07,11.8519,12.0233,11.7975,11.8686,290000
2005-10-10,11.9104,11.9522,11.5717,11.6469,152200
2005-10-11,11.6637,11.8686,11.4587,11.488,153800
2005-10-12,11.4671,11.5675,11.1284,11.4378,378200
2005-10-13,11.4169,11.6009,11.2831,11.4671,165400
2005-10-14,11.5298,11.7013,11.396,11.6427,189800
2005-10-17,11.6175,11.6385,11.4453,11.4831,250800
2005-10-18,11.4999,11.4999,11.2941,11.3403,167400
2005-10-19,11.2773,11.6638,11.2563,11.5083,235400
2005-10-20,11.3403,11.3403,7.8038,9.8409,3128800
2005-10-21,9.8409,10.0341,9.7485,9.9795,483800
2005-10-24,10.0215,10.0215,9.6603,9.7989,353400
2005-10-25,9.8199,9.8199,9.4923,9.7023,364400
2005-10-26,9.6939,9.8493,9.6603,9.7359,437400
2005-10-27,9.7149,9.9333,9.6183,9.7947,502000
2005-10-28,9.8493,10.0383,9.7359,10.0215,339000
2005-10-31,10.0551,10.1181,9.9501,10.0719,273200
2005-11-01,9.9963,10.0005,9.8325,9.8787,213200
2005-11-02,9.8913,10.2651,9.8745,10.1433,245200
2005-11-03,10.1223,10.3617,9.9837,10.0089,269800
2005-11-04,10.0089,10.0803,9.8535,9.9879,146000
2005-11-07,9.9879,10.5633,9.9879,10.4793,186400
2005-11-08,10.4373,10.6641,10.3155,10.5843,282000
2005-11-09,10.5423,10.6893,10.3323,10.4037,212800
2005-11-10,10.4583,10.5423,10.2819,10.4583,180000
2005-11-11,10.4457,10.6095,10.4163,10.5633,207400
2005-11-14,10.6053,10.6683,10.5087,10.6683,174000
2005-11-15,10.6683,10.7523,10.5423,10.6263,157800
2005-11-16,10.6683,10.6683,10.5465,10.6263,199800
2005-11-17,10.6683,11.0001,10.4709,10.9917,377400
2005-11-18,11.0967,11.0967,10.8153,10.8741,222000
2005-11-21,10.8573,10.8783,10.3743,10.8279,355000
2005-11-22,10.7859,10.8741,10.2693,10.5843,747200
2005-11-23,10.5843,10.6053,10.5213,10.5339,410000
2005-11-25,10.5423,10.6515,10.4583,10.6179,64400
2005-11-28,10.5927,10.5927,10.1013,10.4583,608400
2005-11-29,10.5213,10.5507,10.3617,10.3617,173600
2005-11-30,10.3617,10.5591,10.3617,10.4877,231000
2005-12-01,10.5423,10.6221,10.2945,10.5423,236800
2005-12-02,10.5213,10.8111,10.4583,10.7817,121800
2005-12-05,10.7775,10.7817,10.5717,10.6977,166600
2005-12-06,10.7607,10.8027,10.4583,10.4667,98800
2005-12-07,10.4163,10.5003,10.2525,10.3365,168600
2005-12-08,10.3113,10.4331,10.1853,10.2945,163600
2005-12-09,10.2693,10.3617,10.1139,10.3617,381600
2005-12-12,10.3533,10.3659,10.2021,10.3281,234600
2005-12-13,10.3029,10.3785,10.1685,10.3071,180600
2005-12-14,10.3071,10.3533,10.1811,10.2567,407000
2005-12-15,10.2483,10.2483,10.1013,10.2399,232200
2005-12-16,10.2567,10.3323,10.1895,10.2903,453400
2005-12-19,10.2693,10.3659,10.2063,10.2567,205400
2005-12-20,10.2525,10.4205,10.2273,10.2567,202000
2005-12-21,10.2987,10.5759,10.2567,10.5339,227400
2005-12-22,10.5381,10.6935,10.4247,10.5759,187400
2005-12-23,10.6053,10.6725,10.5423,10.5969,61400
2005-12-27,10.6263,10.6725,10.2693,10.3827,210600
2005-12-28,10.3953,10.4751,10.3323,10.4625,70800
2005-12-29,10.4625,10.6221,10.4625,10.5045,120400
2005-12-30,10.5003,10.6137,10.4793,10.5129,250400
2006-01-03,10.5633,10.9035,10.4289,10.8615,309000
2006-01-04,10.8027,10.8321,10.5465,10.6263,216800
2006-01-05,10.6053,10.7733,10.6053,10.6641,154600
2006-01-06,10.6893,10.7145,10.5843,10.6557,127800
2006-01-09,10.6557,10.7985,10.6305,10.7481,259200
2006-01-10,10.7103,10.8909,10.6935,10.8573,183000
2006-01-11,10.8573,11.7184,10.7313,11.5923,1141200
2006-01-12,11.5503,12.4324,11.4831,12.1552,1367000
2006-01-13,12.0835,12.1552,11.8093,11.9021,529800
2006-01-17,11.8093,12.442,11.7756,12.3787,679400
2006-01-18,12.3913,12.6444,12.3407,12.6064,702200
2006-01-19,12.6065,12.8426,12.5769,12.8384,818000
2006-01-20,12.8848,12.8848,12.6739,12.7667,314000
2006-01-23,12.8047,12.8384,12.636,12.7372,353400
2006-01-24,12.7667,13.1168,12.7456,12.9354,306200
2006-01-25,12.889,12.9354,12.6824,12.8005,205800
2006-01-26,12.7794,12.9818,12.7794,12.8637,277400
2006-01-27,12.8637,13.1041,12.8637,13.0409,517400
2006-01-30,12.9481,13.062,12.5854,12.7794,595200
2006-01-31,12.695,12.8848,12.3745,12.8764,673800
2006-02-01,12.8511,13.1126,12.8215,13.0324,299400
2006-02-02,12.986,13.0535,12.6528,12.7752,205200
2006-02-03,12.733,12.8553,12.6528,12.7372,90000
2006-02-06,12.7709,12.7709,12.3787,12.6107,159600
2006-02-07,12.5896,12.6486,12.3239,12.4251,189400
2006-02-08,12.4884,12.4884,12.2395,12.3197,201400
2006-02-09,12.3787,12.5474,12.1889,12.21,213600
2006-02-10,12.21,12.366,11.9991,12.2648,155000
2006-02-13,12.2859,12.4546,12.1678,12.2775,293200
2006-02-14,12.2311,12.5095,12.2227,12.4293,272800
2006-02-15,12.3703,12.9439,12.3197,12.9439,251600
2006-02-16,12.9481,13.45,12.8848,13.353,294800
2006-02-17,13.3698,13.3698,13.1083,13.2602,306000
2006-02-21,13.2602,13.3909,12.7667,13.3825,455400
2006-02-22,13.3909,13.741,13.3867,13.5934,208000
2006-02-23,13.547,14.1037,13.353,13.8211,466800
2006-02-24,13.7621,13.8633,13.6229,13.8253,391000
2006-02-27,13.8085,13.8549,13.6988,13.7157,227000
2006-02-28,13.7072,13.7579,13.5554,13.6187,215600
2006-03-01,13.606,13.838,13.6018,13.8338,164800
2006-03-02,13.7874,13.9097,13.5849,13.8,184800
2006-03-03,13.7916,13.9181,13.6187,13.7916,187600
2006-03-06,13.3909,13.7916,13.3909,13.5132,192200
2006-03-07,13.4711,13.4795,13.2602,13.4036,174200
2006-03-08,13.3614,13.3698,13.1379,13.2307,144200
2006-03-09,13.2475,13.412,13.0999,13.1843,176600
2006-03-10,13.1716,13.18,12.9945,13.159,190200
2006-03-13,13.18,13.2855,13.0198,13.1463,195000
2006-03-14,13.0746,13.159,12.9186,13.0704,300600
2006-03-15,13.0704,13.1547,12.9607,13.1547,158600
2006-03-16,13.1547,13.3108,13.0662,13.3066,164400
2006-03-17,13.3403,13.4247,13.2728,13.412,1182400
2006-03-20,13.4542,13.5343,13.3277,13.4668,425600
2006-03-21,13.4964,13.7452,13.4668,13.6145,430600
2006-03-22,13.6229,13.8127,13.5596,13.7621,199800
2006-03-23,13.7874,13.9434,13.5681,13.9181,258600
2006-03-24,13.9392,14.0573,13.8759,14.0404,261400
2006-03-27,13.9392,14.0489,13.897,14.0447,202400
2006-03-28,14.0151,14.0995,13.8675,13.9224,185200
2006-03-29,13.8717,14.3821,13.7916,14.3778,250800
2006-03-30,14.3652,14.4453,14.2345,14.4116,238600
2006-03-31,14.4706,14.6436,14.3821,14.6436,302400
2006-04-03,14.5845,14.6478,14.3736,14.4664,454400
2006-04-04,14.4032,14.7363,14.323,14.6815,404000
2006-04-05,14.6773,14.8629,14.5761,14.7743,293000
2006-04-06,14.7701,14.787,14.6773,14.787,295400
2006-04-07,14.7785,14.8418,14.6562,14.7743,405200
2006-04-10,14.7617,14.7617,14.4116,14.4833,310200
2006-04-11,14.5002,14.5002,14.0826,14.2766,391200
2006-04-12,14.2345,14.2851,14.129,14.264,214600
2006-04-13,14.2218,14.3821,13.9856,14.2598,341000
2006-04-17,14.2344,14.2978,14.1116,14.1666,435600
2006-04-18,14.1666,14.4375,14.1666,14.391,260400
2006-04-19,14.3867,14.4333,14.264,14.4121,437600
2006-04-20,14.391,14.4968,14.2852,14.391,712800
2006-04-21,14.4545,14.4545,14.0524,14.1158,881600
2006-04-24,14.0862,14.264,13.9677,14.2344,562400
2006-04-25,14.2344,14.3148,14.137,14.2471,541000
2006-04-26,14.2428,14.4079,14.2174,14.3063,272000
2006-04-27,14.5814,14.882,14.4545,14.8312,579600
2006-04-28,14.937,15.1994,14.7211,15.0767,563600
2006-05-01,15.5338,15.665,15.2079,15.2375,1082400
2006-05-02,15.3475,15.428,15.1317,15.3899,622600
2006-05-03,15.4068,15.4915,15.2756,15.4449,347400
2006-05-04,15.4491,15.4872,15.3645,15.4491,208200
2006-05-05,15.4703,16.0713,15.4491,15.8512,592800
2006-05-08,15.8724,15.8766,15.5719,15.6354,274400
2006-05-09,15.5507,15.8555,15.5168,15.7666,404800
2006-05-10,15.7666,15.9994,15.6904,15.9994,469800
2006-05-11,16.0036,16.029,15.3221,15.4449,300800
2006-05-12,15.2375,15.5507,15.2375,15.246,230200
2006-05-15,15.1528,15.2798,14.9031,15.2375,285200
2006-05-16,15.2798,15.483,15.2375,15.2968,161400
2006-05-17,15.2121,15.4491,15.1571,15.2121,254600
2006-05-18,15.229,15.3518,14.9073,14.9624,241000
