date,open,high,low,close,volume
2005-01-03,8.44,8.4678,8.3011,8.3474,879200
2005-01-04,8.2594,8.3196,8.1806,8.2223,1220300
2005-01-05,8.1621,8.1992,8.0741,8.1297,1430000
2005-01-06,8.1297,8.1436,8.0741,8.1158,1019200
2005-01-07,8.0973,8.2177,8.0648,8.0695,1267600
2005-01-10,8.088,8.1899,8.0695,8.1806,1338700
2005-01-11,8.1853,8.2316,8.1297,8.2084,1121300
2005-01-12,8.2084,8.2316,8.1436,8.1992,1613500
2005-01-13,8.1992,8.3335,8.1945,8.2779,1089900
2005-01-14,8.2594,8.403,8.2455,8.315,1356300
2005-01-18,8.3381,8.4262,8.2501,8.4215,1350700
2005-01-19,8.4539,8.4632,8.3845,8.3891,1280800
2005-01-20,8.4308,8.4632,8.3103,8.352,1346300
2005-01-21,8.4169,8.4169,8.3242,8.3567,984900
2005-01-24,8.3613,8.4493,8.3474,8.3798,856700
2005-01-25,8.4076,8.4215,8.2918,8.3196,654600
2005-01-26,8.3659,8.4169,8.3381,8.3706,807300
2005-01-27,8.3289,8.403,8.2825,8.3845,936000
2005-01-28,8.4076,8.4076,8.2825,8.3659,816900
2005-01-31,8.3845,8.4354,8.3659,8.4262,1492500
2005-02-01,8.403,8.4308,8.3567,8.4308,1271900
2005-02-02,8.3752,8.4262,8.352,8.3984,823600
2005-02-03,8.3984,8.4632,8.3613,8.4632,883100
2005-02-04,8.4632,8.5281,8.4539,8.5281,632500
2005-02-07,8.4864,8.5234,8.3659,8.3937,746300
2005-02-08,8.3798,8.4678,8.3798,8.4493,527600
2005-02-09,8.4539,8.4725,8.3381,8.3567,727500
2005-02-10,8.3567,8.3798,8.3011,8.315,1135100
2005-02-11,8.3428,8.3613,8.2594,8.3011,876600
2005-02-14,8.3474,8.3752,8.3196,8.3706,831700
2005-02-15,8.3937,8.4215,8.3567,8.4215,1330500
2005-02-16,8.3891,8.44,8.352,8.4354,708700
2005-02-17,8.4447,8.4447,8.3659,8.3845,757900
2005-02-18,8.3891,8.3891,8.2687,8.2733,1047200
2005-02-22,8.2686,8.2779,8.0278,8.0278,1727800
2005-02-23,8.1019,8.1992,8.0602,8.1158,1359700
2005-02-24,8.1065,8.1482,8.0787,8.1389,1490800
2005-02-25,8.1528,8.3381,8.1065,8.3381,1514100
2005-02-28,8.3381,8.3381,8.2084,8.2084,1054000
2005-03-01,8.2501,8.2964,8.1992,8.2964,1172500
2005-03-02,8.264,8.2918,8.2038,8.2548,843700
