date,open,high,low,close,volume
2011-10-13,19.4392,20.0762,19.0256,20.0596,396800
2011-10-14,20.1506,21.0853,20.1506,20.9695,402600
2011-10-17,21.0936,21.3418,20.8124,20.8124,583400
2011-10-18,20.7297,20.9778,20.5973,20.8785,423500
2011-10-19,20.8868,20.9696,20.4732,20.4732,722200
2011-10-20,20.5146,20.7048,20.1258,20.4732,549700
2011-10-21,20.68,21.3004,20.6387,21.1267,1764500
2011-10-24,21.0936,21.3832,21.0936,21.317,371300
2011-10-25,21.408,21.5734,20.68,21.3004,546800
2011-10-26,21.5817,21.5817,20.5642,20.6966,657300
2011-10-27,20.8868,21.4659,20.8868,21.1929,405400
2011-10-28,21.0936,21.3583,20.8868,21.3583,584700
2011-10-31,21.714,22.1193,20.8868,22.1193,15106000
2011-11-01,21.1763,23.3932,20.8041,22.5909,6095200
2011-11-02,22.6653,22.6653,21.3335,22.0201,2476700
2011-11-03,22.2848,22.3923,21.8216,21.8298,1615000
2011-11-04,21.6479,21.9953,20.5808,20.8372,1923300
2011-11-07,20.6056,21.0771,20.1589,20.3491,2703500
2011-11-08,20.7627,20.9695,20.4815,20.6304,2024100
2011-11-09,20.1423,20.68,19.7205,19.7618,1570900
2011-11-10,20.2499,20.4401,19.4558,19.5633,1166000
2011-11-11,19.7536,19.9273,19.5468,19.6791,1266200
2011-11-14,19.5886,20.0205,19.5138,19.8793,1339000
2011-11-15,19.8876,20.2448,19.7879,19.9292,1657700
2011-11-16,19.8959,20.4359,19.7547,20.0371,1804600
2011-11-17,19.9375,20.0953,19.655,19.8129,1279200
2011-11-18,19.8378,20.0538,19.7049,19.8793,1426200
2011-11-21,19.6883,19.7796,19.3892,19.6218,1282100
2011-11-22,20.7848,21.7152,18.8326,19.6301,2126400
2011-11-23,19.331,19.7298,19.0071,19.6716,1009700
2011-11-25,19.4806,19.4806,19.007,19.1067,991100
2011-11-28,19.655,20.087,19.223,19.5138,1567300
2011-11-29,19.5304,19.6052,19.248,19.331,1222400
2011-11-30,19.9873,20.1036,19.3809,19.8544,2320800
2011-12-01,19.7796,20.2365,19.6467,20.1618,1046700
2011-12-02,21.167,21.167,20.1202,20.1452,1208900
2011-12-05,20.411,20.8928,20.2781,20.843,930900
2011-12-06,20.7848,20.8263,20.3611,20.627,662800
2011-12-07,20.5356,20.627,19.8212,20.411,951200
2011-12-08,20.3113,20.3944,19.7713,19.8378,938700
2011-12-09,19.9956,20.3196,19.9042,20.2282,549800
2011-12-12,19.8959,20.0953,19.3061,19.871,1213400
2011-12-13,19.9541,20.3113,19.6966,19.8129,1652500
2011-12-14,19.6052,19.6052,19.0486,19.4473,1736000
2011-12-15,19.5636,19.9873,19.4723,19.871,1074900
2011-12-16,20.0538,20.7183,19.9458,20.494,2925700
2011-12-19,20.4941,20.6519,20.0621,20.1452,1107200
2011-12-20,20.4276,20.5356,19.9042,20.195,1190000
2011-12-21,20.3113,20.7931,19.9541,20.7017,2177400
2011-12-22,20.8263,21.3082,20.602,20.627,971100
2011-12-23,20.627,20.9011,20.519,20.6934,575000
2011-12-27,20.6353,20.8097,20.3279,20.8097,664400
2011-12-28,20.8596,21.3996,20.8596,21.2334,917700
2011-12-29,21.3248,21.9811,21.1836,21.5574,3975200
2011-12-30,21.5906,21.5906,20.8845,21.3414,1169700
2012-01-03,21.6155,21.9561,20.8263,20.8845,1059100
2012-01-04,20.8263,21.6571,20.6353,21.574,1391900
2012-01-05,21.4162,21.4411,20.6602,21.2666,2270700
2012-01-06,21.2168,21.2832,20.8679,20.9094,524400
2012-01-09,20.9011,21.1171,20.6187,20.9925,558700
2012-01-10,21.1503,21.3497,20.9759,21.25,1048300
2012-01-11,21.1503,21.8149,21.0922,21.6488,1066300
2012-01-12,21.6654,21.7152,21.3331,21.3497,709300
2012-01-13,21.142,21.3331,21.0506,21.2916,886200
2012-01-17,21.5158,21.8315,21.2583,21.2916,465400
2012-01-18,21.1919,22.4629,21.1254,22.4213,1453700
2012-01-19,22.4297,22.6706,21.9644,22.114,838000
2012-01-20,22.114,22.1638,21.8481,21.898,1014900
2012-01-23,21.9728,22.0974,21.2334,21.3912,842800
2012-01-24,21.3414,21.7734,21.2666,21.7152,761400
2012-01-25,21.6322,22.1223,21.4494,22.0974,881800
2012-01-26,22.1638,22.305,21.3995,21.5491,850000
2012-01-27,21.2749,21.5823,21.2749,21.4411,685900
2012-01-30,21.3082,21.5657,21.1836,21.5325,475300
2012-01-31,21.6903,21.8066,21.3082,21.5242,792700
2012-02-01,21.6155,22.305,21.5325,22.2801,816600
2012-02-02,22.3134,22.4213,22.114,22.1389,715200
2012-02-03,22.3964,22.4961,22.0724,22.4546,719800
2012-02-06,22.3466,22.5293,22.1306,22.2469,655100
2012-02-07,22.1804,22.7204,22.0392,22.6124,963800
2012-02-08,22.5626,22.7536,22.2635,22.7536,737900
2012-02-09,22.7204,22.7619,22.3549,22.5376,721500
2012-02-10,22.3964,22.5376,22.2884,22.4878,527300
2012-02-13,22.7204,22.7204,22.2884,22.4546,638900
2012-02-14,22.3466,22.6041,22.2801,22.3632,926400
2012-02-15,22.4047,22.521,22.3217,22.4297,1071300
2012-02-16,22.4463,22.6955,22.3964,22.5543,639700
2012-02-17,22.6456,22.953,22.5709,22.9198,583500
2012-02-21,22.9779,23.3601,22.8533,23.1108,753500
2012-02-22,22.9779,23.3102,22.8284,22.8699,467500
2012-02-23,22.8616,23.1192,22.6789,23.0776,335900
