date,open,high,low,close,volume
2005-01-03,11.5,11.5464,11.3806,11.4123,3257166
2005-01-04,11.4074,11.4781,11.2612,11.2612,3228789
2005-01-05,11.2807,11.3562,11.1929,11.2344,2126839
2005-01-06,11.1661,11.3879,11.1637,11.3611,1802458
2005-01-07,11.3514,11.3855,11.2246,11.2977,2023349
2005-01-10,11.249,11.3855,11.1539,11.3002,2108200
2005-01-11,11.2173,11.383,11.2027,11.3367,2244239
2005-01-12,11.3172,11.3563,11.1853,11.2464,2955040
2005-01-13,11.2463,11.2512,11.068,11.0851,2609794
2005-01-14,11.1193,11.1315,11.0021,11.0363,4191639
2005-01-18,10.9435,11.2073,10.9288,11.1169,4423936
2005-01-19,11.1022,11.305,11.0973,11.2073,2524109
2005-01-20,11.1218,11.2488,11.1193,11.1511,2762248
2005-01-21,11.1511,11.2415,11.1193,11.1193,2484882
2005-01-24,11.1022,11.1877,11.0851,11.1096,2270668
2005-01-25,11.1144,11.1804,11.0558,11.134,3054914
2005-01-26,11.1193,11.2268,11.1169,11.1706,4097886
2005-01-27,11.1022,11.1853,11.0485,11.0656,3532305
2005-01-28,11.0045,11.0778,10.9361,11.0216,3512553
2005-01-31,11.0778,11.3587,11.0778,11.3221,3041004
2005-02-01,11.2732,11.3123,11.1047,11.1975,3900086
2005-02-02,11.2122,11.2635,11.0876,11.1438,3991892
2005-02-03,11.1633,11.3318,11.1291,11.2805,2665156
2005-02-04,11.2244,11.3514,11.1438,11.3343,3919838
2005-02-07,11.3123,11.3636,11.2561,11.3123,2131568
2005-02-08,11.3148,11.3636,11.2928,11.3001,2734428
2005-02-09,11.2244,11.2683,11.0827,11.0925,2845708
2005-02-10,11.1682,11.3538,11.0925,11.3221,3603525
2005-02-11,11.2732,11.5639,11.261,11.476,3735391
2005-02-14,11.4931,11.7422,11.4686,11.6689,3384581
2005-02-15,11.6274,11.7471,11.5664,11.7422,3328663
2005-02-16,11.7422,11.8106,11.6787,11.7276,5982691
2005-02-17,11.73,11.7569,11.6518,11.7447,6181882
2005-02-18,11.7251,11.8399,11.7251,11.7715,3451071
2005-02-22,11.6274,11.686,11.4931,11.5492,2904964
2005-02-23,11.5517,11.6079,11.5224,11.5639,2528282
2005-02-24,11.4198,11.7764,11.4198,11.7667,4762228
2005-02-25,11.7862,11.9841,11.7789,11.9425,3888958
2005-02-28,11.9425,12.006,11.8424,11.9157,2711337
2005-03-01,11.9132,12.0696,11.8937,12.0329,3878664
2005-03-02,12.0476,12.348,12.0476,12.2308,5045992
2005-03-03,12.2381,12.3822,12.1038,12.1892,4652339
2005-03-04,12.2503,12.2796,12.1038,12.2308,4485975
2005-03-07,12.2381,12.6363,12.2381,12.5288,4715212
2005-03-08,12.5068,12.5288,12.348,12.4726,3509493
2005-03-09,12.4213,12.4213,12.2234,12.2699,3756256
2005-03-10,12.3016,12.3602,12.177,12.2332,3556787
2005-03-11,12.221,12.4213,12.2015,12.4091,3318091
2005-03-14,12.4164,12.5996,12.3554,12.5801,4617564
2005-03-15,12.5972,12.6656,12.5386,12.6167,4908283
2005-03-16,12.5557,12.6021,12.4555,12.5239,4154361
2005-03-17,12.5239,12.5239,12.2967,12.348,3912605
2005-03-18,12.3114,12.3676,12.2234,12.3236,4706866
2005-03-21,12.2772,12.4531,12.2015,12.4457,2835971
2005-03-22,12.4579,12.5972,12.3993,12.4531,4404741
2005-03-23,12.4946,12.5019,12.3212,12.3602,3841386
2005-03-24,12.519,12.8073,12.4335,12.7804,6895465
2005-03-28,12.8048,13.0833,12.8048,12.9929,6786967
2005-03-29,12.9465,13.0002,12.8219,12.8634,5525608
2005-03-30,12.7731,12.9465,12.7438,12.9465,3279700
2005-03-31,12.6412,12.712,12.5337,12.6558,5589038
2005-04-01,12.6045,12.7657,12.4433,12.5068,5816327
2005-04-04,12.4482,12.5825,12.3822,12.5703,3027094
2005-04-05,12.519,12.6754,12.519,12.5801,3180104
2005-04-06,12.5801,12.6754,12.5557,12.6094,3115284
2005-04-07,12.6216,12.6558,12.5263,12.5825,3372062
2005-04-08,12.475,12.5361,12.3602,12.3676,3196518
2005-04-11,12.2601,12.3676,12.177,12.2943,3870318
2005-04-12,12.2283,12.585,12.2088,12.519,3437439
2005-04-13,12.5435,12.59,12.382,12.4211,3636352
2005-04-14,12.3722,12.4529,12.311,12.3991,5689190
2005-04-15,12.3379,12.4309,12.24,12.289,4973660
2005-04-18,12.2792,12.2816,12.0809,12.1886,3814400
2005-04-19,12.2449,12.3379,12.2351,12.289,3220443
2005-04-20,12.289,12.3036,12.0564,12.0662,5012886
2005-04-21,12.005,12.0075,11.4201,11.5474,14597989
2005-04-22,11.5376,11.7456,11.5082,11.7138,7374247
2005-04-25,11.726,11.8166,11.6918,11.8019,5456615
2005-04-26,11.8068,11.9928,11.7627,11.7627,5285244
2005-04-27,11.7236,11.7725,11.6012,11.7187,3562907
2005-04-28,11.5645,11.6869,11.4886,11.5253,5475532
2005-04-29,11.3858,11.5131,11.2928,11.4935,4758889
2005-05-02,11.4935,11.6404,11.4544,11.5449,3962959
2005-05-03,11.5645,11.8043,11.5645,11.7481,4586683
2005-05-04,11.7725,11.9341,11.7701,11.9267,3979651
2005-05-05,11.9267,11.939,11.7627,11.775,3326437
2005-05-06,11.8019,11.9438,11.7529,11.797,2357467
2005-05-09,11.8092,11.9659,11.7358,11.8827,3371506
2005-05-10,11.846,11.8949,11.7701,11.8239,1827774
2005-05-11,11.8288,11.8802,11.7162,11.8533,2439536
2005-05-12,11.8435,11.9218,11.7603,11.8435,2321301
2005-05-13,11.8655,11.8974,11.6355,11.7089,2823730
2005-05-16,11.7211,11.8802,11.7064,11.7358,2665156
2005-05-17,11.6991,11.8068,11.6428,11.7823,4033065
2005-05-18,11.9879,12.6267,11.9463,12.5949,9728932
2005-05-19,12.4407,12.5068,12.2327,12.3379,7875842
2005-05-20,12.3673,12.3966,12.3036,12.382,3791310
2005-05-23,12.3746,12.5043,12.311,12.4383,2494063
2005-05-24,12.4334,12.4334,12.2865,12.3281,2833745
2005-05-25,12.2865,12.3575,12.1837,12.333,2405874
2005-05-26,12.3942,12.7246,12.3844,12.6683,5483044
2005-05-27,12.6659,12.7271,12.6145,12.7222,3160352
2005-05-31,12.6169,12.6659,12.5508,12.5533,4256460
2005-06-01,12.5533,12.6977,12.5068,12.6022,4205828
2005-06-02,12.6683,12.8788,12.6243,12.8739,4834003
2005-06-03,12.8176,12.9718,12.6903,12.7368,3279978
2005-06-06,12.7638,12.7833,12.6806,12.7271,2237841
2005-06-07,12.7589,12.8715,12.7271,12.7662,3434101
2005-06-08,12.7882,12.825,12.6659,12.683,2317962
2005-06-09,12.6854,12.8519,12.5802,12.8421,1915685
2005-06-10,12.8421,13.0281,12.7858,12.9938,3061869
2005-06-13,12.9351,12.9645,12.8152,12.8666,2400588
2005-06-14,12.8666,12.9106,12.7662,12.891,2327699
2005-06-15,12.9327,12.9596,12.7393,12.8299,2622035
2005-06-16,12.8299,12.984,12.8127,12.9571,2599501
2005-06-17,13.0452,13.1652,13.0208,13.0501,4255347
2005-06-20,12.9645,13.0012,12.869,12.9987,12781899
2005-06-21,12.9596,13.0991,12.8984,13.033,4558863
2005-06-22,13.0208,13.0281,12.8715,12.9816,4683497
2005-06-23,12.9596,13.0085,12.8225,12.8225,2775880
2005-06-24,12.8005,12.9694,12.5876,12.5876,4011088
2005-06-27,12.6047,12.6781,12.5239,12.5459,2622035
