date,open,high,low,close,volume
2005-01-03,69.3437,69.9831,68.5833,68.5919,1478256
2005-01-04,68.8857,69.2227,68.566,68.566,1271638
2005-01-05,68.7389,69.2746,67.9352,68.0303,1218799
2005-01-06,68.2636,69.1104,68.2204,68.8166,1193667
2005-01-07,69.024,69.5165,68.1945,68.6956,1176466
2005-01-10,68.4796,69.5597,68.3154,69.3523,1233631
2005-01-11,68.998,69.361,68.7561,69.0585,1390191
2005-01-12,69.0845,69.6634,68.6524,68.8598,1803736
2005-01-13,68.9117,69.3437,66.4317,66.6736,3768049
2005-01-14,67.3822,68.229,66.3453,68.0648,2579120
2005-01-18,67.8488,69.9399,67.6155,69.7844,1720718
2005-01-19,69.4733,70.1387,69.0413,69.361,1942580
2005-01-20,69.4474,70.2942,69.1277,70.0695,1692084
2005-01-21,70.3806,70.4843,69.3264,69.5597,1317988
2005-01-24,68.9116,69.5511,68.4537,69.1104,1952983
2005-01-25,69.3264,69.8103,68.7907,69.2573,1461055
2005-01-26,69.5597,70.1386,69.5165,69.9917,1339206
2005-01-27,69.5511,69.5684,68.35,69.0931,2580974
2005-01-28,68.9548,69.1277,68.6524,69.0326,1528314
2005-01-31,69.1104,69.3437,67.8315,68.134,2637727
2005-02-01,72.584,75.7553,71.2879,75.522,6513308
2005-02-02,75.522,76.9909,74.4937,74.8566,3087631
2005-02-03,74.3123,75.1245,74.2259,74.7875,1618439
2005-02-04,74.969,75.7726,74.9171,75.3405,1712066
2005-02-07,74.9171,74.9171,73.5,73.8543,2163721
2005-02-08,73.7506,74.2258,72.8001,73.5346,1606903
2005-02-09,72.8865,73.6469,72.7482,72.7482,1752442
2005-02-10,72.7569,73.9666,71.9446,73.6642,2554091
2005-02-11,73.5778,74.2691,72.7655,73.5259,1699191
2005-02-14,73.3617,73.5173,71.7804,72.2471,2028688
2005-02-15,71.4175,72.0483,71.0632,71.8668,2634740
2005-02-16,71.5039,73.0507,71.5039,72.9297,1860489
2005-02-17,72.3681,74.8739,72.3681,74.416,3574306
2005-02-18,74.3555,74.7097,74.0444,74.1049,2052069
2005-02-22,73.9234,74.3986,72.705,73.2062,2390012
2005-02-23,73.163,73.4222,72.3767,72.7396,1880162
2005-02-24,72.7396,73.4481,72.1693,73.3272,1452403
2005-02-25,73.3272,74.3641,73.2753,74.2604,1213752
2005-02-28,74.0962,74.3209,72.9902,74.2258,1750279
2005-03-01,74.7443,74.8307,73.8888,74.053,1528932
2005-03-02,73.9666,74.39,73.4827,73.9839,1074084
2005-03-03,73.9839,74.4419,73.6469,74.3554,1639348
2005-03-04,74.4159,74.6492,73.6123,73.837,935137
2005-03-07,73.8457,73.9666,72.6705,73.0161,1505036
2005-03-08,72.7137,72.8174,70.9164,70.9423,2236439
2005-03-09,70.9163,71.7113,69.577,71.4089,1976570
2005-03-10,71.02,71.3225,69.456,69.8621,2715389
2005-03-11,69.8622,69.8622,68.1944,68.229,2624543
2005-03-14,68.6524,68.6611,67.0711,68.1167,1898393
2005-03-15,68.35,68.6956,67.0625,68.4796,2016637
2005-03-16,68.2636,68.6438,67.7365,68.4018,1580020
2005-03-17,68.4018,69.8103,68.35,69.3264,2007367
2005-03-18,69.3869,70.5189,69.1363,70.3979,2896669
2005-03-21,70.2596,70.2856,69.0499,69.3351,941008
2005-03-22,69.2745,69.5078,68.7042,68.8684,2359936
2005-03-23,68.8253,68.8339,67.7538,68.013,2139104
2005-03-24,68.2204,68.8944,67.7797,68.6092,1499268
2005-03-28,69.0845,70.9423,68.8684,70.2769,1667467
2005-03-29,70.2769,71.0287,69.8276,70.6917,1994080
2005-03-30,70.6917,71.4607,70.346,71.3829,1253098
2005-03-31,64.8072,67.9612,64.1591,67.2353,12082621
2005-04-01,67.2353,67.244,62.8284,64.5221,7775779
2005-04-04,64.3752,64.5739,63.5975,64.4529,3311244
2005-04-05,64.3319,66.449,64.2023,66.2416,2601986
2005-04-06,66.2416,68.3673,66.1897,66.3971,2843109
2005-04-07,66.5786,67.3131,66.0601,66.9588,1293989
2005-04-08,67.1489,67.1489,65.8959,66.207,1076556
2005-04-11,66.3626,66.665,66.0169,66.5008,1346210
2005-04-12,66.449,66.4576,65.3343,66.4317,1396474
2005-04-13,66.4231,66.8724,65.8787,65.9565,853973
2005-04-14,65.9651,66.112,65.2997,65.8787,1494839
2005-04-15,65.7145,67.7365,65.6367,66.9674,2672335
2005-04-18,66.9674,67.3304,65.896,66.3366,1888505
2005-04-19,66.3626,66.881,65.4812,66.5181,1831958
