symbol,date,open,high,low,close,adj_close,volume
ABEV3,2020-01-02,18.8600,19.2500,18.7800,19.2000,13.9705,16011300
ABEV3,2020-01-03,18.9500,19.1600,18.8900,18.9300,13.7740,20059000
ABEV3,2020-01-06,18.8600,19.1700,18.6900,19.0200,13.8395,14644300
ABEV3,2020-01-07,19.0500,19.2300,18.8600,19.0600,13.8686,18036600
ABEV3,2020-01-08,19.0900,19.1600,18.8600,18.9700,13.8031,14051700
ABEV3,2020-01-09,19.0000,19.0800,18.5100,18.8200,13.6940,21199500
ABEV3,2020-01-10,18.8200,19.0400,18.7700,18.8900,13.7449,11697800
ABEV3,2020-01-13,18.9300,19.3500,18.9100,19.2100,13.9777,19314500
ABEV3,2020-01-14,19.2000,19.5800,18.9800,19.1000,13.8977,21324400
ABEV3,2020-01-15,19.0000,19.0000,18.7600,18.7600,13.6503,17408600
ABEV3,2020-01-16,18.9000,18.9300,18.6800,18.7000,13.6066,10783600
ABEV3,2020-01-17,18.7600,18.8600,18.5700,18.7000,13.6066,16556000
ABEV3,2020-01-20,18.7000,18.8800,18.5800,18.8000,13.6794,8035600
ABEV3,2020-01-21,18.6800,18.9200,18.6600,18.7400,13.6358,11249000
ABEV3,2020-01-22,18.8500,19.0800,18.7700,19.0500,13.8613,13925400
ABEV3,2020-01-23,18.9000,19.0300,18.5900,18.6500,13.5703,20155900
ABEV3,2020-01-24,18.8200,19.0100,18.7200,18.9900,13.8177,12738200
ABEV3,2020-01-27,18.6800,18.7900,18.4600,18.5500,13.4975,12916900
ABEV3,2020-01-28,18.6200,18.9500,18.5000,18.8000,13.6794,13373600
ABEV3,2020-01-29,18.8600,18.9100,18.2200,18.3000,13.3156,12931800
ABEV3,2020-01-30,18.2000,18.3400,17.8800,18.3400,13.3447,15925300
ABEV3,2020-01-31,18.0000,18.1900,17.7800,17.8500,12.9882,20960400
ABEV3,2020-02-03,17.9200,18.1200,17.5900,17.5900,12.7990,18733100
ABEV3,2020-02-04,17.7800,17.9400,17.5800,17.6500,12.8426,16492600
ABEV3,2020-02-05,17.9000,18.0000,17.2100,17.2500,12.5516,36940300
ABEV3,2020-02-06,17.4800,17.4800,16.7500,16.8700,12.2751,19619000
ABEV3,2020-02-07,16.7400,17.1700,16.7300,16.9200,12.3115,77239000
ABEV3,2020-02-10,16.9800,17.1000,16.5800,16.7300,12.1732,17027200
