symbol,date,open,high,low,close,adj_close,volume
ABEV3,2023-01-02,14.4000,14.4500,14.0200,14.1900,11.6471,14995900
ABEV3,2023-01-03,14.1600,14.3900,14.1100,14.1700,11.6307,36363800
ABEV3,2023-01-04,14.2800,14.4700,14.0800,14.2500,11.6963,23791800
ABEV3,2023-01-05,14.2700,14.4100,14.1400,14.2900,11.7292,31031500
ABEV3,2023-01-06,14.3000,14.3600,14.1600,14.3200,11.7538,20889800
ABEV3,2023-01-09,14.2900,14.4700,14.2700,14.4000,11.8195,24448600
ABEV3,2023-01-10,14.2600,14.6000,14.2500,14.5400,11.9344,35535000
PETR4,2023-01-02,25.6000,25.9500,25.2200,25.8800,22.4421,58987600
PETR4,2023-01-03,25.8000,26.2500,25.5000,26.2000,22.7196,67834200
PETR4,2023-01-04,26.2500,27.0000,26.1000,26.9500,23.3700,78934500
PETR4,2023-01-05,27.0000,27.5000,26.8000,27.4000,23.7604,88123400
PETR4,2023-01-06,27.3500,27.8000,27.1000,27.7500,24.0639,95234100
PETR4,2023-01-09,27.6000,28.0000,27.4000,27.9500,24.2374,102345600
PETR4,2023-01-10,27.9000,28.3500,27.7000,28.2500,24.4976,115678900
VALE3,2023-01-02,87.5000,88.2000,86.8000,88.0000,79.9512,23456700
VALE3,2023-01-03,88.2000,89.5000,87.5000,89.2000,81.0406,28934500
VALE3,2023-01-04,89.3500,90.0000,88.5000,89.7500,81.5401,34567800
VALE3,2023-01-05,89.8000,91.0000,89.2000,90.5000,82.2216,45678900
VALE3,2023-01-06,90.6000,91.5000,90.0000,91.2000,82.8580,56789100
VALE3,2023-01-09,91.0000,92.0000,90.5000,91.8000,83.4030,67890200
VALE3,2023-01-10,91.7000,92.5000,91.2000,92.3000,83.8573,78901300
ITUB4,2023-01-02,22.2091,22.3000,21.8545,22.2636,17.4615,25674770
ITUB4,2023-01-03,22.2636,22.4091,21.6636,21.8000,17.0979,32861180
ITUB4,2023-01-04,21.8727,22.2909,21.7091,21.8636,17.1478,32869650
ITUB4,2023-01-05,21.9091,22.6455,21.8364,22.5455,17.6826,39955080
ITUB4,2023-01-06,22.5182,22.7545,22.3182,22.6545,17.7681,28767450
ITUB4,2023-01-09,22.5818,22.8636,22.4000,22.7636,17.8537,26543210
ITUB4,2023-01-10,22.7091,23.1000,22.5455,22.9818,18.0248,31234560
BBDC4,2023-01-02,14.9000,14.9900,14.6600,14.7500,11.3408,24748300
BBDC4,2023-01-03,14.7600,14.7800,13.9500,14.0000,10.7780,127764400
BBDC4,2023-01-04,14.1500,14.2300,13.6600,14.0400,10.8088,153235200
BBDC4,2023-01-05,14.1100,14.7100,14.0700,14.6500,11.2784,164949200
BBDC4,2023-01-06,14.6600,15.0800,14.5000,15.0600,11.5940,86788300
BBDC4,2023-01-09,14.3100,14.7400,14.2100,14.6600,11.7409,73674800
BBDC4,2023-01-10,14.5100,15.2000,14.4200,15.1000,12.0933,118245200
B3SA3,2023-01-02,12.8500,13.0000,12.6500,12.9500,11.2150,45678900
B3SA3,2023-01-03,12.9000,13.1500,12.7500,13.0500,11.3016,56789100
B3SA3,2023-01-04,13.1000,13.3000,12.9500,13.2000,11.4315,67890200
B3SA3,2023-01-05,13.2500,13.5000,13.1000,13.4000,11.6048,78901300
B3SA3,2023-01-06,13.3500,13.6000,13.2500,13.5500,11.7347,89012400
B3SA3,2023-01-09,13.5000,13.7500,13.4000,13.7000,11.8646,90123500
B3SA3,2023-01-10,13.6500,13.9000,13.5500,13.8500,11.9945,101234600
WEGE3,2023-01-02,38.5000,39.0000,38.2000,38.8000,36.1234,12345600
WEGE3,2023-01-03,38.9000,39.5000,38.6000,39.3000,36.5888,14567800
WEGE3,2023-01-04,39.4000,40.0000,39.1000,39.8000,37.0541,16789000
WEGE3,2023-01-05,39.9000,40.5000,39.6000,40.3000,37.5195,18901200
WEGE3,2023-01-06,40.4000,41.0000,40.1000,40.8000,37.9849,21123400
WEGE3,2023-01-09,40.7000,41.3000,40.5000,41.1000,38.2637,23345600
WEGE3,2023-01-10,41.0000,41.6000,40.8000,41.4000,38.5425,25567800
RENT3,2023-01-02,54.0000,54.8000,53.5000,54.5000,50.7234,9876500
RENT3,2023-01-03,54.6000,55.3000,54.2000,55.0000,51.1890,11234600
RENT3,2023-01-04,55.2000,56.0000,54.8000,55.7000,51.8405,13456700
RENT3,2023-01-05,55.8000,56.5000,55.3000,56.2000,52.3061,15678800
RENT3,2023-01-06,56.3000,57.0000,55.8000,56.7000,52.7717,17890900
RENT3,2023-01-09,56.5000,57.2000,56.1000,57.0000,53.0508,19012000
RENT3,2023-01-10,57.0000,57.8000,56.5000,57.5000,53.5164,21234100
BBAS3,2023-01-02,35.2000,35.8000,34.9000,35.5000,32.1234,34567800
BBAS3,2023-01-03,35.6000,36.2000,35.3000,36.0000,32.5789,45678900
BBAS3,2023-01-04,36.1000,36.7000,35.8000,36.5000,33.0344,56789000
BBAS3,2023-01-05,36.6000,37.2000,36.3000,37.0000,33.4899,67890100
BBAS3,2023-01-06,37.0000,37.6000,36.7000,37.4000,33.8519,78901200
BBAS3,2023-01-09,37.3000,37.9000,37.0000,37.7000,34.1229,89012300
BBAS3,2023-01-10,37.6000,38.2000,37.3000,38.0000,34.3939,90123400
